<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HIHO.US,D,20050225,000000,2.05734,2.05734,2.05734,2.05734,1759.160289426,0
HIHO.US,D,20050228,000000,2.0522,2.05734,2.0522,2.05734,6641.4832461558,0
HIHO.US,D,20050301,000000,2.0522,2.06754,2.0421,2.06754,10552.78455798,0
HIHO.US,D,20050302,000000,2.05734,2.08288,2.05734,2.08288,4301.0162769319,0
HIHO.US,D,20050303,000000,2.12394,2.14433,2.12394,2.13928,4041.9320263853,0
HIHO.US,D,20050304,000000,2.12394,2.12394,2.09316,2.09822,8792.5356792658,0
HIHO.US,D,20050307,000000,2.12394,2.13928,2.10345,2.11871,24815.481409501,0
HIHO.US,D,20050308,000000,2.11374,2.16978,2.10345,2.16978,3115.5425422878,0
HIHO.US,D,20050309,000000,2.16978,2.16978,2.13423,2.13423,391.892143684,0
HIHO.US,D,20050310,000000,2.08811,2.1086,2.07782,2.09822,10536.45571866,0
HIHO.US,D,20050311,000000,2.10345,2.10345,2.09822,2.09822,5857.6989587878,0
HIHO.US,D,20050314,000000,2.09822,2.10345,2.03189,2.0421,41296.72322999,0
HIHO.US,D,20050315,000000,2.09822,2.1086,2.0522,2.0522,11527.071970749,0
HIHO.US,D,20050316,000000,2.09822,2.14433,2.07782,2.07782,5081.5347964359,0
HIHO.US,D,20050317,000000,2.18007,2.18007,2.14433,2.14433,3709.9122935419,0
HIHO.US,D,20050318,000000,2.09822,2.1086,2.09822,2.09822,24229.820372551,0
HIHO.US,D,20050321,000000,2.09822,2.12394,2.09822,2.12394,17115.889375398,0
HIHO.US,D,20050322,000000,2.0522,2.08288,2.0522,2.08288,391.892143684,0
HIHO.US,D,20050323,000000,2.07782,2.08288,2.07782,2.07782,2148.8752545339,0
HIHO.US,D,20050324,000000,2.09822,2.09822,2.09822,2.09822,2734.5362914839,0
HIHO.US,D,20050328,000000,2.0522,2.07782,2.0522,2.07782,3752.3672757743,0
HIHO.US,D,20050329,000000,2.07782,2.11374,2.03189,2.07782,6348.6527276808,0
HIHO.US,D,20050330,000000,2.0522,2.0522,2.0522,2.0522,197.03466113001,0
HIHO.US,D,20050331,000000,2.10345,2.10345,2.07782,2.07782,785.96146594402,0
HIHO.US,D,20050401,000000,2.0522,2.07782,2.0522,2.07782,4101.8044372259,0
HIHO.US,D,20050404,000000,2.08811,2.08811,2.07782,2.08811,4494.7851701979,0
HIHO.US,D,20050405,000000,2.07782,2.09822,2.07782,2.09822,2536.4130410659,0
HIHO.US,D,20050406,000000,2.07782,2.12394,1.85773,1.85773,2409.0480943686,0
HIHO.US,D,20050407,000000,2.03189,2.16978,2.03189,2.09822,6741.6334606528,0
HIHO.US,D,20050408,000000,2.03189,2.08288,2.03189,2.08288,21219.8709912,0
HIHO.US,D,20050411,000000,2.03189,2.03677,2.03189,2.03189,5273.1265111258,0
HIHO.US,D,20050412,000000,2.14948,2.21608,2.0522,2.21608,5155.5588680206,0
HIHO.US,D,20050413,000000,2.08288,2.10345,2.07782,2.07782,8948.2039474513,0
HIHO.US,D,20050414,000000,2.03189,2.0421,2.02648,2.0421,3936.3388654482,0
HIHO.US,D,20050415,000000,2.17493,2.17493,2.09822,2.09822,5181.6850109329,0
HIHO.US,D,20050418,000000,2.04705,2.04705,2.03189,2.03189,3255.9705604412,0
HIHO.US,D,20050419,000000,2.03189,2.06754,2.03189,2.03189,4101.8044372259,0
HIHO.US,D,20050420,000000,2.0522,2.07782,1.95492,1.95492,4078.9440621776,0
HIHO.US,D,20050422,000000,1.96006,2.01132,1.96006,2.01132,5857.6989587878,0
HIHO.US,D,20050425,000000,2.0522,2.0522,2.03677,2.0421,6445.5371743138,0
HIHO.US,D,20050426,000000,2.07782,2.07782,2.0522,2.0522,8307.0248568128,0
HIHO.US,D,20050428,000000,1.91927,1.91927,1.91927,1.91927,197.03466113001,0
HIHO.US,D,20050429,000000,1.91413,1.93958,1.91413,1.93958,1950.7520041159,0
HIHO.US,D,20050502,000000,1.86792,1.89346,1.76036,1.76577,20021.3341851,0
HIHO.US,D,20050503,000000,1.76036,1.76036,1.76036,1.76036,512.72555465323,0
HIHO.US,D,20050504,000000,1.49956,1.65278,1.49956,1.64782,5332.9989219664,0
HIHO.US,D,20050505,000000,1.70431,1.93958,1.6684,1.6684,3636.9768112451,0
HIHO.US,D,20050509,000000,1.62229,1.62229,1.62229,1.62229,850.18823393668,0
HIHO.US,D,20050512,000000,1.70937,1.735,1.70937,1.70937,6274.628656096,0
