<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INBK.US,D,20130225,000000,17.4264,17.9686,17.4264,17.9426,10893.501650099,0
INBK.US,D,20130226,000000,17.6975,17.6975,17.243,17.2739,9388.4585926103,0
INBK.US,D,20130227,000000,17.3487,17.3487,16.06,16.06,11509.56594163,0
INBK.US,D,20130228,000000,14.7035,16.9639,14.7035,15.154,10804.202428687,0
INBK.US,D,20130301,000000,14.7285,15.754,14.7285,15.5138,1578.2884862858,0
INBK.US,D,20130304,000000,15.759,15.759,15.6056,15.759,3485.6797211423,0
INBK.US,D,20130305,000000,15.759,15.759,15.3036,15.3145,8002.815617683,0
INBK.US,D,20130306,000000,15.154,15.3514,14.9647,14.9647,2141.1745897863,0
INBK.US,D,20130307,000000,14.9647,15.2736,14.9647,14.9647,3302.0644681287,0
INBK.US,D,20130308,000000,14.9358,15.2676,14.8212,15.2676,6722.5256567798,0
INBK.US,D,20130311,000000,14.9647,15.2736,14.9647,15.1222,4299.4063342241,0
INBK.US,D,20130312,000000,15.2736,15.2736,15.0803,15.185,6352.2850646378,0
INBK.US,D,20130313,000000,15.2676,15.2676,14.9358,15.0913,5613.8106044303,0
INBK.US,D,20130314,000000,15.1292,15.2148,15.0913,15.0913,17564.855842923,0
INBK.US,D,20130315,000000,15.2458,15.2458,14.0587,14.0587,26672.373064803,0
INBK.US,D,20130318,000000,13.8604,14.5271,13.8604,14.5152,6269.0060154568,0
INBK.US,D,20130319,000000,14.5152,14.5461,14.3467,14.3467,1121.7587588477,0
INBK.US,D,20130320,000000,14.3358,15.747,14.3358,14.6338,4291.3794379175,0
INBK.US,D,20130321,000000,14.3627,15.7232,14.3627,15.7232,3134.5030077284,0
INBK.US,D,20130322,000000,14.5461,15.5996,14.5461,15.5996,336.12628283899,0
INBK.US,D,20130325,000000,14.871,14.9647,14.8511,14.8511,2310.7427742633,0
INBK.US,D,20130326,000000,15.7232,15.7232,14.3627,14.5461,14079.176121782,0
INBK.US,D,20130327,000000,14.5819,14.5819,14.0358,14.0358,8061.0106159059,0
INBK.US,D,20130328,000000,14.0707,15.759,14.0707,15.5548,9312.2030776976,0
INBK.US,D,20130401,000000,15.1989,15.2238,15.0683,15.163,6660.3172104037,0
INBK.US,D,20130402,000000,15.0364,15.1929,14.9109,15.0683,12624.30116621,0
INBK.US,D,20130403,000000,14.7484,14.8281,14.5819,14.5819,4346.5643500254,0
INBK.US,D,20130404,000000,13.8235,14.9846,13.8235,14.1265,4292.3827999558,0
INBK.US,D,20130405,000000,13.975,14.5152,13.975,14.4005,5364.9768189256,0
INBK.US,D,20130408,000000,14.6019,14.8869,14.1574,14.8869,9379.4283342654,0
INBK.US,D,20130409,000000,14.2251,14.7355,14.2251,14.5819,2962.9280991748,0
INBK.US,D,20130410,000000,14.5819,14.6717,14.5651,14.5819,5596.7534497788,0
INBK.US,D,20130412,000000,14.2849,14.2849,14.2849,14.2849,334.11955876234,0
INBK.US,D,20130415,000000,14.2182,14.2661,14.1335,14.1335,7432.9059799142,0
INBK.US,D,20130416,000000,14.1524,14.5949,14.0956,14.571,18928.424853008,0
INBK.US,D,20130417,000000,14.1335,14.2541,14.1335,14.2541,513.72136362258,0
INBK.US,D,20130418,000000,15.3106,15.48,14.5889,15.0424,14144.394654273,0
INBK.US,D,20130419,000000,15.0235,15.187,14.6179,14.6179,8095.1249252089,0
INBK.US,D,20130422,000000,14.5651,14.5819,13.1548,14.3677,13618.63294619,0
INBK.US,D,20130423,000000,14.5401,14.6019,13.5854,14.6019,1399.6900434639,0
INBK.US,D,20130424,000000,14.5819,14.5819,14.1953,14.278,658.20549714143,0
INBK.US,D,20130425,000000,14.2481,14.3687,13.374,14.1265,2303.719239995,0
INBK.US,D,20130426,000000,13.981,13.981,13.981,13.981,155.52111594043,0
INBK.US,D,20130429,000000,13.975,14.1883,13.975,14.1883,1181.9604811473,0
INBK.US,D,20130430,000000,13.7697,14.1265,13.7697,14.0956,1644.5103808152,0
INBK.US,D,20130501,000000,14.1265,14.1265,14.0567,14.0637,3703.4092834589,0
INBK.US,D,20130502,000000,13.975,13.975,13.975,13.975,155.52111594043,0
INBK.US,D,20130503,000000,14.3109,14.4005,13.975,14.4005,4997.7463128986,0
INBK.US,D,20130506,000000,14.0428,17.1802,14.0358,15.1929,41141.857019493,0
INBK.US,D,20130507,000000,15.0364,15.1979,15.0364,15.1142,4608.4418420283,0
INBK.US,D,20130508,000000,15.1989,16.0411,15.163,16.0411,91101.259631788,0
INBK.US,D,20130509,000000,16.3759,16.3759,15.7999,15.9484,25064.987079405,0
INBK.US,D,20130510,000000,16.0819,17.1304,16.0819,16.952,11167.419486561,0
INBK.US,D,20130513,000000,16.952,16.952,16.1019,16.3909,16353.797862665,0
INBK.US,D,20130514,000000,16.7647,17.0148,16.3221,16.3221,87312.564575072,0
INBK.US,D,20130515,000000,16.6859,16.6859,15.9494,15.9494,4935.5378665224,0
INBK.US,D,20130516,000000,16.07,16.07,15.9185,15.9185,3294.0375718221,0
INBK.US,D,20130517,000000,15.9852,15.9852,15.9494,15.9494,334.11955876234,0
INBK.US,D,20130520,000000,15.9494,16.0949,15.8587,15.8587,10862.39742691,0
INBK.US,D,20130521,000000,15.8886,15.8886,15.7381,15.7381,5266.6473391698,0
INBK.US,D,20130522,000000,15.9494,16.1019,15.5557,15.6244,21891.352952182,0
INBK.US,D,20130523,000000,15.486,15.6763,15.486,15.6763,4649.5796855997,0
INBK.US,D,20130524,000000,16.07,16.07,15.744,15.78,1485.9791787598,0
INBK.US,D,20130528,000000,16.4039,16.4039,15.768,15.8587,28894.819979693,0
INBK.US,D,20130529,000000,16.0112,16.6799,16.0112,16.1019,9546.9897946657,0
INBK.US,D,20130530,000000,16.5275,16.6431,15.8587,15.8587,17442.445674248,0
INBK.US,D,20130531,000000,16.4337,16.4337,16.1716,16.1716,1569.2582279408,0
INBK.US,D,20130603,000000,16.4297,16.6131,16.4039,16.4657,27353.655888826,0
INBK.US,D,20130604,000000,16.7089,16.9341,16.4965,16.4965,13907.601213227,0
INBK.US,D,20130605,000000,16.4039,16.9709,16.4039,16.6739,14657.112655857,0
INBK.US,D,20130606,000000,16.6609,16.8932,16.4347,16.5275,2725.1312960917,0
INBK.US,D,20130607,000000,16.9639,17.0148,16.0411,16.0411,5806.4561157888,0
INBK.US,D,20130610,000000,16.0411,16.9271,16.0411,16.8374,5473.3399190648,0
INBK.US,D,20130612,000000,17.0437,17.9248,17.0247,17.828,10119.909518549,0
INBK.US,D,20130613,000000,17.4782,17.9248,17.3726,17.8878,6951.292201518,0
INBK.US,D,20130614,000000,17.6436,17.8878,17.4663,17.8878,8068.0341501741,0
INBK.US,D,20130617,000000,17.8878,17.8878,16.8922,17.6208,4276.3290073426,0
INBK.US,D,20130618,000000,17.5918,17.9248,17.4394,17.8878,14081.182845858,0
INBK.US,D,20130619,000000,17.5032,18.3812,17.5032,18.3812,7689.7666617255,0
INBK.US,D,20130620,000000,17.566,18.5307,17.566,17.9876,17499.637310432,0
INBK.US,D,20130621,000000,17.7374,18.3493,17.7374,18.3493,38558.199770805,0
INBK.US,D,20130624,000000,18.2287,19.3679,16.8623,18.0454,14636.042053052,0
INBK.US,D,20130625,000000,18.0553,18.4729,18.0454,18.4031,10114.892708357,0
INBK.US,D,20130626,000000,18.4121,18.6832,18.0633,18.6733,5674.0123267299,0
INBK.US,D,20130627,000000,18.5526,19.1955,18.3274,18.8507,9836.9614237417,0
INBK.US,D,20130628,000000,18.8775,20.0466,18.737,19.2423,49786.824341704,0
INBK.US,D,20130701,000000,19.2045,19.5572,19.2045,19.2881,7601.4708023529,0
INBK.US,D,20130702,000000,19.2613,19.3788,19.1955,19.1955,2628.8085404124,0
INBK.US,D,20130703,000000,19.2423,19.5154,19.2423,19.3689,386.29438475526,0
INBK.US,D,20130705,000000,19.3689,21.2515,19.1875,20.1104,39135.132942842,0
INBK.US,D,20130708,000000,20.1562,23.3097,20.1562,21.3991,20285.973690862,0
INBK.US,D,20130709,000000,21.3542,22.612,21.3542,22.1664,11514.582751821,0
INBK.US,D,20130710,000000,22.622,22.9409,21.5715,22.0578,29858.047536486,0
INBK.US,D,20130711,000000,22.1944,22.295,20.6885,22.286,9252.0013553981,0
INBK.US,D,20130712,000000,21.9372,22.1664,20.6785,21.4808,18129.748670501,0
INBK.US,D,20130715,000000,21.4977,21.8386,20.7612,21.8386,6101.4445550565,0
INBK.US,D,20130716,000000,21.8904,22.1664,21.8286,22.1664,4892.3932988744,0
INBK.US,D,20130717,000000,22.1486,22.1664,21.5346,21.8724,8369.0427616717,0
INBK.US,D,20130718,000000,22.1216,22.1664,21.4907,22.1664,6911.157719985,0
INBK.US,D,20130719,000000,22.1664,22.8253,22.1436,22.8253,10773.098205499,0
INBK.US,D,20130722,000000,22.7535,22.9419,22.1664,22.9329,21701.717526939,0
INBK.US,D,20130723,000000,22.6409,22.9329,22.3937,22.3937,2077.9627813718,0
INBK.US,D,20130724,000000,22.1664,22.9329,21.4808,22.3937,12592.193580983,0
INBK.US,D,20130725,000000,22.622,22.6688,21.6642,22.2502,11018.921904889,0
INBK.US,D,20130726,000000,21.986,22.2144,21.5107,22.1396,4466.9677946245,0
INBK.US,D,20130729,000000,22.8532,22.8532,20.5399,20.5399,11428.293616526,0
INBK.US,D,20130730,000000,21.0223,22.8861,20.1104,21.4808,28280.762412238,0
INBK.US,D,20130731,000000,21.7818,22.9419,21.7818,22.2781,11351.034739574,0
INBK.US,D,20130801,000000,22.286,22.9698,21.0543,22.8342,18651.49693043,0
INBK.US,D,20130802,000000,22.2692,24.2236,22.2692,24.2236,22133.163203419,0
INBK.US,D,20130805,000000,24.2146,24.6611,23.1003,24.5714,32896.227788535,0
INBK.US,D,20130806,000000,24.5714,24.7259,24.407,24.5993,25640.916889404,0
INBK.US,D,20130807,000000,24.6182,26.0434,24.6182,26.0434,34664.151700064,0
INBK.US,D,20130808,000000,26.2627,32.9094,26.2627,28.3357,27926.575612709,0
INBK.US,D,20130809,000000,28.3278,30.1537,28.3098,30.1537,20386.309894694,0
INBK.US,D,20130812,000000,30.1626,31.9287,30.1537,31.0496,32419.63082033,0
INBK.US,D,20130813,000000,30.1626,30.1915,25.5929,27.6969,48233.619906376,0
INBK.US,D,20130814,000000,28.3806,28.556,27.8325,28.5002,5699.096377688,0
INBK.US,D,20130815,000000,28.5022,28.566,27.2205,27.3879,8291.7838847207,0
INBK.US,D,20130816,000000,27.4218,28.1962,26.9654,27.7477,7691.7733858021,0
INBK.US,D,20130819,000000,27.7915,27.7915,26.4352,26.5178,5389.0575078455,0
INBK.US,D,20130820,000000,26.6086,26.6086,25.5929,26.498,13030.662791732,0
INBK.US,D,20130821,000000,25.8063,25.9607,24.9989,25.8232,12103.556268318,0
INBK.US,D,20130822,000000,25.6857,26.7381,25.6857,26.7002,25442.251205816,0
INBK.US,D,20130823,000000,26.4172,26.7282,25.9697,26.6714,7710.8372645303,0
INBK.US,D,20130826,000000,26.2786,26.3066,26.0524,26.0524,3449.5586877626,0
INBK.US,D,20130827,000000,26.7282,26.7282,25.2282,25.9159,8006.8290658363,0
INBK.US,D,20130828,000000,25.2282,26.0424,25.1564,25.1564,4177.9995275868,0
INBK.US,D,20130829,000000,25.1564,25.7425,25.1564,25.6199,8651.9908564795,0
INBK.US,D,20130830,000000,25.9019,25.9019,25.2153,25.2153,1048.51333005,0
INBK.US,D,20130903,000000,25.3487,25.9507,25.2282,25.2282,5746.2543934893,0
INBK.US,D,20130904,000000,25.1564,25.1564,24.7,25.0837,4953.5983832123,0
INBK.US,D,20130905,000000,24.708,24.8146,24.368,24.387,4145.8919423603,0
INBK.US,D,20130906,000000,24.3252,24.68,24.0422,24.5614,15550.104869966,0
INBK.US,D,20130909,000000,24.7528,25.284,24.6462,25.284,6123.5185198996,0
INBK.US,D,20130910,000000,25.3189,26.3265,24.973,24.973,10851.360444489,0
INBK.US,D,20130911,000000,25.5929,25.5929,25.0259,25.0259,1875.2836496301,0
INBK.US,D,20130912,000000,25.1933,25.2461,24.9661,25.2461,1940.5021821212,0
INBK.US,D,20130913,000000,25.2013,25.87,24.68,25.4036,10711.893121161,0
INBK.US,D,20130916,000000,25.0548,25.7673,24.9561,25.5979,7114.8402137651,0
INBK.US,D,20130917,000000,25.3189,25.7315,24.7797,24.9292,8838.616195608,0
INBK.US,D,20130918,000000,25.7495,26.3066,25.1215,26.0235,12030.310839521,0
INBK.US,D,20130919,000000,25.7135,25.9787,24.8893,25.9787,12177.805059155,0
INBK.US,D,20130920,000000,25.9159,26.1132,25.4225,25.6857,5199.422082602,0
INBK.US,D,20130923,000000,25.6199,25.6398,25.1654,25.4125,10974.773975202,0
INBK.US,D,20130924,000000,25.1465,25.6398,25.1375,25.5023,5192.3985483337,0
INBK.US,D,20130925,000000,25.1933,25.2103,24.98,25.1116,2624.7950922591,0
INBK.US,D,20130926,000000,25.1026,25.3388,25.1026,25.3388,1860.2332190552,0
INBK.US,D,20130927,000000,25.5929,25.5929,24.3422,24.5146,5796.4224954055,0
INBK.US,D,20130930,000000,24.38,24.4618,23.8229,24.4538,5019.8202777417,0
INBK.US,D,20131001,000000,24.1398,24.2704,22.286,23.7571,69385.495036313,0
INBK.US,D,20131002,000000,23.9126,23.9774,23.3196,23.497,8964.0364503987,0
INBK.US,D,20131003,000000,23.4621,24.37,23.4621,24.37,6404.4598906307,0
INBK.US,D,20131004,000000,23.1611,25.1505,23.1611,24.9411,4023.4817736847,0
INBK.US,D,20131007,000000,24.975,25.6447,24.389,25.0488,13927.668453994,0
INBK.US,D,20131008,000000,25.4275,26.3434,24.6392,25.9288,17133.410166443,0
INBK.US,D,20131009,000000,25.4275,25.4275,24.7926,24.8843,5019.8202777417,0
INBK.US,D,20131010,000000,25.2153,26.0853,25.2153,25.6537,2291.6788955351,0
INBK.US,D,20131011,000000,25.1694,26.2956,24.8016,26.2956,3603.0730796263,0
INBK.US,D,20131014,000000,25.6537,26.0205,24.9033,25.3996,6330.2110997946,0
INBK.US,D,20131015,000000,24.8016,25.2889,24.8016,25.2889,11024.942077119,0
INBK.US,D,20131016,000000,25.7365,26.1949,25.4445,25.8671,3710.4328177271,0
INBK.US,D,20131017,000000,25.0687,26.0853,25.0687,26.0105,2510.41181989,0
INBK.US,D,20131018,000000,25.6727,25.9836,25.0877,25.8291,8079.0711325957,0
