<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LFMDP.US,D,20211006,000000,24.344,24.344,24.2,24.2,14794,0
LFMDP.US,D,20211007,000000,24.2,24.25,24.2,24.2,29948,0
LFMDP.US,D,20211008,000000,24.28,24.28,24.21,24.27,7801,0
LFMDP.US,D,20211011,000000,24.2,24.3,24.2,24.21,10495,0
LFMDP.US,D,20211012,000000,24.2,24.22,24.2,24.2,6302,0
LFMDP.US,D,20211013,000000,24.2049,24.43,24.2,24.28,3185,0
LFMDP.US,D,20211014,000000,24.37,24.37,24.35,24.35,1643,0
LFMDP.US,D,20211015,000000,24.3,24.3,24.27,24.27,921,0
LFMDP.US,D,20211018,000000,24.25,24.26,24.2,24.2,13782,0
LFMDP.US,D,20211019,000000,24.31,24.31,24.2,24.26,490,0
LFMDP.US,D,20211021,000000,24.26,24.26,24.2,24.2,2188,0
LFMDP.US,D,20211022,000000,24.26,24.28,24.2,24.2003,4908,0
LFMDP.US,D,20211025,000000,24.21,24.22,24.2,24.2,8490,0
LFMDP.US,D,20211026,000000,24.2,24.201,24.15,24.2,3039,0
LFMDP.US,D,20211027,000000,24.2,24.2,24.2,24.2,4838,0
LFMDP.US,D,20211028,000000,24.0446,24.1,23.82,23.83,1905,0
LFMDP.US,D,20211029,000000,23.95,23.95,23.425,23.85,8595,0
LFMDP.US,D,20211101,000000,24.07,24.09,24,24,751,0
LFMDP.US,D,20211103,000000,23.9112,23.9112,23.9112,23.9112,515,0
LFMDP.US,D,20211104,000000,23.53,23.8,23.4,23.4,4505,0
LFMDP.US,D,20211105,000000,23.35,23.35,23.2,23.2,2064,0
LFMDP.US,D,20211108,000000,23.25,23.25,22.93,23.03,2488,0
LFMDP.US,D,20211109,000000,22.9,22.9,22.8,22.8,1770,0
LFMDP.US,D,20211110,000000,22.8,22.8,22.8,22.8,625,0
LFMDP.US,D,20211111,000000,22.7,22.7,22.5,22.52,11202,0
LFMDP.US,D,20211112,000000,22.4501,22.47,19.5,22.47,15713,0
LFMDP.US,D,20211115,000000,21.11,22.4452,19.5001,20.33,7638,0
LFMDP.US,D,20211116,000000,20.1,20.575,20,20.1,15817,0
LFMDP.US,D,20211117,000000,20.2,21.4999,20,21.25,8854,0
LFMDP.US,D,20211118,000000,20.8,22.88,20.8,21.2,4653,0
LFMDP.US,D,20211119,000000,21.75,21.75,21,21.1,8172,0
LFMDP.US,D,20211122,000000,21.86,21.86,21.86,21.86,122,0
LFMDP.US,D,20211129,000000,20.1,21.69,20.1,21.69,2299,0
LFMDP.US,D,20211130,000000,21,21,21,21,621,0
LFMDP.US,D,20211201,000000,21.64,21.64,20.1001,20.67,4977,0
LFMDP.US,D,20211203,000000,20.1,20.4,19.95,20.35,11845,0
LFMDP.US,D,20211206,000000,20.1,20.6,20,20.6,6711,0
LFMDP.US,D,20211207,000000,20.87,20.95,20.7,20.7,1054,0
LFMDP.US,D,20211208,000000,20.11,20.99,20.1,20.16,13618,0
LFMDP.US,D,20211209,000000,20.05,20.05,19,19.18,7701,0
LFMDP.US,D,20211210,000000,18.75,18.75,17.25,17.99,10761,0
LFMDP.US,D,20211213,000000,17.25,18.91,16,17.9,6886,0
LFMDP.US,D,20211214,000000,17.5835,17.5835,16.9,17.3,11333,0
LFMDP.US,D,20211215,000000,17.15,17.3316,16.5,16.5,36628,0
LFMDP.US,D,20211216,000000,16.675,19,16.675,19,2782,0
LFMDP.US,D,20211217,000000,18.05,18.05,17.5,18,1452,0
LFMDP.US,D,20211220,000000,18,18.0001,18,18.0001,1700,0
LFMDP.US,D,20211221,000000,18.01,18.045,18,18,4100,0
LFMDP.US,D,20211222,000000,18,18.4187,18,18,2100,0
LFMDP.US,D,20211223,000000,18.75,18.75,17.5,17.76,10003,0
LFMDP.US,D,20211227,000000,17.8,17.82,17.76,17.82,4276,0
LFMDP.US,D,20211228,000000,18.16,18.25,17.77,17.7903,15110,0
LFMDP.US,D,20211229,000000,17.77,18.0132,17.5,18.0132,16552,0
LFMDP.US,D,20211230,000000,18.08,18.9999,17.9992,18.75,9798,0
LFMDP.US,D,20211231,000000,18.698,18.7,18.0084,18.6851,10682,0
LFMDP.US,D,20220103,000000,18.25,18.47,18.1,18.47,6652,0
LFMDP.US,D,20220104,000000,19.974,19.974,18.6,18.68,3583,0
LFMDP.US,D,20220105,000000,18.75,19,18.7499,18.9861,1840,0
LFMDP.US,D,20220106,000000,18.7,18.7,18.7,18.7,631,0
LFMDP.US,D,20220107,000000,18.78,18.82,17.8,18.675,1655,0
LFMDP.US,D,20220110,000000,18.56,18.7,18.3,18.7,1691,0
LFMDP.US,D,20220111,000000,18.6999,18.6999,18.6999,18.6999,116,0
LFMDP.US,D,20220112,000000,18.7,19.3,18.7,18.75,3275,0
LFMDP.US,D,20220113,000000,19.36,19.5,19,19.5,1152,0
LFMDP.US,D,20220114,000000,19.4,19.4,19.4,19.4,1005,0
LFMDP.US,D,20220118,000000,19.36,19.36,18.45,19.2,2465,0
LFMDP.US,D,20220119,000000,19.25,19.386,19.16,19.16,402,0
LFMDP.US,D,20220120,000000,18.52,19.2047,17.99,18.3,7651,0
LFMDP.US,D,20220121,000000,18,18,17.95,18,8658,0
LFMDP.US,D,20220124,000000,17.85,17.99,17.37,17.99,671,0
LFMDP.US,D,20220125,000000,17.97,18.61,17.97,18.59,1079,0
LFMDP.US,D,20220126,000000,18.067,18.6,18.067,18.6,200,0
LFMDP.US,D,20220127,000000,17.78,18.43,17.75,17.75,7337,0
LFMDP.US,D,20220128,000000,17.75,18.19,17.75,17.75,2583,0
LFMDP.US,D,20220131,000000,18.4,18.4,17.8,17.8,415,0
LFMDP.US,D,20220201,000000,18.16,18.3,18.075,18.3,1300,0
LFMDP.US,D,20220202,000000,18.15,18.15,17.9,17.9,540,0
LFMDP.US,D,20220203,000000,17.9,17.9,17.31,17.31,4712,0
LFMDP.US,D,20220204,000000,17.32,17.32,17.3,17.3,1189,0
LFMDP.US,D,20220207,000000,18.3095,18.3095,17.51,18.15,11702,0
LFMDP.US,D,20220208,000000,18.3,18.3,18.25,18.29,2650,0
LFMDP.US,D,20220209,000000,18.1,18.3,18.033,18.25,6638,0
LFMDP.US,D,20220210,000000,18.11,18.4,17.9,17.9999,4016,0
LFMDP.US,D,20220211,000000,18.25,18.25,18.1,18.25,3394,0
LFMDP.US,D,20220214,000000,18.2,18.25,18,18.2494,2696,0
LFMDP.US,D,20220215,000000,18.3,18.3,18,18.25,4824,0
LFMDP.US,D,20220216,000000,18,18.25,18,18.25,939,0
LFMDP.US,D,20220217,000000,18.26,18.26,18.2599,18.2599,1138,0
LFMDP.US,D,20220218,000000,18.02,18.25,17.8,18.25,3655,0
LFMDP.US,D,20220222,000000,18.2604,18.3,18,18.0799,3449,0
LFMDP.US,D,20220223,000000,17.9,17.9,17.7,17.7,4399,0
LFMDP.US,D,20220224,000000,18,18.0001,18,18,3202,0
LFMDP.US,D,20220225,000000,18.048,18.24,17.792,18.2399,7731,0
LFMDP.US,D,20220301,000000,18,18.29,17.5,18.2399,5108,0
LFMDP.US,D,20220302,000000,18.23,18.24,18.2,18.24,1700,0
LFMDP.US,D,20220303,000000,18.176,18.176,18.032,18.032,528,0
LFMDP.US,D,20220304,000000,17.98,17.99,17.94,17.99,732,0
LFMDP.US,D,20220307,000000,17.9002,17.9002,17.32,17.9,1127,0
LFMDP.US,D,20220309,000000,17.5,17.9899,17.5,17.9886,4983,0
LFMDP.US,D,20220310,000000,17.78,17.99,17.76,17.99,944,0
LFMDP.US,D,20220311,000000,17.5084,17.99,17.5084,17.99,500,0
LFMDP.US,D,20220314,000000,17.63,17.9899,17.5,17.9899,954,0
LFMDP.US,D,20220316,000000,17.99,17.99,17.5021,17.8,2500,0
LFMDP.US,D,20220317,000000,17.9899,17.99,17.86,17.9899,3043,0
LFMDP.US,D,20220318,000000,17.4333,17.8999,17.4333,17.8942,744,0
LFMDP.US,D,20220321,000000,17.85,17.85,17.5,17.85,7993,0
LFMDP.US,D,20220323,000000,17.85,17.99,17.85,17.85,3114,0
LFMDP.US,D,20220324,000000,17.6766,17.86,17.6766,17.86,576,0
LFMDP.US,D,20220325,000000,17.65,17.8,17.6,17.7999,2472,0
LFMDP.US,D,20220328,000000,17.94,17.96,17.7499,17.7499,1193,0
LFMDP.US,D,20220329,000000,17.9,17.9692,17.81,17.9,5526,0
LFMDP.US,D,20220330,000000,17.9,17.9,17.9,17.9,1330,0
LFMDP.US,D,20220331,000000,17.902,18,17.86,18,2155,0
LFMDP.US,D,20220401,000000,18,18.625,18,18.6,13485,0
LFMDP.US,D,20220404,000000,18.55,18.55,17.53,18.1499,7721,0
LFMDP.US,D,20220405,000000,17.996,18,17.68,17.75,4007,0
LFMDP.US,D,20220406,000000,17.75,17.94,17.75,17.8,1505,0
LFMDP.US,D,20220407,000000,17.8501,17.9,17.85,17.9,2401,0
LFMDP.US,D,20220408,000000,18,18.0002,17.51,17.65,3049,0
LFMDP.US,D,20220412,000000,17.7,17.78,17.499,17.78,1044,0
LFMDP.US,D,20220413,000000,17.52,17.52,17.47,17.47,737,0
LFMDP.US,D,20220414,000000,17.99,17.99,17.64,17.99,415,0
LFMDP.US,D,20220418,000000,17.82,17.83,17.8,17.8,1903,0
LFMDP.US,D,20220419,000000,17.3501,17.7899,17.35,17.7899,2190,0
LFMDP.US,D,20220420,000000,17.4476,17.7,17.3,17.31,5063,0
LFMDP.US,D,20220421,000000,17.43,17.565,17.2791,17.45,908,0
LFMDP.US,D,20220422,000000,17.14,17.14,16.75,17.0475,3103,0
LFMDP.US,D,20220425,000000,16.91,17,16.75,17,2784,0
LFMDP.US,D,20220426,000000,16.75,16.95,16.75,16.95,975,0
LFMDP.US,D,20220427,000000,16.8,16.9,16.7719,16.9,923,0
LFMDP.US,D,20220428,000000,16.75,16.7899,16.6,16.7,12021,0
LFMDP.US,D,20220429,000000,16.6,16.7,16.6,16.7,1215,0
LFMDP.US,D,20220502,000000,16.62,16.7396,16.6,16.6,664,0
LFMDP.US,D,20220503,000000,16.65,16.7391,16.65,16.65,2193,0
LFMDP.US,D,20220504,000000,16.65,16.7,16.61,16.7,3096,0
LFMDP.US,D,20220505,000000,16.68,16.7,16.68,16.7,2875,0
LFMDP.US,D,20220506,000000,16.74,16.74,16.65,16.65,2336,0
