<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
METC.US,D,20170203,000000,10.3513,10.5148,9.60406,9.63993,5402168,0
METC.US,D,20170206,000000,9.63993,9.70365,9.2484,9.2484,1356675,0
METC.US,D,20170207,000000,9.2484,9.31218,8.89271,9.10639,900430,0
METC.US,D,20170208,000000,8.97793,9.10639,8.62223,8.64379,415458,0
METC.US,D,20170209,000000,8.60793,8.82883,8.40924,8.45876,767395,0
METC.US,D,20170210,000000,8.23144,8.53696,8.11451,8.45876,1032152,0
METC.US,D,20170213,000000,8.46592,9.2484,8.38054,8.64379,364710,0
METC.US,D,20170214,000000,8.58713,8.84313,7.83982,7.93236,610043,0
METC.US,D,20170215,000000,7.96821,8.25218,7.82552,8.03925,839072,0
METC.US,D,20170216,000000,7.96821,8.42363,7.80044,7.89649,221259,0
METC.US,D,20170217,000000,7.82552,8.0464,7.64049,7.78316,337500,0
METC.US,D,20170221,000000,7.74731,8.03925,7.74731,7.96821,207453,0
METC.US,D,20170222,000000,7.83268,8.03925,7.75454,7.81835,242417,0
METC.US,D,20170223,000000,7.69074,7.93952,7.69074,7.83982,144456,0
METC.US,D,20170224,000000,7.82552,7.8757,7.70504,7.76886,94676.4,0
METC.US,D,20170227,000000,7.733,7.90366,7.64764,7.75454,172728,0
METC.US,D,20170228,000000,7.75454,7.89938,7.69074,7.75454,282611,0
METC.US,D,20170301,000000,7.80398,8.50177,7.80398,8.47308,536841,0
METC.US,D,20170302,000000,8.53696,9.31923,8.50177,8.88548,504689,0
METC.US,D,20170303,000000,8.9572,9.63993,8.94997,9.2484,433785,0
METC.US,D,20170306,000000,9.25552,9.43337,8.95794,9.12787,200717,0
METC.US,D,20170307,000000,9.12065,9.34799,8.65884,8.77216,208107,0
METC.US,D,20170308,000000,8.56558,8.77216,7.17148,7.55511,518550,0
METC.US,D,20170309,000000,7.40604,7.7617,7.27042,7.61253,404668,0
METC.US,D,20170310,000000,7.46984,7.7904,7.36297,7.46261,440937,0
METC.US,D,20170313,000000,7.61969,7.70504,7.19944,7.54081,252189,0
METC.US,D,20170314,000000,7.48416,7.69788,7.26397,7.52716,161432,0
METC.US,D,20170315,000000,7.5057,7.61969,7.26397,7.53365,212477,0
METC.US,D,20170316,000000,7.53365,7.57666,7.07896,7.29196,195839,0
METC.US,D,20170317,000000,7.36297,7.46261,6.7941,6.95777,360182,0
METC.US,D,20170320,000000,7.04311,7.04311,6.27475,6.42413,428519,0
METC.US,D,20170321,000000,6.4669,6.68742,6.09269,6.58779,267176,0
METC.US,D,20170322,000000,6.60916,6.60916,6.21788,6.26767,278865,0
METC.US,D,20170323,000000,6.29612,6.40285,6.11827,6.30322,222651,0
METC.US,D,20170324,000000,6.26767,6.3459,6.09269,6.225,129359,0
METC.US,D,20170327,000000,6.17514,6.53802,6.06843,6.28903,387953,0
METC.US,D,20170328,000000,6.3317,7.14996,6.3317,7.1141,642260,0
METC.US,D,20170329,000000,6.83657,7.8757,6.71588,7.30628,572381,0
METC.US,D,20170330,000000,7.30628,7.733,7.17148,7.46261,341541,0
METC.US,D,20170331,000000,7.42033,7.42033,6.71588,6.87959,1042054,0
METC.US,D,20170403,000000,6.93626,7.23964,6.76566,6.77273,351979,0
METC.US,D,20170404,000000,6.80119,7.14278,6.4669,6.57359,296534,0
METC.US,D,20170405,000000,6.49527,6.97211,6.49527,6.67314,367281,0
METC.US,D,20170406,000000,6.72297,6.81577,6.65181,6.70161,172311,0
METC.US,D,20170407,000000,6.74786,6.8581,6.62337,6.71588,286783,0
METC.US,D,20170410,000000,6.75144,6.76566,6.32461,6.33879,188032,0
METC.US,D,20170411,000000,6.30322,6.43131,6.28186,6.40285,165512,0
METC.US,D,20170412,000000,6.43131,6.43131,6.08271,6.12537,277114,0
METC.US,D,20170413,000000,6.16805,6.28903,5.83371,5.9404,201583,0
METC.US,D,20170417,000000,6.04713,6.04713,5.40686,5.4993,268537,0
METC.US,D,20170418,000000,5.4922,5.61312,5.27879,5.34992,190810,0
METC.US,D,20170419,000000,5.39259,5.39969,4.99421,5.08665,179651,0
METC.US,D,20170420,000000,5.1294,5.29299,5.02268,5.1507,149224,0
METC.US,D,20170421,000000,5.10094,5.17915,5.05108,5.1436,61210.5,0
METC.US,D,20170424,000000,5.19336,5.46375,5.16497,5.39969,668252,0
METC.US,D,20170425,000000,5.46375,5.6274,5.3801,5.46375,142443,0
METC.US,D,20170426,000000,5.42816,5.63448,5.42816,5.55624,139190,0
METC.US,D,20170427,000000,5.51357,5.69852,5.50641,5.58472,171985,0
METC.US,D,20170428,000000,5.58472,5.79097,5.51357,5.52066,223817,0
METC.US,D,20170501,000000,5.55624,5.55624,5.22893,5.26452,321997,0
METC.US,D,20170502,000000,5.22893,5.32856,4.92308,5.28588,305656,0
METC.US,D,20170503,000000,5.27879,5.32145,5.01551,5.08665,185037,0
METC.US,D,20170504,000000,5.08665,5.18627,4.57089,4.58866,274597,0
METC.US,D,20170505,000000,4.63135,4.73088,4.30524,4.35394,254154,0
METC.US,D,20170508,000000,4.37525,4.38234,4.16183,4.32548,403169,0
METC.US,D,20170509,000000,4.33969,4.34679,4.16893,4.22588,188309,0
METC.US,D,20170510,000000,4.24007,4.26144,4.02665,4.17608,325402,0
METC.US,D,20170511,000000,4.31118,4.59577,4.11204,4.34679,380002,0
METC.US,D,20170512,000000,4.37525,4.61713,4.35394,4.49623,502238,0
METC.US,D,20170515,000000,4.63853,4.79498,4.42509,4.56738,396067,0
METC.US,D,20170516,000000,4.57447,4.57447,4.08359,4.20099,401692,0
METC.US,D,20170517,000000,4.16183,4.74523,4.16183,4.51753,604346,0
METC.US,D,20170518,000000,4.51753,4.56021,4.36815,4.48906,201756,0
METC.US,D,20170519,000000,4.51753,4.79498,4.36815,4.63853,320837,0
METC.US,D,20170522,000000,4.65272,5.13649,4.65272,5.03689,262878,0
METC.US,D,20170523,000000,5.07955,5.47443,5.00835,5.27169,301727,0
METC.US,D,20170524,000000,5.32145,5.33565,4.82348,4.89461,257305,0
METC.US,D,20170525,000000,4.96575,5.02268,4.67406,4.73811,290551,0
METC.US,D,20170526,000000,4.75231,4.94883,4.48906,4.67406,280615,0
METC.US,D,20170530,000000,4.64561,4.87316,4.56738,4.58866,255351,0
METC.US,D,20170531,000000,4.48196,4.67406,4.38952,4.46776,238388,0
METC.US,D,20170601,000000,4.33969,4.52463,4.33969,4.36815,98138.7,0
METC.US,D,20170602,000000,4.38234,4.49614,4.16893,4.1903,299703,0
METC.US,D,20170605,000000,4.16183,4.26144,3.93421,3.96976,339726,0
METC.US,D,20170606,000000,3.95548,4.21167,3.91992,4.16183,148863,0
METC.US,D,20170607,000000,4.14763,4.21877,4.06221,4.09779,138427,0
METC.US,D,20170608,000000,3.91282,4.09068,3.74916,3.89864,278801,0
METC.US,D,20170609,000000,3.90574,4.03382,3.79902,3.8417,73439.5,0
METC.US,D,20170612,000000,3.8488,4.11204,3.73499,3.77764,136963,0
METC.US,D,20170613,000000,3.79192,4.05512,3.67802,3.79192,159541,0
METC.US,D,20170614,000000,3.79902,3.97293,3.69942,3.72788,175610,0
METC.US,D,20170615,000000,3.76345,3.77053,3.56422,3.65673,249512,0
METC.US,D,20170616,000000,3.62825,3.76345,3.5785,3.64249,178685,0
METC.US,D,20170619,000000,3.64964,3.82748,3.64964,3.69942,101327,0
METC.US,D,20170620,000000,3.67093,3.77764,3.5856,3.69231,102305,0
METC.US,D,20170621,000000,3.69942,3.81321,3.67093,3.7136,221365,0
METC.US,D,20170622,000000,3.7136,4.05512,3.7136,3.98396,184634,0
METC.US,D,20170623,000000,3.90574,3.94123,3.73499,3.89145,440362,0
METC.US,D,20170626,000000,3.90574,4.01245,3.78476,3.85588,128679,0
METC.US,D,20170627,000000,3.85588,4.51007,3.61406,4.10494,416129,0
METC.US,D,20170628,000000,4.13336,4.33969,3.98396,4.14053,297489,0
METC.US,D,20170629,000000,4.12626,4.52463,3.87726,4.43219,426835,0
METC.US,D,20170630,000000,4.47485,4.60294,4.16183,4.3041,310167,0
METC.US,D,20170703,000000,4.33258,4.56021,4.1903,4.2899,63263.1,0
METC.US,D,20170705,000000,4.16893,4.26855,4.09068,4.12626,80629.1,0
METC.US,D,20170706,000000,3.95548,4.49623,3.77053,4.25432,285507,0
METC.US,D,20170707,000000,4.27564,4.35394,4.13336,4.1832,85470.5,0
METC.US,D,20170710,000000,4.09779,4.40373,4.09779,4.28282,97788.7,0
METC.US,D,20170711,000000,4.26144,4.49623,4.09068,4.49623,82754.2,0
METC.US,D,20170712,000000,4.49623,4.5531,4.28452,4.51041,120650,0
METC.US,D,20170713,000000,4.47485,4.51753,4.27564,4.43929,82213.1,0
METC.US,D,20170714,000000,4.38952,4.53891,4.38952,4.49623,51332.5,0
METC.US,D,20170717,000000,4.56738,4.84484,4.39661,4.65982,239852,0
METC.US,D,20170718,000000,4.63135,4.70966,4.56379,4.69538,141040,0
METC.US,D,20170719,000000,4.72036,5.07955,4.72036,5.05825,100790,0
METC.US,D,20170720,000000,5.03021,5.03689,4.79498,4.79498,144654,0
METC.US,D,20170721,000000,4.91597,4.91597,4.60294,4.73811,312540,0
METC.US,D,20170724,000000,4.97287,4.97287,4.62425,4.68118,80488.2,0
METC.US,D,20170725,000000,4.68118,4.90172,4.61713,4.82348,216358,0
METC.US,D,20170726,000000,4.7737,4.93727,4.48196,4.8875,215814,0
METC.US,D,20170727,000000,4.8875,4.89146,4.70966,4.75231,144289,0
METC.US,D,20170728,000000,4.7879,4.80926,4.35394,4.44637,218699,0
METC.US,D,20170731,000000,4.44637,4.76653,4.35747,4.48906,217246,0
METC.US,D,20170801,000000,4.52463,4.73095,4.50547,4.59577,149075,0
METC.US,D,20170802,000000,4.60294,4.69538,4.51753,4.64561,201040,0
METC.US,D,20170803,000000,4.69538,4.94437,4.58866,4.73811,281699,0
METC.US,D,20170804,000000,4.83057,5.32504,4.7737,5.04398,442660,0
METC.US,D,20170807,000000,5.11512,5.42816,5.11512,5.31434,276275,0
METC.US,D,20170808,000000,5.42107,5.59893,5.20763,5.57046,295997,0
METC.US,D,20170809,000000,5.6487,5.6487,5.27879,5.40686,165827,0
METC.US,D,20170810,000000,5.37121,5.51357,5.30009,5.33565,96273,0
METC.US,D,20170811,000000,5.30726,5.47801,5.05825,5.12223,176407,0
METC.US,D,20170814,000000,5.10094,5.16497,4.70966,4.83767,268704,0
METC.US,D,20170815,000000,4.62425,5.25032,4.5247,4.68829,222689,0
METC.US,D,20170816,000000,4.76653,4.82348,4.61003,4.76653,92186,0
METC.US,D,20170817,000000,4.74523,4.99421,4.74523,4.98712,148659,0
METC.US,D,20170818,000000,4.94437,5.05108,4.91597,4.98712,124324,0
METC.US,D,20170821,000000,5.03689,5.22893,4.98712,5.07246,205758,0
METC.US,D,20170822,000000,5.18627,5.33565,5.16497,5.28588,130356,0
METC.US,D,20170823,000000,5.22893,5.90486,5.22893,5.60602,311486,0
METC.US,D,20170824,000000,5.6487,5.71981,5.48152,5.50641,104677,0
METC.US,D,20170825,000000,5.52777,5.74829,5.42107,5.67714,328230,0
METC.US,D,20170828,000000,5.71271,5.90486,5.62381,5.78389,189079,0
METC.US,D,20170829,000000,5.71271,5.84791,5.54913,5.63448,205069,0
METC.US,D,20170830,000000,5.63448,5.77676,5.52066,5.57752,70964.4,0
METC.US,D,20170831,000000,5.57752,5.83371,5.39969,5.52777,172960,0
METC.US,D,20170901,000000,5.47801,5.73869,5.47801,5.57046,303029,0
METC.US,D,20170905,000000,5.52777,5.67714,5.34282,5.46375,204924,0
METC.US,D,20170906,000000,5.46375,5.66297,5.35702,5.39969,171339,0
METC.US,D,20170907,000000,5.37121,5.59183,5.25032,5.33565,241604,0
METC.US,D,20170908,000000,5.34282,5.47084,5.17206,5.2432,295010,0
METC.US,D,20170911,000000,5.33565,5.63448,5.16497,5.18627,179306,0
METC.US,D,20170912,000000,5.15781,5.22658,4.95155,4.96575,137437,0
METC.US,D,20170913,000000,5.00132,5.27879,4.91597,5.05825,150731,0
METC.US,D,20170914,000000,5.1507,5.1507,4.94796,5.05108,100164,0
METC.US,D,20170915,000000,5.02979,5.02979,4.92308,4.95866,283188,0
METC.US,D,20170918,000000,4.91597,5.01551,4.83767,4.86613,140609,0
METC.US,D,20170919,000000,4.88041,4.99421,4.65272,4.79498,58795.4,0
METC.US,D,20170920,000000,4.92308,5.02268,4.62782,4.90172,155394,0
METC.US,D,20170921,000000,4.8875,4.92308,4.75231,4.81635,86909.5,0
METC.US,D,20170922,000000,4.75943,5.03689,4.74163,4.84484,200357,0
METC.US,D,20170925,000000,4.87322,5.02268,4.87322,4.94437,161717,0
METC.US,D,20170926,000000,4.97995,5.02979,4.82348,4.83767,114315,0
