<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MFLX.US,D,20160930,000000,17.2788,17.2788,17.256,17.265,1864.446153049,0
MFLX.US,D,20161003,000000,17.1984,17.1984,17.1984,17.1984,100.67203850157,0
MFLX.US,D,20161005,000000,17.0753,17.0753,17.0753,17.0753,1161.7553243081,0
MFLX.US,D,20161007,000000,17.1101,17.1101,17.0415,17.0851,1069.1370488866,0
MFLX.US,D,20161012,000000,16.9282,16.9282,16.9282,16.9282,807.38974878256,0
MFLX.US,D,20161014,000000,16.7325,16.7325,16.6431,16.6431,1513.1007386785,0
MFLX.US,D,20161017,000000,16.4852,16.4852,16.4852,16.4852,100.67203850157,0
MFLX.US,D,20161019,000000,16.6332,16.6709,16.6332,16.6709,1635.9206256505,0
MFLX.US,D,20161026,000000,16.6253,16.6253,16.6253,16.6253,100.67203850157,0
MFLX.US,D,20161031,000000,16.3978,16.3978,16.3978,16.3978,1158.735163153,0
MFLX.US,D,20161104,000000,16.4326,16.4326,16.4326,16.4326,304.02955627473,0
MFLX.US,D,20161108,000000,16.4772,16.4772,16.4504,16.4504,2324.5173690012,0
MFLX.US,D,20161111,000000,15.8743,15.9151,15.8743,15.9061,1214.1047843289,0
MFLX.US,D,20161116,000000,15.8197,15.8197,15.8197,15.8197,1158.735163153,0
MFLX.US,D,20161117,000000,15.7512,15.7512,15.7412,15.7412,1509.0738571385,0
MFLX.US,D,20161118,000000,15.6648,15.6648,15.6528,15.6648,2216.7982878045,0
MFLX.US,D,20161122,000000,15.7929,15.7929,15.7929,15.7929,649.3346483351,0
MFLX.US,D,20161123,000000,15.7084,15.7084,15.7084,15.7084,1393.3010128617,0
MFLX.US,D,20161128,000000,15.7512,15.7512,15.7512,15.7512,3184.2565778045,0
MFLX.US,D,20161130,000000,15.632,15.632,15.632,15.632,2378.880269792,0
MFLX.US,D,20161201,000000,15.5365,15.5365,15.5365,15.5365,588.93142523416,0
MFLX.US,D,20161202,000000,15.5009,15.5365,15.473,15.5365,5027.5616027682,0
MFLX.US,D,20161205,000000,15.5365,15.5365,15.5365,15.5365,2204.7176431843,0
MFLX.US,D,20161206,000000,15.6985,15.6985,15.6717,15.6717,803.3628672425,0
MFLX.US,D,20161207,000000,15.8853,15.9249,15.8853,15.9249,452.01745287203,0
MFLX.US,D,20161208,000000,15.8753,15.8753,15.8753,15.8753,1183.9031727784,0
MFLX.US,D,20161209,000000,15.8385,15.8385,15.772,15.772,34011.041487369,0
MFLX.US,D,20161213,000000,15.777,15.8385,15.777,15.8385,33369.760602114,0
MFLX.US,D,20161214,000000,15.9161,15.9161,15.9091,15.9091,931.21635613949,0
MFLX.US,D,20161215,000000,15.7512,15.777,15.7512,15.775,8113.1595828412,0
MFLX.US,D,20161216,000000,15.768,15.7929,15.768,15.7929,3480.2323709992,0
MFLX.US,D,20161219,000000,15.8296,15.8296,15.7988,15.8028,4422.5226513738,0
MFLX.US,D,20161222,000000,15.8385,15.8465,15.8296,15.8385,4039.9689050679,0
MFLX.US,D,20161227,000000,15.8207,15.8555,15.8207,15.8555,314262.86898841,0
MFLX.US,D,20161228,000000,15.8028,17.6166,15.8028,15.9637,47167.870199139,0
MFLX.US,D,20170104,000000,16.1266,16.1753,16.0342,16.0342,133409.57870189,0
MFLX.US,D,20170105,000000,16.0114,16.0988,16.0114,16.0988,64149.229653584,0
