<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MRAL.US,D,20250307,000000,25.8299,28.55,24.65,28.2485,25155,0
MRAL.US,D,20250310,000000,25.2,25.74,19.5,19.655,35834,0
MRAL.US,D,20250311,000000,18.12,19.4945,17.03,18.5199,57251,0
MRAL.US,D,20250312,000000,19.27,19.27,17.41,18.0755,4626,0
MRAL.US,D,20250313,000000,18.3,18.3,15.3501,15.3561,21711,0
MRAL.US,D,20250314,000000,16.43,18.045,16.279,17.9401,13946,0
MRAL.US,D,20250317,000000,18.08,18.25,16.35,17.3813,18547,0
MRAL.US,D,20250318,000000,16.2,16.2,14.9273,14.9273,27225,0
MRAL.US,D,20250319,000000,15.49,16.7984,15.16,16.0225,30533,0
MRAL.US,D,20250320,000000,16.09,17.41,15.5,15.9564,28405,0
MRAL.US,D,20250321,000000,15.27,15.88,14.9406,15.6423,42179,0
MRAL.US,D,20250324,000000,17,21.3491,16.85,21.3491,68202,0
MRAL.US,D,20250325,000000,21.12,21.29,19.415,20.28,78681,0
MRAL.US,D,20250326,000000,19.9269,19.9269,18.21,18.95,35368,0
MRAL.US,D,20250327,000000,18.2973,19.659,17.575,18.53,27714,0
MRAL.US,D,20250328,000000,17.74,17.74,15.14,15.34,44270,0
MRAL.US,D,20250331,000000,13.85,13.98,12.51,12.95,61683,0
MRAL.US,D,20250401,000000,13.11,13.8096,12.03,13.71,80543,0
MRAL.US,D,20250402,000000,13.35,15.5,13.35,15.05,71248,0
MRAL.US,D,20250403,000000,12.21,12.96,11.97,12.16,40371,0
MRAL.US,D,20250404,000000,11.35,12.27,9.21,12.27,114776,0
