<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MSFL.US,D,20240320,000000,25.69,26.0089,25.52,26.0089,5431,0
MSFL.US,D,20240321,000000,27,27.37,26.4557,26.57,9470,0
MSFL.US,D,20240322,000000,26.46,26.76,26.13,26.4892,16981,0
MSFL.US,D,20240325,000000,26.16,26.66,25.56,25.6725,9527,0
MSFL.US,D,20240326,000000,25.81,25.93,25.5484,25.5484,11610,0
MSFL.US,D,20240327,000000,25.6301,25.7462,25.24,25.4672,27951,0
MSFL.US,D,20240328,000000,25.33,25.5,25.27,25.4356,5198,0
MSFL.US,D,20240401,000000,25.68,26.05,25.53,25.8525,70190,0
MSFL.US,D,20240402,000000,25.4,25.575,25.03,25.4354,39374,0
MSFL.US,D,20240403,000000,25.24,25.63,25.21,25.2881,17700,0
MSFL.US,D,20240404,000000,25.81,26.33,25.04,25.06,15364,0
MSFL.US,D,20240405,000000,25.3101,26.07,25.3101,25.9916,18867,0
MSFL.US,D,20240408,000000,25.98,25.99,25.74,25.84,16451,0
MSFL.US,D,20240409,000000,26.04,26.16,25.4719,26.05,13933,0
MSFL.US,D,20240410,000000,25.5,25.72,25.25,25.702,45165,0
MSFL.US,D,20240411,000000,26.02,26.36,25.55,26.219,47811,0
MSFL.US,D,20240412,000000,25.75,25.75,25.22,25.46,113092,0
MSFL.US,D,20240415,000000,25.8582,26,24.45,24.4692,21836,0
MSFL.US,D,20240416,000000,24.37,24.96,24.37,24.5406,23388,0
MSFL.US,D,20240417,000000,24.9125,24.9125,24.12,24.2907,7543,0
MSFL.US,D,20240418,000000,24.1,24.16,23.31,23.31,13107,0
MSFL.US,D,20240419,000000,23.16,23.35,22.58,22.71,22632,0
MSFL.US,D,20240422,000000,22.89,23.099,22.359,22.91,11572,0
MSFL.US,D,20240423,000000,23.2,23.7,23.17,23.65,22521,0
MSFL.US,D,20240424,000000,23.95,24.13,23.57,23.79,34157,0
MSFL.US,D,20240425,000000,22.14,22.73,21.5,22.73,137636,0
MSFL.US,D,20240426,000000,24.21,24.21,23.45,23.4597,97550,0
MSFL.US,D,20240429,000000,23.23,23.23,22.63,22.93,33008,0
MSFL.US,D,20240430,000000,22.8,22.8,21.48,21.48,39354,0
MSFL.US,D,20240501,000000,21.73,22.81,21.69,22.1,23100,0
MSFL.US,D,20240502,000000,22.2,22.4905,22.13,22.42,10726,0
MSFL.US,D,20240503,000000,22.98,23.411,22.98,23.3891,36039,0
MSFL.US,D,20240506,000000,23.4038,24.2,23.379,24.1784,22751,0
MSFL.US,D,20240507,000000,24.19,24.19,23.6819,23.6819,21578,0
MSFL.US,D,20240508,000000,23.44,23.9805,23.43,23.81,14480,0
MSFL.US,D,20240509,000000,23.759,24.0203,23.66,23.9883,15965,0
MSFL.US,D,20240510,000000,24.11,24.32,23.94,24.2895,37250,0
MSFL.US,D,20240513,000000,24.68,24.68,23.818,24.1176,36570,0
MSFL.US,D,20240514,000000,23.86,24.55,23.86,24.4919,17671,0
MSFL.US,D,20240515,000000,24.92,25.38,24.659,25.313,24894,0
MSFL.US,D,20240516,000000,25.23,25.521,25,25.05,23721,0
MSFL.US,D,20240517,000000,25.25,25.25,24.7095,24.881,23292,0
MSFL.US,D,20240520,000000,24.95,25.6515,24.95,25.4595,23790,0
MSFL.US,D,20240521,000000,25.8,26.4,25.49,25.9766,34007,0
MSFL.US,D,20240522,000000,26.17,26.33,25.8192,26.1301,44685,0
MSFL.US,D,20240523,000000,26.34,26.3851,25.52,25.7,42383,0
MSFL.US,D,20240524,000000,25.705,26.15,25.39,26.0375,23868,0
MSFL.US,D,20240528,000000,25.92,25.9978,25.79,25.9978,15332,0
MSFL.US,D,20240529,000000,25.615,26.079,25.615,25.8914,15373,0
MSFL.US,D,20240530,000000,25.38,25.38,24.15,24.17,51597,0
MSFL.US,D,20240531,000000,24.29,24.29,23,24.2,38619,0
MSFL.US,D,20240603,000000,24.31,24.31,23.54,23.9541,20572,0
MSFL.US,D,20240604,000000,23.79,24.32,23.6,24.3084,19579,0
MSFL.US,D,20240605,000000,24.34,25.21,24.3399,25.21,27256,0
MSFL.US,D,20240606,000000,25.3,25.3,24.84,25.2616,31125,0
MSFL.US,D,20240607,000000,25.141,25.429,25.051,25.1941,31709,0
MSFL.US,D,20240610,000000,25.15,25.61,25.15,25.5908,24167,0
MSFL.US,D,20240611,000000,25.5,26.19,25.31,26.19,25951,0
MSFL.US,D,20240612,000000,26.53,27.4799,26.38,27.28,64860,0
MSFL.US,D,20240613,000000,27.19,27.429,26.99,27.19,178140,0
MSFL.US,D,20240614,000000,26.89,27.4,26.7,27.345,29063,0
MSFL.US,D,20240617,000000,27.25,28.37,27.13,28.07,100151,0
MSFL.US,D,20240618,000000,28.32,28.32,27.7,27.79,33648,0
MSFL.US,D,20240620,000000,27.72,27.7805,27.25,27.6572,143481,0
MSFL.US,D,20240621,000000,27.76,28.229,27.75,28.1888,21035,0
MSFL.US,D,20240624,000000,28.15,28.5,27.75,27.84,35950,0
MSFL.US,D,20240625,000000,27.89,28.305,27.801,28.305,35258,0
MSFL.US,D,20240626,000000,27.9,28.6383,27.9,28.4648,115209,0
MSFL.US,D,20240627,000000,28.6,28.95,28.45,28.5361,79202,0
MSFL.US,D,20240628,000000,28.3688,28.8035,27.7411,27.86,32939,0
MSFL.US,D,20240701,000000,27.7821,29.07,27.61,29.0122,41899,0
MSFL.US,D,20240702,000000,28.64,29.29,28.595,29.29,40940,0
MSFL.US,D,20240703,000000,29.26,29.47,29.111,29.4394,27912,0
MSFL.US,D,20240705,000000,29.41,30.4,29.41,30.305,47522,0
MSFL.US,D,20240708,000000,30.3,30.3,29.91,30.05,55546,0
MSFL.US,D,20240709,000000,30.14,30.1467,29.08,29.26,179948,0
MSFL.US,D,20240710,000000,29.57,30.14,29.16,30.14,53079,0
MSFL.US,D,20240711,000000,29.79,29.8722,28.11,28.68,94203,0
MSFL.US,D,20240712,000000,28.4,28.8,28.06,28.4227,59622,0
MSFL.US,D,20240715,000000,28.43,28.889,28.19,28.47,68971,0
MSFL.US,D,20240716,000000,28.36,28.529,27.63,27.92,40764,0
MSFL.US,D,20240717,000000,27.12,27.32,26.68,27.16,41437,0
MSFL.US,D,20240718,000000,27.34,27.34,26.12,26.84,35223,0
MSFL.US,D,20240719,000000,25.85,26.82,25.7507,26.35,64915,0
MSFL.US,D,20240722,000000,27.01,27.27,26.6098,27.12,48961,0
MSFL.US,D,20240723,000000,27.1437,27.69,27.1437,27.31,30267,0
MSFL.US,D,20240724,000000,26.76,26.76,25.161,25.4,39232,0
MSFL.US,D,20240725,000000,25.271,25.271,24,24.1,62612,0
MSFL.US,D,20240726,000000,24.14,25.2,24,24.86,61295,0
MSFL.US,D,20240729,000000,25.61,25.61,24.85,25.08,52741,0
MSFL.US,D,20240730,000000,25.11,25.25,23.97,24.58,252483,0
MSFL.US,D,20240731,000000,24.35,24.3928,23.35,23.95,235446,0
MSFL.US,D,20240801,000000,24.37,25.1083,23.5501,23.9,134249,0
MSFL.US,D,20240802,000000,23.22,23.5694,22.4,22.85,92937,0
MSFL.US,D,20240805,000000,20.7,22.0017,20.37,21.37,117481,0
MSFL.US,D,20240806,000000,21.95,22.4715,21.87,21.9009,93909,0
MSFL.US,D,20240807,000000,22.8,22.98,21.63,21.73,55488,0
MSFL.US,D,20240808,000000,22.12,22.5199,21.941,22.24,51451,0
MSFL.US,D,20240809,000000,22.33,22.6745,22.2,22.56,32202,0
MSFL.US,D,20240812,000000,22.62,22.8,22.4203,22.77,70036,0
MSFL.US,D,20240813,000000,22.98,23.5099,22.98,23.39,123652,0
MSFL.US,D,20240814,000000,23.63,23.8099,23.2942,23.73,33128,0
MSFL.US,D,20240815,000000,24.16,24.29,23.9,24.29,60068,0
MSFL.US,D,20240816,000000,24.155,24.23,23.8522,23.9613,51323,0
MSFL.US,D,20240819,000000,24.1,24.32,23.82,24.2648,32113,0
MSFL.US,D,20240820,000000,24.44,24.755,24.3607,24.72,59436,0
MSFL.US,D,20240821,000000,24.62,24.81,24.4,24.56,52382,0
MSFL.US,D,20240822,000000,24.7,24.84,23.47,23.64,41302,0
MSFL.US,D,20240823,000000,23.7101,23.9888,23.19,23.66,41590,0
MSFL.US,D,20240826,000000,23.74,23.74,23.121,23.2761,34582,0
MSFL.US,D,20240827,000000,23.1,23.4,23.04,23.4,38264,0
