<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NCPL.US,D,20220713,000000,210,210,158.2,182.7,12777.314298492,0
NCPL.US,D,20220714,000000,168,206.5,168,199.493,5658.5571485157,0
NCPL.US,D,20220715,000000,205.8,232.4,198.8,227.5,5321.6285767502,0
NCPL.US,D,20220718,000000,238,238,196,210,2385.2142880995,0
NCPL.US,D,20220719,000000,214.9,245,200.2,233.1,3636.2285750648,0
NCPL.US,D,20220720,000000,245,248.339,225.4,240.8,1351.1857156369,0
NCPL.US,D,20220721,000000,245,245,212.1,225.75,915.3000009153,0
NCPL.US,D,20220722,000000,219.1,231.7,205.1,211.232,1013.7571438709,0
NCPL.US,D,20220725,000000,223.559,223.559,210,219.1,475.8142861901,0
NCPL.US,D,20220726,000000,213.038,220.423,210,214.2,286.0571431432,0
NCPL.US,D,20220727,000000,221.2,221.2,200.704,204.4,1695.2714302667,0
NCPL.US,D,20220728,000000,213.5,216.293,209.993,212.765,995.0571438522,0
NCPL.US,D,20220729,000000,216.3,270.9,200.2,210,12511.52858394,0
NCPL.US,D,20220801,000000,200.9,226.163,200.9,215.6,1890.3857161761,0
NCPL.US,D,20220802,000000,226.8,244.3,210.7,228.9,1382.8000013828,0
NCPL.US,D,20220803,000000,233.1,268.793,212.1,226.1,4908.5000049085,0
NCPL.US,D,20220804,000000,242.2,277.9,227.5,242.9,7084.8428642277,0
NCPL.US,D,20220805,000000,252,272.3,243.6,246.4,1476.8714300483,0
NCPL.US,D,20220808,000000,253.4,270.2,246.4,254.8,2988.3142887026,0
NCPL.US,D,20220809,000000,261.8,270.2,227.5,258.3,2199.6285736282,0
NCPL.US,D,20220810,000000,252,276.5,234.5,241.374,2417.2714309887,0
NCPL.US,D,20220811,000000,244.3,257.166,235.2,249.2,798.9000007989,0
NCPL.US,D,20220812,000000,242.2,252,218.4,224,1532.5000015325,0
NCPL.US,D,20220815,000000,240.1,245,219.1,219.1,721.7857150075,0
NCPL.US,D,20220816,000000,224.028,231,210,213.5,1418.0285728466,0
NCPL.US,D,20220817,000000,207.9,221.9,193.2,210,1428.3714299998,0
NCPL.US,D,20220818,000000,213.5,232.4,198.555,223.993,1135.4857154212,0
NCPL.US,D,20220819,000000,224,238,219.8,223.804,1130.5285725591,0
NCPL.US,D,20220822,000000,223.3,230.3,200.9,217,1181.7714297532,0
NCPL.US,D,20220823,000000,214.2,217.077,210,216.993,286.9428574298,0
NCPL.US,D,20220824,000000,212.1,217.7,205.1,205.8,316.8857146026,0
NCPL.US,D,20220825,000000,222.6,258.293,217.707,252.7,2055.8000020558,0
NCPL.US,D,20220826,000000,280,310.8,212.45,222.6,15178.814300893,0
NCPL.US,D,20220829,000000,235.2,315,227.5,298.2,27289.457170147,0
NCPL.US,D,20220830,000000,304.5,310.1,254.828,269.5,11784.500011784,0
NCPL.US,D,20220831,000000,277.9,277.9,246.4,260.4,4632.0857189178,0
NCPL.US,D,20220901,000000,236.6,258.3,218.4,233.1,5917.6857202034,0
NCPL.US,D,20220902,000000,212.8,225.393,201.852,210.7,2749.6571456068,0
NCPL.US,D,20220906,000000,215.6,215.6,196,196,1342.1000013421,0
NCPL.US,D,20220907,000000,196.7,208.6,196.196,207.2,607.9857148937,0
NCPL.US,D,20220908,000000,201.6,221.2,201.6,216.3,329.8000003298,0
NCPL.US,D,20220909,000000,222.6,222.6,197.54,207.9,695.6142864099,0
NCPL.US,D,20220912,000000,213.5,230.3,195.3,218.4,5319.3142910336,0
