<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NMRA.US,D,20230915,000000,16.5,17.7394,15.5,16.25,3046901,0
NMRA.US,D,20230918,000000,16.15,16.38,14.12,14.8,1446575,0
NMRA.US,D,20230919,000000,14.64,14.99,11.26,11.98,815020,0
NMRA.US,D,20230920,000000,12.8,13.0394,9.9,10.13,954757,0
NMRA.US,D,20230921,000000,10.35,12.01,10.01,11.01,998665,0
NMRA.US,D,20230922,000000,11.01,11.53,10.465,11.03,771019,0
NMRA.US,D,20230925,000000,10.84,12.149,10.5,11.4,509396,0
NMRA.US,D,20230926,000000,11.4,12.0499,11.35,11.71,273899,0
NMRA.US,D,20230927,000000,11.71,14,11.71,11.82,285679,0
NMRA.US,D,20230928,000000,11.82,14.24,11.82,13.22,366774,0
NMRA.US,D,20230929,000000,13.22,14.2,13.22,14.11,357428,0
NMRA.US,D,20231002,000000,14.4,14.7789,10.7,11.01,677587,0
NMRA.US,D,20231003,000000,11.01,12.0399,10.5266,11.86,185830,0
NMRA.US,D,20231004,000000,11.84,12.15,11.1,11.91,124826,0
NMRA.US,D,20231005,000000,12.04,12.3909,11.7701,12.01,106735,0
NMRA.US,D,20231006,000000,12.05,12.82,11.91,12.14,151346,0
NMRA.US,D,20231009,000000,12.62,13.1287,11.25,11.94,300162,0
NMRA.US,D,20231010,000000,12.2,12.3488,10.5511,11.17,477193,0
NMRA.US,D,20231011,000000,11.39,11.4,9.95,10.08,512642,0
NMRA.US,D,20231012,000000,10.05,10.21,9.35,9.64,373151,0
NMRA.US,D,20231013,000000,9.73,10.1828,9.65,9.91,224537,0
NMRA.US,D,20231016,000000,10.08,11.61,9.955,10.98,310656,0
NMRA.US,D,20231017,000000,11.06,11.06,9.8,9.97,200064,0
NMRA.US,D,20231018,000000,9.97,10.2799,9.73,9.87,95908,0
NMRA.US,D,20231019,000000,9.76,10.19,9.65,9.91,316413,0
NMRA.US,D,20231020,000000,9.95,11.35,9.77,10.48,326743,0
NMRA.US,D,20231023,000000,10.28,11.29,9.6,9.78,269709,0
NMRA.US,D,20231024,000000,9.75,10.89,9.701,10.79,219032,0
NMRA.US,D,20231025,000000,10.87,11.8,10.375,11.67,262722,0
NMRA.US,D,20231026,000000,11.59,13.36,11.1111,12.29,321148,0
NMRA.US,D,20231027,000000,12.15,12.4888,11.57,11.67,384153,0
NMRA.US,D,20231030,000000,11.99,11.99,10.705,10.97,331745,0
NMRA.US,D,20231031,000000,11.02,11.4389,10.5,10.92,344200,0
NMRA.US,D,20231101,000000,10.75,11.07,10.46,10.79,130779,0
NMRA.US,D,20231102,000000,10.75,11.1396,10.74,10.92,171325,0
NMRA.US,D,20231103,000000,10.88,11.85,10.8413,11.85,181160,0
NMRA.US,D,20231106,000000,11.99,11.99,11.33,11.41,230736,0
NMRA.US,D,20231107,000000,11.54,12.2,11.335,11.6,209155,0
NMRA.US,D,20231108,000000,12.09,12.195,10.5,10.63,427518,0
NMRA.US,D,20231109,000000,10.63,10.95,10.4,10.6,228597,0
NMRA.US,D,20231110,000000,10.62,11.9,10.5576,11.58,144993,0
NMRA.US,D,20231113,000000,11.54,12,10.924,11.96,165251,0
NMRA.US,D,20231114,000000,12.36,12.67,11.8,11.86,190794,0
NMRA.US,D,20231115,000000,12.2,12.515,11.92,12.01,250174,0
NMRA.US,D,20231116,000000,12.3,12.5,11.82,12,151419,0
NMRA.US,D,20231117,000000,11.83,12.44,11.83,12.03,209488,0
NMRA.US,D,20231120,000000,12.03,12.31,11.7,11.85,167661,0
NMRA.US,D,20231121,000000,11.7068,12.03,11.66,11.69,141040,0
NMRA.US,D,20231122,000000,12.14,12.14,11.76,11.91,137980,0
NMRA.US,D,20231124,000000,11.98,12.29,11.82,11.92,97356,0
NMRA.US,D,20231127,000000,12.07,12.1,11.9055,11.91,138439,0
NMRA.US,D,20231128,000000,11.83,12.135,11.8,12.08,131054,0
NMRA.US,D,20231129,000000,12.02,12.4699,11.885,12.13,208639,0
NMRA.US,D,20231130,000000,12.72,12.9999,11.8,12.25,220755,0
NMRA.US,D,20231201,000000,12.24,12.4099,11.87,12.33,232481,0
NMRA.US,D,20231204,000000,12.8,12.8,10,11.79,518714,0
NMRA.US,D,20231205,000000,11.77,12.3,11.51,12.1,358969,0
NMRA.US,D,20231206,000000,11.6043,12.16,11.6043,11.78,146308,0
NMRA.US,D,20231207,000000,12.13,12.6,11.84,12.48,294469,0
NMRA.US,D,20231208,000000,12.48,12.73,12.28,12.58,211640,0
NMRA.US,D,20231211,000000,12.62,13.035,12.32,12.97,223904,0
NMRA.US,D,20231212,000000,13,13.16,11.51,12.99,281204,0
NMRA.US,D,20231213,000000,13,14.28,12.715,14.25,456256,0
NMRA.US,D,20231214,000000,14.64,14.86,13.89,14.63,200237,0
NMRA.US,D,20231215,000000,15.1,15.72,14.1573,14.61,3167967,0
NMRA.US,D,20231218,000000,14.44,14.87,13.81,14.69,247625,0
NMRA.US,D,20231219,000000,14.52,15.19,13.34,14.55,186287,0
NMRA.US,D,20231220,000000,14.3,15.45,14.3,14.48,192522,0
NMRA.US,D,20231221,000000,14.5,15.02,13.93,13.99,190405,0
NMRA.US,D,20231222,000000,14.9,19.3,14.57,17.5,959003,0
NMRA.US,D,20231226,000000,17.38,18.2794,17.36,17.51,351668,0
NMRA.US,D,20231227,000000,17.98,18.4999,17.56,17.9,204129,0
NMRA.US,D,20231228,000000,17.85,17.9453,16.7,17.14,159692,0
NMRA.US,D,20231229,000000,16.97,17.89,16.95,17.05,223393,0
NMRA.US,D,20240102,000000,17.18,17.325,16.6701,16.9,187399,0
NMRA.US,D,20240103,000000,17.51,17.51,15.43,15.7,359526,0
NMRA.US,D,20240104,000000,15.99,16.62,15.815,16.39,134680,0
NMRA.US,D,20240105,000000,16.47,16.47,15.73,15.94,173911,0
NMRA.US,D,20240108,000000,15.8,15.99,14.7178,15.62,215966,0
NMRA.US,D,20240109,000000,15.33,16.07,15.09,15.6,258362,0
NMRA.US,D,20240110,000000,15.43,15.815,15.41,15.6,169224,0
NMRA.US,D,20240111,000000,15.5,15.88,15.04,15.25,189504,0
NMRA.US,D,20240112,000000,15.25,15.76,14.34,14.4,117766,0
NMRA.US,D,20240116,000000,14.11,14.2354,13.535,14.05,172536,0
NMRA.US,D,20240117,000000,13.87,14.29,13.73,14.18,186473,0
NMRA.US,D,20240118,000000,14.27,14.85,14.07,14.66,191937,0
NMRA.US,D,20240119,000000,14.69,14.9,14.04,14.25,302322,0
NMRA.US,D,20240122,000000,14.32,15.69,14.32,15.66,168965,0
NMRA.US,D,20240123,000000,16.06,16.26,15.67,16.23,157250,0
NMRA.US,D,20240124,000000,16.39,16.4199,15,15.3,133437,0
NMRA.US,D,20240125,000000,15,15.46,15,15.1,159090,0
NMRA.US,D,20240126,000000,15.27,15.87,15,15.42,124004,0
NMRA.US,D,20240129,000000,15.27,15.93,15.0502,15.69,120616,0
NMRA.US,D,20240130,000000,15.79,16.369,15.61,15.88,140361,0
NMRA.US,D,20240131,000000,16.2,16.39,14.9,14.9,168067,0
NMRA.US,D,20240201,000000,14.87,15.73,14.5,15.25,142161,0
NMRA.US,D,20240202,000000,15.28,15.84,14.8259,15.36,413483,0
NMRA.US,D,20240205,000000,15.11,15.75,14.93,15.18,263513,0
NMRA.US,D,20240206,000000,14.96,16.13,14.401,16.12,281420,0
NMRA.US,D,20240207,000000,16,17.08,15.6484,16.97,200683,0
NMRA.US,D,20240208,000000,17,17.52,16.97,17.45,173816,0
NMRA.US,D,20240209,000000,17.77,18.49,17.2663,18.42,208668,0
NMRA.US,D,20240212,000000,18.45,18.49,17.77,18.06,226031,0
NMRA.US,D,20240213,000000,17.49,18.11,17.46,17.72,225752,0
NMRA.US,D,20240214,000000,17.61,19.9,17.6,18.07,486805,0
NMRA.US,D,20240215,000000,18.15,19.13,16.77,18.81,305708,0
NMRA.US,D,20240216,000000,18.9,19.82,18.47,19.76,197047,0
NMRA.US,D,20240220,000000,19.65,19.7684,18.03,18.44,310576,0
NMRA.US,D,20240221,000000,18.31,18.663,17.75,17.99,265422,0
NMRA.US,D,20240222,000000,18.04,19.4,17.63,18.82,223009,0
NMRA.US,D,20240223,000000,18.85,19.67,18.615,19.28,192497,0
NMRA.US,D,20240226,000000,19.06,19.49,18.09,18.54,237172,0
NMRA.US,D,20240227,000000,18.68,19.18,18.0877,18.57,258969,0
NMRA.US,D,20240228,000000,18.38,18.9,17.245,17.69,340566,0
NMRA.US,D,20240229,000000,18.26,18.67,17.14,17.63,354866,0
NMRA.US,D,20240301,000000,17.8,18.22,17.245,18.05,422976,0
NMRA.US,D,20240304,000000,18.4,18.945,17.26,17.38,160389,0
NMRA.US,D,20240305,000000,17.11,17.668,16.6601,17.32,182725,0
NMRA.US,D,20240306,000000,17.48,18.49,17.29,18.4,268188,0
NMRA.US,D,20240307,000000,18.86,19.46,18.38,19,117894,0
NMRA.US,D,20240308,000000,19.63,21,17.83,18,409733,0
NMRA.US,D,20240311,000000,17.95,18.46,17.56,18.05,262532,0
NMRA.US,D,20240312,000000,18.06,18.61,17.325,17.35,820532,0
NMRA.US,D,20240313,000000,15.98,16.12,13.41,14.81,3838589,0
NMRA.US,D,20240314,000000,14.85,15.35,14.36,15.13,887568,0
NMRA.US,D,20240315,000000,15.15,15.865,14.94,15.09,647792,0
NMRA.US,D,20240318,000000,14.98,15.04,14.02,14.16,1009189,0
NMRA.US,D,20240319,000000,14.09,14.77,13.78,14.03,1387287,0
NMRA.US,D,20240320,000000,13.98,14.55,13.85,13.99,656549,0
NMRA.US,D,20240321,000000,13.93,14.22,13.56,13.98,790318,0
NMRA.US,D,20240322,000000,14.03,14.05,13,13.21,1045818,0
NMRA.US,D,20240325,000000,12.93,13.32,12.2502,12.44,1547406,0
NMRA.US,D,20240326,000000,12.5,13.1,12.36,12.61,455391,0
NMRA.US,D,20240327,000000,12.74,13.21,12.44,12.61,924680,0
NMRA.US,D,20240328,000000,12.98,13.83,12.6,13.75,960306,0
NMRA.US,D,20240401,000000,13.91,14.67,13.6,13.94,923468,0
NMRA.US,D,20240402,000000,13.81,14.03,13.12,13.77,660486,0
NMRA.US,D,20240403,000000,13.65,14.21,12.97,13.3,550748,0
NMRA.US,D,20240404,000000,13.5,14.165,13.215,13.73,379925,0
NMRA.US,D,20240405,000000,13.81,14.66,13.59,14.33,726843,0
NMRA.US,D,20240408,000000,14.25,14.87,13.94,14.7,569194,0
NMRA.US,D,20240409,000000,14.7,14.95,14.26,14.54,482309,0
NMRA.US,D,20240410,000000,14.36,14.71,14.01,14.67,469413,0
NMRA.US,D,20240411,000000,14.75,14.75,13.58,14.01,462480,0
NMRA.US,D,20240412,000000,13.95,13.97,13.44,13.56,231165,0
NMRA.US,D,20240415,000000,11.08,12.35,10.73,11.19,1992950,0
NMRA.US,D,20240416,000000,11.15,11.646,10.9,10.96,745132,0
NMRA.US,D,20240417,000000,11.03,11.275,10.24,10.47,606855,0
NMRA.US,D,20240418,000000,10.57,10.9062,10.22,10.55,404261,0
NMRA.US,D,20240419,000000,10.56,10.72,9.96,10.18,784213,0
NMRA.US,D,20240422,000000,10.28,10.7,9.98,10.41,487138,0
NMRA.US,D,20240423,000000,10.32,10.74,10.29,10.3,328683,0
NMRA.US,D,20240424,000000,10.3,10.465,9.48,9.59,598717,0
NMRA.US,D,20240425,000000,9.48,9.8065,8.98,9.06,804136,0
NMRA.US,D,20240426,000000,8.94,9.31,8.82,9.15,677291,0
NMRA.US,D,20240429,000000,9.19,9.74,9.19,9.46,410799,0
NMRA.US,D,20240430,000000,9.49,9.62,9.04,9.09,283534,0
NMRA.US,D,20240501,000000,9.13,9.49,8.9,9.1,499254,0
NMRA.US,D,20240502,000000,9.23,9.265,8.84,9.22,1073483,0
NMRA.US,D,20240503,000000,9.22,9.66,9.21,9.25,378385,0
NMRA.US,D,20240506,000000,9.37,9.42,9,9.35,441654,0
NMRA.US,D,20240507,000000,9.35,9.91,9,9.81,483967,0
NMRA.US,D,20240508,000000,9.6,9.815,9.13,9.42,428339,0
NMRA.US,D,20240509,000000,9.46,10.15,9.33,9.77,411602,0
NMRA.US,D,20240510,000000,9.85,9.97,9.02,9.19,292694,0
NMRA.US,D,20240513,000000,9.28,9.46,8.9,8.96,717534,0
NMRA.US,D,20240514,000000,9.02,9.62,8.9,9.58,588397,0
NMRA.US,D,20240515,000000,9.59,9.71,9.36,9.67,684072,0
NMRA.US,D,20240516,000000,9.66,9.75,9.44,9.63,440266,0
NMRA.US,D,20240517,000000,9.65,9.7,9.38,9.67,320321,0
NMRA.US,D,20240520,000000,9.7,9.74,9.29,9.69,325671,0
NMRA.US,D,20240521,000000,9.65,9.805,9.42,9.45,374068,0
NMRA.US,D,20240522,000000,9.4,9.8,9.2,9.65,596126,0
NMRA.US,D,20240523,000000,9.7,9.78,9.28,9.31,570506,0
NMRA.US,D,20240524,000000,9.3,9.41,8.95,9.17,285744,0
NMRA.US,D,20240528,000000,9.39,9.58,9.05,9.51,858545,0
NMRA.US,D,20240529,000000,9.36,9.635,9.2675,9.51,462596,0
NMRA.US,D,20240530,000000,9.54,9.9,9.43,9.69,474476,0
NMRA.US,D,20240531,000000,9.7,9.93,9.62,9.9,515770,0
NMRA.US,D,20240603,000000,9.96,10.14,9.43,9.7,587565,0
NMRA.US,D,20240604,000000,9.69,10.22,9.5,10,526694,0
NMRA.US,D,20240605,000000,10.05,10.27,9.87,9.99,341230,0
NMRA.US,D,20240606,000000,9.99,10.15,9.8,9.93,302323,0
