<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NOEMW.US,D,20250117,000000,0.1,0.112,0.0901,0.11,65915,0
NOEMW.US,D,20250121,000000,0.1096,0.1096,0.0861,0.0902,1272,0
NOEMW.US,D,20250122,000000,0.0901,0.0999,0.0871,0.0871,1306,0
NOEMW.US,D,20250123,000000,0.0999,0.0999,0.0999,0.0999,100,0
NOEMW.US,D,20250124,000000,0.0951,0.0951,0.0951,0.0951,228,0
NOEMW.US,D,20250127,000000,0.0949,0.0949,0.05,0.0799,226513,0
NOEMW.US,D,20250128,000000,0.073205,0.0797,0.073205,0.0797,1268,0
NOEMW.US,D,20250129,000000,0.07,0.07,0.05,0.0699,291554,0
NOEMW.US,D,20250130,000000,0.07,0.075,0.0502,0.0502,4562,0
NOEMW.US,D,20250131,000000,0.06,0.06,0.06,0.06,923,0
NOEMW.US,D,20250203,000000,0.104,0.104,0.0601,0.0601,865,0
NOEMW.US,D,20250204,000000,0.0747,0.0747,0.07,0.07,978,0
NOEMW.US,D,20250207,000000,0.07,0.075,0.07,0.075,25186,0
NOEMW.US,D,20250214,000000,0.09,0.0952,0.0849,0.0899,30251,0
NOEMW.US,D,20250218,000000,0.1,0.1,0.099001,0.1,9434,0
NOEMW.US,D,20250220,000000,0.1,0.1,0.08,0.1,1415,0
NOEMW.US,D,20250224,000000,0.1,0.1,0.1,0.1,2032,0
NOEMW.US,D,20250226,000000,0.08,0.1,0.075,0.1,1060,0
NOEMW.US,D,20250312,000000,0.089999,0.09,0.0857,0.0857,9561,0
NOEMW.US,D,20250313,000000,0.085,0.09,0.085,0.089,82166,0
NOEMW.US,D,20250317,000000,0.1,0.1,0.1,0.1,20373,0
NOEMW.US,D,20250325,000000,0.1015,0.1015,0.1015,0.1015,996,0
NOEMW.US,D,20250401,000000,0.1125,0.1125,0.1125,0.1125,1080,0
NOEMW.US,D,20250402,000000,0.1,0.1,0.1,0.1,321,0
