<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NVEC.US,D,20050225,000000,13.6626,14.1765,13.6286,13.8302,317621.5283073,0
NVEC.US,D,20050228,000000,13.8302,14.0535,13.6816,13.7165,169861.95240399,0
NVEC.US,D,20050301,000000,13.799,13.9503,13.1461,13.5549,379624.22157104,0
NVEC.US,D,20050302,000000,13.5851,13.6816,12.9596,13.1801,409869.41202112,0
NVEC.US,D,20050303,000000,13.1394,13.4204,12.9653,13.1072,232251.44254061,0
NVEC.US,D,20050304,000000,13.2256,14.7281,13.0419,14.2588,815184.97779849,0
NVEC.US,D,20050307,000000,14.3865,14.5227,13.5671,13.6106,313629.91139789,0
NVEC.US,D,20050308,000000,13.743,13.9579,13.5927,13.7487,155744.9233662,0
NVEC.US,D,20050309,000000,13.7185,14.0478,13.5671,13.622,214784.28758205,0
NVEC.US,D,20050310,000000,13.5321,13.8047,13.1176,13.1233,355447.30337243,0
NVEC.US,D,20050311,000000,13.2217,13.5671,13.1139,13.2028,182812.24989079,0
NVEC.US,D,20050314,000000,13.1829,13.2577,12.5272,12.9775,239578.38986198,0
NVEC.US,D,20050315,000000,13.0532,13.0599,11.4324,11.5432,888647.84944864,0
NVEC.US,D,20050316,000000,11.4324,11.8525,11.2573,11.597,476950.13526888,0
NVEC.US,D,20050317,000000,11.5601,11.7578,10.6603,10.7568,865894.47056085,0
NVEC.US,D,20050318,000000,10.7644,10.9963,10.2837,10.7568,554162.61157737,0
NVEC.US,D,20050321,000000,10.6413,10.9328,10.2893,10.681,552899.70921923,0
NVEC.US,D,20050322,000000,10.7067,11.2942,10.594,10.7331,442645.69129776,0
NVEC.US,D,20050323,000000,10.6358,10.7824,10.4171,10.4833,235165.10095183,0
NVEC.US,D,20050324,000000,10.4833,10.6413,10.3404,10.3461,324094.56340659,0
NVEC.US,D,20050328,000000,10.3461,10.5808,10.1881,10.2969,219249.36077299,0
NVEC.US,D,20050329,000000,11.2384,12.4533,10.8846,11.1352,2788197.7807249,0
NVEC.US,D,20050330,000000,11.0984,11.3833,10.4047,10.6915,553307.64253323,0
NVEC.US,D,20050331,000000,10.6915,12.1193,10.5571,11.5667,886769.87665331,0
NVEC.US,D,20050401,000000,11.6878,12.1193,11.1287,11.2876,613906.87610525,0
NVEC.US,D,20050404,000000,11.2072,12.4373,11.1287,11.9509,605304.34456104,0
NVEC.US,D,20050405,000000,13.2217,13.5179,12.2603,12.3701,1613933.2021441,0
NVEC.US,D,20050406,000000,12.3142,12.7155,11.2621,11.3491,654066.1142723,0
NVEC.US,D,20050407,000000,11.2573,11.6519,11.1959,11.3359,427597.60202775,0
NVEC.US,D,20050408,000000,11.5005,11.6036,11.2139,11.3312,153070.10673987,0
NVEC.US,D,20050411,000000,11.3359,11.5469,10.7407,10.8485,398140.80083222,0
NVEC.US,D,20050412,000000,10.7407,11.0368,10.4729,10.8485,270372.07095965,0
NVEC.US,D,20050413,000000,11.0302,11.0302,10.5808,10.5808,265631.16721182,0
NVEC.US,D,20050414,000000,10.9148,11.0302,10.2392,10.3811,377888.9197534,0
NVEC.US,D,20050415,000000,10.2704,10.5013,9.60332,9.65631,479534.06519832,0
NVEC.US,D,20050418,000000,9.60616,10.1729,9.48787,9.9497,371236.22490441,0
NVEC.US,D,20050419,000000,10.1995,10.613,9.92981,10.3612,361224.94955819,0
NVEC.US,D,20050420,000000,9.85123,9.85123,9.02896,9.02896,575822.17963614,0
NVEC.US,D,20050421,000000,9.01287,9.21158,8.6884,8.993,457533.14361512,0
NVEC.US,D,20050422,000000,8.91512,9.00057,8.5459,8.67933,341282.71734208,0
