<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PDSB.US,D,20151001,000000,232,268.6,221.6,258.8,91515,0
PDSB.US,D,20151002,000000,258.8,363.8,241.2,349.6,20635,0
PDSB.US,D,20151005,000000,356.2,400,350,370.6,10958,0
PDSB.US,D,20151006,000000,380.4,481.8,336,360,7490,0
PDSB.US,D,20151007,000000,356,369.8,340,355.8,4030,0
PDSB.US,D,20151008,000000,358,368,340,352.4,3115,0
PDSB.US,D,20151009,000000,360.2,360.2,345,352,855,0
PDSB.US,D,20151012,000000,352,391.8,328.2,373,4858,0
PDSB.US,D,20151013,000000,369.4,469.4,369.4,442.8,2215,0
PDSB.US,D,20151014,000000,441.4,517.4,413.2,425,7305,0
PDSB.US,D,20151015,000000,429,444.4,411.4,431,4115,0
PDSB.US,D,20151016,000000,427.8,440.2,422.8,438,6425,0
PDSB.US,D,20151019,000000,428.4,453,420.6,448.6,7235,0
PDSB.US,D,20151020,000000,456.2,469.8,430.6,469.8,5104,0
PDSB.US,D,20151021,000000,468.2,512.6,440,447.6,6560,0
PDSB.US,D,20151022,000000,442.4,460,401,438.8,4915,0
PDSB.US,D,20151023,000000,433.8,433.8,405.2,411.2,6615,0
PDSB.US,D,20151026,000000,417.4,436.4,385.6,405.8,5075,0
PDSB.US,D,20151027,000000,396.4,418.6,396.4,406,3195,0
PDSB.US,D,20151028,000000,420.6,420.6,405,417.6,2710,0
PDSB.US,D,20151029,000000,409.2,423,404,415,2630,0
PDSB.US,D,20151030,000000,419.4,443.4,356.4,357.6,5490,0
PDSB.US,D,20151102,000000,377.4,387.76,310,329.8,6231,0
PDSB.US,D,20151103,000000,328,384,327.2,379.8,4375,0
PDSB.US,D,20151104,000000,373.2,380.2,338,369.6,3117,0
PDSB.US,D,20151105,000000,359.8,377.6,323.8,338.2,3115,0
PDSB.US,D,20151106,000000,328.4,344,326.8,336.8,1675,0
PDSB.US,D,20151109,000000,338.8,356.4,329,340,3422,0
PDSB.US,D,20151110,000000,332,346.6,329,333,2840,0
PDSB.US,D,20151111,000000,338.8,352.4,326,328.6,1725,0
PDSB.US,D,20151112,000000,326.2,326.2,311,315.4,4645,0
PDSB.US,D,20151113,000000,310.8,319,292.2,301.2,3005,0
PDSB.US,D,20151116,000000,302.2,314.6,298,298.4,1895,0
PDSB.US,D,20151117,000000,300,308.4,292.2,298.2,3235,0
PDSB.US,D,20151118,000000,295.4,300,280.4,287.4,3030,0
PDSB.US,D,20151119,000000,285,298,282,283.4,3280,0
PDSB.US,D,20151120,000000,282.8,292.2,272.6,275.6,3790,0
PDSB.US,D,20151123,000000,277,287.6,275.2,279.8,7285,0
PDSB.US,D,20151124,000000,283.8,283.8,261.6,270,10130,0
PDSB.US,D,20151125,000000,255.4,280,250,270,4930,0
PDSB.US,D,20151127,000000,256.8,280,256.2,277.8,2120,0
PDSB.US,D,20151130,000000,280,285,265,277.6,3810,0
PDSB.US,D,20151201,000000,280.4,291,276.8,280.8,3046,0
PDSB.US,D,20151202,000000,281.8,281.8,263.8,272,1421,0
PDSB.US,D,20151203,000000,273.9,274,260.82,269.4,6465,0
PDSB.US,D,20151204,000000,269.4,275,251.2,260,7275,0
PDSB.US,D,20151207,000000,266.2,266.2,252.6,253,4220,0
PDSB.US,D,20151208,000000,253,264.4,250.94,258,3538,0
PDSB.US,D,20151209,000000,274.4,296.8,261,286,4705,0
PDSB.US,D,20151210,000000,283.8,294.2,268,271.4,5070,0
PDSB.US,D,20151211,000000,270,285,256.8,267,10210,0
PDSB.US,D,20151214,000000,270,277,232.2,245.6,8169,0
PDSB.US,D,20151215,000000,262.2,268.4,240.2,252,5430,0
PDSB.US,D,20151216,000000,254.6,262,232.2,249.8,9050,0
PDSB.US,D,20151217,000000,252.2,275,238.6,251.2,8110,0
PDSB.US,D,20151218,000000,244.6,275,240,251.2,62395,0
PDSB.US,D,20151221,000000,256.2,266,235.2,241.2,5635,0
PDSB.US,D,20151222,000000,243.4,258.6,232.2,256,6422,0
PDSB.US,D,20151223,000000,257,271.8,242.2,265,4360,0
PDSB.US,D,20151224,000000,263.8,263.8,253.2,260.2,1020,0
PDSB.US,D,20151228,000000,274.8,276,258.8,264.4,3449,0
PDSB.US,D,20151229,000000,261.6,267.6,245.8,257.2,4625,0
PDSB.US,D,20151230,000000,255,261.2,246,253,4177,0
PDSB.US,D,20151231,000000,254.2,261.4,245.2,250,5267,0
PDSB.US,D,20160104,000000,245.8,254,235,248,3602,0
PDSB.US,D,20160105,000000,248,277.2,241.8,268.6,2123,0
PDSB.US,D,20160106,000000,263.2,277.2,253.6,275.2,1165,0
PDSB.US,D,20160107,000000,269.6,269.6,241.6,252.2,2170,0
PDSB.US,D,20160108,000000,252.8,268,245.8,257,1193,0
PDSB.US,D,20160111,000000,257.8,265.3,236.8,243,3751,0
PDSB.US,D,20160112,000000,245,253,237.8,248.8,2253,0
PDSB.US,D,20160113,000000,247.2,252.8,235,236.6,2229,0
PDSB.US,D,20160114,000000,240.2,243.4,227,228.4,1893,0
