<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RILYZ.US,D,20210810,000000,25.01,25.045,24.88,24.9825,249108,0
RILYZ.US,D,20210811,000000,24.98,25.03,24.972,25.02,168000,0
RILYZ.US,D,20210812,000000,25.03,25.09,24.96,24.98,158938,0
RILYZ.US,D,20210813,000000,25.035,25.06,24.98,25.02,134311,0
RILYZ.US,D,20210816,000000,25.02,25.06,24.94,25.04,97052,0
RILYZ.US,D,20210817,000000,25.04,25.05,24.99,25.02,121722,0
RILYZ.US,D,20210818,000000,25.01,25.04,24.93,25.01,89422,0
RILYZ.US,D,20210819,000000,24.98,25.02,24.95,24.99,91129,0
RILYZ.US,D,20210820,000000,25.01,25.02,24.96,25.01,105154,0
RILYZ.US,D,20210823,000000,25.02,25.04,25,25.01,160889,0
RILYZ.US,D,20210824,000000,25.05,25.05,25.005,25.03,102611,0
RILYZ.US,D,20210825,000000,25.02,25.1,25.01,25.08,155657,0
RILYZ.US,D,20210826,000000,25.15,25.15,25.06,25.1,172844,0
RILYZ.US,D,20210827,000000,25.1,25.11,25.079,25.1,97991,0
RILYZ.US,D,20210830,000000,25.09,25.09,24.945,25.02,461112,0
RILYZ.US,D,20210831,000000,25.05,25.0803,24.55,24.69,1254814,0
RILYZ.US,D,20210901,000000,24.85,25,24.83,24.995,519758,0
RILYZ.US,D,20210902,000000,25,25.05,24.98,25.03,160827,0
RILYZ.US,D,20210903,000000,25.05,25.05,24.9975,25.02,73615,0
RILYZ.US,D,20210907,000000,25.05,25.06,25,25.05,131181,0
RILYZ.US,D,20210908,000000,25.04,26,25.01,25.05,118847,0
RILYZ.US,D,20210909,000000,25.05,25.12,25.02,25.03,145715,0
RILYZ.US,D,20210910,000000,25.05,25.08,25.04,25.05,217425,0
RILYZ.US,D,20210913,000000,25.07,25.1,25.05,25.09,369131,0
RILYZ.US,D,20210914,000000,25.1,25.11,25.05,25.07,449022,0
RILYZ.US,D,20210915,000000,25.05,25.09,25.01,25.04,116273,0
RILYZ.US,D,20210916,000000,25.08,25.08,25.03,25.06,168520,0
RILYZ.US,D,20210917,000000,25.06,25.0887,25.04,25.05,77513,0
RILYZ.US,D,20210920,000000,25,25.05,25,25.02,54330,0
RILYZ.US,D,20210921,000000,25.05,25.09,25.04,25.04,60748,0
RILYZ.US,D,20210922,000000,25.05,25.09,25,25.07,86804,0
RILYZ.US,D,20210923,000000,25.1,25.19,24.97,25.08,148564,0
RILYZ.US,D,20210924,000000,25.05,25.08,25,25.03,55595,0
RILYZ.US,D,20210927,000000,25.05,25.11,25.02,25.05,83488,0
RILYZ.US,D,20210928,000000,25.04,25.09,24.98,25,69332,0
RILYZ.US,D,20210929,000000,25.05,25.0999,25,25.05,73762,0
RILYZ.US,D,20210930,000000,25.05,25.24,24.98,25.2,565586,0
RILYZ.US,D,20211001,000000,25.2,25.2,25.1,25.13,42784,0
RILYZ.US,D,20211004,000000,25.12,25.12,24.995,25.01,58387,0
RILYZ.US,D,20211005,000000,25.04,25.11,25.02,25.03,92278,0
RILYZ.US,D,20211006,000000,25.05,25.08,24.96,25.04,67148,0
RILYZ.US,D,20211007,000000,25.05,25.1,25.03,25.05,102962,0
RILYZ.US,D,20211008,000000,25.05,25.05,25,25.05,52957,0
RILYZ.US,D,20211011,000000,25.05,25.1457,25.05,25.06,35425,0
RILYZ.US,D,20211012,000000,25.05,25.1299,25.05,25.07,37631,0
RILYZ.US,D,20211013,000000,25.07,25.15,25.07,25.11,123887,0
RILYZ.US,D,20211014,000000,24.94,25.0199,24.9,24.97,81545,0
RILYZ.US,D,20211015,000000,24.97,25.0099,24.94,24.96,41122,0
RILYZ.US,D,20211018,000000,24.95,25,24.93,24.99,45294,0
RILYZ.US,D,20211019,000000,24.99,25.0301,24.98,25,58459,0
RILYZ.US,D,20211020,000000,25.04,25.04,25,25.01,57461,0
RILYZ.US,D,20211021,000000,25.04,25.04,24.98,25,55213,0
RILYZ.US,D,20211022,000000,25.04,25.15,25,25.04,272974,0
RILYZ.US,D,20211025,000000,25.07,25.1,25.01,25.05,112050,0
RILYZ.US,D,20211026,000000,25.05,25.0591,24.97,25,84751,0
RILYZ.US,D,20211027,000000,25,25.0299,24.96,24.98,85457,0
RILYZ.US,D,20211028,000000,25,25.0492,24.9721,24.99,94052,0
RILYZ.US,D,20211029,000000,25,25.05,24.97,24.98,89664,0
RILYZ.US,D,20211101,000000,25,25.04,24.97,24.98,130204,0
RILYZ.US,D,20211102,000000,25,25.04,24.97,24.99,74845,0
RILYZ.US,D,20211103,000000,25,25.01,24.97,24.98,90169,0
RILYZ.US,D,20211104,000000,25,25.0366,24.98,25.01,94989,0
RILYZ.US,D,20211105,000000,24.99,25.02,24.99,25,52681,0
RILYZ.US,D,20211108,000000,25,25.04,24.96,24.97,93450,0
RILYZ.US,D,20211109,000000,25,25.01,24.98,24.99,50199,0
RILYZ.US,D,20211110,000000,25,25.01,24.8601,24.9499,73390,0
RILYZ.US,D,20211111,000000,24.9,25,24.88,24.93,49627,0
RILYZ.US,D,20211112,000000,24.98,25.04,24.94,25,43114,0
RILYZ.US,D,20211115,000000,24.99,25,24.99,24.99,29640,0
RILYZ.US,D,20211116,000000,25,25.03,24.92,25,55003,0
RILYZ.US,D,20211117,000000,25,25,24.91,24.98,65926,0
RILYZ.US,D,20211118,000000,25,25,24.9,24.96,53012,0
RILYZ.US,D,20211119,000000,24.98,24.99,24.9057,24.94,56003,0
RILYZ.US,D,20211122,000000,24.95,24.959,24.9,24.93,29912,0
RILYZ.US,D,20211123,000000,24.93,25.03,24.9,25,61476,0
RILYZ.US,D,20211124,000000,25.06,25.06,24.93,24.93,41661,0
RILYZ.US,D,20211126,000000,24.9963,24.9963,24.88,24.9,17119,0
RILYZ.US,D,20211129,000000,24.99,24.99,24.86,24.9,60642,0
RILYZ.US,D,20211130,000000,24.915,25.06,24.8,25.04,111743,0
RILYZ.US,D,20211201,000000,25.04,25.04,24.9324,24.99,31045,0
RILYZ.US,D,20211202,000000,25.02,25.02,24.91,24.96,64379,0
RILYZ.US,D,20211203,000000,24.97,24.99,24.928,24.95,40498,0
RILYZ.US,D,20211206,000000,24.95,24.967,24.8,24.88,73519,0
RILYZ.US,D,20211207,000000,24.93,24.93,24.78,24.8,77010,0
RILYZ.US,D,20211208,000000,24.78,24.87,24.74,24.8,46493,0
