<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SHBI.US,D,20050301,000000,19.0196,19.0196,19.0196,19.0196,357.5225147612,0
SHBI.US,D,20050302,000000,18.724,18.7417,18.6092,18.7417,3417.3448348257,0
SHBI.US,D,20050303,000000,18.8606,19.0254,18.8606,19.0254,1071.5489616204,0
SHBI.US,D,20050307,000000,18.6348,18.6602,18.6348,18.6602,4389.0726954586,0
SHBI.US,D,20050309,000000,18.6348,18.8773,18.6348,18.8773,4110.9996284222,0
SHBI.US,D,20050310,000000,18.6435,18.6435,18.6435,18.6435,358.54109742433,0
SHBI.US,D,20050311,000000,19.0107,19.0107,18.6916,18.7928,43375.32412704,0
SHBI.US,D,20050314,000000,18.6348,18.6348,18.2588,18.2588,8400.2512228934,0
SHBI.US,D,20050315,000000,18.2763,18.2763,18.0781,18.0849,988.0251832432,0
SHBI.US,D,20050316,000000,18.1045,18.4266,18.1045,18.2498,6967.1054158592,0
SHBI.US,D,20050317,000000,17.9651,17.9651,17.9651,17.9651,175.19621805962,0
SHBI.US,D,20050318,000000,18.5267,18.5267,18.5267,18.5267,175.19621805962,0
SHBI.US,D,20050321,000000,18.188,18.6435,18.188,18.4639,3436.6979054253,0
SHBI.US,D,20050323,000000,18.2057,18.2411,17.974,18.2411,41236.300534451,0
SHBI.US,D,20050328,000000,18.2411,18.2411,17.974,17.974,537.8116461365,0
SHBI.US,D,20050330,000000,18.0466,18.0466,17.8542,17.8542,721.15652550122,0
SHBI.US,D,20050331,000000,17.6274,17.6274,17.3997,17.3997,2499.601855339,0
SHBI.US,D,20050401,000000,17.3496,17.3496,17.3496,17.3496,175.19621805962,0
SHBI.US,D,20050404,000000,17.3909,17.3909,17.0982,17.0982,718.10077751181,0
SHBI.US,D,20050405,000000,17.063,17.1837,16.845,17.1759,3665.8790046312,0
SHBI.US,D,20050406,000000,17.1759,17.1759,17.1759,17.1759,175.19621805962,0
SHBI.US,D,20050407,000000,17.7954,17.7954,17.4497,17.5165,1960.7716265393,0
SHBI.US,D,20050408,000000,17.8787,17.9043,17.6845,17.7954,2499.601855339,0
SHBI.US,D,20050411,000000,17.9043,17.9043,17.6039,17.6511,2499.601855339,0
SHBI.US,D,20050412,000000,17.9043,17.9043,17.3496,17.6039,12154.746919218,0
SHBI.US,D,20050413,000000,17.3496,17.3496,17.2573,17.2573,4644.7369439062,0
