<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SHFS.US,D,20210823,000000,197.6,208.8,197.2,200,20101.5,0
SHFS.US,D,20210824,000000,201.8,213.4,198.6,198.6,45,0
SHFS.US,D,20210825,000000,198.2,198.2,198,198,112.7,0
SHFS.US,D,20210831,000000,198.2,198.2,198.2,198.2,195.35000000000002,0
SHFS.US,D,20210901,000000,198.2,198.2,198.2,198.2,890,0
SHFS.US,D,20210903,000000,199,199,199,199,1293.9,0
SHFS.US,D,20210907,000000,198.2,199.3,198.2,199.3,15.65,0
SHFS.US,D,20210910,000000,199.4,199.4,199.4,199.4,1255.3500000000001,0
SHFS.US,D,20210914,000000,199.2,199.2,195.2,198.6,1453.9,0
SHFS.US,D,20210916,000000,198.6,199.2,198,199.2,11241.650000000001,0
SHFS.US,D,20210920,000000,199.4,199.4,199.4,199.4,30.6,0
SHFS.US,D,20210921,000000,199.2,199.2,199.2,199.2,3702.3,0
SHFS.US,D,20210923,000000,199.6,199.6,199.6,199.6,120,0
SHFS.US,D,20210927,000000,200,200,200,200,207.35000000000002,0
SHFS.US,D,20210928,000000,199.8,200.8,199.8,200.6,186.8,0
SHFS.US,D,20210929,000000,199.6,199.6,199.6,199.6,87.95,0
SHFS.US,D,20210930,000000,200.2,200.2,200.2,200.2,13.3,0
SHFS.US,D,20211001,000000,199.8,200.6,199.8,200.6,197.25,0
SHFS.US,D,20211004,000000,201.6,201.6,201.6,201.6,24.400000000000002,0
SHFS.US,D,20211005,000000,201.2,201.2,201.2,201.2,7.550000000000001,0
SHFS.US,D,20211006,000000,200,200,200,200,8.200000000000001,0
SHFS.US,D,20211007,000000,200.6,200.6,200.6,200.6,12.600000000000001,0
SHFS.US,D,20211014,000000,201.2,201.2,200.2,200.2,12501.300000000001,0
SHFS.US,D,20211025,000000,202,202.9,201,201,1527.65,0
SHFS.US,D,20211027,000000,201.6,201.6,201.6,201.6,5.1000000000000005,0
SHFS.US,D,20211029,000000,200.8,201.2,200.2,200.2,100.35000000000001,0
SHFS.US,D,20211110,000000,200.2,200.2,200.2,200.2,15.05,0
SHFS.US,D,20211116,000000,203.1,205.798,201.6,202.514,621.35,0
SHFS.US,D,20211117,000000,202.6,202.6,202,202.3,236.95000000000002,0
SHFS.US,D,20211118,000000,202.4,204.798,202.2,202.4,77.80000000000001,0
SHFS.US,D,20211119,000000,202.2,222.6,200.4,201.9,499.40000000000003,0
SHFS.US,D,20211122,000000,202,202,201.6,201.6,117.60000000000001,0
SHFS.US,D,20211123,000000,201.8,201.8,201.8,201.8,32.4,0
SHFS.US,D,20211124,000000,201,201.4,201,201,176.20000000000002,0
SHFS.US,D,20211129,000000,201.8,201.8,200.6,201.8,186.55,0
SHFS.US,D,20211130,000000,201.2,202.6,200.8,200.804,613.95,0
SHFS.US,D,20211201,000000,201.382,201.382,200,200,209.95000000000002,0
SHFS.US,D,20211206,000000,200.2,200.2,200.2,200.2,1301.9,0
SHFS.US,D,20211207,000000,200.4,200.4,200.2,200.2,1105.05,0
SHFS.US,D,20211208,000000,200,201.064,200,201.064,72.75,0
SHFS.US,D,20211209,000000,200,201.2,200,201,125.7,0
