<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SIGI.US,D,20050225,000000,18.5881,18.7681,18.4416,18.7227,216982.79986755,0
SIGI.US,D,20050228,000000,18.7534,18.7534,18.3011,18.5356,185383.87314222,0
SIGI.US,D,20050301,000000,18.5178,18.8385,18.5178,18.8385,249978.21908543,0
SIGI.US,D,20050302,000000,18.8473,18.9928,18.7534,18.8988,1564902.2116437,0
SIGI.US,D,20050303,000000,18.9483,18.9721,18.7464,18.7464,249772.07981736,0
SIGI.US,D,20050304,000000,18.8642,19.1432,18.7384,19.0838,556307.2343643,0
SIGI.US,D,20050307,000000,19.0838,19.2116,18.978,18.978,329952.1712056,0
SIGI.US,D,20050308,000000,19.0522,19.0522,18.7384,18.7681,265814.5652093,0
SIGI.US,D,20050309,000000,18.7227,18.7771,18.5356,18.5732,177611.21015186,0
SIGI.US,D,20050310,000000,18.5178,18.7384,18.4653,18.5812,421771.04734722,0
SIGI.US,D,20050311,000000,18.5881,18.8236,18.496,18.681,154717.62555626,0
SIGI.US,D,20050314,000000,18.7959,19.0671,18.786,18.8473,204345.65434528,0
SIGI.US,D,20050315,000000,19.0275,19.1552,18.8473,18.8721,320435.40832949,0
SIGI.US,D,20050316,000000,18.8385,18.9542,18.8088,18.8642,216104.68700502,0
SIGI.US,D,20050317,000000,18.8385,18.9542,18.6633,18.7307,232268.43078994,0
SIGI.US,D,20050318,000000,18.7384,18.8385,18.503,18.7384,589408.75467605,0
SIGI.US,D,20050321,000000,18.6484,18.7681,18.5178,18.6226,179089.55205967,0
SIGI.US,D,20050322,000000,18.5881,18.8088,18.5356,18.5812,291849.75266983,0
SIGI.US,D,20050323,000000,18.5356,18.6484,18.5267,18.5356,157015.47210332,0
SIGI.US,D,20050324,000000,18.5356,18.8088,18.5356,18.6149,117683.29136536,0
SIGI.US,D,20050328,000000,18.5812,18.8167,18.5812,18.6306,159646.7792311,0
SIGI.US,D,20050329,000000,18.7959,18.8988,18.5178,18.5356,359581.65953154,0
SIGI.US,D,20050330,000000,18.5178,18.7959,18.5178,18.7681,234220.690917,0
SIGI.US,D,20050331,000000,18.7227,18.7959,18.4881,18.6226,472264.05267287,0
SIGI.US,D,20050401,000000,18.5732,18.7384,18.2288,18.3714,490906.52010774,0
SIGI.US,D,20050404,000000,18.4169,18.7959,18.3476,18.7227,432369.03089412,0
SIGI.US,D,20050405,000000,18.7959,18.9215,18.6149,18.7227,204049.58176907,0
SIGI.US,D,20050406,000000,18.681,19.1255,18.681,18.9849,688850.74178999,0
SIGI.US,D,20050407,000000,19.0671,19.0928,18.8167,18.9928,303149.01392284,0
SIGI.US,D,20050408,000000,19.0087,19.0087,18.4258,18.4881,375457.41463313,0
SIGI.US,D,20050411,000000,18.4258,18.6059,18.3328,18.3476,229134.91181789,0
SIGI.US,D,20050412,000000,18.2932,18.8385,18.2457,18.8088,204314.32926042,0
SIGI.US,D,20050413,000000,18.8088,18.8473,18.3644,18.503,172576.96586977,0
SIGI.US,D,20050414,000000,18.5732,18.5812,18.2773,18.2852,239745.02120409,0
SIGI.US,D,20050415,000000,18.2852,18.3555,17.7449,17.9389,326596.34517974,0
SIGI.US,D,20050418,000000,17.9458,18.2773,17.7865,18.1644,259412.12205968,0
