<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TRIN.US,D,20210129,000000,11.554,12.7109,11.554,12.3805,1708232.18127,0
TRIN.US,D,20210201,000000,11.9682,12.3143,11.7123,11.9682,208914.59649104,0
TRIN.US,D,20210202,000000,12.0511,12.1459,11.7602,11.9682,242552.98229862,0
TRIN.US,D,20210203,000000,12.1329,12.1329,11.7602,12.0925,205979.83503019,0
TRIN.US,D,20210204,000000,12.1071,12.3391,11.9277,12.1486,142478.81168472,0
TRIN.US,D,20210205,000000,12.0511,12.5867,11.7685,12.3805,124363.91236034,0
TRIN.US,D,20210208,000000,12.2729,12.4873,12.2158,12.421,50339.688441649,0
TRIN.US,D,20210209,000000,12.3143,12.5867,12.0999,12.5287,104938.63824076,0
TRIN.US,D,20210210,000000,12.6024,12.6024,12.0786,12.4376,99179.94303807,0
TRIN.US,D,20210211,000000,12.421,12.5369,11.5126,11.636,85148.284576264,0
TRIN.US,D,20210212,000000,11.6452,12.2729,11.6038,11.8016,47835.199301611,0
TRIN.US,D,20210216,000000,11.8606,12.1881,11.5632,11.5798,212120.99451804,0
TRIN.US,D,20210217,000000,11.9185,11.9507,11.6866,11.8274,90117.060644549,0
TRIN.US,D,20210218,000000,11.8016,11.9139,11.6627,11.7685,79657.966300942,0
TRIN.US,D,20210219,000000,11.7602,12.3391,11.7602,12.3299,86948.691736803,0
TRIN.US,D,20210222,000000,12.2241,13.1969,12.0004,12.8435,139937.37997169,0
TRIN.US,D,20210223,000000,12.7109,12.9493,12.1744,12.6695,188923.23176758,0
TRIN.US,D,20210224,000000,12.7109,13.0229,12.6024,12.7514,184595.51799544,0
TRIN.US,D,20210225,000000,12.8168,12.8342,12.3805,12.4292,67711.390121016,0
TRIN.US,D,20210226,000000,12.2572,12.6189,12.2572,12.4707,60216.393987399,0
TRIN.US,D,20210301,000000,12.7109,13.1794,12.5536,12.9171,118849.69006719,0
TRIN.US,D,20210302,000000,12.744,13.0082,12.3962,12.7846,155837.89800871,0
TRIN.US,D,20210303,000000,12.9171,12.9493,12.4292,12.595,120403.45122565,0
TRIN.US,D,20210304,000000,12.7026,12.7026,11.8439,12.0925,136158.37206321,0
TRIN.US,D,20210305,000000,12.2158,12.4201,11.9682,12.1071,135610.75274582,0
TRIN.US,D,20210308,000000,12.1486,12.2976,11.9682,11.9682,77455.537022479,0
TRIN.US,D,20210309,000000,12.074,12.941,12.074,12.7348,52730.090223899,0
TRIN.US,D,20210310,000000,12.8435,12.9088,12.5324,12.744,79196.184138462,0
TRIN.US,D,20210311,000000,12.6364,13.0579,12.1154,12.4045,51532.716240245,0
TRIN.US,D,20210312,000000,12.4292,12.607,12.0999,12.1329,52811.581193749,0
TRIN.US,D,20210315,000000,12.0999,12.3805,11.9682,12.1652,82715.507489693,0
TRIN.US,D,20210316,000000,12.19,12.6842,12.1744,12.3299,48603.387510725,0
TRIN.US,D,20210317,000000,12.2894,12.3805,12.0243,12.1827,47138.723145964,0
TRIN.US,D,20210318,000000,12.1974,12.4873,11.9682,11.9829,31932.508172062,0
TRIN.US,D,20210319,000000,11.9829,12.1744,11.1095,11.3479,481502.97718362,0
TRIN.US,D,20210322,000000,11.5052,11.9922,11.5052,11.7602,51370.820846811,0
TRIN.US,D,20210323,000000,11.8439,12.0593,11.8016,11.9829,56137.49930987,0
TRIN.US,D,20210324,000000,11.9682,12.2369,11.9682,12.0511,53239.680422024,0
