<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TSCO.US,D,20050225,000000,1.79262,1.79771,1.77111,1.78215,6777324.6158661,0
TSCO.US,D,20050228,000000,1.78215,1.79361,1.76231,1.78641,7967183.0227613,0
TSCO.US,D,20050301,000000,1.78641,1.82253,1.77276,1.81189,6497772.1185919,0
TSCO.US,D,20050302,000000,1.81094,1.83241,1.79532,1.81284,10962492.09637,0
TSCO.US,D,20050303,000000,1.82481,1.82481,1.77185,1.79091,8650639.9903253,0
TSCO.US,D,20050304,000000,1.80262,1.85199,1.79532,1.8385,7525709.8374746,0
TSCO.US,D,20050307,000000,1.83431,1.84267,1.80262,1.8155,5594623.1570575,0
TSCO.US,D,20050308,000000,1.81094,1.81094,1.78215,1.78215,8211692.7867168,0
TSCO.US,D,20050309,000000,1.78215,1.80262,1.77016,1.77448,2512615.0248173,0
TSCO.US,D,20050310,000000,1.78641,1.80433,1.76136,1.78378,5910976.0499008,0
TSCO.US,D,20050311,000000,1.78958,1.80262,1.75939,1.79091,5159443.8761184,0
TSCO.US,D,20050314,000000,1.80092,1.80262,1.77448,1.79091,3391593.4991716,0
TSCO.US,D,20050315,000000,1.79361,1.82158,1.78472,1.78958,4241959.9685622,0
TSCO.US,D,20050316,000000,1.78215,1.79532,1.76136,1.77276,7813103.4028733,0
TSCO.US,D,20050317,000000,1.77725,1.79091,1.75002,1.78565,5511176.2998366,0
TSCO.US,D,20050318,000000,1.78082,1.79865,1.77111,1.78378,8437983.9078207,0
TSCO.US,D,20050321,000000,1.78378,1.78378,1.75612,1.77448,5199480.6857126,0
TSCO.US,D,20050322,000000,1.78378,1.82975,1.77016,1.80828,11059374.01864,0
TSCO.US,D,20050323,000000,1.79703,1.82481,1.78288,1.80262,8584880.2673116,0
TSCO.US,D,20050324,000000,1.80092,1.8385,1.80092,1.82405,4824377.6690118,0
TSCO.US,D,20050328,000000,1.82253,1.87498,1.82253,1.84096,5973820.3690615,0
TSCO.US,D,20050329,000000,1.84723,1.85484,1.80357,1.80999,4893305.3940464,0
TSCO.US,D,20050330,000000,1.80433,1.86244,1.80357,1.85009,5474591.6652025,0
TSCO.US,D,20050331,000000,1.85275,1.85484,1.80092,1.82975,6343745.123323,0
TSCO.US,D,20050401,000000,1.83165,1.84457,1.77016,1.7754,7315663.9360369,0
TSCO.US,D,20050404,000000,1.78641,1.80262,1.78215,1.79997,10071067.899791,0
TSCO.US,D,20050405,000000,1.79997,1.8307,1.79361,1.81455,5964200.5888377,0
TSCO.US,D,20050406,000000,1.82405,1.84457,1.80433,1.81626,5797517.3728703,0
TSCO.US,D,20050407,000000,1.82405,1.8288,1.76136,1.80828,14924152.298079,0
TSCO.US,D,20050408,000000,1.80092,1.84457,1.78215,1.83621,8944769.5068649,0
TSCO.US,D,20050411,000000,1.84914,1.85009,1.81455,1.83545,6991238.4267479,0
TSCO.US,D,20050412,000000,1.82253,1.88334,1.806,1.87194,9451491.9563677,0
TSCO.US,D,20050413,000000,1.87764,1.87916,1.81626,1.82348,6709228.3597997,0
TSCO.US,D,20050414,000000,1.83241,1.83241,1.74821,1.76486,10588657.33297,0
TSCO.US,D,20050415,000000,1.76231,1.76923,1.68657,1.71323,13578098.761641,0
TSCO.US,D,20050418,000000,1.71864,1.73301,1.68657,1.69645,11087786.050055,0
TSCO.US,D,20050419,000000,1.70308,1.75517,1.69805,1.75517,9402498.4367413,0
TSCO.US,D,20050420,000000,1.75612,1.77894,1.73576,1.73989,10773611.816408,0
TSCO.US,D,20050421,000000,1.72883,1.7519,1.64514,1.74333,53056313.820015,0
TSCO.US,D,20050422,000000,1.72644,1.75612,1.72299,1.72644,11915045.049555,0
TSCO.US,D,20050425,000000,1.72041,1.78215,1.72041,1.76393,10857221.809945,0
TSCO.US,D,20050426,000000,1.76045,1.76317,1.73301,1.73487,8780859.608281,0
TSCO.US,D,20050427,000000,1.72883,1.78812,1.71559,1.74605,9138107.091996,0
TSCO.US,D,20050428,000000,1.74914,1.75002,1.69805,1.69805,5448410.9176041,0
TSCO.US,D,20050429,000000,1.70654,1.72299,1.65768,1.68657,8640183.478671,0
TSCO.US,D,20050502,000000,1.68168,1.73755,1.67722,1.72644,8381675.5662515,0
TSCO.US,D,20050503,000000,1.71722,1.72476,1.69215,1.70308,6256146.1837192,0
TSCO.US,D,20050504,000000,1.71484,1.73576,1.69041,1.72476,10347673.418441,0
TSCO.US,D,20050505,000000,1.7386,1.76923,1.71323,1.76486,5810357.7797326,0
TSCO.US,D,20050506,000000,1.75517,1.76486,1.73301,1.7519,5934378.2176541,0
TSCO.US,D,20050509,000000,1.74821,1.77448,1.7306,1.77016,7387822.8126343,0
TSCO.US,D,20050510,000000,1.76672,1.76672,1.71864,1.74418,7846514.7730246,0
TSCO.US,D,20050511,000000,1.74914,1.7519,1.69873,1.73301,7121879.0416497,0
TSCO.US,D,20050512,000000,1.73576,1.74605,1.69041,1.71864,8037947.346974,0
TSCO.US,D,20050513,000000,1.70998,1.71864,1.68319,1.69041,7057598.0704098,0
TSCO.US,D,20050516,000000,1.68495,1.71864,1.68319,1.71414,8739217.7478287,0
TSCO.US,D,20050517,000000,1.70052,1.74418,1.69377,1.73989,8011108.7916466,0
TSCO.US,D,20050518,000000,1.73487,1.80262,1.73487,1.77725,18369480.794986,0
TSCO.US,D,20050519,000000,1.77801,1.8288,1.77111,1.81968,9870931.2139772,0
TSCO.US,D,20050520,000000,1.81968,1.81968,1.76832,1.78958,6911301.6315676,0
TSCO.US,D,20050523,000000,1.79532,1.82253,1.79361,1.80923,4944109.2005425,0
TSCO.US,D,20050524,000000,1.81189,1.81189,1.78215,1.79865,8522146.4598493,0
TSCO.US,D,20050525,000000,1.79361,1.79532,1.76045,1.76672,6278169.586473,0
TSCO.US,D,20050526,000000,1.7754,1.82253,1.76486,1.82158,5213410.4221739,0
TSCO.US,D,20050527,000000,1.81702,1.8385,1.81284,1.83336,3627493.8755748,0
TSCO.US,D,20050531,000000,1.82348,1.86339,1.82348,1.86244,5887189.7224344,0
TSCO.US,D,20050601,000000,1.85484,1.87194,1.84457,1.85844,6864002.6246496,0
