<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UNTY.US,D,20050225,000000,7.81096,7.891,7.81096,7.81096,1046.4742359622,0
UNTY.US,D,20050228,000000,7.81096,7.81096,7.81096,7.81096,6008.6243122899,0
UNTY.US,D,20050301,000000,7.92973,7.92973,7.81096,7.81096,8078.2953108807,0
UNTY.US,D,20050307,000000,7.81096,7.81096,7.81096,7.81096,17128.172117431,0
UNTY.US,D,20050308,000000,7.81096,7.95296,7.81096,7.81096,9544.776130909,0
UNTY.US,D,20050309,000000,7.82579,8.08803,7.81096,7.8744,2880.3343090412,0
UNTY.US,D,20050310,000000,7.84199,7.84199,7.81096,7.81096,4299.2481183439,0
UNTY.US,D,20050311,000000,7.84199,7.84199,7.84199,7.84199,3532.103562387,0
UNTY.US,D,20050314,000000,7.98555,7.98555,7.8744,7.94633,5293.0950232907,0
UNTY.US,D,20050316,000000,7.84199,7.8744,7.84199,7.8744,2763.9469423722,0
UNTY.US,D,20050317,000000,7.91432,7.91432,7.91432,7.91432,147.76135246662,0
UNTY.US,D,20050318,000000,7.81838,7.81838,7.81838,7.81838,618.37113943224,0
UNTY.US,D,20050321,000000,7.8744,7.8744,7.81096,7.81096,1052.5466203102,0
UNTY.US,D,20050322,000000,7.8744,7.91432,7.81838,7.91432,5776.8616430101,0
UNTY.US,D,20050323,000000,7.84199,7.8744,7.81096,7.82579,5455.0252725692,0
UNTY.US,D,20050328,000000,7.81096,7.81096,7.81096,7.81096,3214.315448178,0
UNTY.US,D,20050330,000000,7.84199,7.84199,7.84199,7.84199,1016.1123142225,0
UNTY.US,D,20050331,000000,8.0321,8.0321,7.81096,7.81096,8625.8219662535,0
UNTY.US,D,20050401,000000,7.81096,7.8744,7.81096,7.8744,8294.8770192906,0
UNTY.US,D,20050404,000000,7.81096,7.91432,7.80267,7.80267,21677.4000581,0
UNTY.US,D,20050405,000000,7.84199,7.94633,7.84199,7.84199,5824.4286537357,0
UNTY.US,D,20050406,000000,7.84199,7.84199,7.84199,7.84199,2153.6723154039,0
UNTY.US,D,20050407,000000,8.09514,8.09514,7.80267,7.81096,9209.7829277141,0
UNTY.US,D,20050411,000000,7.81096,7.81096,7.42324,7.81096,8445.6745639312,0
UNTY.US,D,20050413,000000,7.81096,7.8744,7.81096,7.81096,8699.7026424869,0
UNTY.US,D,20050414,000000,7.77875,7.84199,7.71483,7.81838,2150.6361232299,0
UNTY.US,D,20050415,000000,7.81096,7.81096,7.81096,7.81096,3975.3876197869,0
UNTY.US,D,20050418,000000,7.81096,7.81096,7.58164,7.74723,15880.29713393,0
UNTY.US,D,20050419,000000,7.74723,7.81838,7.52601,7.81096,19330.42350762,0
UNTY.US,D,20050420,000000,7.81096,7.91432,7.62125,7.81096,7370.8625343453,0
UNTY.US,D,20050421,000000,7.81096,7.82579,7.81096,7.81096,457.45295421173,0
UNTY.US,D,20050422,000000,7.79407,7.79407,7.79407,7.79407,508.05615711126,0
UNTY.US,D,20050425,000000,7.79407,7.81096,7.62125,7.62125,9861.55218106,0
UNTY.US,D,20050426,000000,7.62125,7.6919,7.62125,7.6919,18014.740232232,0
UNTY.US,D,20050427,000000,7.6919,7.6919,7.6919,7.6919,1224.5975101685,0
UNTY.US,D,20050428,000000,7.6919,7.6919,7.6919,7.6919,307.66747362913,0
UNTY.US,D,20050502,000000,7.76255,7.76255,7.65347,7.65347,5423.6512867714,0
UNTY.US,D,20050503,000000,7.62916,7.62916,7.5183,7.5183,2612.1373336736,0
UNTY.US,D,20050504,000000,7.5183,7.5183,7.5183,7.5183,1105.1739513257,0
UNTY.US,D,20050505,000000,7.58164,7.58164,7.48659,7.54982,1349.0813893014,0
UNTY.US,D,20050506,000000,7.68351,7.68351,7.48659,7.6764,2455.2674046851,0
UNTY.US,D,20050509,000000,7.48659,7.50249,7.35991,7.50249,27105.099601103,0
UNTY.US,D,20050510,000000,7.59745,7.59745,7.45476,7.48659,10258.281291793,0
UNTY.US,D,20050511,000000,7.39163,7.40724,6.90085,7.39163,19723.10436212,0
UNTY.US,D,20050513,000000,8.13575,8.13575,7.03542,7.49439,19124.974503847,0
UNTY.US,D,20050516,000000,7.64546,7.65347,7.39924,7.39924,5808.2356288078,0
UNTY.US,D,20050517,000000,7.39924,7.46277,7.39924,7.39924,935.14718958327,0
UNTY.US,D,20050518,000000,7.42324,7.48659,7.39163,7.48659,26648.658710949,0
UNTY.US,D,20050519,000000,7.58164,7.58164,7.48659,7.49439,24882.606929756,0
UNTY.US,D,20050520,000000,7.49439,7.71483,7.49439,7.71483,2916.7686151288,0
UNTY.US,D,20050523,000000,7.54181,7.76255,7.54181,7.74723,3252.7738823817,0
UNTY.US,D,20050524,000000,7.73104,7.95296,7.73104,7.8665,14999.801403479,0
UNTY.US,D,20050525,000000,7.77875,7.77875,7.77875,7.77875,1301.5143785758,0
UNTY.US,D,20050527,000000,7.8744,7.97785,7.8744,7.883,2933.9737041147,0
UNTY.US,D,20050531,000000,7.97785,7.97785,7.97785,7.97785,515.14060551719,0
UNTY.US,D,20050601,000000,7.97785,8.04751,7.97785,8.0321,5790.018475764,0
UNTY.US,D,20050602,000000,7.883,7.97785,7.883,7.90573,5528.9059488024,0
UNTY.US,D,20050603,000000,7.84199,8.02449,7.77875,7.95296,3982.4720681928,0
UNTY.US,D,20050607,000000,7.77875,7.77875,7.77875,7.77875,2763.9469423722,0
UNTY.US,D,20050608,000000,7.92143,7.92143,7.92143,7.92143,307.66747362913,0
UNTY.US,D,20050609,000000,7.91432,8.05601,7.78686,7.78686,3645.454736882,0
UNTY.US,D,20050610,000000,7.92143,7.92143,7.92143,7.92143,307.66747362913,0
UNTY.US,D,20050613,000000,8.19928,8.19928,8.18318,8.18318,882.51985856777,0
UNTY.US,D,20050614,000000,8.45836,8.46675,8.18318,8.2062,2604.0408212097,0
UNTY.US,D,20050615,000000,8.26973,8.26973,8.13575,8.26973,1582.8681866972,0
UNTY.US,D,20050617,000000,8.2062,8.2062,8.2062,8.2062,147.76135246662,0
UNTY.US,D,20050620,000000,8.19167,8.2062,8.18318,8.2062,3980.4479400769,0
UNTY.US,D,20050621,000000,8.26973,8.26973,8.26183,8.26973,1901.6683649642,0
UNTY.US,D,20050622,000000,8.26973,8.46675,8.16698,8.46675,1973.5249130816,0
UNTY.US,D,20050623,000000,8.23851,8.23851,8.23851,8.23851,1901.6683649642,0
UNTY.US,D,20050627,000000,8.16698,8.16698,8.16698,8.16698,137.64071188671,0
UNTY.US,D,20050628,000000,8.19928,8.19928,8.19928,8.19928,1694.1952330762,0
UNTY.US,D,20050629,000000,8.17518,8.17518,8.16698,8.16698,294.51064087525,0
UNTY.US,D,20050630,000000,8.10275,8.17518,8.10275,8.17518,294.51064087525,0
UNTY.US,D,20050701,000000,8.13575,8.13575,8.13575,8.13575,137.64071188671,0
UNTY.US,D,20050705,000000,8.17518,8.17518,8.17518,8.17518,313.73985797708,0
UNTY.US,D,20050706,000000,8.2062,8.37358,8.2062,8.37358,2562.5461948321,0
UNTY.US,D,20050707,000000,8.25343,8.25343,8.07123,8.223,1495.8306777101,0
