<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UPWK.US,D,20181003,000000,23,23.49,20.33,21.18,8385063,0
UPWK.US,D,20181004,000000,21.5,21.5069,20.58,20.96,1112878,0
UPWK.US,D,20181005,000000,20.95,21.7796,20.85,20.99,914082,0
UPWK.US,D,20181008,000000,20.95,20.95,19.84,20.04,797323,0
UPWK.US,D,20181009,000000,20,20.3,19.7,19.94,1244423,0
UPWK.US,D,20181010,000000,20,20.14,19.7,20,1077780,0
UPWK.US,D,20181011,000000,19.83,20.3196,18.79,19.04,1228705,0
UPWK.US,D,20181012,000000,19.3,19.9025,19,19.21,359056,0
UPWK.US,D,20181015,000000,19.3,19.74,19,19.43,329349,0
UPWK.US,D,20181016,000000,19.35,20.86,19.35,20.2,362732,0
UPWK.US,D,20181017,000000,20.03,20.38,20,20.1,147549,0
UPWK.US,D,20181018,000000,20.1,20.22,19.01,19.14,228710,0
UPWK.US,D,20181019,000000,19.15,20.479,19.15,19.44,337894,0
UPWK.US,D,20181022,000000,19.66,19.833,18,18.95,259606,0
UPWK.US,D,20181023,000000,18.55,19.2599,18,18.8,280328,0
UPWK.US,D,20181024,000000,18.93,19.11,17.24,17.24,365673,0
UPWK.US,D,20181025,000000,17.26,20.33,16.7,19.5,1153315,0
UPWK.US,D,20181026,000000,19.5,19.66,18.6,18.69,666924,0
UPWK.US,D,20181029,000000,19.15,19.22,17.78,17.99,529391,0
UPWK.US,D,20181030,000000,18.05,19.038,18.05,18.84,355949,0
UPWK.US,D,20181031,000000,19.46,19.8188,19.11,19.2,337645,0
UPWK.US,D,20181101,000000,19.38,20.64,19.22,20.23,311838,0
UPWK.US,D,20181102,000000,20.65,20.74,19.56,20.26,251278,0
UPWK.US,D,20181105,000000,20.59,20.5971,19.18,19.34,204445,0
UPWK.US,D,20181106,000000,19.43,19.95,19.34,19.4,120163,0
UPWK.US,D,20181107,000000,19.76,21.11,19.51,20.29,580158,0
UPWK.US,D,20181108,000000,20.02,20.2,15.835,18.07,2383480,0
UPWK.US,D,20181109,000000,18.49,18.575,17.52,17.68,737548,0
UPWK.US,D,20181112,000000,17.98,18.2,17.5,17.7,264697,0
UPWK.US,D,20181113,000000,17.8,18.4503,17.8,18.11,341806,0
UPWK.US,D,20181114,000000,18.47,18.65,18.23,18.55,219571,0
UPWK.US,D,20181115,000000,18.5,18.85,18.45,18.74,247233,0
UPWK.US,D,20181116,000000,18.66,19.52,18.6401,19.2,362185,0
UPWK.US,D,20181119,000000,19.2,19.2,16.24,16.46,624497,0
UPWK.US,D,20181120,000000,15.98,16.88,15.675,16.1,482878,0
UPWK.US,D,20181121,000000,16.27,16.9839,15.9101,16.65,315566,0
UPWK.US,D,20181123,000000,17.18,17.18,16.625,16.89,134776,0
UPWK.US,D,20181126,000000,17.1,17.31,16.71,17,387719,0
UPWK.US,D,20181127,000000,16.95,17.07,16.65,16.71,107707,0
UPWK.US,D,20181128,000000,16.76,17.83,16.58,17.63,311444,0
UPWK.US,D,20181129,000000,17.74,18.2,17.64,18.05,242288,0
UPWK.US,D,20181130,000000,18.21,19,18.05,18.63,352775,0
UPWK.US,D,20181203,000000,19.32,19.42,18.65,18.89,251385,0
UPWK.US,D,20181204,000000,19.28,19.28,18.19,18.39,369786,0
UPWK.US,D,20181206,000000,17.97,18.28,17.5,18.04,189739,0
UPWK.US,D,20181207,000000,17.86,18.29,17.05,17.09,300347,0
UPWK.US,D,20181210,000000,17.22,17.22,16.31,16.59,214117,0
UPWK.US,D,20181211,000000,17,17.14,15.82,16.01,908473,0
UPWK.US,D,20181212,000000,16.1,16.66,16.01,16.49,389160,0
UPWK.US,D,20181213,000000,16.47,17.079,16.14,16.87,354291,0
UPWK.US,D,20181214,000000,16.58,17.44,16.3718,17.39,325304,0
UPWK.US,D,20181217,000000,17.18,18.8,17.105,18.44,1031335,0
UPWK.US,D,20181218,000000,18.43,19.69,18.1,19.44,725984,0
UPWK.US,D,20181219,000000,19.59,21.69,19.51,20.04,1069771,0
UPWK.US,D,20181220,000000,19.76,21.34,19.76,20.67,1024685,0
UPWK.US,D,20181221,000000,21.11,21.1878,18.65,19.56,4138139,0
UPWK.US,D,20181224,000000,19.23,19.4,17.76,18.1,207612,0
