<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WGMI.US,D,20220209,000000,27.6,28.72,27.2,28.72,144936,0
WGMI.US,D,20220210,000000,28.1,30.51,27.45,28.54,150143,0
WGMI.US,D,20220211,000000,28.26,28.955,26.48,26.68,66662,0
WGMI.US,D,20220214,000000,26.93,27.4596,25.8531,26.19,43723,0
WGMI.US,D,20220215,000000,27.74,28.5,27.4,28.47,52348,0
WGMI.US,D,20220216,000000,28.18,28.359,27.46,28.0815,31783,0
WGMI.US,D,20220217,000000,27.5,27.5,25.94,26.08,38971,0
WGMI.US,D,20220218,000000,26,26,24.23,24.5,49152,0
WGMI.US,D,20220222,000000,24,24.36,23.39,23.9987,21450,0
WGMI.US,D,20220223,000000,24.28,24.6,22.9,22.9,17824,0
WGMI.US,D,20220224,000000,20.96,24.52,20.68,24.43,42809,0
WGMI.US,D,20220225,000000,25.11,25.11,24.06,24.46,28517,0
WGMI.US,D,20220228,000000,23.99,26.7,23.99,26.26,52406,0
WGMI.US,D,20220301,000000,28.61,28.61,26,26.41,27222,0
WGMI.US,D,20220302,000000,27,27.179,26.18,26.7,36343,0
WGMI.US,D,20220303,000000,26.83,26.83,24.47,24.66,22178,0
WGMI.US,D,20220304,000000,24.5,24.51,22.831,22.831,16302,0
WGMI.US,D,20220307,000000,23.25,23.48,21.46,21.57,38826,0
WGMI.US,D,20220308,000000,21.55,23.2721,21.37,22.66,37171,0
WGMI.US,D,20220309,000000,24,25,23.92,24.69,22337,0
WGMI.US,D,20220310,000000,23.73,24.135,23.54,24.05,15297,0
WGMI.US,D,20220311,000000,24.12,24.13,22.72,22.72,12752,0
WGMI.US,D,20220314,000000,22.9,22.9,21.282,21.6193,21142,0
WGMI.US,D,20220315,000000,21.245,22.1507,21.245,22.1507,22215,0
WGMI.US,D,20220316,000000,22.64,23.52,22.32,23.5,23808,0
WGMI.US,D,20220317,000000,23.45,24.9,23.4,24.83,24543,0
WGMI.US,D,20220318,000000,24.47,26.04,24.47,25.8119,36226,0
WGMI.US,D,20220321,000000,25.7,26,24.86,25.3449,24850,0
WGMI.US,D,20220322,000000,26,27,26,26.11,38026,0
WGMI.US,D,20220323,000000,26.09,26.67,25.5,25.84,30995,0
WGMI.US,D,20220324,000000,26.31,27.26,25.83,27.21,23160,0
WGMI.US,D,20220325,000000,27.55,27.69,26.275,26.45,18025,0
WGMI.US,D,20220328,000000,27.77,28.79,27.45,28.3,30502,0
WGMI.US,D,20220329,000000,28.5,28.5,27.032,28.22,31210,0
WGMI.US,D,20220330,000000,27.5,27.5,26.38,26.3929,15750,0
WGMI.US,D,20220331,000000,26.72,26.79,25.39,25.4093,31665,0
WGMI.US,D,20220401,000000,25.57,26,25.295,25.66,11015,0
WGMI.US,D,20220404,000000,25.71,26.1599,25.57,26.1073,17847,0
WGMI.US,D,20220405,000000,26.24,26.24,24.81,24.91,12794,0
WGMI.US,D,20220406,000000,24.3,24.37,23.155,23.39,20543,0
WGMI.US,D,20220407,000000,23.519,23.519,22.5,23.32,11222,0
WGMI.US,D,20220408,000000,23.18,23.1802,22.5,22.53,15987,0
WGMI.US,D,20220411,000000,22.26,22.29,21.6,21.74,21172,0
WGMI.US,D,20220412,000000,22.32,24.1,21.1,21.16,18812,0
WGMI.US,D,20220413,000000,21.32,22.31,21.32,22.22,12134,0
WGMI.US,D,20220414,000000,22.25,22.25,21.08,21.09,8285,0
WGMI.US,D,20220418,000000,21,21,20.5,20.855,25986,0
WGMI.US,D,20220419,000000,20.91,21.688,20.91,21.46,14309,0
WGMI.US,D,20220420,000000,21.6,21.6,20.6402,20.6402,5681,0
WGMI.US,D,20220421,000000,21.1,21.1,19.6681,19.67,17882,0
WGMI.US,D,20220422,000000,19.61,19.94,18.8501,19.02,21327,0
WGMI.US,D,20220425,000000,18.5,18.955,18.5,18.72,14736,0
WGMI.US,D,20220426,000000,18.71,18.71,17.62,17.62,9101,0
WGMI.US,D,20220427,000000,18.03,18.23,17.5005,17.5404,21277,0
WGMI.US,D,20220428,000000,18.1,18.39,17.17,18.1712,15915,0
WGMI.US,D,20220429,000000,18.49,18.71,17.22,17.29,15254,0
WGMI.US,D,20220502,000000,17.794,17.97,17.41,17.97,11570,0
WGMI.US,D,20220503,000000,17.9701,18.1177,17.7201,17.9,4586,0
WGMI.US,D,20220504,000000,17.34,18.67,17.15,18.66,17512,0
WGMI.US,D,20220505,000000,17.85,17.895,16.95,17.35,19167,0
WGMI.US,D,20220506,000000,16.69,16.9599,16.3001,16.5384,13799,0
WGMI.US,D,20220509,000000,15.76,15.76,14.13,14.13,10596,0
WGMI.US,D,20220510,000000,15,15,13.745,13.8374,9158,0
WGMI.US,D,20220511,000000,13.48,13.721,12.46,12.5057,9372,0
WGMI.US,D,20220512,000000,12.09,12.837,11.82,12.32,27990,0
WGMI.US,D,20220513,000000,13.28,14.1701,13.28,13.625,41161,0
WGMI.US,D,20220516,000000,13.64,13.64,12.85,12.9,6265,0
WGMI.US,D,20220517,000000,13.08,13.88,13.08,13.825,10374,0
WGMI.US,D,20220518,000000,13.4001,13.66,12.87,13.1094,20222,0
WGMI.US,D,20220519,000000,13.14,13.91,13.14,13.4497,4186,0
WGMI.US,D,20220520,000000,13.4001,13.62,12.61,13.1037,6486,0
WGMI.US,D,20220523,000000,13.35,13.44,12.91,13.095,18783,0
WGMI.US,D,20220524,000000,13.04,13.04,12.191,12.3253,12175,0
WGMI.US,D,20220525,000000,12.44,12.68,12.35,12.586,9464,0
WGMI.US,D,20220526,000000,12.52,13.24,12.17,13.04,17245,0
WGMI.US,D,20220527,000000,13.34,13.73,13.29,13.6,9538,0
WGMI.US,D,20220531,000000,14.6899,14.6899,13.99,14.19,6907,0
WGMI.US,D,20220601,000000,14.21,14.21,13.3201,13.47,24245,0
WGMI.US,D,20220602,000000,13.5601,14.0999,13.5601,13.88,5901,0
WGMI.US,D,20220603,000000,13.4225,13.57,13.4225,13.5074,1419,0
WGMI.US,D,20220606,000000,13.585,13.7301,13.28,13.3238,5779,0
WGMI.US,D,20220607,000000,12.93,13.1169,12.85,13.1169,3107,0
WGMI.US,D,20220608,000000,13.1501,13.1501,12.77,12.83,6437,0
WGMI.US,D,20220609,000000,12.99,13.01,12.205,12.21,21886,0
WGMI.US,D,20220610,000000,12,12,11.58,11.6027,5906,0
WGMI.US,D,20220613,000000,10.69,10.69,10,10.16,31835,0
WGMI.US,D,20220614,000000,10.04,10.26,10.04,10.0407,10411,0
WGMI.US,D,20220615,000000,9.97,10.432,9.97,10.26,17555,0
WGMI.US,D,20220616,000000,9.88,9.9,9.5,9.63,10389,0
WGMI.US,D,20220617,000000,9.89,9.92,9.76,9.76,19856,0
WGMI.US,D,20220621,000000,9.87,10.72,9.87,10.21,7317,0
WGMI.US,D,20220622,000000,9.89,10.33,9.82,9.86,11444,0
WGMI.US,D,20220623,000000,9.83,10.07,9.72,10.07,9443,0
WGMI.US,D,20220624,000000,10.57,10.78,10.4001,10.54,9281,0
WGMI.US,D,20220627,000000,10.5,10.5,10.13,10.27,11940,0
WGMI.US,D,20220628,000000,10.39,10.43,9.6701,9.7,12876,0
WGMI.US,D,20220629,000000,9.71,9.71,9.199,9.2,3201,0
WGMI.US,D,20220630,000000,9,9.09,8.74,8.8654,14572,0
WGMI.US,D,20220701,000000,9.05,9.0501,8.905,9.0257,6680,0
WGMI.US,D,20220705,000000,8.8,9.6585,8.8,9.6585,654,0
WGMI.US,D,20220706,000000,9.52,9.6,9.27,9.27,7307,0
WGMI.US,D,20220707,000000,10,10.2578,9.882,10.2578,2202,0
WGMI.US,D,20220708,000000,9.9932,10.72,9.9932,10.48,4148,0
WGMI.US,D,20220711,000000,10.22,10.22,9.81,9.81,931,0
WGMI.US,D,20220712,000000,9.6033,9.6033,9.49,9.49,638,0
WGMI.US,D,20220713,000000,9.3,9.6762,9.3,9.6762,3387,0
WGMI.US,D,20220714,000000,9.3601,9.7372,9.3601,9.68,4674,0
WGMI.US,D,20220715,000000,9.87,9.9134,9.71,9.9134,5472,0
WGMI.US,D,20220718,000000,10.38,11.0082,10.2303,10.2303,7475,0
WGMI.US,D,20220719,000000,10.72,11.3714,10.66,11.3714,4399,0
WGMI.US,D,20220720,000000,11.67,12.279,11.67,12.06,21503,0
WGMI.US,D,20220721,000000,11.82,12.14,11.82,12.14,2318,0
WGMI.US,D,20220722,000000,12.42,12.42,11.302,11.302,1565,0
WGMI.US,D,20220725,000000,10.78,10.83,10.67,10.67,2988,0
WGMI.US,D,20220726,000000,10.0001,10.075,9.97,10.038,5347,0
