<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WHFCL.US,D,20230829,000000,24.45,24.75,24.3572,24.65,43697,0
WHFCL.US,D,20230830,000000,24.7,24.7,24.43,24.482,59084,0
WHFCL.US,D,20230831,000000,24.49,24.69,24.49,24.59,46576,0
WHFCL.US,D,20230901,000000,24.6,25.82,24.54,24.88,19517,0
WHFCL.US,D,20230905,000000,24.75,24.85,24.6385,24.805,26132,0
WHFCL.US,D,20230906,000000,24.79,24.8,24.735,24.79,7493,0
WHFCL.US,D,20230907,000000,24.85,24.9425,24.8302,24.93,23486,0
WHFCL.US,D,20230908,000000,24.89,25,24.8301,24.92,15557,0
WHFCL.US,D,20230911,000000,24.94,25.07,24.93,25.01,18116,0
WHFCL.US,D,20230912,000000,24.9254,25,24.9254,24.99,3308,0
WHFCL.US,D,20230913,000000,25,25.05,25,25.0499,6738,0
WHFCL.US,D,20230914,000000,25,25.06,24.95,24.95,4977,0
WHFCL.US,D,20230915,000000,25.049,25.05,24.95,25.02,3962,0
WHFCL.US,D,20230918,000000,24.9878,25.07,24.9823,25.07,5716,0
WHFCL.US,D,20230919,000000,25.0087,25.0799,24.95,25.03,6251,0
WHFCL.US,D,20230920,000000,25.06,25.15,25.04,25.1,8521,0
WHFCL.US,D,20230921,000000,25.0164,25.09,25,25.0378,4414,0
WHFCL.US,D,20230922,000000,25.05,25.05,24.9875,25.05,2494,0
WHFCL.US,D,20230925,000000,25.0081,25.05,24.8407,24.99,3422,0
WHFCL.US,D,20230926,000000,24.99,25,24.95,25,3990,0
WHFCL.US,D,20230927,000000,24.8612,24.9999,24.8,24.95,6443,0
WHFCL.US,D,20230928,000000,25,25,24.71,24.74,3410,0
WHFCL.US,D,20230929,000000,24.72,24.83,24.53,24.7,28350,0
WHFCL.US,D,20231002,000000,24.9871,24.9871,24.8507,24.9799,1708,0
WHFCL.US,D,20231003,000000,24.99,24.99,24.9,24.95,1008,0
WHFCL.US,D,20231004,000000,24.95,24.95,24.8302,24.9,1484,0
WHFCL.US,D,20231005,000000,24.925,24.95,24.8501,24.86,11029,0
WHFCL.US,D,20231006,000000,24.885,24.95,24.8,24.9,1760,0
WHFCL.US,D,20231009,000000,24.97,24.97,24.8501,24.88,2181,0
WHFCL.US,D,20231010,000000,24.94,24.9699,24.85,24.95,3297,0
WHFCL.US,D,20231011,000000,24.97,25.0699,24.9,25.01,5316,0
WHFCL.US,D,20231013,000000,24.85,24.9999,24.8401,24.9999,2781,0
WHFCL.US,D,20231016,000000,24.9998,25.045,24.99,24.99,3416,0
WHFCL.US,D,20231017,000000,24.94,24.95,24.923,24.95,792,0
WHFCL.US,D,20231018,000000,24.857,24.99,24.8,24.81,3928,0
WHFCL.US,D,20231019,000000,24.9899,24.9899,24.83,24.85,3322,0
WHFCL.US,D,20231020,000000,24.895,24.98,24.8,24.88,3402,0
WHFCL.US,D,20231023,000000,24.95,25,24.85,24.85,5170,0
WHFCL.US,D,20231024,000000,25,25,24.9899,24.9899,1148,0
WHFCL.US,D,20231026,000000,24.86,24.99,24.85,24.85,2725,0
WHFCL.US,D,20231027,000000,24.99,24.99,24.85,24.85,2724,0
WHFCL.US,D,20231030,000000,24.85,24.99,24.67,24.67,5295,0
WHFCL.US,D,20231031,000000,24.752,24.99,24.65,24.98,2785,0
WHFCL.US,D,20231101,000000,24.96,24.99,24.71,24.97,6871,0
WHFCL.US,D,20231102,000000,24.905,27.41,24.81,24.81,6040,0
WHFCL.US,D,20231103,000000,24.905,25,24.85,25,1480,0
WHFCL.US,D,20231106,000000,25,25.04,24.73,25.04,2038,0
WHFCL.US,D,20231107,000000,25.02,25.04,24.8,24.82,1573,0
WHFCL.US,D,20231108,000000,24.78,25.04,24.73,24.76,6712,0
WHFCL.US,D,20231109,000000,24.85,24.9,24.77,24.8,6453,0
WHFCL.US,D,20231110,000000,24.9,24.9,24.73,24.89,4977,0
WHFCL.US,D,20231113,000000,24.875,25.05,24.7926,25.04,3913,0
WHFCL.US,D,20231114,000000,25.04,25.07,24.85,25.0336,2948,0
WHFCL.US,D,20231115,000000,25.01,25.01,25.0052,25.0092,4892,0
WHFCL.US,D,20231116,000000,25.0799,25.0799,25.0095,25.0095,1119,0
WHFCL.US,D,20231117,000000,25.01,25.01,24.98,25.01,10071,0
WHFCL.US,D,20231120,000000,25.0425,25.0425,24.9803,25,4277,0
WHFCL.US,D,20231121,000000,25,25,24.7901,24.97,14897,0
WHFCL.US,D,20231122,000000,24.95,25.08,24.79,25.08,10575,0
WHFCL.US,D,20231124,000000,25.0099,25.01,24.86,24.9387,5399,0
WHFCL.US,D,20231127,000000,25.0748,25.2099,24.88,25.01,13485,0
WHFCL.US,D,20231128,000000,24.93,25.01,24.93,25.01,16703,0
WHFCL.US,D,20231129,000000,25.07,25.15,24.9788,25.1,28175,0
WHFCL.US,D,20231130,000000,24.74,24.84,24.65,24.83,8846,0
