<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WLACU.US,D,20241108,000000,9.99,9.99,9.96,9.96,5507698,0
WLACU.US,D,20241111,000000,9.96,9.98,9.96,9.96,640753,0
WLACU.US,D,20241112,000000,9.97,9.985,9.96,9.96,145215,0
WLACU.US,D,20241113,000000,9.97,9.98,9.97,9.97,96524,0
WLACU.US,D,20241114,000000,9.9799,9.98,9.97,9.98,6368,0
WLACU.US,D,20241115,000000,9.9715,9.975,9.96,9.96,110254,0
WLACU.US,D,20241118,000000,9.965,9.97,9.955,9.955,14899,0
WLACU.US,D,20241119,000000,9.96,9.96,9.95,9.95,27678,0
WLACU.US,D,20241120,000000,9.9545,9.96,9.95,9.955,9944,0
WLACU.US,D,20241121,000000,9.95,9.955,9.95,9.95,104127,0
WLACU.US,D,20241122,000000,9.95,9.965,9.95,9.965,27029,0
WLACU.US,D,20241125,000000,9.975,9.975,9.97,9.975,17165,0
WLACU.US,D,20241126,000000,9.97,9.975,9.97,9.975,85810,0
WLACU.US,D,20241127,000000,9.97,9.97,9.96,9.96,3001,0
WLACU.US,D,20241129,000000,9.96,9.96,9.96,9.96,1364,0
WLACU.US,D,20241202,000000,9.9656,9.9703,9.96,9.9703,4612,0
WLACU.US,D,20241203,000000,9.97,9.98,9.97,9.97,25206,0
WLACU.US,D,20241204,000000,9.9792,9.98,9.97,9.98,5679,0
WLACU.US,D,20241205,000000,9.97,9.98,9.97,9.97,12176,0
WLACU.US,D,20241209,000000,9.97,9.97,9.97,9.97,1066,0
WLACU.US,D,20241210,000000,9.9742,9.98,9.9742,9.98,600,0
WLACU.US,D,20241211,000000,9.98,9.983,9.97,9.98,6389,0
WLACU.US,D,20241212,000000,9.98,9.98,9.98,9.98,575,0
WLACU.US,D,20241213,000000,9.98,9.985,9.97,9.97,8749,0
WLACU.US,D,20241216,000000,9.98,9.98,9.97,9.97,15430,0
WLACU.US,D,20241217,000000,9.98,9.98,9.98,9.98,1285,0
WLACU.US,D,20241218,000000,9.97,9.98,9.97,9.98,16932,0
WLACU.US,D,20241219,000000,9.98,9.985,9.98,9.98,66215,0
WLACU.US,D,20241220,000000,9.98,9.9805,9.98,9.98,8520,0
WLACU.US,D,20241223,000000,9.97,9.97,9.96,9.96,116235,0
WLACU.US,D,20241224,000000,9.96,9.98,9.96,9.96,13212,0
WLACU.US,D,20241226,000000,9.96,9.97,9.96,9.97,27125,0
WLACU.US,D,20241230,000000,9.97,9.98,9.97,9.98,7421,0
WLACU.US,D,20241231,000000,9.98,9.98,9.98,9.98,3105,0
WLACU.US,D,20250102,000000,9.99,9.99,9.99,9.99,3200,0
WLACU.US,D,20250103,000000,10.05,10.1111,10.05,10.05,1900,0
WLACU.US,D,20250107,000000,10.03,10.03,10.02,10.0201,4985,0
WLACU.US,D,20250108,000000,10.02,10.0201,10.02,10.0201,2000,0
WLACU.US,D,20250114,000000,10.06,10.06,10.06,10.06,105,0
WLACU.US,D,20250116,000000,10.02,10.02,10.02,10.02,160,0
WLACU.US,D,20250117,000000,10.02,10.02,10.02,10.02,508,0
WLACU.US,D,20250121,000000,10,10.07,10,10.07,482,0
WLACU.US,D,20250122,000000,9.99,10.07,9.99,10.05,425,0
WLACU.US,D,20250123,000000,10.05,10.05,10.03,10.035,7548,0
WLACU.US,D,20250124,000000,10.0595,10.0595,10.0595,10.0595,100,0
