<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AACBU.US,D,20250213,000000,10.01,10.03,10,10,8359370,0
AACBU.US,D,20250214,000000,10,10.01,10,10,756160,0
AACBU.US,D,20250218,000000,10.01,10.02,10.005,10.0105,827024,0
AACBU.US,D,20250219,000000,10.0102,10.0199,10.01,10.01,31769,0
AACBU.US,D,20250220,000000,10.01,10.02,10.01,10.02,251121,0
AACBU.US,D,20250221,000000,10.02,10.03,10.02,10.02,101088,0
AACBU.US,D,20250224,000000,10.0238,10.03,10.02,10.025,77627,0
AACBU.US,D,20250225,000000,10.03,10.03,10.02,10.03,268231,0
AACBU.US,D,20250226,000000,10.03,10.04,10.03,10.03,101224,0
AACBU.US,D,20250227,000000,10.04,10.04,10.0211,10.03,8007,0
AACBU.US,D,20250228,000000,10.03,10.04,10.03,10.04,1190,0
AACBU.US,D,20250303,000000,10.03,10.04,10.03,10.04,572,0
AACBU.US,D,20250304,000000,10.0201,10.03,10.02,10.03,813,0
AACBU.US,D,20250305,000000,10.0351,10.0351,10.02,10.03,7187,0
AACBU.US,D,20250306,000000,10.02,10.04,10.02,10.03,2472,0
AACBU.US,D,20250307,000000,10.03,10.04,10.02,10.04,27743,0
AACBU.US,D,20250310,000000,10.03,10.04,10.03,10.04,217,0
AACBU.US,D,20250311,000000,10.03,10.03,10.03,10.03,149,0
AACBU.US,D,20250312,000000,10.04,10.1,10.04,10.1,430593,0
AACBU.US,D,20250313,000000,10.0422,10.06,10.04,10.06,1206,0
AACBU.US,D,20250317,000000,10.0411,10.06,10.0411,10.05,153415,0
AACBU.US,D,20250318,000000,10.05,10.05,10.05,10.05,107,0
AACBU.US,D,20250319,000000,10.06,10.06,10.06,10.06,4173,0
AACBU.US,D,20250320,000000,10.06,10.06,10.055,10.06,76026,0
AACBU.US,D,20250321,000000,10.04,10.06,10.04,10.06,110270,0
AACBU.US,D,20250324,000000,10.04,10.04,10.04,10.04,717,0
AACBU.US,D,20250326,000000,10.06,10.07,10.05,10.07,55550,0
AACBU.US,D,20250401,000000,10.0901,10.0901,10.08,10.0811,500,0
AACBU.US,D,20250402,000000,10.0906,10.095,10.08,10.0801,828,0
AACBU.US,D,20250403,000000,10.0852,10.0852,10.07,10.08,518,0
AACBU.US,D,20250404,000000,10.07,10.12,10.07,10.12,555,0
AACBU.US,D,20250407,000000,10.13,10.14,10.1,10.1,9865,0
AACBU.US,D,20250408,000000,10.1155,10.1155,10.07,10.081,828,0
AACBU.US,D,20250409,000000,10.08,10.08,10.07,10.07,731,0
AACBU.US,D,20250411,000000,10.0703,10.1,10.06,10.06,6311,0
