<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AGEN.US,D,20050225,000000,892.8,918,870,906,2356.7000000000003,0
AGEN.US,D,20050228,000000,924,930,822,828,5697.6,0
AGEN.US,D,20050301,000000,840,840,780,816,7758.35,0
AGEN.US,D,20050302,000000,796.8,810,775.2,795.6,3810.9500000000003,0
AGEN.US,D,20050303,000000,775.2,802.8,753.6,777.6,3355.05,0
AGEN.US,D,20050304,000000,777.6,781.2,732,756,5138.700000000001,0
AGEN.US,D,20050307,000000,762,840,760.8,828,6748.75,0
AGEN.US,D,20050308,000000,829.2,848.4,811.2,823.2,2883.3500000000004,0
AGEN.US,D,20050309,000000,816,838.8,811.2,830.4,2636.5,0
AGEN.US,D,20050310,000000,830.4,860.4,810,846,2020.8500000000001,0
AGEN.US,D,20050311,000000,872.4,888,817.2,835.2,3201.4500000000003,0
AGEN.US,D,20050314,000000,843.6,891.6,820.8,888,2665.8500000000004,0
AGEN.US,D,20050315,000000,898.8,898.8,832.8,859.2,4125.5,0
AGEN.US,D,20050316,000000,837.6,874.8,836.4,867.6,1805.95,0
AGEN.US,D,20050317,000000,853.2,879.6,848.4,858,2151.05,0
AGEN.US,D,20050318,000000,898.8,898.8,847.2,853.2,4747.85,0
AGEN.US,D,20050321,000000,842.4,865.2,796.8,804,4063.8,0
AGEN.US,D,20050322,000000,812.4,848.4,798,840,2785.75,0
AGEN.US,D,20050323,000000,836.4,896.4,810,889.2,4882.75,0
AGEN.US,D,20050324,000000,900,900,846,892.8,3936.15,0
AGEN.US,D,20050328,000000,897.6,900,830.4,836.4,2632.8,0
AGEN.US,D,20050329,000000,880.8,882,795.6,802.8,4085.65,0
AGEN.US,D,20050330,000000,798,818.4,780,805.2,3792.2000000000003,0
AGEN.US,D,20050331,000000,796.8,816,774,804,4651.2,0
AGEN.US,D,20050401,000000,802.8,853.2,789.6,825.6,5303.85,0
AGEN.US,D,20050404,000000,825.6,858,825.6,853.2,3127.25,0
AGEN.US,D,20050405,000000,859.2,879.6,816,873.6,3094.1000000000004,0
AGEN.US,D,20050406,000000,873.6,876,852,865.2,1787.5,0
AGEN.US,D,20050407,000000,871.2,876,844.8,868.8,1645.4,0
AGEN.US,D,20050408,000000,866.4,871.2,826.8,852,2086.35,0
