<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BANFP.US,D,20100824,000000,17.666,17.666,17.666,17.666,668,0
BANFP.US,D,20100825,000000,17.558,17.558,17.558,17.558,744,0
BANFP.US,D,20100826,000000,17.767,17.767,17.767,17.767,744,0
BANFP.US,D,20100827,000000,17.767,17.767,17.767,17.767,1903,0
BANFP.US,D,20100903,000000,17.767,17.767,17.767,17.767,298,0
BANFP.US,D,20100909,000000,17.767,17.767,17.767,17.767,744,0
BANFP.US,D,20100910,000000,18.166,18.166,18.166,18.166,816,0
BANFP.US,D,20100913,000000,18.138,18.138,18.138,18.138,553,0
BANFP.US,D,20100922,000000,17.767,17.767,17.767,17.767,1787,0
BANFP.US,D,20100923,000000,17.79,17.79,17.79,17.79,298,0
BANFP.US,D,20100924,000000,17.835,18.064,17.767,17.767,5351,0
BANFP.US,D,20101001,000000,18.138,18.138,18.138,18.138,298,0
BANFP.US,D,20101005,000000,17.781,17.781,17.767,17.767,1934,0
BANFP.US,D,20101012,000000,18.083,18.083,18.083,18.083,148,0
BANFP.US,D,20101013,000000,17.773,17.773,17.767,17.767,744,0
BANFP.US,D,20101014,000000,18.507,18.507,18.083,18.083,4755,0
BANFP.US,D,20101015,000000,18.494,18.507,18.138,18.138,5052,0
BANFP.US,D,20101019,000000,17.79,17.79,17.767,17.773,889,0
BANFP.US,D,20101022,000000,17.79,18.064,17.781,18.064,673,0
BANFP.US,D,20101025,000000,18.064,18.064,18.064,18.064,298,0
BANFP.US,D,20101027,000000,17.808,17.942,17.767,17.767,4550,0
BANFP.US,D,20101101,000000,18.145,18.145,17.767,17.767,5161,0
BANFP.US,D,20101102,000000,17.761,18.038,17.761,18.038,832,0
BANFP.US,D,20101103,000000,18.038,18.038,18.038,18.038,1484,0
BANFP.US,D,20101104,000000,18.038,18.038,18.038,18.038,593,0
BANFP.US,D,20101109,000000,18.038,18.038,17.773,17.773,1374,0
BANFP.US,D,20101110,000000,18.166,18.166,18.166,18.166,593,0
BANFP.US,D,20101111,000000,18.166,18.166,18.166,18.166,298,0
BANFP.US,D,20101115,000000,18.501,18.501,18.501,18.501,298,0
BANFP.US,D,20101116,000000,18.341,18.341,17.767,17.767,1338,0
BANFP.US,D,20101117,000000,17.773,17.773,17.767,17.767,1037,0
BANFP.US,D,20101119,000000,18.341,18.341,18.341,18.341,298,0
BANFP.US,D,20101122,000000,18.341,18.341,18.341,18.341,298,0
BANFP.US,D,20101129,000000,17.773,17.773,17.767,17.767,593,0
BANFP.US,D,20101201,000000,17.767,18.333,17.331,18.28,3380,0
BANFP.US,D,20101206,000000,18.293,18.306,17.976,17.976,1484,0
BANFP.US,D,20101208,000000,18.3,18.306,18.3,18.306,445,0
BANFP.US,D,20101209,000000,17.344,17.344,17.331,17.331,877,0
BANFP.US,D,20101214,000000,17.827,17.827,17.767,17.767,645,0
BANFP.US,D,20101215,000000,17.359,17.79,17.359,17.359,1484,0
BANFP.US,D,20101216,000000,17.331,17.331,17.331,17.331,1094,0
BANFP.US,D,20101217,000000,18.171,18.171,18.069,18.107,1344,0
BANFP.US,D,20101221,000000,17.331,17.352,17.331,17.344,593,0
BANFP.US,D,20101222,000000,18.107,18.608,18.023,18.608,19412,0
BANFP.US,D,20101230,000000,18.341,18.341,18.341,18.341,445,0
BANFP.US,D,20101231,000000,18.171,18.171,18.171,18.171,1484,0
BANFP.US,D,20110103,000000,17.904,17.904,17.904,17.904,744,0
BANFP.US,D,20110105,000000,18.494,18.71,18.494,18.71,2376,0
BANFP.US,D,20110110,000000,17.965,17.965,17.928,17.928,2273,0
BANFP.US,D,20110112,000000,17.934,17.934,17.869,17.869,1703,0
BANFP.US,D,20110113,000000,18.005,18.005,18.005,18.005,298,0
BANFP.US,D,20110119,000000,18.46,18.46,18.46,18.46,148,0
BANFP.US,D,20110125,000000,18.413,18.441,18.413,18.441,1172,0
BANFP.US,D,20110128,000000,18.441,18.847,18.441,18.71,3433,0
BANFP.US,D,20110201,000000,18.847,18.847,18.847,18.847,169,0
BANFP.US,D,20110208,000000,18.507,18.507,18.507,18.507,298,0
BANFP.US,D,20110209,000000,17.942,17.942,17.934,17.934,1012,0
BANFP.US,D,20110214,000000,17.957,17.957,17.957,17.957,593,0
BANFP.US,D,20110216,000000,17.869,17.869,17.869,17.869,298,0
BANFP.US,D,20110222,000000,17.869,17.869,17.869,17.869,445,0
BANFP.US,D,20110228,000000,17.875,17.875,17.869,17.869,744,0
BANFP.US,D,20110311,000000,17.869,17.869,17.869,17.869,1112,0
BANFP.US,D,20110317,000000,18.372,18.38,18.372,18.38,744,0
BANFP.US,D,20110318,000000,18.488,18.488,18.474,18.474,518,0
BANFP.US,D,20110321,000000,18.482,18.482,18.482,18.482,148,0
BANFP.US,D,20110329,000000,17.702,18.847,17.702,17.702,1967,0
BANFP.US,D,20110401,000000,17.79,17.79,17.755,17.79,824,0
BANFP.US,D,20110404,000000,18.629,18.803,17.773,17.773,1338,0
BANFP.US,D,20110407,000000,17.842,17.869,17.842,17.869,445,0
BANFP.US,D,20110413,000000,18.36,18.803,17.821,17.821,1787,0
BANFP.US,D,20110420,000000,17.934,17.934,17.869,17.869,1484,0
BANFP.US,D,20110421,000000,18.543,18.847,18.091,18.091,3567,0
BANFP.US,D,20110428,000000,18.847,18.847,18.847,18.847,518,0
BANFP.US,D,20110502,000000,18.488,18.507,18.488,18.507,1484,0
BANFP.US,D,20110504,000000,18.507,18.507,18.507,18.507,1316,0
BANFP.US,D,20110505,000000,18.777,18.777,18.171,18.171,2028,0
BANFP.US,D,20110509,000000,18.629,18.629,18.507,18.507,298,0
BANFP.US,D,20110513,000000,18.757,18.757,18.643,18.643,298,0
BANFP.US,D,20110516,000000,18.246,18.246,18.246,18.246,226,0
BANFP.US,D,20110517,000000,18.28,18.306,18.258,18.258,1017,0
BANFP.US,D,20110518,000000,18.057,18.057,18.057,18.057,226,0
BANFP.US,D,20110526,000000,18.111,18.757,18.111,18.576,2205,0
BANFP.US,D,20110527,000000,18.205,18.28,18.199,18.246,1338,0
BANFP.US,D,20110614,000000,18.838,18.838,18.306,18.372,593,0
BANFP.US,D,20110621,000000,18.803,18.803,18.803,18.803,370,0
BANFP.US,D,20110630,000000,18.71,18.792,18.71,18.792,1338,0
BANFP.US,D,20110701,000000,18.769,18.847,18.769,18.847,768,0
BANFP.US,D,20110705,000000,18.825,18.847,18.825,18.847,744,0
BANFP.US,D,20110706,000000,19.146,19.17,19.146,19.17,1338,0
BANFP.US,D,20110707,000000,19.116,19.116,18.177,18.763,3046,0
BANFP.US,D,20110719,000000,18.238,18.265,18.177,18.238,889,0
BANFP.US,D,20110721,000000,18.246,18.246,18.171,18.171,1190,0
BANFP.US,D,20110726,000000,18.192,18.192,18.192,18.192,148,0
BANFP.US,D,20110727,000000,18.205,18.671,18.205,18.671,2028,0
BANFP.US,D,20110801,000000,18.629,18.677,18.629,18.677,4160,0
BANFP.US,D,20110803,000000,18.205,18.406,18.205,18.406,1039,0
BANFP.US,D,20110804,000000,18.488,18.488,18.488,18.488,298,0
BANFP.US,D,20110811,000000,18.22,18.22,18.205,18.205,298,0
BANFP.US,D,20110815,000000,18.205,18.231,18.205,18.225,593,0
BANFP.US,D,20110822,000000,18.205,18.231,18.171,18.171,1934,0
BANFP.US,D,20110824,000000,18.171,18.341,18.171,18.341,2969,0
BANFP.US,D,20110825,000000,18.177,18.177,18.171,18.171,1729,0
BANFP.US,D,20110829,000000,18.171,18.171,18.171,18.171,781,0
BANFP.US,D,20110914,000000,18.507,18.677,18.501,18.501,663,0
BANFP.US,D,20110915,000000,18.185,18.205,18.171,18.192,1257,0
BANFP.US,D,20110916,000000,18.171,18.171,18.171,18.171,593,0
BANFP.US,D,20110919,000000,18.171,18.185,18.171,18.171,3945,0
BANFP.US,D,20110920,000000,18.171,18.171,18.171,18.171,9508,0
BANFP.US,D,20110923,000000,18.171,18.171,18.171,18.171,1697,0
BANFP.US,D,20110927,000000,16.858,17.331,16.834,17.331,744,0
BANFP.US,D,20110928,000000,17.666,17.666,17.666,17.666,298,0
BANFP.US,D,20110930,000000,17.835,17.835,17.835,17.835,829,0
BANFP.US,D,20111004,000000,17.857,18.671,16.826,18.671,5163,0
BANFP.US,D,20111012,000000,18.643,18.643,18.643,18.643,593,0
BANFP.US,D,20111013,000000,18.372,18.677,18.069,18.069,1037,0
BANFP.US,D,20111017,000000,17.816,17.821,17.816,17.821,410,0
BANFP.US,D,20111018,000000,17.801,18.81,17.801,18.81,1992,0
BANFP.US,D,20111024,000000,18.847,19.511,18.507,18.507,1787,0
BANFP.US,D,20111025,000000,19.516,19.516,19.516,19.516,148,0
BANFP.US,D,20111026,000000,17.666,17.666,17.666,17.666,593,0
BANFP.US,D,20111027,000000,18.501,18.501,18.501,18.501,228,0
BANFP.US,D,20111028,000000,18.354,18.354,18.354,18.354,298,0
BANFP.US,D,20111031,000000,16.966,16.966,16.966,16.966,446,0
BANFP.US,D,20111102,000000,18.507,18.507,18.474,18.507,3311,0
BANFP.US,D,20111103,000000,18.488,19.175,18.488,18.864,1934,0
BANFP.US,D,20111122,000000,19.026,19.026,18.341,18.341,445,0
BANFP.US,D,20111206,000000,17.546,17.546,17.506,17.527,957,0
BANFP.US,D,20111209,000000,18.153,18.171,18.153,18.171,5536,0
BANFP.US,D,20111212,000000,17.519,17.519,17.519,17.519,328,0
BANFP.US,D,20111213,000000,18.166,18.166,18.166,18.166,226,0
BANFP.US,D,20111214,000000,17.601,17.601,17.601,17.601,744,0
BANFP.US,D,20111216,000000,18.166,18.166,18.077,18.077,298,0
BANFP.US,D,20111221,000000,18.16,18.171,18.16,18.171,3349,0
BANFP.US,D,20111223,000000,18.847,18.847,18.847,18.847,148,0
BANFP.US,D,20120103,000000,19.17,19.182,17.869,17.869,1955,0
BANFP.US,D,20120105,000000,19.127,19.127,19.127,19.127,298,0
BANFP.US,D,20120110,000000,19.1,19.1,19.1,19.1,446,0
BANFP.US,D,20120113,000000,19.1,19.1,19.1,19.1,298,0
BANFP.US,D,20120123,000000,19.1,19.182,19.1,19.182,1270,0
BANFP.US,D,20120124,000000,19.182,19.182,19.182,19.182,757,0
BANFP.US,D,20120125,000000,19.281,19.281,19.116,19.116,9007,0
BANFP.US,D,20120130,000000,18.543,19.135,18.536,19.135,1992,0
BANFP.US,D,20120131,000000,18.635,18.635,18.629,18.629,1038,0
BANFP.US,D,20120203,000000,19.135,19.135,18.608,18.608,1383,0
BANFP.US,D,20120206,000000,18.616,18.987,18.616,18.616,744,0
BANFP.US,D,20120207,000000,18.847,18.847,18.847,18.847,668,0
BANFP.US,D,20120208,000000,18.852,18.852,18.852,18.852,148,0
BANFP.US,D,20120209,000000,19.146,19.146,19.146,19.146,298,0
BANFP.US,D,20120216,000000,19.146,19.146,19.08,19.08,744,0
BANFP.US,D,20120223,000000,18.616,19.14,18.608,18.616,2896,0
BANFP.US,D,20120227,000000,18.608,18.608,18.608,18.608,1787,0
BANFP.US,D,20120228,000000,18.643,18.643,18.608,18.608,890,0
BANFP.US,D,20120312,000000,18.347,18.347,18.347,18.347,148,0
BANFP.US,D,20120315,000000,18.624,18.635,18.624,18.635,445,0
BANFP.US,D,20120319,000000,19.074,19.146,18.213,19.074,2230,0
BANFP.US,D,20120326,000000,19.074,19.074,19.074,19.074,298,0
BANFP.US,D,20120328,000000,18.838,18.838,18.838,18.838,191,0
BANFP.US,D,20120403,000000,18.608,18.608,18.608,18.608,298,0
BANFP.US,D,20120410,000000,19.087,19.087,19.087,19.087,148,0
BANFP.US,D,20120416,000000,18.501,18.501,18.171,18.171,1932,0
BANFP.US,D,20120417,000000,19.04,19.14,19.04,19.14,335,0
BANFP.US,D,20120418,000000,18.441,18.441,18.441,18.441,148,0
BANFP.US,D,20120419,000000,18.441,19.116,18.441,19.1,3492,0
BANFP.US,D,20120420,000000,18.449,19.001,18.449,19.001,1037,0
BANFP.US,D,20120426,000000,19.108,19.108,18.347,18.347,298,0
BANFP.US,D,20120503,000000,18.966,18.966,18.966,18.966,593,0
BANFP.US,D,20120507,000000,18.677,18.677,18.677,18.677,1824,0
BANFP.US,D,20120515,000000,18.354,18.354,18.354,18.354,593,0
BANFP.US,D,20120516,000000,19.108,19.108,19.108,19.108,370,0
BANFP.US,D,20120517,000000,18.847,18.847,18.847,18.847,1602,0
BANFP.US,D,20120518,000000,19.116,19.116,19.116,19.116,226,0
BANFP.US,D,20120523,000000,18.992,18.992,18.992,18.992,445,0
BANFP.US,D,20120524,000000,19.146,19.146,19.146,19.146,148,0
BANFP.US,D,20120529,000000,19.146,19.146,19.026,19.026,417,0
BANFP.US,D,20120530,000000,18.979,19.146,18.979,19.08,781,0
BANFP.US,D,20120604,000000,19.135,19.146,19.135,19.146,2376,0
BANFP.US,D,20120606,000000,18.569,18.616,18.341,18.341,1309,0
BANFP.US,D,20120607,000000,18.852,18.852,18.171,18.171,4014,0
BANFP.US,D,20120608,000000,18.171,18.171,18.171,18.171,257,0
BANFP.US,D,20120612,000000,18.171,18.171,18.171,18.171,593,0
BANFP.US,D,20120613,000000,18.153,18.153,18.153,18.153,298,0
BANFP.US,D,20120615,000000,17.875,17.875,17.869,17.869,329,0
BANFP.US,D,20120618,000000,18.153,18.153,18.153,18.153,148,0
BANFP.US,D,20120619,000000,17.911,17.911,17.869,17.875,735,0
BANFP.US,D,20120620,000000,18.138,18.677,18.138,18.401,1934,0
BANFP.US,D,20120621,000000,18.177,18.177,18.177,18.177,1484,0
BANFP.US,D,20120625,000000,18.185,18.185,18.185,18.185,593,0
BANFP.US,D,20120717,000000,17.928,18.005,17.869,18.005,1484,0
BANFP.US,D,20120718,000000,18.038,18.171,18.038,18.171,890,0
BANFP.US,D,20120719,000000,17.918,17.922,17.875,17.922,664,0
BANFP.US,D,20120720,000000,17.888,17.888,17.888,17.888,734,0
BANFP.US,D,20120723,000000,18.171,18.171,17.869,17.869,5750,0
BANFP.US,D,20120724,000000,18.011,18.011,18.011,18.011,978,0
BANFP.US,D,20120725,000000,18.328,18.328,18.328,18.328,445,0
BANFP.US,D,20120727,000000,18.285,18.341,18.285,18.341,1037,0
BANFP.US,D,20120801,000000,18.763,18.763,18.138,18.138,597,0
BANFP.US,D,20120806,000000,18.743,18.763,18.743,18.763,298,0
BANFP.US,D,20120808,000000,18.177,18.177,18.177,18.177,298,0
BANFP.US,D,20120810,000000,18.763,18.763,18.763,18.763,148,0
BANFP.US,D,20120814,000000,23.833,23.833,18.515,18.515,1883,0
BANFP.US,D,20120816,000000,24.364,24.364,24.364,24.364,148,0
BANFP.US,D,20120817,000000,18.548,18.548,18.347,18.536,593,0
BANFP.US,D,20120821,000000,18.246,18.347,18.171,18.347,4161,0
BANFP.US,D,20120822,000000,18.602,18.602,18.602,18.602,298,0
BANFP.US,D,20120824,000000,18.372,18.372,18.311,18.341,744,0
BANFP.US,D,20120827,000000,18.238,18.306,18.238,18.238,298,0
BANFP.US,D,20120828,000000,18.138,18.199,17.869,17.879,7119,0
