<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CCD.US,D,20150327,000000,11.9465,12.0463,11.9465,11.9465,4021159.9395111,0
CCD.US,D,20150330,000000,11.969,11.9886,11.9465,11.9521,112340.13758996,0
CCD.US,D,20150331,000000,11.9623,11.9837,11.9521,11.9521,171142.41656981,0
CCD.US,D,20150401,000000,11.9923,11.9923,11.9521,11.9521,37445.641001316,0
CCD.US,D,20150402,000000,11.9735,12.0584,11.9521,12.0389,76364.633927798,0
CCD.US,D,20150406,000000,11.9837,12.0631,11.9837,12.0584,30758.230554077,0
CCD.US,D,20150407,000000,12.0463,12.1359,12.0212,12.1173,86209.839373919,0
CCD.US,D,20150408,000000,12.0463,12.0837,12.0276,12.0668,41003.116195169,0
CCD.US,D,20150409,000000,12.0892,12.1266,12.0389,12.0892,81810.142643207,0
CCD.US,D,20150410,000000,12.1387,12.1387,11.9978,12.024,48537.034293958,0
CCD.US,D,20150413,000000,12.0389,12.0911,11.9837,11.9978,60882.116133829,0
CCD.US,D,20150414,000000,12.0164,12.0584,11.9886,11.9978,44564.877503712,0
CCD.US,D,20150415,000000,12.0389,12.0389,11.9837,12.024,29404.889840271,0
CCD.US,D,20150416,000000,12.0631,12.0892,12.012,12.0837,45139.216872359,0
CCD.US,D,20150417,000000,12.1135,12.1135,12.0716,12.0911,40167.323830347,0
CCD.US,D,20150420,000000,12.0911,12.1266,12.0828,12.1266,62981.240803937,0
CCD.US,D,20150421,000000,12.121,12.1332,12.0334,12.0361,50128.254373136,0
CCD.US,D,20150422,000000,12.1135,12.232,12.0538,12.12,48545.60652334,0
CCD.US,D,20150423,000000,12.1592,12.1834,12.0668,12.1834,48537.034293958,0
CCD.US,D,20150424,000000,12.1882,12.2385,12.1266,12.2145,54815.120788169,0
CCD.US,D,20150427,000000,12.1945,12.2573,12.0716,12.0716,101053.72607887,0
CCD.US,D,20150428,000000,12.0668,12.2488,11.9782,12.1592,314868.70051614,0
CCD.US,D,20150429,000000,12.1882,12.4141,12.0062,12.0276,674933.4089243,0
CCD.US,D,20150430,000000,12.1882,12.2927,11.9735,12.1723,579946.67819109,0
CCD.US,D,20150501,000000,12.0911,12.1565,12.012,12.024,30543.924819507,0
CCD.US,D,20150504,000000,11.9465,11.9735,11.9465,11.9465,1144005.8007497,0
CCD.US,D,20150505,000000,11.9465,11.9521,11.9465,11.9465,292694.48616024,0
CCD.US,D,20150506,000000,11.9465,12.0034,11.9465,11.9465,220782.05386813,0
CCD.US,D,20150507,000000,12.012,12.0212,11.9465,11.9735,100703.33620285,0
