<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CCLD.US,D,20140723,000000,5,5,4.15,4.28,1896261,0
CCLD.US,D,20140724,000000,4.28,4.38,4.02,4.15,179958,0
CCLD.US,D,20140725,000000,4.23,4.23,3.8,4.09,131339,0
CCLD.US,D,20140728,000000,4.09,4.34,3.64,3.89,106548,0
CCLD.US,D,20140729,000000,3.83,3.84,3.7,3.78,62864,0
CCLD.US,D,20140730,000000,3.67,4,3.67,3.87,112048,0
CCLD.US,D,20140731,000000,3.8,4,3.7,3.78,41741,0
CCLD.US,D,20140801,000000,3.84,3.89,3.69,3.75,24975,0
CCLD.US,D,20140804,000000,3.8,3.9,3.64,3.69,55399,0
CCLD.US,D,20140805,000000,3.59,3.645,3.43,3.5,57545,0
CCLD.US,D,20140806,000000,3.49,3.6,3.39,3.5,29652,0
CCLD.US,D,20140807,000000,3.27,3.44,3.27,3.44,62151,0
CCLD.US,D,20140808,000000,3.35,3.56,3.19,3.31,70951,0
CCLD.US,D,20140811,000000,3.5,3.58,3.21,3.31,57598,0
CCLD.US,D,20140812,000000,3.29,3.3899,3.23,3.31,14738,0
CCLD.US,D,20140813,000000,3.43,3.5299,3.3101,3.35,25742,0
CCLD.US,D,20140814,000000,3.39,3.42,3.34,3.4,11910,0
CCLD.US,D,20140815,000000,3.4,3.6,3.37,3.45,42972,0
CCLD.US,D,20140818,000000,3.42,3.45,3.3,3.32,19752,0
CCLD.US,D,20140819,000000,3.5,3.5,3.2,3.21,25646,0
CCLD.US,D,20140820,000000,3.38,3.38,3.01,3.07,35397,0
CCLD.US,D,20140821,000000,3.06,3.11,3,3.09,92632,0
CCLD.US,D,20140822,000000,3.06,3.09,3.05,3.09,9140,0
CCLD.US,D,20140825,000000,3.1,3.5,3.0501,3.45,142061,0
CCLD.US,D,20140826,000000,3.49,3.55,3.38,3.47,81444,0
CCLD.US,D,20140827,000000,3.5,3.5,3.11,3.13,95749,0
CCLD.US,D,20140828,000000,3.45,3.45,3.1406,3.19,26478,0
CCLD.US,D,20140829,000000,3.2,3.44,3.2,3.38,65828,0
CCLD.US,D,20140902,000000,3.4,3.55,3.36,3.39,64820,0
CCLD.US,D,20140903,000000,3.45,4.09,3.45,3.92,421989,0
CCLD.US,D,20140904,000000,3.86,3.92,3.62,3.77,84079,0
CCLD.US,D,20140905,000000,3.68,3.85,3.68,3.79,41569,0
CCLD.US,D,20140908,000000,3.87,4.185,3.79,3.97,95382,0
CCLD.US,D,20140909,000000,4.08,4.08,3.87,3.91,67291,0
CCLD.US,D,20140910,000000,3.98,3.98,3.835,3.88,27038,0
CCLD.US,D,20140911,000000,3.8,3.84,3.69,3.83,25403,0
CCLD.US,D,20140912,000000,3.8084,3.88,3.7,3.7615,13333,0
CCLD.US,D,20140915,000000,3.67,3.908,3.66,3.83,36601,0
CCLD.US,D,20140916,000000,3.76,3.9,3.7,3.74,19527,0
CCLD.US,D,20140917,000000,3.75,3.829,3.61,3.61,24175,0
CCLD.US,D,20140918,000000,3.66,3.749,3.55,3.64,52642,0
CCLD.US,D,20140919,000000,3.71,3.8,3.49,3.49,55448,0
CCLD.US,D,20140922,000000,3.5,3.516,3.14,3.4,41190,0
CCLD.US,D,20140923,000000,3.5,3.62,3.31,3.62,16607,0
CCLD.US,D,20140924,000000,3.63,3.74,3.35,3.61,15171,0
CCLD.US,D,20140925,000000,3.71,3.8,3.5101,3.73,12828,0
CCLD.US,D,20140926,000000,3.7,3.74,3.62,3.72,14204,0
CCLD.US,D,20140929,000000,3.75,3.76,3.56,3.69,3817,0
CCLD.US,D,20140930,000000,3.71,3.74,3.36,3.56,24038,0
CCLD.US,D,20141001,000000,3.6,3.61,3.59,3.59,17695,0
CCLD.US,D,20141002,000000,3.4901,3.515,3.49,3.51,4560,0
CCLD.US,D,20141003,000000,3.582,3.582,3.32,3.46,33670,0
CCLD.US,D,20141006,000000,3.48,3.48,3.26,3.28,9433,0
CCLD.US,D,20141007,000000,3.4,3.411,3.28,3.29,17259,0
CCLD.US,D,20141008,000000,3.26,3.35,3.25,3.35,11535,0
CCLD.US,D,20141009,000000,3.37,3.37,3.21,3.3,10737,0
CCLD.US,D,20141010,000000,3.21,3.309,3.2,3.23,13059,0
CCLD.US,D,20141013,000000,3.23,3.492,3.21,3.2236,19310,0
CCLD.US,D,20141014,000000,3.2,3.35,3.2,3.31,14249,0
CCLD.US,D,20141015,000000,3.16,3.369,3.16,3.34,11104,0
CCLD.US,D,20141016,000000,3.21,3.34,3.2,3.33,8528,0
CCLD.US,D,20141017,000000,3.35,3.4199,3.24,3.266,3620,0
CCLD.US,D,20141020,000000,3.45,3.54,3.29,3.29,11435,0
CCLD.US,D,20141021,000000,3.31,3.44,3.19,3.25,19191,0
CCLD.US,D,20141022,000000,3.27,3.45,3.27,3.31,11001,0
CCLD.US,D,20141023,000000,3.22,3.45,3.21,3.36,2198,0
CCLD.US,D,20141024,000000,3.25,3.3065,3.2201,3.2201,1874,0
CCLD.US,D,20141027,000000,3.23,3.35,3.21,3.3,7205,0
CCLD.US,D,20141028,000000,3.25,3.2558,3.16,3.17,8913,0
CCLD.US,D,20141029,000000,3.2,3.45,3.2,3.27,6758,0
CCLD.US,D,20141030,000000,3.2,3.27,3.2,3.2,9210,0
CCLD.US,D,20141031,000000,3.26,3.44,3.25,3.439,7900,0
