<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FAASW.US,D,20210910,000000,0.55,0.55,0.55,0.55,40001,0
FAASW.US,D,20210913,000000,0.55,0.55,0.52,0.52,400,0
FAASW.US,D,20210914,000000,0.52,0.55,0.51,0.52,175670,0
FAASW.US,D,20210915,000000,0.51,0.51,0.4901,0.4901,117982,0
FAASW.US,D,20210916,000000,0.52,0.55,0.46,0.55,15474,0
FAASW.US,D,20210917,000000,0.5,0.52,0.412,0.449899,172221,0
FAASW.US,D,20210920,000000,0.448,0.4499,0.43,0.4499,130655,0
FAASW.US,D,20210921,000000,0.46,0.5,0.46,0.4899,64043,0
FAASW.US,D,20210922,000000,0.45,0.465,0.4,0.44,22558,0
FAASW.US,D,20210923,000000,0.44,0.45,0.4015,0.44,52730,0
FAASW.US,D,20210924,000000,0.44,0.48,0.4399,0.4497,27145,0
FAASW.US,D,20210927,000000,0.45,0.45,0.442,0.45,20258,0
FAASW.US,D,20210928,000000,0.46,0.46,0.4373,0.4373,7800,0
FAASW.US,D,20210929,000000,0.46,0.46,0.43,0.4386,55478,0
FAASW.US,D,20210930,000000,0.4372,0.4599,0.4372,0.4599,750,0
FAASW.US,D,20211001,000000,0.4799,0.4799,0.4799,0.4799,130,0
FAASW.US,D,20211004,000000,0.44,0.4599,0.4333,0.4598,34634,0
FAASW.US,D,20211005,000000,0.4301,0.46,0.43,0.45,7411,0
FAASW.US,D,20211006,000000,0.4461,0.4461,0.4461,0.4461,200,0
FAASW.US,D,20211007,000000,0.4399,0.44,0.439899,0.44,3878,0
FAASW.US,D,20211008,000000,0.45,0.45,0.45,0.45,100,0
FAASW.US,D,20211012,000000,0.46,0.46,0.46,0.46,100,0
FAASW.US,D,20211018,000000,0.4499,0.45,0.433,0.433,253900,0
FAASW.US,D,20211019,000000,0.45,0.45,0.43,0.435,6600,0
FAASW.US,D,20211020,000000,0.4464,0.4464,0.4464,0.4464,100,0
FAASW.US,D,20211021,000000,0.4329,0.44,0.43,0.44,50160,0
FAASW.US,D,20211022,000000,0.44245,0.47,0.44,0.46,436683,0
FAASW.US,D,20211025,000000,0.46,0.49,0.46,0.49,163951,0
FAASW.US,D,20211026,000000,0.48,0.4999,0.45,0.4999,199694,0
FAASW.US,D,20211027,000000,0.5,0.5097,0.5,0.5097,2100,0
FAASW.US,D,20211028,000000,0.5,0.51,0.5,0.51,5360,0
FAASW.US,D,20211029,000000,0.51,0.5199,0.5,0.51,15651,0
FAASW.US,D,20211101,000000,0.5199,0.5399,0.5011,0.5399,53600,0
FAASW.US,D,20211102,000000,0.53,0.58,0.53,0.57,77794,0
FAASW.US,D,20211104,000000,0.5313,0.57495,0.5313,0.57495,7600,0
FAASW.US,D,20211105,000000,0.5798,0.5798,0.55,0.55,4340,0
FAASW.US,D,20211108,000000,0.549899,0.57,0.549899,0.56005,51200,0
FAASW.US,D,20211109,000000,0.5599,0.5599,0.53,0.55,3200,0
FAASW.US,D,20211110,000000,0.536872,0.57,0.536872,0.5501,83760,0
FAASW.US,D,20211111,000000,0.55,0.5837,0.55,0.562,42300,0
FAASW.US,D,20211112,000000,0.561,0.561,0.53,0.5503,31000,0
FAASW.US,D,20211115,000000,0.55,0.55,0.5312,0.5312,26531,0
FAASW.US,D,20211116,000000,0.54,0.548,0.53065,0.548,5100,0
FAASW.US,D,20211122,000000,0.52,0.53,0.52,0.53,50171,0
FAASW.US,D,20211123,000000,0.53,0.53,0.53,0.53,2994,0
FAASW.US,D,20211124,000000,0.5101,0.529,0.5101,0.529,200,0
FAASW.US,D,20211126,000000,0.535,0.535,0.535,0.535,125,0
FAASW.US,D,20211129,000000,0.5102,0.538375,0.51,0.538375,12530,0
FAASW.US,D,20211130,000000,0.5103,0.5103,0.4808,0.5046,8610,0
FAASW.US,D,20211201,000000,0.4966,0.529599,0.47,0.529599,82900,0
FAASW.US,D,20211203,000000,0.5099,0.5099,0.4601,0.49,6616,0
FAASW.US,D,20211207,000000,0.5397,0.5397,0.5397,0.5397,545,0
