<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HWAY.US,D,20240916,000000,26.86,26.86,25.8614,25.8614,233,0
HWAY.US,D,20240917,000000,27.12,27.12,26.12,26.137,676,0
HWAY.US,D,20240918,000000,26.34,26.34,26.195,26.195,156,0
HWAY.US,D,20240919,000000,26.7,27.4,26.7,27.4,6600,0
HWAY.US,D,20240920,000000,29.32,29.32,26.6391,26.6391,379,0
HWAY.US,D,20240923,000000,28.24,28.24,26.7212,26.7212,478,0
HWAY.US,D,20240924,000000,26.98,26.98,26.8769,26.8769,389,0
HWAY.US,D,20240925,000000,26.89,26.89,26.6346,26.6346,128,0
HWAY.US,D,20240926,000000,27.08,27.08,26.89,26.8954,202,0
HWAY.US,D,20240927,000000,27.05,27.05,27.0347,27.0347,139,0
HWAY.US,D,20240930,000000,28.36,28.36,26.08,27.0707,444,0
HWAY.US,D,20241001,000000,26.82,26.985,26.82,26.985,200,0
HWAY.US,D,20241002,000000,27.02,27.02,26.9057,26.9057,104,0
HWAY.US,D,20241003,000000,26.71,26.7554,26.71,26.7554,131,0
HWAY.US,D,20241004,000000,26.87,26.9171,26.87,26.9171,160,0
HWAY.US,D,20241007,000000,26.86,26.903,26.86,26.903,155,0
HWAY.US,D,20241008,000000,26.75,26.8127,26.75,26.8127,300,0
HWAY.US,D,20241009,000000,26.96,27.0496,26.96,27.0496,203,0
HWAY.US,D,20241010,000000,26.89,26.9317,26.89,26.9317,114,0
HWAY.US,D,20241011,000000,27.22,27.4747,27.22,27.4747,104,0
HWAY.US,D,20241014,000000,27.45,27.6641,27.45,27.6641,103,0
HWAY.US,D,20241015,000000,27.66,27.66,27.4835,27.4835,248,0
HWAY.US,D,20241016,000000,27.74,27.88,27.74,27.8232,526,0
HWAY.US,D,20241017,000000,27.7,27.734,27.7,27.734,157,0
HWAY.US,D,20241018,000000,27.78,27.845,27.78,27.845,126,0
HWAY.US,D,20241021,000000,27.78,27.78,27.5743,27.5743,273,0
HWAY.US,D,20241022,000000,27.4,27.405,27.4,27.405,104,0
