<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IDCC.US,D,20050225,000000,14.0672,14.3722,13.9547,14.3722,444350.94309667,0
IDCC.US,D,20050228,000000,14.3041,14.8953,14.1008,14.2222,944526.64579927,0
IDCC.US,D,20050301,000000,14.2469,14.394,13.9764,14.1265,483719.34854789,0
IDCC.US,D,20050302,000000,14.0396,14.3455,13.9863,14.1087,388805.80879065,0
IDCC.US,D,20050303,000000,14.2735,14.3041,13.9547,14.1975,352238.72201442,0
IDCC.US,D,20050304,000000,14.0672,14.3041,14.0396,14.1343,253056.84389273,0
IDCC.US,D,20050307,000000,14.157,14.5577,14.1343,14.4778,443779.53487508,0
IDCC.US,D,20050308,000000,14.5667,14.6259,14.1808,14.2824,462207.45002131,0
IDCC.US,D,20050309,000000,14.394,14.394,14.0396,14.157,441498.96766445,0
IDCC.US,D,20050310,000000,13.9123,14.1175,13.2313,13.393,1032397.883166,0
IDCC.US,D,20050311,000000,13.1315,13.3585,12.8019,13.0003,782529.37557349,0
IDCC.US,D,20050314,000000,12.9193,12.9844,12.5797,12.6498,745361.49965647,0
IDCC.US,D,20050315,000000,12.6064,12.7199,12.5314,12.6883,601504.41419583,0
IDCC.US,D,20050316,000000,12.7199,13.3191,12.6953,13.1217,1012234.4675169,0
IDCC.US,D,20050317,000000,13.1898,13.2786,13.1079,13.2313,628019.17406674,0
IDCC.US,D,20050318,000000,13.2313,13.2845,12.9262,12.943,788343.75816869,0
IDCC.US,D,20050321,000000,12.9262,13.3112,12.8828,13.1631,505386.2567516,0
IDCC.US,D,20050322,000000,13.1147,13.5184,13.0979,13.2944,633389.80346859,0
IDCC.US,D,20050323,000000,13.2707,13.4523,13.0812,13.1147,507037.66703739,0
IDCC.US,D,20050324,000000,13.1147,13.3191,13.1079,13.2135,506399.39189626,0
IDCC.US,D,20050328,000000,13.2549,13.4197,12.8019,12.862,651078.12995922,0
IDCC.US,D,20050329,000000,12.9766,13.1217,12.4278,12.5225,574495.24437433,0
IDCC.US,D,20050330,000000,12.6498,13.0486,12.5877,13.0328,342020.24094537,0
IDCC.US,D,20050331,000000,13.0407,13.0407,12.4988,12.5719,570972.57347634,0
IDCC.US,D,20050401,000000,12.9262,12.9667,12.5719,12.8759,610732.0490934,0
IDCC.US,D,20050404,000000,12.8828,13.3536,12.7535,13.2371,681659.61430079,0
IDCC.US,D,20050405,000000,13.2707,13.5016,13.2065,13.3536,671691.37761248,0
IDCC.US,D,20050406,000000,13.4365,13.5332,13.2944,13.403,678700.24654324,0
