<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JRVR.US,D,20141212,000000,15.6433,15.7739,15.3461,15.5946,4659654.5241357,0
JRVR.US,D,20141215,000000,15.4551,15.623,15.0155,15.0562,1003039.4540269,0
JRVR.US,D,20141216,000000,15.4064,15.9593,15.3868,15.5178,622615.43354728,0
JRVR.US,D,20141217,000000,15.498,15.6903,15.4152,15.5323,307617.06276624,0
JRVR.US,D,20141218,000000,15.7262,15.7262,15.4152,15.4913,79038.558032648,0
JRVR.US,D,20141219,000000,15.4064,16.6506,15.4064,16.28,439243.72257173,0
JRVR.US,D,20141222,000000,16.7755,17.1548,16.3523,16.8134,195807.22017098,0
JRVR.US,D,20141223,000000,16.7686,16.8769,16.247,16.4751,69611.160051254,0
JRVR.US,D,20141224,000000,16.4527,16.6925,16.4527,16.598,28963.198324038,0
JRVR.US,D,20141226,000000,16.5326,16.8769,16.2441,16.7755,164858.4428117,0
JRVR.US,D,20141229,000000,16.7286,16.8223,16.3367,16.7286,116637.3841856,0
JRVR.US,D,20141230,000000,16.7071,16.8925,16.286,16.5891,205827.42015774,0
JRVR.US,D,20141231,000000,16.6056,16.7832,16.2549,16.7003,206686.88050461,0
JRVR.US,D,20150102,000000,16.7911,16.7911,15.9075,16.3523,46266.247861037,0
JRVR.US,D,20150105,000000,16.6261,17.0493,16.0032,16.7441,329705.60392434,0
JRVR.US,D,20150106,000000,16.7286,17.0367,16.3658,16.5609,410838.45554685,0
JRVR.US,D,20150107,000000,16.6437,16.8056,16.1785,16.6925,165976.35662804,0
JRVR.US,D,20150108,000000,16.5891,16.8056,16.3708,16.7911,155149.00235371,0
JRVR.US,D,20150109,000000,16.7911,17.4219,16.5549,16.9783,121807.47918388,0
JRVR.US,D,20150112,000000,16.9666,17.1051,16.5842,16.8475,188371.55487887,0
JRVR.US,D,20150113,000000,16.6186,16.8769,15.9504,16.4204,131562.04643814,0
JRVR.US,D,20150114,000000,16.28,16.6878,16.1232,16.5032,146612.85859838,0
JRVR.US,D,20150115,000000,16.5842,16.8543,15.9933,16.4293,75518.667924713,0
JRVR.US,D,20150116,000000,16.9372,17.1548,16.2549,16.2549,172092.06312967,0
JRVR.US,D,20150120,000000,16.4721,16.5101,15.8092,16.4145,240919.65790049,0
JRVR.US,D,20150121,000000,16.3122,16.5101,16.2549,16.3589,131205.1345041,0
JRVR.US,D,20150122,000000,16.2605,16.4204,15.938,16.0859,146237.48570225,0
JRVR.US,D,20150123,000000,15.9982,16.319,15.3587,15.8424,199220.44694231,0
JRVR.US,D,20150126,000000,16.1367,16.5687,15.4551,15.8267,145843.65184402,0
JRVR.US,D,20150127,000000,15.8794,15.9808,15.4835,15.8794,85041.447543646,0
JRVR.US,D,20150128,000000,15.9593,16.1445,15.9593,16.0559,62841.115003911,0
JRVR.US,D,20150129,000000,16.1504,16.1574,15.5048,15.7818,31690.292670484,0
JRVR.US,D,20150130,000000,15.6433,15.9075,15.3753,15.7029,102766.02238203,0
JRVR.US,D,20150202,000000,15.8597,16.1232,15.3061,16.0939,27434.015296377,0
JRVR.US,D,20150203,000000,15.8522,15.9838,15.5887,15.8853,70478.825270168,0
