<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JYD.US,D,20230421,000000,5.26,10,4.5,5.04,5802500,0
JYD.US,D,20230424,000000,4.06,4.58,3.69,4.07,1549221,0
JYD.US,D,20230425,000000,3.75,3.9151,3.33,3.5,650974,0
JYD.US,D,20230426,000000,3.37,3.7999,3.258,3.498,240129,0
JYD.US,D,20230427,000000,3.5,3.99,3.5,3.73,919333,0
JYD.US,D,20230428,000000,4,4.49,3.62,3.75,1213120,0
JYD.US,D,20230501,000000,4,4.2,3.5,4.15,664037,0
JYD.US,D,20230502,000000,4,4.1348,3.6,3.77,232427,0
JYD.US,D,20230503,000000,3.9,4.1199,3.7,3.77,426430,0
JYD.US,D,20230504,000000,3.805,3.88,3.3,3.5,369389,0
JYD.US,D,20230505,000000,3.18,3.3094,2.8,2.83,452849,0
JYD.US,D,20230508,000000,2.83,3.1,2.83,3.01,197116,0
JYD.US,D,20230509,000000,2.92,4.18,2.9,3.91,3047124,0
JYD.US,D,20230510,000000,3.5,3.6,3.2001,3.45,445922,0
JYD.US,D,20230511,000000,3.39,4.0999,3.39,3.85,592529,0
JYD.US,D,20230512,000000,3.88,3.88,3.5016,3.68,190913,0
JYD.US,D,20230515,000000,3.59,4.2,3.59,3.94,321351,0
JYD.US,D,20230516,000000,3.83,3.98,3.6,3.98,178924,0
JYD.US,D,20230517,000000,3.82,3.8885,3.56,3.72,69427,0
JYD.US,D,20230518,000000,3.68,3.71,3.5123,3.59,77894,0
JYD.US,D,20230519,000000,3.59,3.59,3.11,3.33,87072,0
JYD.US,D,20230522,000000,3.25,3.4,3,3.03,101737,0
JYD.US,D,20230523,000000,3.06,3.16,3.02,3.13,50983,0
JYD.US,D,20230524,000000,3.05,3.23,3,3.22,57156,0
JYD.US,D,20230525,000000,3.2,3.28,3.07,3.151,40564,0
JYD.US,D,20230526,000000,3.14,3.1893,2.71,2.9499,109108,0
JYD.US,D,20230530,000000,2.88,3.06,2.817,3.01,79538,0
JYD.US,D,20230531,000000,3.1,3.1,2.92,2.96,39363,0
JYD.US,D,20230601,000000,3,3.6,2.98,3.17,249937,0
JYD.US,D,20230602,000000,3.17,3.39,3.08,3.39,108867,0
JYD.US,D,20230605,000000,3.2,3.3999,3.16,3.1932,20819,0
JYD.US,D,20230606,000000,3.24,3.3781,3.1,3.3,14464,0
JYD.US,D,20230607,000000,3.145,3.38,3.1,3.31,38567,0
JYD.US,D,20230608,000000,3.19,3.5799,3.19,3.23,48946,0
JYD.US,D,20230609,000000,3.25,3.39,3.19,3.22,27083,0
JYD.US,D,20230612,000000,3.16,3.35,3.15,3.19,41983,0
JYD.US,D,20230613,000000,3.3,3.41,3.2501,3.29,24072,0
JYD.US,D,20230614,000000,3.24,3.45,3.24,3.38,14404,0
JYD.US,D,20230615,000000,3.3999,3.41,3.26,3.37,53984,0
JYD.US,D,20230616,000000,3.31,3.55,3.13,3.23,53521,0
JYD.US,D,20230620,000000,3.14,3.31,3.11,3.28,24237,0
JYD.US,D,20230621,000000,3.18,3.2652,2.9201,3,35993,0
JYD.US,D,20230622,000000,2.94,3.21,2.872,2.93,26513,0
JYD.US,D,20230623,000000,3.03,3.04,2.82,2.88,16297,0
JYD.US,D,20230626,000000,2.9808,3.0945,2.88,2.91,67816,0
JYD.US,D,20230627,000000,2.9184,3.03,2.9184,2.945,19895,0
