<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KFFB.US,D,20050303,000000,5.80599,6.02743,5.64032,5.9663,360684.45916385,0
KFFB.US,D,20050304,000000,5.93865,5.9442,5.86118,5.93865,85351.540478903,0
KFFB.US,D,20050307,000000,5.93865,5.9442,5.88911,5.92755,26284.851324074,0
KFFB.US,D,20050308,000000,5.9442,6.54672,5.9442,6.35915,111748.37338571,0
KFFB.US,D,20050309,000000,6.35915,6.4964,5.99959,6.13742,63516.159199174,0
KFFB.US,D,20050310,000000,6.51401,6.51401,6.10997,6.193,77486.118484097,0
KFFB.US,D,20050311,000000,6.24283,6.24283,6.01039,6.05488,44045.746758531,0
KFFB.US,D,20050314,000000,6.06626,6.22113,5.97184,6.00494,19220.765425918,0
KFFB.US,D,20050315,000000,5.99959,6.04933,5.94955,5.96065,37775.805479234,0
KFFB.US,D,20050316,000000,6.05488,6.05488,5.91665,5.97184,46716.867080696,0
KFFB.US,D,20050317,000000,5.97184,5.97184,5.91665,5.9442,10987.550709829,0
KFFB.US,D,20050318,000000,5.97184,6.02743,5.89456,6.02743,13532.306493676,0
KFFB.US,D,20050321,000000,5.99959,6.04933,5.9332,6.04933,8782.8490900726,0
KFFB.US,D,20050322,000000,5.91665,6.08252,5.91665,6.08252,17321.18793527,0
KFFB.US,D,20050323,000000,6.08252,6.08252,6.05488,6.08252,8419.1657846702,0
KFFB.US,D,20050324,000000,6.07687,6.08252,5.97729,6.08252,9580.0757708419,0
KFFB.US,D,20050328,000000,6.16594,6.16594,6.10997,6.16594,12568.648469757,0
KFFB.US,D,20050329,000000,6.13742,6.14326,6.13742,6.14326,5970.9812740089,0
KFFB.US,D,20050330,000000,6.193,6.193,6.08252,6.15991,16444.854998806,0
KFFB.US,D,20050331,000000,6.16594,6.21538,6.13742,6.19806,11725.190860334,0
KFFB.US,D,20050401,000000,6.21538,6.21538,6.193,6.21538,4334.4063996978,0
KFFB.US,D,20050404,000000,6.19806,6.19806,6.16594,6.193,8411.9743068797,0
KFFB.US,D,20050405,000000,6.17041,6.18716,6.08252,6.15991,13240.537966178,0
