<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LPCN.US,D,20140324,000000,125.8,136,118.83,133.62,3474.823505088,0
LPCN.US,D,20140325,000000,133.62,133.79,130.05,130.05,212.647057335,0
LPCN.US,D,20140326,000000,128.86,129.37,121.55,129.37,152.9411754,0
LPCN.US,D,20140328,000000,122.572,129.2,122.572,128.986,107.05882278,0
LPCN.US,D,20140331,000000,125.8,129.88,119.17,126.48,954.058816851,0
LPCN.US,D,20140401,000000,129.03,136,127.5,136,937.64705226,0
LPCN.US,D,20140402,000000,135.66,135.66,135.66,135.66,35.2941174,0
LPCN.US,D,20140403,000000,128.35,136,128.35,135.101,448.529408625,0
LPCN.US,D,20140404,000000,135.83,135.83,128.367,128.367,95.29411698,0
LPCN.US,D,20140407,000000,134.3,136,134.3,135.15,882.352935,0
LPCN.US,D,20140408,000000,131.75,134.298,131.75,134.128,52.9411761,0
LPCN.US,D,20140409,000000,128.104,135.15,128.104,135.15,223.5294102,0
LPCN.US,D,20140410,000000,128.52,136,128.52,134.98,436.235291064,0
LPCN.US,D,20140411,000000,125.46,134.13,120.19,127.5,1155.88234485,0
LPCN.US,D,20140415,000000,136,136,131.75,133.45,64.7058819,0
LPCN.US,D,20140416,000000,133.28,133.28,132.94,132.94,70.5882348,0
LPCN.US,D,20140417,000000,123.59,133.45,123.505,133.45,167.117645889,0
LPCN.US,D,20140421,000000,134.3,134.3,134.13,134.13,80.705881788,0
LPCN.US,D,20140422,000000,133.45,133.45,128.35,130.73,214.70588085,0
LPCN.US,D,20140423,000000,134.283,134.283,134.283,134.283,14.70588225,0
LPCN.US,D,20140424,000000,129.71,129.71,116.79,129.064,426.176467605,0
LPCN.US,D,20140425,000000,128.35,128.35,118.575,127.5,194.1176457,0
LPCN.US,D,20140428,000000,127.5,127.5,127.5,127.5,35.88235269,0
LPCN.US,D,20140429,000000,120.19,127.5,120.02,127.5,248.882351199,0
LPCN.US,D,20140430,000000,127.5,129.54,127.5,127.5,643.764701376,0
LPCN.US,D,20140501,000000,127.5,129.2,123.25,129.2,860.764699857,0
LPCN.US,D,20140502,000000,130.05,130.39,124.95,130.39,96.764705205,0
LPCN.US,D,20140507,000000,127.16,128.35,118.66,124.95,248.764704141,0
LPCN.US,D,20140508,000000,120.36,127.5,119,119,155.588234205,0
LPCN.US,D,20140509,000000,126.99,126.99,126.99,126.99,7.941176415,0
LPCN.US,D,20140512,000000,120.02,123.25,120.02,123.25,13.823529315,0
LPCN.US,D,20140513,000000,119.723,128.35,119.723,124.44,1282.3529322,0
LPCN.US,D,20140514,000000,121.04,121.21,120.7,120.7,87.64705821,0
LPCN.US,D,20140515,000000,125.8,126.696,119.017,121.21,371.76470328,0
LPCN.US,D,20140516,000000,119.17,123.25,112.37,120.7,967.352934405,0
LPCN.US,D,20140519,000000,120.224,120.224,116.28,116.28,362.058820995,0
LPCN.US,D,20140520,000000,119,119,117.64,118.694,99.9999993,0
LPCN.US,D,20140521,000000,118.66,118.66,117.64,117.64,623.5294074,0
LPCN.US,D,20140522,000000,118.66,118.66,114.41,116.79,709.99999503,0
LPCN.US,D,20140523,000000,115.6,115.6,111.35,112.2,1139.941168491,0
LPCN.US,D,20140527,000000,111.69,111.69,110.5,111.01,613.52940747,0
LPCN.US,D,20140528,000000,112.54,112.88,94.35,108.63,799.176464994,0
LPCN.US,D,20140529,000000,110.33,112.03,109.48,110.5,247.0588218,0
LPCN.US,D,20140530,000000,110.33,110.5,105.57,110.16,1669.176458904,0
LPCN.US,D,20140602,000000,117.81,118.66,113.05,114.41,237.352939515,0
LPCN.US,D,20140603,000000,113.9,115.6,112.54,113.05,579.058819476,0
LPCN.US,D,20140604,000000,113.05,113.05,108.12,113.05,355.823526921,0
LPCN.US,D,20140605,000000,108.29,113.05,108.29,113.05,288.058821513,0
LPCN.US,D,20140606,000000,113.05,113.05,108.29,113.05,99.9999993,0
LPCN.US,D,20140609,000000,104.89,113.05,104.72,113.05,243.823527705,0
LPCN.US,D,20140610,000000,105.4,118.66,105.4,112.71,1741.1764584,0
LPCN.US,D,20140611,000000,110.5,114.75,110.5,113.05,760.999994673,0
LPCN.US,D,20140612,000000,110.5,114.75,107.95,109.395,2657.411746104,0
LPCN.US,D,20140613,000000,111.18,112.88,108.12,112.2,1568.647047843,0
LPCN.US,D,20140616,000000,110.33,114.58,109.65,113.05,2162.235278982,0
LPCN.US,D,20140617,000000,114.75,114.75,112.2,114.24,1681.235282349,0
LPCN.US,D,20140618,000000,114.58,114.75,107.27,112.71,1051.705874991,0
LPCN.US,D,20140619,000000,113.05,114.58,107.1,109.99,1756.235281824,0
LPCN.US,D,20140620,000000,111.69,112.625,93.84,93.84,8287.588177281,0
LPCN.US,D,20140623,000000,100.3,101.49,96.05,98.26,2927.764685388,0
LPCN.US,D,20140624,000000,101.15,101.49,97.75,98.6,1066.764698415,0
LPCN.US,D,20140625,000000,100.3,101.701,98.6,101.49,307.588233141,0
LPCN.US,D,20140626,000000,101.49,101.49,99.45,100.47,1174.176462369,0
LPCN.US,D,20140627,000000,100.64,101.15,99.11,99.11,3570.294092655,0
LPCN.US,D,20140630,000000,99.45,105.74,98.94,103.7,10311.235221939,0
LPCN.US,D,20140701,000000,109.14,110.33,104.04,108.46,11715.411682698,0
LPCN.US,D,20140702,000000,100.47,109.65,98.77,104.55,552.9411726,0
LPCN.US,D,20140703,000000,107.61,109.99,104.72,109.82,495.529408296,0
LPCN.US,D,20140707,000000,112.37,112.37,107.1,107.1,1107.588227541,0
LPCN.US,D,20140708,000000,109.48,110.67,109.48,109.99,1192.823521062,0
LPCN.US,D,20140709,000000,110.5,110.5,103.02,109.31,641.352936687,0
LPCN.US,D,20140710,000000,112.71,117.13,112.71,113.135,58.941176058,0
LPCN.US,D,20140711,000000,116.547,116.547,115.413,115.413,32.647058595,0
LPCN.US,D,20140714,000000,107.1,113.9,107.1,113.9,20.647058679,0
LPCN.US,D,20140715,000000,112.2,112.625,107.95,110.498,280.058821569,0
LPCN.US,D,20140716,000000,106.42,109.067,104.972,109.067,424.999997025,0
LPCN.US,D,20140717,000000,103.02,112.2,103.02,107.95,1062.35293374,0
LPCN.US,D,20140718,000000,115.428,115.428,102.34,103.36,253.882351164,0
LPCN.US,D,20140721,000000,106.25,110.5,103.53,110.5,142.117646064,0
LPCN.US,D,20140722,000000,107.95,110.498,107.27,108.97,472.058820225,0
LPCN.US,D,20140723,000000,107.95,108.798,105.91,108.798,135.2941167,0
LPCN.US,D,20140724,000000,110.33,110.33,105.74,105.74,293.823527355,0
LPCN.US,D,20140725,000000,107.95,107.95,104.38,104.38,123.470587371,0
LPCN.US,D,20140728,000000,108.8,117.3,105.4,116.45,12566.058735567,0
LPCN.US,D,20140729,000000,130.05,130.05,110.5,115.77,197.117645679,0
LPCN.US,D,20140730,000000,117.81,121.125,111.69,117.81,14571.058721532,0
LPCN.US,D,20140731,000000,116.96,116.96,113.39,113.9,364.470585684,0
LPCN.US,D,20140801,000000,113.56,125.8,110.5,110.67,847.0588176,0
LPCN.US,D,20140804,000000,107.95,124.015,104.04,124.015,6082.647016245,0
LPCN.US,D,20140805,000000,127.5,127.5,114.75,114.75,1247.529403032,0
LPCN.US,D,20140806,000000,124.948,124.948,115.43,117.3,783.352935693,0
LPCN.US,D,20140807,000000,118.998,127.118,118.83,123.76,5855.411723718,0
LPCN.US,D,20140808,000000,120.7,124.95,120.7,121.38,149.117646015,0
LPCN.US,D,20140811,000000,129.71,144.33,123.25,132.26,5863.117606017,0
LPCN.US,D,20140812,000000,132.77,148.75,127.5,146.37,7497.470535753,0
LPCN.US,D,20140813,000000,146.37,175.95,136,150.416,10622.764631523,0
LPCN.US,D,20140814,000000,150.45,157.59,139.4,143.351,2290.294101615,0
LPCN.US,D,20140815,000000,152.32,152.83,144.498,144.5,3433.705858317,0
LPCN.US,D,20140818,000000,144.5,150.45,139.4,147.73,4785.88231944,0
LPCN.US,D,20140819,000000,150.79,151.64,145.35,146.03,5323.705845087,0
LPCN.US,D,20140820,000000,146.03,148.75,138.276,142.12,742.764700683,0
LPCN.US,D,20140821,000000,144.67,144.67,139.23,140.248,2300.941160364,0
LPCN.US,D,20140822,000000,141.95,143.31,136,137.53,2285.117631063,0
LPCN.US,D,20140825,000000,137.02,144.33,136.85,138.38,2231.941160847,0
LPCN.US,D,20140826,000000,144.16,144.16,139.4,139.91,1281.999991026,0
LPCN.US,D,20140827,000000,141.95,148.41,140.422,146.88,3739.470562059,0
LPCN.US,D,20140828,000000,143.65,161.16,140.93,151.13,3371.17644699,0
LPCN.US,D,20140829,000000,153.68,166.94,153,163.88,3406.941152622,0
LPCN.US,D,20140902,000000,167.79,169.15,161.67,167.96,2935.999979448,0
LPCN.US,D,20140903,000000,170,170,159.61,160.99,6388.352896458,0
LPCN.US,D,20140904,000000,158.27,161.5,140.233,142.63,3036.764684625,0
LPCN.US,D,20140905,000000,151.47,151.47,141.44,146.2,2429.588218287,0
LPCN.US,D,20140908,000000,149.77,159.205,148.07,156.74,2677.294098906,0
LPCN.US,D,20140909,000000,158.78,158.78,150.11,150.28,2932.470567708,0
LPCN.US,D,20140910,000000,149.43,155.55,145.01,147.05,2240.882337255,0
LPCN.US,D,20140911,000000,145.01,152.66,137.7,142.63,2033.999985762,0
LPCN.US,D,20140912,000000,142.63,153,136.51,137.7,2168.941161288,0
LPCN.US,D,20140915,000000,137.19,144.67,127.84,129.88,4667.235261447,0
LPCN.US,D,20140916,000000,129.88,133.79,121.55,127.5,4480.470556872,0
LPCN.US,D,20140918,000000,154.02,154.02,81.09,86.53,24893.764531626,0
LPCN.US,D,20140919,000000,89.25,99.28,88.4017,92.99,8126.176413705,0
LPCN.US,D,20140922,000000,90.44,99.45,90.44,93.16,2575.176452562,0
LPCN.US,D,20140923,000000,95.03,95.71,88.4,88.74,3988.82350149,0
LPCN.US,D,20140924,000000,148.41,164.39,117.13,122.91,445934.29099611,0
LPCN.US,D,20140925,000000,114.07,126.31,106.25,109.48,49296.823184334,0
LPCN.US,D,20140926,000000,115.77,116.11,103.87,108.97,16239.99988632,0
LPCN.US,D,20140929,000000,104.89,107.95,97.75,106.93,20007.999859944,0
LPCN.US,D,20140930,000000,101.49,106.08,99.535,103.87,7328.470536936,0
