<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LUCY.US,D,20220816,000000,108.8,117.798,105,110.8,65998.4,0
LUCY.US,D,20220817,000000,106,110.442,100.2,107.2,16908.8,0
LUCY.US,D,20220818,000000,105.8,107,101.4,102.8,13947.55,0
LUCY.US,D,20220819,000000,98,103.744,93.8,96,12569.65,0
LUCY.US,D,20220822,000000,97,97,86.6,87.4,4640.2,0
LUCY.US,D,20220823,000000,84,85,72,73.802,10494.05,0
LUCY.US,D,20220824,000000,76.6,76.6,68,69.6,7571.6,0
LUCY.US,D,20220825,000000,71.6,71.6,64.4,65.9,4702.5,0
LUCY.US,D,20220826,000000,65.702,69,57.6,59.6,10248.15,0
LUCY.US,D,20220829,000000,56.6,61.798,56.6,57.8,4549.45,0
LUCY.US,D,20220830,000000,59,59.998,56,57.598,3503.9,0
LUCY.US,D,20220831,000000,57.994,68.6,57,60.6,20232.4,0
LUCY.US,D,20220901,000000,59,61.398,51,55.87,7521.3,0
LUCY.US,D,20220902,000000,60.4,66.8,56.6,57.6,11146.05,0
LUCY.US,D,20220906,000000,55.8,57.2,47.6,50,6612.45,0
LUCY.US,D,20220907,000000,47.4,49.6,47,47.8,1093.2,0
LUCY.US,D,20220908,000000,48.6,48.6,43.8,46.6,3579.25,0
LUCY.US,D,20220909,000000,45.8,46.8,41.6,43.6,6234.7,0
LUCY.US,D,20220912,000000,44.112,46,42,42.6,7938.3,0
LUCY.US,D,20220913,000000,41.998,47.824,38.6,43,12133.3,0
LUCY.US,D,20220914,000000,42.4,50.6,42.4,45,6113.75,0
LUCY.US,D,20220915,000000,45,45.878,42,42.8,3926.05,0
LUCY.US,D,20220916,000000,40.6,42.7,40.6,41.2,1392.5,0
LUCY.US,D,20220919,000000,40.4,42.598,39,39.8,2214.7,0
LUCY.US,D,20220920,000000,39,41.6,37.4,39.2,2020.5,0
LUCY.US,D,20220921,000000,39,39.4,36.2,36.2,1635.1,0
LUCY.US,D,20220922,000000,34.2,36.2,32,32.6,2556.8,0
LUCY.US,D,20220923,000000,32.2,36.108,29.002,30.2,2891.35,0
LUCY.US,D,20220926,000000,29.2,29.422,26.4,27.6,2560,0
LUCY.US,D,20220927,000000,27.6,30.4,27.2,27.4,3158.65,0
LUCY.US,D,20220928,000000,26.6,30,26.2,27,2682.5,0
LUCY.US,D,20220929,000000,26,27.998,25.2,26.6,916.85,0
LUCY.US,D,20220930,000000,25.6,29,25.6,27.8,1436,0
LUCY.US,D,20221003,000000,32.2,37.6,29.6,31.6,24128.7,0
LUCY.US,D,20221004,000000,29.8,31.968,29.8,31.8,2565.5,0
LUCY.US,D,20221005,000000,29.2,31,28,31,1302.7,0
LUCY.US,D,20221006,000000,31.8,33.8,29,32.4,1141.9,0
LUCY.US,D,20221007,000000,60.8,71.6,51.2,52.6,2999005.7,0
LUCY.US,D,20221010,000000,43,45.6,38.2,43.2,58761.95,0
