<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MDAI.US,D,20210407,000000,9.76,9.78,9.76,9.78,456,0
MDAI.US,D,20210408,000000,9.75,9.75,9.75,9.75,15285,0
MDAI.US,D,20210409,000000,9.715,9.715,9.715,9.715,145,0
MDAI.US,D,20210412,000000,9.72,9.72,9.72,9.72,244,0
MDAI.US,D,20210413,000000,9.7,9.73,9.6999,9.7,8834,0
MDAI.US,D,20210414,000000,9.77,9.84,9.77,9.77,18714,0
MDAI.US,D,20210419,000000,9.7486,9.8,9.7486,9.75,15321,0
MDAI.US,D,20210422,000000,9.75,9.75,9.71,9.72,6040,0
MDAI.US,D,20210423,000000,9.7,9.7,9.7,9.7,20096,0
MDAI.US,D,20210426,000000,9.73,9.75,9.73,9.7498,5201,0
MDAI.US,D,20210427,000000,9.69,9.7,9.69,9.69,24559,0
MDAI.US,D,20210428,000000,9.75,9.75,9.75,9.75,2565,0
MDAI.US,D,20210429,000000,9.94,9.99,9.7,9.7,409032,0
MDAI.US,D,20210430,000000,9.69,9.73,9.69,9.73,1906,0
MDAI.US,D,20210503,000000,9.72,9.79,9.72,9.79,6622,0
MDAI.US,D,20210504,000000,9.8,9.81,9.8,9.8,57436,0
MDAI.US,D,20210505,000000,9.791,9.8,9.75,9.77,112962,0
MDAI.US,D,20210506,000000,9.87,9.87,9.75,9.75,16037,0
MDAI.US,D,20210507,000000,9.76,9.76,9.75,9.75,3669,0
MDAI.US,D,20210510,000000,9.7343,9.7343,9.7343,9.7343,311,0
MDAI.US,D,20210511,000000,9.71,9.74,9.71,9.74,1402,0
MDAI.US,D,20210512,000000,9.73,9.73,9.73,9.73,162,0
MDAI.US,D,20210513,000000,9.7,9.7,9.7,9.7,140,0
MDAI.US,D,20210514,000000,9.74,9.85,9.74,9.85,1844,0
MDAI.US,D,20210517,000000,9.73,9.73,9.69,9.69,12694,0
MDAI.US,D,20210519,000000,9.7,9.7,9.7,9.7,4097,0
MDAI.US,D,20210520,000000,9.6675,9.7,9.615,9.615,6614,0
MDAI.US,D,20210521,000000,9.62,9.7,9.62,9.7,4257,0
MDAI.US,D,20210525,000000,9.7,9.7,9.65,9.65,10197,0
MDAI.US,D,20210526,000000,9.7,9.71,9.64,9.64,8104,0
MDAI.US,D,20210527,000000,9.68,9.7,9.63,9.63,45798,0
MDAI.US,D,20210528,000000,9.63,9.67,9.62,9.63,6731,0
MDAI.US,D,20210601,000000,9.655,9.8,9.655,9.7,23905,0
MDAI.US,D,20210602,000000,9.65,9.65,9.64,9.64,2200,0
MDAI.US,D,20210603,000000,9.64,9.67,9.63,9.65,7385,0
MDAI.US,D,20210604,000000,9.64,9.65,9.62,9.64,20455,0
MDAI.US,D,20210608,000000,9.63,9.655,9.63,9.655,100393,0
MDAI.US,D,20210609,000000,9.67,9.68,9.67,9.68,2218,0
MDAI.US,D,20210610,000000,9.7,9.7,9.7,9.7,1602,0
MDAI.US,D,20210611,000000,9.7198,9.7198,9.7198,9.7198,135,0
MDAI.US,D,20210614,000000,9.69,9.6908,9.69,9.6908,2073,0
MDAI.US,D,20210617,000000,9.7,9.8,9.68,9.69,41825,0
MDAI.US,D,20210618,000000,9.67,9.67,9.6421,9.67,22029,0
MDAI.US,D,20210621,000000,9.695,9.695,9.695,9.695,603,0
MDAI.US,D,20210622,000000,9.68,9.71,9.68,9.7,3149,0
MDAI.US,D,20210623,000000,9.72,9.72,9.7,9.7,1388,0
MDAI.US,D,20210624,000000,9.7017,9.7017,9.7017,9.7017,200,0
MDAI.US,D,20210625,000000,9.695,9.7,9.695,9.7,1749,0
MDAI.US,D,20210628,000000,9.65,9.69,9.65,9.69,13193,0
MDAI.US,D,20210629,000000,9.7,9.7,9.63,9.66,128655,0
