<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MTEKW.US,D,20220203,000000,0.67,0.84,0.51,0.5778,503022,0
MTEKW.US,D,20220204,000000,0.5301,0.69,0.53,0.58,116436,0
MTEKW.US,D,20220207,000000,0.6148,0.6148,0.5102,0.5501,68540,0
MTEKW.US,D,20220208,000000,0.5214,0.5501,0.48,0.48,60754,0
MTEKW.US,D,20220209,000000,0.479799,0.5001,0.47,0.4801,13804,0
MTEKW.US,D,20220210,000000,0.48,0.5499,0.44,0.45,27609,0
MTEKW.US,D,20220211,000000,0.46,0.46,0.3375,0.363,46699,0
MTEKW.US,D,20220214,000000,0.36,0.448,0.2864,0.395,49827,0
MTEKW.US,D,20220215,000000,0.3499,0.3725,0.3113,0.33,4884,0
MTEKW.US,D,20220216,000000,0.33,0.3501,0.3201,0.335,12944,0
MTEKW.US,D,20220217,000000,0.345,0.4399,0.3,0.3501,63539,0
MTEKW.US,D,20220218,000000,0.3999,0.4501,0.3501,0.39,147043,0
MTEKW.US,D,20220222,000000,0.4939,0.5236,0.2805,0.31,85753,0
MTEKW.US,D,20220223,000000,0.3566,0.3566,0.265,0.2894,15513,0
MTEKW.US,D,20220224,000000,0.3314,0.3314,0.2371,0.26,6340,0
MTEKW.US,D,20220225,000000,0.336,0.336,0.2751,0.29,6526,0
MTEKW.US,D,20220228,000000,0.27,0.3,0.27,0.3,1294,0
MTEKW.US,D,20220301,000000,0.3,0.3878,0.3,0.3011,6513,0
MTEKW.US,D,20220302,000000,0.2505,0.338,0.23,0.3101,86540,0
MTEKW.US,D,20220303,000000,0.300101,0.300998,0.3,0.3,18900,0
MTEKW.US,D,20220304,000000,0.28055,0.3276,0.251,0.3192,45044,0
MTEKW.US,D,20220307,000000,0.2301,0.307,0.2301,0.3058,12764,0
MTEKW.US,D,20220308,000000,0.277,0.34995,0.2501,0.3089,21219,0
MTEKW.US,D,20220309,000000,0.330101,0.36,0.32,0.356045,27964,0
MTEKW.US,D,20220310,000000,0.3275,0.33,0.275301,0.3276,16559,0
MTEKW.US,D,20220311,000000,0.3276,0.3426,0.3042,0.3042,9519,0
MTEKW.US,D,20220314,000000,0.3102,0.310201,0.3042,0.3098,3373,0
MTEKW.US,D,20220315,000000,0.3041,0.3221,0.2526,0.3053,28148,0
MTEKW.US,D,20220316,000000,0.290099,0.33265,0.261,0.33265,59360,0
MTEKW.US,D,20220317,000000,0.32,0.3449,0.31,0.3101,8102,0
MTEKW.US,D,20220318,000000,0.28,0.3157,0.28,0.2816,4479,0
MTEKW.US,D,20220321,000000,0.3018,0.3555,0.3002,0.3483,30233,0
MTEKW.US,D,20220322,000000,0.3479,0.3599,0.2801,0.3001,16843,0
MTEKW.US,D,20220323,000000,0.3338,0.3338,0.2908,0.2908,3899,0
MTEKW.US,D,20220324,000000,0.295,0.325,0.2551,0.325,7469,0
MTEKW.US,D,20220325,000000,0.287,0.299154,0.27,0.2976,8442,0
MTEKW.US,D,20220329,000000,0.265,0.2899,0.265,0.2899,4561,0
MTEKW.US,D,20220330,000000,0.2999,0.305,0.2999,0.305,2500,0
MTEKW.US,D,20220331,000000,0.285,0.295,0.2798,0.295,2965,0
MTEKW.US,D,20220401,000000,0.2628,0.2938,0.2628,0.2629,14457,0
MTEKW.US,D,20220404,000000,0.2629,0.2989,0.2628,0.2989,3512,0
MTEKW.US,D,20220405,000000,0.275,0.299,0.275,0.299,3425,0
MTEKW.US,D,20220406,000000,0.2875,0.2989,0.2376,0.2969,19259,0
MTEKW.US,D,20220407,000000,0.285,0.285,0.2601,0.271,34965,0
MTEKW.US,D,20220408,000000,0.2969,0.2969,0.262,0.27,5257,0
MTEKW.US,D,20220411,000000,0.269,0.2947,0.269,0.29,2223,0
MTEKW.US,D,20220412,000000,0.299,0.299,0.299,0.299,128,0
MTEKW.US,D,20220413,000000,0.2744,0.2744,0.2744,0.2744,200,0
MTEKW.US,D,20220414,000000,0.262,0.2621,0.262,0.2621,352,0
