<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MYSZ.US,D,20161208,000000,15900,15900,15900,15900,0.05,0
MYSZ.US,D,20161216,000000,15900,15900,15900,15900,0.315,0
MYSZ.US,D,20161221,000000,16350,16350,16350,16350,0.035,0
MYSZ.US,D,20161223,000000,15900,16350,15900,16350,0.27,0
MYSZ.US,D,20170103,000000,15000,15000,15000,15000,0.105,0
MYSZ.US,D,20170109,000000,14700,16350,14700,16350,0.135,0
MYSZ.US,D,20170126,000000,16350,16350,16350,16350,0.1,0
MYSZ.US,D,20170130,000000,16800,16800.2,16800,16800,1.8,0
MYSZ.US,D,20170131,000000,17100,17962.4,17100,17962.4,2,0
MYSZ.US,D,20170201,000000,17951.4,19530,16920,17895,34.195,0
MYSZ.US,D,20170202,000000,18780,18780,17157.6,17751,1.355,0
MYSZ.US,D,20170203,000000,17553,17553,14155.2,15360.6,5.525,0
MYSZ.US,D,20170206,000000,11520,15000,11520,13380,1.065,0
MYSZ.US,D,20170207,000000,12900,12900,12630.8,12810,0.4,0
MYSZ.US,D,20170208,000000,11520,12300,11520,12300,0.455,0
MYSZ.US,D,20170209,000000,11670,11670,11550,11550,0.285,0
MYSZ.US,D,20170213,000000,16260,50100,12813.8,32910,326.935,0
MYSZ.US,D,20170214,000000,31500,34170,22950,23640,81.205,0
MYSZ.US,D,20170215,000000,20400,23310,19228.8,19230,60.155,0
MYSZ.US,D,20170216,000000,10890,13920,10350,12330,1124.99,0
MYSZ.US,D,20170217,000000,12000,12750,10560,10800,246.87,0
MYSZ.US,D,20170221,000000,10500,11778.2,10436,10617.2,215.905,0
MYSZ.US,D,20170222,000000,10680,11430,10050,10350,193.74,0
MYSZ.US,D,20170223,000000,10080,10260,9540,9540,97.635,0
MYSZ.US,D,20170224,000000,9030,9300,8100,8103.2,89.215,0
MYSZ.US,D,20170227,000000,9090,9360,7950,8160,113.96,0
MYSZ.US,D,20170228,000000,8640,8640,7920,8010,34.84,0
MYSZ.US,D,20170301,000000,8040,8220,7440,7590,37.12,0
MYSZ.US,D,20170302,000000,7500,8067.04,7290,7440,51.35,0
MYSZ.US,D,20170303,000000,7440,7650,6840,6900,35.815,0
MYSZ.US,D,20170306,000000,7350,7350,6750,7140,13.575,0
MYSZ.US,D,20170307,000000,7680,11490,7680,7830,1754.5,0
MYSZ.US,D,20170308,000000,8010,8490,7350,7530,145.43,0
MYSZ.US,D,20170309,000000,8100,8100,6900,7155,61.025,0
MYSZ.US,D,20170310,000000,7770,8220,7200,7500,78.71,0
MYSZ.US,D,20170313,000000,7590,7710,7080,7110,29.08,0
MYSZ.US,D,20170314,000000,7260,7379.6,7080,7169.6,22.185,0
MYSZ.US,D,20170315,000000,7110,7229.6,6900,6900,22.555,0
MYSZ.US,D,20170316,000000,7080,7470,6930,7110,15.015,0
MYSZ.US,D,20170317,000000,6960,7365,6960,7320,13.015,0
MYSZ.US,D,20170320,000000,7320,8070,7023,7140,131.6,0
MYSZ.US,D,20170321,000000,7050,7350,6900,6930,21.075,0
MYSZ.US,D,20170322,000000,6900,7050,6494.6,6720,20.135,0
MYSZ.US,D,20170323,000000,6600,6826.8,6300,6360,23.07,0
MYSZ.US,D,20170324,000000,6300,6840,5850.2,6420,9.615,0
MYSZ.US,D,20170327,000000,6402.8,6480,6015.2,6390,5.5,0
MYSZ.US,D,20170328,000000,6600,7500,6510,6750,79.845,0
MYSZ.US,D,20170329,000000,6660,9870,6660,8160,811.33,0
MYSZ.US,D,20170330,000000,9300,9600,7800,7980,420.29,0
MYSZ.US,D,20170331,000000,7650,8250,7260,7890,91.79,0
MYSZ.US,D,20170403,000000,8130,8130,7290,7440,25.81,0
MYSZ.US,D,20170404,000000,7380,7620,7080,7140,21.645,0
MYSZ.US,D,20170405,000000,7200,7230,6810,6840,27.115,0
MYSZ.US,D,20170406,000000,7560,7560,6840,6870,55.84,0
MYSZ.US,D,20170407,000000,6690,6870,6600,6780,16.835,0
MYSZ.US,D,20170410,000000,6801.6,6976.4,6750,6795.8,7.96,0
MYSZ.US,D,20170411,000000,6690,6870,6570,6630,16.83,0
MYSZ.US,D,20170412,000000,6540,6570,6300,6300,24.21,0
MYSZ.US,D,20170413,000000,6420,6737.6,6300,6390,11.74,0
MYSZ.US,D,20170417,000000,6660,6660,6330,6420,9.775,0
MYSZ.US,D,20170418,000000,6660,8070,6491.4,6725.6,206.65,0
MYSZ.US,D,20170419,000000,7470,7470,6450,6660,94.525,0
MYSZ.US,D,20170420,000000,6180,6300,5850,6300,51.845,0
MYSZ.US,D,20170421,000000,6000,6186.6,5730,5909.6,42.175,0
MYSZ.US,D,20170424,000000,5670,6000,5310.2,5610,25.435,0
MYSZ.US,D,20170425,000000,5550,5751.6,5520,5610,8.45,0
MYSZ.US,D,20170426,000000,5400,5550.8,5100,5340,38.055,0
MYSZ.US,D,20170427,000000,5250,5400,4500,4920,50.26,0
MYSZ.US,D,20170428,000000,4860,5697,4853.4,5070,39.765,0
MYSZ.US,D,20170501,000000,5520,5963.6,5100,5190,61.04,0
MYSZ.US,D,20170502,000000,5250,5250,4680,5040,21.765,0
MYSZ.US,D,20170503,000000,4710,5310,4710,5010,31.835,0
MYSZ.US,D,20170504,000000,4890,5042.4,4200,4470,68.335,0
MYSZ.US,D,20170505,000000,4500,4691.4,4080.2,4200,60.83,0
MYSZ.US,D,20170508,000000,4260,4260,3630,3840,102.47,0
MYSZ.US,D,20170509,000000,3840,3870,3540,3600,25.62,0
MYSZ.US,D,20170510,000000,3840,4053,3630,3839.6,70.51,0
MYSZ.US,D,20170511,000000,3660,3840,3660,3780,10.47,0
MYSZ.US,D,20170512,000000,3900,3903,3750,3750,9.48,0
MYSZ.US,D,20170515,000000,3750,3810,3600,3660,9.49,0
MYSZ.US,D,20170516,000000,3870,4498.4,3840.2,4050,106.895,0
MYSZ.US,D,20170517,000000,3810,3900,3360,3509.6,65.635,0
MYSZ.US,D,20170518,000000,3540,3600,3210,3450,33.11,0
MYSZ.US,D,20170519,000000,3390,3600,3390,3480,22.77,0
MYSZ.US,D,20170522,000000,3840,3840,3540,3599.6,30.24,0
