<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NEOVW.US,D,20220729,000000,1.1,1.25,1,1.051,22286,0
NEOVW.US,D,20220801,000000,1.2,2,1.07,1.8,15846,0
NEOVW.US,D,20220802,000000,1.78,1.8,1.21,1.8,49540,0
NEOVW.US,D,20220803,000000,1.9,1.9,1.5999,1.71,15423,0
NEOVW.US,D,20220804,000000,1.51,1.8,1.3,1.8,7886,0
NEOVW.US,D,20220808,000000,1.52,1.52,1.39,1.39,3812,0
NEOVW.US,D,20220809,000000,1.49,1.75,1.49,1.65,3467,0
NEOVW.US,D,20220810,000000,1.695,1.695,1.695,1.695,407,0
NEOVW.US,D,20220811,000000,1.5,1.8,1.5,1.8,1787,0
NEOVW.US,D,20220812,000000,1.7,1.8,1.7,1.8,1680,0
NEOVW.US,D,20220815,000000,1.8,1.8,1.8,1.8,451,0
NEOVW.US,D,20220816,000000,1.7999,1.8,1.65,1.8,4325,0
NEOVW.US,D,20220818,000000,1.8,1.8,1.8,1.8,100,0
NEOVW.US,D,20220819,000000,1.8,1.8,1.8,1.8,223,0
NEOVW.US,D,20220822,000000,1.8,1.8,1.45,1.8,723,0
NEOVW.US,D,20220823,000000,1.7999,1.8,1.66,1.786,1722,0
NEOVW.US,D,20220825,000000,1.53,1.8,1.5,1.79,1139,0
NEOVW.US,D,20220826,000000,9.64,9.64,1.51,2.25,1381,0
NEOVW.US,D,20220906,000000,1.77,1.8,1.77,1.8,390,0
NEOVW.US,D,20220907,000000,1.85,1.85,1.5975,1.6,5053,0
NEOVW.US,D,20220908,000000,2,2,1.5,1.6,8595,0
NEOVW.US,D,20220909,000000,1.55,1.65,1.5,1.5,3804,0
NEOVW.US,D,20220912,000000,1.8,1.8,1.52,1.6,1290,0
NEOVW.US,D,20220913,000000,1.6,1.6,1.45,1.55,12560,0
NEOVW.US,D,20220914,000000,1.59,1.69,1.5,1.598,4575,0
NEOVW.US,D,20220915,000000,1.75,1.75,1.5091,1.68,9253,0
NEOVW.US,D,20220916,000000,2,2,1.5,1.5,2988,0
NEOVW.US,D,20220919,000000,1.74,1.74,1.69,1.6999,1768,0
NEOVW.US,D,20220920,000000,1.53,1.71,1.5,1.5,5641,0
NEOVW.US,D,20220921,000000,1.7,1.72,1.5,1.5,1214,0
NEOVW.US,D,20220923,000000,1.4999,1.5,1.35,1.3972,17522,0
NEOVW.US,D,20220926,000000,1.4,1.41,1.23,1.23,6800,0
NEOVW.US,D,20220927,000000,1.3,1.3,1.16,1.16,3621,0
NEOVW.US,D,20220928,000000,1.7,1.7,1.2,1.2,8533,0
NEOVW.US,D,20220929,000000,1.3,1.72,1.22,1.29,7034,0
NEOVW.US,D,20220930,000000,1.68,1.73,1.65,1.73,550,0
NEOVW.US,D,20221004,000000,1.1101,1.7,1.1101,1.7,625,0
NEOVW.US,D,20221005,000000,1.64,1.7,1.41,1.7,1720,0
NEOVW.US,D,20221006,000000,1.6,1.6,1.5,1.5,2580,0
NEOVW.US,D,20221007,000000,1.5301,1.5302,1.4301,1.5,14365,0
NEOVW.US,D,20221010,000000,1.67,1.67,1.45,1.5,1459,0
NEOVW.US,D,20221011,000000,1.45,1.7,1.4465,1.4465,9124,0
NEOVW.US,D,20221012,000000,1.65,1.65,1.58,1.58,420,0
NEOVW.US,D,20221013,000000,1.45,1.45,1.4499,1.45,1100,0
NEOVW.US,D,20221014,000000,1.43,1.75,1.33,1.75,15658,0
NEOVW.US,D,20221018,000000,1.33,1.33,1.33,1.33,476,0
NEOVW.US,D,20221019,000000,1.33,1.35,1.275,1.35,10550,0
NEOVW.US,D,20221020,000000,1.4,1.65,1.33,1.5,1800,0
NEOVW.US,D,20221021,000000,1.49,1.6,1.49,1.53,300,0
NEOVW.US,D,20221025,000000,1.365,1.47,1.365,1.47,2051,0
NEOVW.US,D,20221031,000000,1.46,1.46,1.46,1.46,210,0
NEOVW.US,D,20221101,000000,1.45,1.45,1.45,1.45,250,0
NEOVW.US,D,20221102,000000,1.55,1.55,1.55,1.55,156,0
NEOVW.US,D,20221108,000000,1.27,1.27,1.2,1.2,1400,0
NEOVW.US,D,20221110,000000,1.2,1.25,1.2,1.25,1500,0
NEOVW.US,D,20221111,000000,1.1101,1.25,1.11,1.25,1151,0
NEOVW.US,D,20221117,000000,1.11,1.25,1.11,1.23,1080,0
NEOVW.US,D,20221123,000000,1.11,1.25,1.11,1.25,949,0
NEOVW.US,D,20221129,000000,1.24,1.24,1.24,1.24,100,0
NEOVW.US,D,20221207,000000,1.1,1.2,1.02,1.2,559,0
NEOVW.US,D,20221209,000000,1.01,1.1,0.93,1,2058,0
NEOVW.US,D,20221213,000000,1.25,1.25,0.9,1.02,2818,0
NEOVW.US,D,20221214,000000,1.02,1.02,1.02,1.02,100,0
NEOVW.US,D,20221215,000000,0.9,1.03,0.9,0.9,2136,0
NEOVW.US,D,20221216,000000,0.92,1,0.8118,0.9344,1400,0
NEOVW.US,D,20221219,000000,1.25,1.25,1.05,1.05,202,0
NEOVW.US,D,20221222,000000,0.6716,0.985,0.6716,0.985,10104,0
NEOVW.US,D,20221223,000000,0.97,1.05,0.918,0.97,1439,0
NEOVW.US,D,20221227,000000,0.9,1.05,0.8,0.8,1730,0
NEOVW.US,D,20221228,000000,0.95,0.95,0.71,0.9408,4207,0
NEOVW.US,D,20221229,000000,0.9408,0.9408,0.8408,0.929,301,0
NEOVW.US,D,20221230,000000,0.77,0.895,0.77,0.895,304,0
NEOVW.US,D,20230105,000000,0.69,0.86,0.6316,0.86,2840,0
NEOVW.US,D,20230106,000000,0.8977,0.8977,0.8977,0.8977,206,0
NEOVW.US,D,20230109,000000,0.7615,0.8377,0.7615,0.8377,313,0
NEOVW.US,D,20230110,000000,1,1,0.9,0.9,304,0
NEOVW.US,D,20230111,000000,0.9455,0.99,0.879,0.879,1345,0
NEOVW.US,D,20230117,000000,1.23,1.23,0.9,0.9,1048,0
NEOVW.US,D,20230118,000000,0.9486,1.09,0.9212,0.9212,301,0
NEOVW.US,D,20230119,000000,1.04,1.04,0.97,0.97,201,0
NEOVW.US,D,20230120,000000,0.9486,0.9786,0.85,0.9786,523,0
NEOVW.US,D,20230123,000000,0.954,0.954,0.8991,0.8991,1504,0
NEOVW.US,D,20230124,000000,0.938,0.9531,0.898,0.898,1012,0
NEOVW.US,D,20230125,000000,1,1,0.6685,0.87,1888,0
NEOVW.US,D,20230126,000000,0.6316,0.85,0.6316,0.8299,1872,0
NEOVW.US,D,20230127,000000,0.8664,0.8848,0.7998,0.8428,3605,0
NEOVW.US,D,20230131,000000,0.74,0.8,0.74,0.7999,11158,0
NEOVW.US,D,20230208,000000,0.77,0.79,0.0728,0.77,1100,0
NEOVW.US,D,20230214,000000,0.7133,0.7133,0.7,0.7,3346,0
NEOVW.US,D,20230215,000000,0.8,0.8,0.75,0.75,801,0
NEOVW.US,D,20230222,000000,0.4,0.75,0.4,0.75,325,0
NEOVW.US,D,20230223,000000,0.6113,0.75,0.6113,0.75,613,0
NEOVW.US,D,20230308,000000,0.75,0.95,0.75,0.95,1873,0
NEOVW.US,D,20230310,000000,1.13,1.19,0.74,0.95,8912,0
NEOVW.US,D,20230313,000000,0.995,1.24,0.9001,1.12,14853,0
NEOVW.US,D,20230314,000000,1.14,1.14,0.89,0.8999,14380,0
NEOVW.US,D,20230315,000000,0.75,0.975,0.75,0.975,203,0
NEOVW.US,D,20230316,000000,0.9168,0.96,0.9168,0.95,592,0
NEOVW.US,D,20230324,000000,0.78,0.9,0.75,0.9,426,0
NEOVW.US,D,20230328,000000,1.2,1.2,0.93,0.93,204,0
NEOVW.US,D,20230329,000000,1.2,1.2,1.2,1.2,102,0
NEOVW.US,D,20230330,000000,0.7695,0.96,0.7695,0.85,906,0
NEOVW.US,D,20230331,000000,0.9,0.9,0.9,0.9,101,0
NEOVW.US,D,20230405,000000,0.7866,0.7866,0.7866,0.7866,153,0
NEOVW.US,D,20230410,000000,0.88,0.88,0.88,0.88,100,0
NEOVW.US,D,20230419,000000,0.7936,0.955,0.7936,0.955,306,0
NEOVW.US,D,20230420,000000,0.88,0.88,0.88,0.88,301,0
NEOVW.US,D,20230426,000000,0.8,0.8,0.6,0.6,1803,0
NEOVW.US,D,20230428,000000,0.849,0.849,0.849,0.849,103,0
NEOVW.US,D,20230502,000000,0.41,0.41,0.1284,0.1999,81388,0
NEOVW.US,D,20230503,000000,0.367,0.367,0.1714,0.2,31109,0
NEOVW.US,D,20230504,000000,0.25,0.25,0.1306,0.24,7239,0
NEOVW.US,D,20230505,000000,0.2494,0.2806,0.1801,0.2806,31680,0
NEOVW.US,D,20230508,000000,0.2999,0.4995,0.2737,0.3999,32817,0
NEOVW.US,D,20230509,000000,0.6303,0.6389,0.231,0.256,20637,0
NEOVW.US,D,20230510,000000,0.3087,0.32,0.299,0.299,1499,0
NEOVW.US,D,20230511,000000,0.28,0.4,0.28,0.32,3503,0
NEOVW.US,D,20230512,000000,0.3,0.32,0.3,0.32,5056,0
NEOVW.US,D,20230515,000000,0.3996,0.3996,0.3996,0.3996,101,0
NEOVW.US,D,20230516,000000,0.3047,0.3947,0.3047,0.3947,601,0
NEOVW.US,D,20230517,000000,0.3654,0.62,0.3202,0.42,20286,0
NEOVW.US,D,20230518,000000,0.4469,0.495,0.4208,0.48,3119,0
NEOVW.US,D,20230519,000000,0.4944,0.82,0.35,0.58,31046,0
NEOVW.US,D,20230522,000000,0.6399,0.8075,0.58,0.6222,8700,0
NEOVW.US,D,20230523,000000,0.8,0.82,0.56,0.82,302,0
NEOVW.US,D,20230524,000000,0.7,0.7789,0.7,0.7789,2400,0
NEOVW.US,D,20230525,000000,0.7749,0.8155,0.71,0.8155,2596,0
NEOVW.US,D,20230526,000000,0.67,0.67,0.67,0.67,427,0
NEOVW.US,D,20230530,000000,0.8,0.8,0.8,0.8,100,0
NEOVW.US,D,20230531,000000,0.68,0.68,0.3845,0.45,34351,0
NEOVW.US,D,20230601,000000,0.3998,0.57,0.3899,0.57,4696,0
NEOVW.US,D,20230602,000000,0.6478,0.65,0.5043,0.65,4703,0
NEOVW.US,D,20230605,000000,0.4425,0.63,0.4026,0.618,3304,0
NEOVW.US,D,20230606,000000,0.5551,0.6085,0.54,0.579,1004,0
NEOVW.US,D,20230607,000000,0.5372,0.5978,0.49,0.5,2730,0
NEOVW.US,D,20230608,000000,0.4545,0.4545,0.4545,0.4545,1100,0
NEOVW.US,D,20230609,000000,0.6466,0.6466,0.569,0.569,1103,0
NEOVW.US,D,20230614,000000,0.62,0.62,0.45,0.55,1000,0
NEOVW.US,D,20230616,000000,0.48,0.6,0.48,0.6,20165,0
NEOVW.US,D,20230620,000000,0.689,0.689,0.499899,0.5,70176,0
NEOVW.US,D,20230621,000000,0.5,0.5,0.41,0.44,62002,0
NEOVW.US,D,20230622,000000,0.51,0.512,0.38,0.512,59933,0
NEOVW.US,D,20230623,000000,0.522,0.522,0.5219,0.522,1100,0
NEOVW.US,D,20230627,000000,0.65,0.75,0.495,0.495,12212,0
NEOVW.US,D,20230630,000000,0.54,0.55,0.54,0.55,502,0
NEOVW.US,D,20230710,000000,0.9929,0.9929,0.9929,0.9929,103,0
NEOVW.US,D,20230711,000000,0.3855,0.8539,0.3855,0.6345,3501,0
NEOVW.US,D,20230712,000000,0.5923,0.5923,0.5923,0.5923,168,0
NEOVW.US,D,20230713,000000,0.4933,0.71,0.4502,0.6202,10642,0
NEOVW.US,D,20230714,000000,0.63,0.68,0.63,0.65,3204,0
NEOVW.US,D,20230717,000000,0.67,0.67,0.55,0.57,1606,0
NEOVW.US,D,20230718,000000,0.595,0.595,0.51,0.52,1853,0
