<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OPRA.US,D,20180727,000000,14.34,15.62,12.29,13.11,6906400,0
OPRA.US,D,20180730,000000,12.67,12.95,11.85,12.01,2284552,0
OPRA.US,D,20180731,000000,12.03,12.3,12.01,12.09,418339,0
OPRA.US,D,20180801,000000,12.19,12.2,12,12.14,354216,0
OPRA.US,D,20180802,000000,12.18,12.18,11.98,12.07,634188,0
OPRA.US,D,20180803,000000,12.01,12.14,11.5,11.5,1117586,0
OPRA.US,D,20180806,000000,11.52,13.7,11.49,13.41,1117932,0
OPRA.US,D,20180807,000000,13.64,14.24,13.03,13.63,718467,0
OPRA.US,D,20180808,000000,13.7,13.969,12.601,13.43,466869,0
OPRA.US,D,20180809,000000,13.64,13.64,12.95,13.49,246697,0
OPRA.US,D,20180810,000000,13.3,13.52,12.76,13.36,260887,0
OPRA.US,D,20180813,000000,13.73,13.73,12.93,13.105,120002,0
OPRA.US,D,20180814,000000,13.16,13.3,12.76,12.89,123526,0
OPRA.US,D,20180815,000000,11.81,12.2,10.22,10.61,882266,0
OPRA.US,D,20180816,000000,10.85,11.5,10.85,11.5,214142,0
OPRA.US,D,20180817,000000,11.56,11.56,10.54,10.97,181046,0
OPRA.US,D,20180820,000000,10.98,11.33,10.95,11.29,135934,0
OPRA.US,D,20180821,000000,11.29,12.419,11.25,12.19,168549,0
OPRA.US,D,20180822,000000,12.72,12.72,12.14,12.61,147330,0
OPRA.US,D,20180823,000000,12.52,12.66,12.33,12.56,139492,0
OPRA.US,D,20180824,000000,12.97,13.5,12.97,13.32,1430024,0
OPRA.US,D,20180827,000000,13.42,13.7,13.36,13.57,326325,0
OPRA.US,D,20180828,000000,13.55,13.56,12.32,12.43,219404,0
OPRA.US,D,20180829,000000,12.49,12.98,12.37,12.42,119187,0
OPRA.US,D,20180830,000000,12.43,12.7,11.95,12.19,299973,0
OPRA.US,D,20180831,000000,12.2,12.33,11.76,11.8,98202,0
OPRA.US,D,20180904,000000,11.8,12.19,11.8,12.1,66212,0
OPRA.US,D,20180905,000000,12.03,12.03,11.3941,11.63,96192,0
OPRA.US,D,20180906,000000,11.63,11.71,11.39,11.5,51345,0
OPRA.US,D,20180907,000000,11.48,12.2645,11.1,11.37,53496,0
OPRA.US,D,20180910,000000,11.34,11.4338,11.2,11.29,37232,0
OPRA.US,D,20180911,000000,11.26,11.36,10.98,11.09,40974,0
OPRA.US,D,20180912,000000,11.11,11.11,10.94,11.02,64281,0
OPRA.US,D,20180913,000000,11.11,11.6,11.03,11.45,68554,0
OPRA.US,D,20180914,000000,11.43,11.64,10.97,11.05,73331,0
OPRA.US,D,20180917,000000,11.15,11.15,10.5,10.8,177281,0
OPRA.US,D,20180918,000000,10.76,10.81,10.09,10.14,86594,0
OPRA.US,D,20180919,000000,10.14,10.2599,9.9,9.92,231511,0
OPRA.US,D,20180920,000000,10,10.09,9.52,9.99,116721,0
OPRA.US,D,20180921,000000,9.96,9.9791,9.65,9.65,116485,0
OPRA.US,D,20180924,000000,9.6,9.7,9.01,9.06,165147,0
OPRA.US,D,20180925,000000,9.1,9.23,8.82,8.82,77499,0
OPRA.US,D,20180926,000000,8.81,9.3181,8.68,9.11,170409,0
OPRA.US,D,20180927,000000,9.15,9.5,9,9.03,28236,0
OPRA.US,D,20180928,000000,8.97,9.1104,8.9,8.99,46372,0
OPRA.US,D,20181001,000000,9.09,9.2161,8.72,8.9,102338,0
OPRA.US,D,20181002,000000,8.85,9.7,8.8366,9.16,167498,0
OPRA.US,D,20181003,000000,9.24,9.72,9.15,9.24,214758,0
OPRA.US,D,20181004,000000,9.16,9.16,8.8,8.95,105792,0
OPRA.US,D,20181005,000000,9,9.62,8.75,8.8,243742,0
OPRA.US,D,20181008,000000,8.8,8.8,8.15,8.54,124181,0
OPRA.US,D,20181009,000000,8.49,8.75,8.31,8.5,53716,0
OPRA.US,D,20181010,000000,8.5,8.55,8.07,8.15,132619,0
OPRA.US,D,20181011,000000,8.06,8.18,7.66,7.73,140864,0
OPRA.US,D,20181012,000000,7.92,7.92,7.7,7.77,89568,0
OPRA.US,D,20181015,000000,7.83,7.9299,7.57,7.73,119096,0
OPRA.US,D,20181016,000000,7.79,7.9,7.67,7.82,292415,0
OPRA.US,D,20181017,000000,7.71,7.79,7.4,7.43,118416,0
OPRA.US,D,20181018,000000,7.59,7.59,6.85,7.17,294277,0
OPRA.US,D,20181019,000000,7.2,7.4999,6.8,6.81,201045,0
OPRA.US,D,20181022,000000,6.86,7.3894,6.56,6.63,650520,0
OPRA.US,D,20181023,000000,6.56,6.919,6.35,6.69,359483,0
OPRA.US,D,20181024,000000,6.72,6.849,6.45,6.52,219239,0
OPRA.US,D,20181025,000000,6.59,7.23,6.35,7.01,295144,0
OPRA.US,D,20181026,000000,6.77,7.25,6.57,7.04,179991,0
OPRA.US,D,20181029,000000,7.24,7.469,6.86,7.1,289821,0
OPRA.US,D,20181030,000000,7.04,7.27,6.76,6.78,256053,0
OPRA.US,D,20181031,000000,6.84,6.86,6.45,6.6,179972,0
OPRA.US,D,20181101,000000,6.86,7.26,6.74,7.05,903334,0
OPRA.US,D,20181102,000000,7.18,7.18,6.5,6.75,302307,0
OPRA.US,D,20181105,000000,6.77,7.03,6.61,6.79,415927,0
OPRA.US,D,20181106,000000,6.87,6.9,6.23,6.54,389825,0
OPRA.US,D,20181107,000000,6.4101,6.72,6.4101,6.47,142168,0
OPRA.US,D,20181108,000000,6.95,7.45,6.31,7.42,1289424,0
OPRA.US,D,20181109,000000,7.37,7.37,6.6667,6.9,920067,0
OPRA.US,D,20181112,000000,6.95,7.05,6.52,6.66,267301,0
OPRA.US,D,20181113,000000,6.7136,6.7853,6.25,6.51,580590,0
OPRA.US,D,20181114,000000,6.47,6.91,6.42,6.75,370797,0
OPRA.US,D,20181115,000000,6.75,6.82,6.55,6.63,216071,0
OPRA.US,D,20181116,000000,6.56,6.85,6.56,6.74,120209,0
OPRA.US,D,20181119,000000,6.71,6.79,6.56,6.67,161094,0
OPRA.US,D,20181120,000000,6.55,6.7299,6.52,6.61,135932,0
OPRA.US,D,20181121,000000,6.76,7.1,6.6792,6.98,117919,0
OPRA.US,D,20181123,000000,6.92,7.15,6.85,6.95,45355,0
OPRA.US,D,20181126,000000,7.01,7.025,6.82,6.96,102829,0
OPRA.US,D,20181127,000000,6.9,6.9,6.53,6.6,110443,0
OPRA.US,D,20181128,000000,6.65,6.8,6.52,6.79,98506,0
OPRA.US,D,20181129,000000,6.89,6.9,6.59,6.78,172859,0
OPRA.US,D,20181130,000000,6.96,6.98,6.69,6.9,153350,0
OPRA.US,D,20181203,000000,6.9,7.09,6.8,6.93,138694,0
OPRA.US,D,20181204,000000,7,7,6.09,6.35,434107,0
OPRA.US,D,20181206,000000,6.25,6.5,6.14,6.39,153752,0
OPRA.US,D,20181207,000000,6.36,6.36,6.0268,6.1,184160,0
OPRA.US,D,20181210,000000,6.1,6.25,5.95,5.98,108358,0
OPRA.US,D,20181211,000000,6.06,6.06,5.6,5.65,85252,0
OPRA.US,D,20181212,000000,5.66,5.84,5.65,5.66,124452,0
OPRA.US,D,20181213,000000,5.7,5.7,5.45,5.55,64288,0
OPRA.US,D,20181214,000000,5.48,5.83,5.48,5.71,64841,0
OPRA.US,D,20181217,000000,5.69,5.8088,5.42,5.72,116467,0
OPRA.US,D,20181218,000000,5.6897,5.775,5.56,5.65,131142,0
OPRA.US,D,20181219,000000,5.67,5.69,5.39,5.48,163890,0
OPRA.US,D,20181220,000000,5.42,5.68,5.31,5.6,115618,0
OPRA.US,D,20181221,000000,5.66,5.765,5.45,5.5,78458,0
OPRA.US,D,20181224,000000,5.5,5.65,5.35,5.51,16745,0
OPRA.US,D,20181226,000000,5.56,5.6,5.33,5.59,61328,0
OPRA.US,D,20181227,000000,5.6,5.6,5.35,5.51,106250,0
OPRA.US,D,20181228,000000,5.54,5.92,5.38,5.76,100909,0
OPRA.US,D,20181231,000000,5.77,5.77,5.5,5.56,18345,0
OPRA.US,D,20190102,000000,5.51,6.305,5.51,6.07,99646,0
OPRA.US,D,20190103,000000,6.07,6.29,6.02,6.05,135029,0
OPRA.US,D,20190104,000000,6.13,6.23,6.06,6.09,103509,0
OPRA.US,D,20190107,000000,6.22,6.32,6.17,6.24,126218,0
OPRA.US,D,20190108,000000,6.29,6.61,6.17,6.51,179971,0
OPRA.US,D,20190109,000000,6.6,7.585,6.6,7.47,346662,0
OPRA.US,D,20190110,000000,7.4,7.9568,7.17,7.76,247780,0
OPRA.US,D,20190111,000000,7.78,7.89,7.5,7.53,230119,0
OPRA.US,D,20190114,000000,7.58,7.585,7.02,7.2,132465,0
OPRA.US,D,20190115,000000,7.2,7.66,7.2,7.26,96767,0
OPRA.US,D,20190116,000000,7.2,7.5,7,7.34,96910,0
OPRA.US,D,20190117,000000,7.33,7.565,7.33,7.51,79616,0
OPRA.US,D,20190118,000000,7.61,7.99,7.51,7.55,307030,0
OPRA.US,D,20190122,000000,7.6,7.7399,7.2161,7.53,156610,0
OPRA.US,D,20190123,000000,7.59,7.75,7.47,7.72,120287,0
OPRA.US,D,20190124,000000,7.74,7.93,7.55,7.64,159155,0
OPRA.US,D,20190125,000000,7.65,7.895,7.24,7.54,184634,0
OPRA.US,D,20190128,000000,7.46,7.795,7.3,7.35,338643,0
OPRA.US,D,20190129,000000,7.34,8.2,7.31,8.09,177305,0
OPRA.US,D,20190130,000000,8.02,8.36,7.8827,8.1,168729,0
OPRA.US,D,20190131,000000,8.15,8.65,7.9766,8.22,178024,0
OPRA.US,D,20190201,000000,8.2,8.5174,7.72,7.8,353160,0
OPRA.US,D,20190204,000000,7.87,8.3,7.71,7.78,170504,0
OPRA.US,D,20190205,000000,7.85,8.13,7.75,7.99,84354,0
OPRA.US,D,20190206,000000,7.95,8.15,7.8,7.93,123665,0
OPRA.US,D,20190207,000000,7.82,7.9801,7.61,7.79,64989,0
OPRA.US,D,20190208,000000,7.7,7.99,7.7,7.87,29401,0
OPRA.US,D,20190211,000000,7.89,7.99,7.63,7.85,26933,0
OPRA.US,D,20190212,000000,7.9,8.34,7.87,8.05,91564,0
OPRA.US,D,20190213,000000,8.07,8.5,7.96,8.42,152732,0
OPRA.US,D,20190214,000000,8.45,8.516,8.14,8.19,32010,0
OPRA.US,D,20190215,000000,8.17,8.44,7.885,8.13,79269,0
OPRA.US,D,20190219,000000,8.13,8.39,8.01,8.3,42484,0
OPRA.US,D,20190220,000000,8.34,8.6394,8.16,8.56,87532,0
OPRA.US,D,20190221,000000,8.7,9.8033,8.2,8.48,247843,0
OPRA.US,D,20190222,000000,8.6,9.495,8.6,8.94,183706,0
OPRA.US,D,20190225,000000,8.98,9.4,8.78,9.12,105843,0
OPRA.US,D,20190226,000000,9.1,9.28,8.97,9.07,90523,0
OPRA.US,D,20190227,000000,9.08,9.21,8.8301,9.06,53445,0
OPRA.US,D,20190228,000000,9.02,9.22,8.72,8.99,198286,0
OPRA.US,D,20190301,000000,9,9,8.65,8.78,248331,0
OPRA.US,D,20190304,000000,8.79,8.79,7.9,7.985,128034,0
OPRA.US,D,20190305,000000,7.98,8.01,7.6601,7.88,105115,0
OPRA.US,D,20190306,000000,7.85,7.99,7.625,7.73,69747,0
OPRA.US,D,20190307,000000,7.7452,7.8916,7.42,7.69,61986,0
OPRA.US,D,20190308,000000,7.6,7.8,7.2,7.42,141734,0
OPRA.US,D,20190311,000000,7.19,7.8,7.19,7.64,166275,0
OPRA.US,D,20190312,000000,7.65,7.8,7.64,7.67,55143,0
OPRA.US,D,20190313,000000,7.69,7.74,7.55,7.65,68405,0
OPRA.US,D,20190314,000000,7.66,7.673,7.36,7.47,55560,0
OPRA.US,D,20190315,000000,7.47,7.55,7.3,7.39,31550,0
OPRA.US,D,20190318,000000,7.4,7.49,7.26,7.34,34013,0
OPRA.US,D,20190319,000000,7.28,7.4129,6.93,7.02,69499,0
OPRA.US,D,20190320,000000,7.05,7.37,6.975,7.2,104544,0
OPRA.US,D,20190321,000000,7.18,7.47,7.16,7.25,106204,0
OPRA.US,D,20190322,000000,7.2,7.25,6.85,6.895,132137,0
OPRA.US,D,20190325,000000,6.82,7.04,6.6,6.69,61471,0
OPRA.US,D,20190326,000000,6.74,6.9,6.69,6.89,57652,0
OPRA.US,D,20190327,000000,6.9,6.99,6.65,6.7,80529,0
OPRA.US,D,20190328,000000,6.69,6.8,6.36,6.49,78366,0
OPRA.US,D,20190329,000000,6.55,6.7091,6.48,6.57,62127,0
OPRA.US,D,20190401,000000,6.55,6.71,6.46,6.6,116608,0
OPRA.US,D,20190402,000000,6.6,6.7,6.51,6.6,159922,0
OPRA.US,D,20190403,000000,6.68,7.2,6.6,7.07,455473,0
OPRA.US,D,20190404,000000,7.17,7.34,6.7,7.3,606523,0
OPRA.US,D,20190405,000000,7.41,7.41,6.9701,7.36,157853,0
OPRA.US,D,20190408,000000,7.27,7.455,7.19,7.38,153204,0
OPRA.US,D,20190409,000000,7.31,7.75,7.26,7.66,190163,0
OPRA.US,D,20190410,000000,7.7,8.05,7.5975,7.96,189405,0
OPRA.US,D,20190411,000000,7.94,7.94,7.73,7.85,26807,0
OPRA.US,D,20190412,000000,7.99,8.06,7.82,7.95,114170,0
OPRA.US,D,20190415,000000,8.03,8.45,8,8.37,150982,0
OPRA.US,D,20190416,000000,8.38,9.2,8.38,9.01,169239,0
OPRA.US,D,20190417,000000,9.05,9.1068,8.65,8.995,152522,0
OPRA.US,D,20190418,000000,9.03,9.04,8.6007,8.66,109628,0
OPRA.US,D,20190422,000000,8.62,8.761,7.55,8.57,297860,0
OPRA.US,D,20190423,000000,8.57,9.075,8.57,9.02,130704,0
OPRA.US,D,20190424,000000,9.03,9.03,8.66,8.85,73471,0
OPRA.US,D,20190425,000000,8.9,9.33,8.67,9.13,118576,0
OPRA.US,D,20190426,000000,9.24,9.24,8.53,8.79,136324,0
OPRA.US,D,20190429,000000,8.85,9.19,8.5,9,128266,0
OPRA.US,D,20190430,000000,8.97,9.79,8.95,9.64,262544,0
OPRA.US,D,20190501,000000,9.68,10.054,9.41,10.01,193784,0
OPRA.US,D,20190502,000000,9.87,10.21,9.57,9.64,160657,0
OPRA.US,D,20190503,000000,9.7,9.73,9.43,9.48,53344,0
OPRA.US,D,20190506,000000,9.19,9.81,8.88,9.49,67164,0
OPRA.US,D,20190507,000000,9.42,9.93,9.33,9.39,96109,0
OPRA.US,D,20190508,000000,9.47,9.69,9.027,9.52,93912,0
OPRA.US,D,20190509,000000,9.42,9.8,9.165,9.48,58690,0
OPRA.US,D,20190510,000000,9.46,9.91,9.11,9.54,51601,0
OPRA.US,D,20190513,000000,9.28,9.87,9.17,9.44,119198,0
OPRA.US,D,20190514,000000,9.5,9.8,9.45,9.58,42029,0
OPRA.US,D,20190515,000000,9.53,9.98,9.2105,9.81,168591,0
OPRA.US,D,20190516,000000,9.81,9.91,9.56,9.76,138642,0
OPRA.US,D,20190517,000000,9.68,10.25,9.6,9.7,144122,0
OPRA.US,D,20190520,000000,9.58,9.76,9.25,9.32,193457,0
OPRA.US,D,20190521,000000,9.4436,9.6,9.13,9.55,114553,0
OPRA.US,D,20190522,000000,9.9,10.64,9.12,9.79,143383,0
OPRA.US,D,20190523,000000,9.85,9.85,9.24,9.4,206740,0
OPRA.US,D,20190524,000000,9.57,10.94,9.49,10.83,241643,0
OPRA.US,D,20190528,000000,10.91,12.19,10.91,12,435351,0
OPRA.US,D,20190529,000000,12,12,11.55,11.73,322606,0
OPRA.US,D,20190530,000000,11.81,12.44,11.7913,12.18,815970,0
OPRA.US,D,20190531,000000,12.06,12.1,10.81,11.47,549760,0
OPRA.US,D,20190603,000000,11.3,11.46,9.875,10.46,290078,0
OPRA.US,D,20190604,000000,10.51,10.86,10.285,10.71,207626,0
OPRA.US,D,20190605,000000,10.8,11.16,9.87,10.08,154399,0
OPRA.US,D,20190606,000000,10.04,10.15,9.32,9.7,428871,0
OPRA.US,D,20190607,000000,9.7,9.8,9.59,9.64,51498,0
OPRA.US,D,20190610,000000,9.59,10.14,9.16,9.77,237294,0
OPRA.US,D,20190611,000000,9.8,10.22,9.6,9.97,111329,0
OPRA.US,D,20190612,000000,9.99,10.14,9.5,9.84,138765,0
OPRA.US,D,20190613,000000,9.923,10.4772,9.6993,10.31,72259,0
OPRA.US,D,20190614,000000,10.31,10.83,10.08,10.09,86093,0
OPRA.US,D,20190617,000000,10.27,10.36,10.04,10.15,42143,0
OPRA.US,D,20190618,000000,10.66,10.66,10.2,10.27,50387,0
OPRA.US,D,20190619,000000,10.33,10.7,10.07,10.24,90462,0
OPRA.US,D,20190620,000000,10.3013,10.88,10.28,10.8,63859,0
OPRA.US,D,20190621,000000,10.945,11.84,10.75,11.6,122630,0
OPRA.US,D,20190624,000000,11.68,12,10.9059,11.05,165021,0
OPRA.US,D,20190625,000000,11.095,11.1,10.18,10.45,63264,0
OPRA.US,D,20190626,000000,10.65,10.7799,10.28,10.39,60678,0
OPRA.US,D,20190627,000000,10.48,10.7481,10.29,10.36,35296,0
OPRA.US,D,20190628,000000,10.53,10.63,10.31,10.44,40126,0
OPRA.US,D,20190701,000000,10.76,10.76,10.23,10.37,23113,0
OPRA.US,D,20190702,000000,10.43,10.68,10.2101,10.25,65914,0
OPRA.US,D,20190703,000000,10.38,10.45,10,10.03,45061,0
OPRA.US,D,20190705,000000,10.01,10.25,9.76,10,62916,0
OPRA.US,D,20190708,000000,10.15,10.17,9.6101,9.73,41841,0
OPRA.US,D,20190709,000000,9.86,9.89,9.74,9.8,34473,0
OPRA.US,D,20190710,000000,9.9,10.59,9.9,10.46,44674,0
OPRA.US,D,20190711,000000,10.2405,11.43,10.2405,10.91,60092,0
OPRA.US,D,20190712,000000,10.95,11.015,10.66,10.79,18179,0
OPRA.US,D,20190715,000000,10.72,11.09,10.54,10.66,58952,0
OPRA.US,D,20190716,000000,10.62,10.95,10.199,10.39,37238,0
OPRA.US,D,20190717,000000,10.93,11.78,10.61,11.4,277777,0
OPRA.US,D,20190718,000000,11.44,11.75,11.1103,11.58,166556,0
OPRA.US,D,20190719,000000,11.65,11.65,10.8,11.4,43048,0
OPRA.US,D,20190722,000000,11.1579,11.39,11.095,11.26,34606,0
OPRA.US,D,20190723,000000,11.34,11.34,10.83,10.92,90681,0
OPRA.US,D,20190724,000000,11,11.28,10.74,11.05,26954,0
OPRA.US,D,20190725,000000,11.05,11.23,10.72,10.99,73507,0
OPRA.US,D,20190726,000000,11.02,11.37,10.77,10.95,22439,0
OPRA.US,D,20190729,000000,11,11.21,10.76,11,26656,0
OPRA.US,D,20190730,000000,11.04,11.09,10.89,10.94,30423,0
OPRA.US,D,20190731,000000,11.03,11.71,11.03,11.35,38331,0
OPRA.US,D,20190801,000000,11.46,12.6396,11.37,11.63,160366,0
OPRA.US,D,20190802,000000,11.52,11.7768,10.05,10.38,64022,0
OPRA.US,D,20190805,000000,10.16,10.35,9.51,9.97,100896,0
OPRA.US,D,20190806,000000,10.1,10.57,9.6118,10.03,30479,0
OPRA.US,D,20190807,000000,10.03,11.19,9.7601,10.64,77642,0
OPRA.US,D,20190808,000000,10.8645,10.8645,10.25,10.65,55331,0
OPRA.US,D,20190809,000000,10.39,10.5016,9.62,9.76,88417,0
OPRA.US,D,20190812,000000,9.9,9.9,9.38,9.68,52198,0
OPRA.US,D,20190813,000000,9.85,10.73,9.64,10.5,232517,0
OPRA.US,D,20190814,000000,10.35,10.58,9.86,10.1,69370,0
OPRA.US,D,20190815,000000,10.01,10.3,9.7201,9.99,27718,0
OPRA.US,D,20190816,000000,10.05,10.82,9.81,9.91,70734,0
OPRA.US,D,20190819,000000,10.08,10.67,9.93,10.57,142550,0
OPRA.US,D,20190820,000000,10.5,11.22,10.2101,11.02,77592,0
OPRA.US,D,20190821,000000,11.17,11.69,11.02,11.49,154347,0
OPRA.US,D,20190822,000000,12.81,14.2,11.66,12.53,928132,0
OPRA.US,D,20190823,000000,12.96,13.2999,12.32,12.89,351508,0
OPRA.US,D,20190826,000000,13,13.41,12.43,13.09,246316,0
OPRA.US,D,20190827,000000,13.02,13.225,12.4246,12.7,217687,0
OPRA.US,D,20190828,000000,12.5,13.27,12.5,13.15,95682,0
OPRA.US,D,20190829,000000,13.24,13.79,13.24,13.5,164824,0
OPRA.US,D,20190830,000000,13.78,13.78,13.26,13.61,87448,0
OPRA.US,D,20190903,000000,13.38,13.66,13.23,13.56,96905,0
OPRA.US,D,20190904,000000,13.62,14.3,13.605,14.17,103628,0
OPRA.US,D,20190905,000000,14.33,14.73,14.1,14.62,195527,0
OPRA.US,D,20190906,000000,14.77,14.94,13.6379,13.77,169714,0
OPRA.US,D,20190909,000000,13.73,13.82,12.77,12.96,212491,0
OPRA.US,D,20190910,000000,12.8,13.76,12.8,13.53,65368,0
OPRA.US,D,20190911,000000,13.75,13.75,13.06,13.5,103309,0
OPRA.US,D,20190912,000000,13.39,13.6229,13.28,13.41,46539,0
OPRA.US,D,20190913,000000,13.49,13.49,12.9075,13.19,85762,0
OPRA.US,D,20190916,000000,13.12,13.35,12.69,12.96,134488,0
OPRA.US,D,20190917,000000,11.67,12.95,11.06,12.84,421403,0
OPRA.US,D,20190918,000000,12.8,13.0547,11.6,11.84,347880,0
OPRA.US,D,20190919,000000,11.76,12,10.88,10.95,797637,0
OPRA.US,D,20190920,000000,10.37,11.1299,10.1,10.1,2086320,0
OPRA.US,D,20190923,000000,10.24,10.72,10,10.33,953841,0
OPRA.US,D,20190924,000000,10.4,10.765,9.9,10.11,645032,0
OPRA.US,D,20190925,000000,10.1,10.62,10,10.43,247578,0
OPRA.US,D,20190926,000000,10.41,10.41,9.91,10.13,169812,0
OPRA.US,D,20190927,000000,10.13,10.215,9.95,10.11,216707,0
OPRA.US,D,20190930,000000,10.12,10.15,9.81,10.05,270194,0
OPRA.US,D,20191001,000000,10.04,10.33,9.92,10.08,149502,0
OPRA.US,D,20191002,000000,10.4,10.4,10,10.2,154659,0
OPRA.US,D,20191003,000000,10.17,10.29,9.9,10.21,391180,0
OPRA.US,D,20191004,000000,10.21,10.33,10,10.12,302484,0
OPRA.US,D,20191007,000000,10.08,10.25,10,10.13,133485,0
OPRA.US,D,20191008,000000,10.06,10.24,10,10.14,183675,0
OPRA.US,D,20191009,000000,10.16,10.45,10.04,10.33,244298,0
OPRA.US,D,20191010,000000,10.42,10.67,10.2,10.37,270844,0
OPRA.US,D,20191011,000000,10.4,10.63,10.1035,10.46,288851,0
OPRA.US,D,20191014,000000,10.43,10.4794,10.01,10.15,298732,0
OPRA.US,D,20191015,000000,10.12,10.15,9.71,9.77,584386,0
OPRA.US,D,20191016,000000,9.65,10.21,9.61,10.14,489268,0
OPRA.US,D,20191017,000000,10.22,10.34,9.89,10.2,176724,0
OPRA.US,D,20191018,000000,10.1,10.2,9.71,9.75,310495,0
OPRA.US,D,20191021,000000,9.78,10.536,9.78,10.43,243580,0
OPRA.US,D,20191022,000000,10.42,10.42,9.93,10.06,109373,0
OPRA.US,D,20191023,000000,9.99,10.21,9.76,9.85,88598,0
OPRA.US,D,20191024,000000,9.84,10.16,9.81,9.99,151482,0
OPRA.US,D,20191025,000000,9.99,10.29,9.92,10.24,108127,0
OPRA.US,D,20191028,000000,10.21,10.69,10.2,10.53,111104,0
OPRA.US,D,20191029,000000,10.55,10.58,10.2,10.33,65390,0
OPRA.US,D,20191030,000000,10.27,10.44,10.1139,10.32,83510,0
OPRA.US,D,20191031,000000,10.3,10.33,9.9,10.07,117108,0
OPRA.US,D,20191101,000000,10.16,10.31,9.91,9.96,111349,0
OPRA.US,D,20191104,000000,10.11,10.11,9.71,9.84,183626,0
OPRA.US,D,20191105,000000,9.81,9.86,8.85,9.08,272574,0
OPRA.US,D,20191106,000000,9.08,9.36,8.55,8.76,495545,0
OPRA.US,D,20191107,000000,8.91,9.35,8.88,9.06,178945,0
OPRA.US,D,20191108,000000,8.95,9.32,8.95,9.16,88026,0
OPRA.US,D,20191111,000000,9.03,9.3499,9.03,9.22,118999,0
OPRA.US,D,20191112,000000,9.22,9.45,9.03,9.2,229167,0
OPRA.US,D,20191113,000000,9.09,10.03,9.09,9.71,729455,0
OPRA.US,D,20191114,000000,11.72,12.18,10.55,11.36,2203968,0
OPRA.US,D,20191115,000000,11.34,11.47,10.61,11,791715,0
OPRA.US,D,20191118,000000,10.91,10.91,9.81,10.2,600569,0
OPRA.US,D,20191119,000000,10.36,10.5,9.89,10.09,296261,0
OPRA.US,D,20191120,000000,10,10.14,9.57,9.97,253392,0
OPRA.US,D,20191121,000000,10,10.14,9.69,9.71,147543,0
OPRA.US,D,20191122,000000,9.83,10.2,9.72,10.14,203693,0
OPRA.US,D,20191125,000000,10.1,10.27,9.85,10,141546,0
OPRA.US,D,20191126,000000,9.98,10.05,9.81,9.87,175880,0
OPRA.US,D,20191127,000000,9.97,10.15,9.77,10.09,229369,0
OPRA.US,D,20191129,000000,10.08,10.15,9.84,10.14,142233,0
OPRA.US,D,20191202,000000,10.22,10.22,9.558,9.78,146018,0
OPRA.US,D,20191203,000000,9.68,9.79,9.22,9.27,268846,0
OPRA.US,D,20191204,000000,9.38,9.38,8.95,9.08,413792,0
OPRA.US,D,20191205,000000,9.17,9.43,9.04,9.06,232169,0
OPRA.US,D,20191206,000000,9.11,9.28,9.045,9.13,207110,0
OPRA.US,D,20191209,000000,9.1,9.31,8.91,8.92,186518,0
OPRA.US,D,20191210,000000,8.92,8.95,8.64,8.8,292821,0
OPRA.US,D,20191211,000000,8.82,8.9,8.66,8.79,311444,0
OPRA.US,D,20191212,000000,8.81,9.35,8.75,9.14,295522,0
OPRA.US,D,20191213,000000,9.14,9.8399,9.1,9.68,215391,0
OPRA.US,D,20191216,000000,9.72,9.97,9.46,9.66,231662,0
OPRA.US,D,20191217,000000,9.64,9.98,9.6,9.91,137444,0
OPRA.US,D,20191218,000000,9.9,10.24,9.71,9.78,373007,0
OPRA.US,D,20191219,000000,9.72,10,9.63,9.79,318360,0
OPRA.US,D,20191220,000000,9.75,9.78,9.61,9.67,309526,0
OPRA.US,D,20191223,000000,9.65,9.68,9.43,9.49,219611,0
OPRA.US,D,20191224,000000,9.5,9.5746,9.42,9.45,57745,0
OPRA.US,D,20191226,000000,9.45,10.119,9.43,9.95,271786,0
OPRA.US,D,20191227,000000,9.8,9.84,9.38,9.44,337064,0
OPRA.US,D,20191230,000000,9.4,9.48,8.91,9.28,312600,0
