<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VICR.US,D,20050225,000000,11.797,11.797,11.461,11.619,119721,0
VICR.US,D,20050228,000000,11.471,11.826,11.016,11.214,125814,0
VICR.US,D,20050301,000000,11.155,11.747,11.155,11.658,97417,0
VICR.US,D,20050302,000000,11.589,11.797,11.085,11.678,152403,0
VICR.US,D,20050303,000000,11.797,11.797,11.342,11.5,108359,0
VICR.US,D,20050304,000000,11.619,11.935,11.56,11.688,101309,0
VICR.US,D,20050307,000000,11.658,11.846,11.658,11.757,49492,0
VICR.US,D,20050308,000000,11.886,11.886,11.56,11.757,103203,0
VICR.US,D,20050309,000000,11.649,11.649,11.115,11.372,124857,0
VICR.US,D,20050310,000000,11.303,11.619,11.056,11.115,94679,0
VICR.US,D,20050311,000000,11.293,11.293,10.967,11.076,60753,0
VICR.US,D,20050314,000000,11.125,11.323,10.868,11.095,61791,0
VICR.US,D,20050315,000000,11.214,11.431,10.72,10.878,107594,0
VICR.US,D,20050316,000000,10.759,11.006,10.572,10.651,92672,0
VICR.US,D,20050317,000000,10.848,11.076,10.601,11.076,102731,0
VICR.US,D,20050318,000000,10.937,11.155,10.601,10.987,734107,0
VICR.US,D,20050321,000000,11.263,11.421,10.799,10.927,59973,0
VICR.US,D,20050322,000000,10.977,10.977,10.621,10.71,50646,0
VICR.US,D,20050323,000000,10.631,10.819,10.601,10.601,55550,0
VICR.US,D,20050324,000000,10.68,10.74,10.493,10.522,118773,0
VICR.US,D,20050328,000000,10.512,10.72,10.433,10.433,79943,0
VICR.US,D,20050329,000000,10.404,10.591,10.038,10.107,94816,0
VICR.US,D,20050330,000000,10.246,10.502,10.137,10.502,129230,0
VICR.US,D,20050331,000000,10.611,10.611,10.167,10.315,119021,0
VICR.US,D,20050401,000000,10.285,11.066,10.216,10.374,78619,0
VICR.US,D,20050404,000000,10.285,10.285,9.811,9.86,142923,0
VICR.US,D,20050405,000000,9.9,10.206,9.9,10.078,115688,0
VICR.US,D,20050406,000000,10.176,10.473,9.939,10.048,131763,0
VICR.US,D,20050407,000000,10.078,10.423,9.999,10.404,36276,0
VICR.US,D,20050408,000000,10.295,10.512,10.226,10.325,79316,0
VICR.US,D,20050411,000000,10.226,10.404,10.127,10.147,71752,0
VICR.US,D,20050412,000000,10.088,10.196,9.692,9.86,162354,0
VICR.US,D,20050413,000000,9.89,10.443,9.781,9.87,96374,0
VICR.US,D,20050414,000000,9.939,10.423,9.653,9.653,157740,0
VICR.US,D,20050415,000000,9.781,11.372,9.781,11.036,558606,0
VICR.US,D,20050418,000000,10.878,12.251,10.878,12.064,342124,0
VICR.US,D,20050419,000000,11.975,12.241,11.718,12.152,109185,0
VICR.US,D,20050420,000000,12.271,12.271,11.767,11.787,125270,0
VICR.US,D,20050421,000000,11.807,12.281,11.787,12.212,124201,0
