<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BILZ.US,D,20230623,000000,100.047,100.047,100.045,100.045,105,0
BILZ.US,D,20230626,000000,100.05,100.05,100.05,100.05,17,0
BILZ.US,D,20230627,000000,100.1,100.11,100.093,100.095,706,0
BILZ.US,D,20230628,000000,100.12,100.15,100.1193,100.126,20236,0
BILZ.US,D,20230629,000000,100.15,100.15,100.13,100.13,101,0
BILZ.US,D,20230630,000000,100.156,100.1645,100.14,100.16,866,0
BILZ.US,D,20230703,000000,100.19,100.19,100.19,100.19,501,0
BILZ.US,D,20230705,000000,100.2,100.24,100.2,100.22,329,0
BILZ.US,D,20230706,000000,100.26,100.28,100.26,100.28,1230,0
BILZ.US,D,20230707,000000,100.3,100.3,100.26,100.28,3076,0
BILZ.US,D,20230710,000000,100.3028,100.305,100.291,100.305,1042,0
BILZ.US,D,20230711,000000,100.39,100.39,100.31,100.31,2051,0
BILZ.US,D,20230712,000000,100.33,100.34,100.3254,100.34,3809,0
BILZ.US,D,20230713,000000,100.3574,100.36,100.33,100.34,2114,0
BILZ.US,D,20230714,000000,100.35,100.365,100.3479,100.35,1038,0
BILZ.US,D,20230717,000000,100.38,100.38,100.38,100.38,1,0
BILZ.US,D,20230718,000000,100.3955,100.4,100.3955,100.4,304,0
BILZ.US,D,20230719,000000,100.4271,100.43,100.41,100.41,5067,0
BILZ.US,D,20230720,000000,100.4419,100.46,100.44,100.44,1559,0
BILZ.US,D,20230721,000000,100.46,100.47,100.45,100.45,17218,0
BILZ.US,D,20230724,000000,100.4824,100.4824,100.48,100.48,500,0
BILZ.US,D,20230725,000000,100.5066,100.5066,100.49,100.49,450,0
BILZ.US,D,20230726,000000,100.5097,100.53,100.5097,100.53,935,0
BILZ.US,D,20230727,000000,100.5791,100.58,100.5654,100.58,3809,0
BILZ.US,D,20230728,000000,100.555,100.57,100.54,100.555,1889,0
BILZ.US,D,20230731,000000,100.6,100.61,100.59,100.59,1300,0
BILZ.US,D,20230801,000000,100.2128,100.219,100.2,100.2,496,0
BILZ.US,D,20230802,000000,100.23,100.24,100.22,100.23,4800,0
BILZ.US,D,20230803,000000,100.28,100.28,100.265,100.265,905,0
BILZ.US,D,20230804,000000,100.28,100.29,100.28,100.28,5362,0
BILZ.US,D,20230807,000000,100.38,100.38,100.27,100.29,1164,0
BILZ.US,D,20230808,000000,100.31,100.31,100.31,100.31,94,0
BILZ.US,D,20230809,000000,100.32,100.34,100.32,100.335,7054,0
BILZ.US,D,20230810,000000,100.3708,100.38,100.3672,100.37,1311,0
BILZ.US,D,20230811,000000,100.3871,100.39,100.37,100.37,1324,0
BILZ.US,D,20230814,000000,100.395,100.42,100.395,100.41,5172,0
BILZ.US,D,20230815,000000,100.5,100.5,100.43,100.4395,30799,0
BILZ.US,D,20230816,000000,100.44,100.45,100.43,100.44,8733,0
BILZ.US,D,20230817,000000,100.47,100.48,100.464,100.47,9721,0
BILZ.US,D,20230818,000000,100.49,100.49,100.465,100.47,951,0
BILZ.US,D,20230821,000000,100.47,100.5,100.47,100.485,10402,0
BILZ.US,D,20230822,000000,100.5,100.5,100.49,100.495,4323,0
BILZ.US,D,20230823,000000,100.507,100.51,100.507,100.51,2137,0
BILZ.US,D,20230824,000000,100.5601,100.57,100.5601,100.5695,24044,0
BILZ.US,D,20230825,000000,100.5563,100.56,100.55,100.555,6264,0
BILZ.US,D,20230828,000000,100.59,100.59,100.585,100.59,5432,0
BILZ.US,D,20230829,000000,100.6,100.605,100.5963,100.605,1306,0
BILZ.US,D,20230830,000000,100.615,100.615,100.6108,100.615,1508,0
BILZ.US,D,20230831,000000,100.69,100.69,100.665,100.67,3937,0
BILZ.US,D,20230901,000000,100.31,100.31,100.3,100.3,3464,0
BILZ.US,D,20230905,000000,100.31,100.31,100.305,100.305,630,0
BILZ.US,D,20230906,000000,100.33,100.33,100.32,100.321,2546,0
BILZ.US,D,20230907,000000,100.38,100.39,100.3729,100.388,4417,0
BILZ.US,D,20230908,000000,100.4,100.4,100.395,100.395,3552,0
BILZ.US,D,20230911,000000,100.42,100.43,100.4101,100.429,30876,0
BILZ.US,D,20230912,000000,100.42,100.42,100.41,100.415,6643,0
BILZ.US,D,20230913,000000,100.436,100.44,100.43,100.435,1806,0
BILZ.US,D,20230914,000000,100.475,100.475,100.465,100.468,6522,0
BILZ.US,D,20230915,000000,100.485,100.485,100.475,100.475,9417,0
BILZ.US,D,20230918,000000,100.4946,100.5,100.4932,100.498,1280,0
BILZ.US,D,20230919,000000,100.52,100.54,100.51,100.525,58191,0
BILZ.US,D,20230920,000000,100.53,100.54,100.53,100.535,3560,0
BILZ.US,D,20230921,000000,100.58,100.58,100.57,100.58,23477,0
BILZ.US,D,20230922,000000,100.58,100.61,100.58,100.6,42965,0
BILZ.US,D,20230925,000000,100.61,100.61,100.44,100.6,25731,0
BILZ.US,D,20230926,000000,100.615,100.62,100.615,100.615,40914,0
BILZ.US,D,20230927,000000,100.63,100.65,100.63,100.63,48337,0
BILZ.US,D,20230928,000000,100.68,100.69,100.67,100.685,23597,0
BILZ.US,D,20230929,000000,100.69,100.69,100.685,100.69,3599,0
BILZ.US,D,20231002,000000,100.42,100.42,100.4,100.415,3745,0
BILZ.US,D,20231003,000000,100.43,100.44,100.43,100.435,14494,0
BILZ.US,D,20231004,000000,100.43,100.45,100.43,100.445,6634,0
BILZ.US,D,20231005,000000,100.49,100.52,100.49,100.51,8558,0
BILZ.US,D,20231006,000000,100.52,106.62,100.5057,100.54,249056,0
BILZ.US,D,20231009,000000,100.51,100.53,100.5,100.53,13113,0
BILZ.US,D,20231010,000000,100.5329,100.55,100.5329,100.55,4052,0
BILZ.US,D,20231011,000000,100.56,100.56,100.545,100.56,3486,0
BILZ.US,D,20231012,000000,100.5986,100.61,100.58,100.61,91748,0
BILZ.US,D,20231013,000000,100.59,100.63,100.35,100.62,82261,0
BILZ.US,D,20231016,000000,100.63,100.63,100.61,100.62,5700,0
BILZ.US,D,20231017,000000,100.63,100.65,100.63,100.64,4604,0
BILZ.US,D,20231018,000000,100.6638,100.67,100.646,100.667,2675,0
BILZ.US,D,20231019,000000,100.7,100.7165,100.7,100.715,25697,0
BILZ.US,D,20231020,000000,100.7359,100.74,100.72,100.74,5441,0
BILZ.US,D,20231023,000000,100.72,100.74,100.72,100.73,7712,0
BILZ.US,D,20231024,000000,100.74,100.7574,100.74,100.75,2558,0
BILZ.US,D,20231025,000000,100.74,100.75,100.73,100.75,242246,0
BILZ.US,D,20231026,000000,100.79,100.81,100.79,100.8,12746,0
BILZ.US,D,20231027,000000,100.82,100.83,100.82,100.83,10536,0
BILZ.US,D,20231030,000000,100.837,100.837,100.81,100.81,13468,0
BILZ.US,D,20231031,000000,100.8412,100.8499,100.83,100.835,5343,0
BILZ.US,D,20231101,000000,100.38,100.395,100.38,100.38,56524,0
BILZ.US,D,20231102,000000,100.44,100.44,100.4215,100.425,4451,0
BILZ.US,D,20231103,000000,100.47,100.47,100.44,100.44,7831,0
BILZ.US,D,20231106,000000,100.46,100.48,100.46,100.48,28828,0
BILZ.US,D,20231107,000000,100.49,100.4999,100.48,100.48,2245,0
BILZ.US,D,20231108,000000,100.5172,100.52,100.5,100.505,8226,0
BILZ.US,D,20231109,000000,100.56,100.56,100.5499,100.55,2812,0
BILZ.US,D,20231110,000000,100.56,100.57,100.555,100.57,11478,0
BILZ.US,D,20231113,000000,100.575,100.59,100.56,100.59,70406,0
BILZ.US,D,20231114,000000,100.5801,100.6052,100.58,100.59,2872,0
BILZ.US,D,20231115,000000,100.61,100.6194,100.6,100.61,280215,0
BILZ.US,D,20231116,000000,100.655,100.66,100.64,100.6497,102733,0
BILZ.US,D,20231117,000000,100.69,100.69,100.67,100.68,55438,0
BILZ.US,D,20231120,000000,100.6863,100.7005,100.68,100.7,38718,0
BILZ.US,D,20231121,000000,100.74,100.74,100.72,100.72,13837,0
BILZ.US,D,20231122,000000,100.77,100.78,100.76,100.78,277981,0
BILZ.US,D,20231124,000000,100.79,100.79,100.775,100.79,23474,0
BILZ.US,D,20231127,000000,100.81,100.81,100.79,100.795,48163,0
BILZ.US,D,20231128,000000,100.81,100.815,100.8,100.805,9291,0
BILZ.US,D,20231129,000000,100.84,100.84,100.82,100.825,36217,0
BILZ.US,D,20231130,000000,100.88,100.88,100.85,100.865,23475,0
BILZ.US,D,20231201,000000,100.599,100.61,100.59,100.595,27927,0
BILZ.US,D,20231204,000000,100.63,100.63,100.61,100.61,12459,0
BILZ.US,D,20231205,000000,100.65,100.65,100.62,100.63,12082,0
BILZ.US,D,20231206,000000,100.61,100.65,100.61,100.645,229691,0
BILZ.US,D,20231207,000000,100.69,100.7087,100.69,100.705,64285,0
BILZ.US,D,20231208,000000,100.71,100.72,100.71,100.715,10494,0
BILZ.US,D,20231211,000000,100.71,100.73,100.71,100.725,12489,0
BILZ.US,D,20231212,000000,100.7414,100.75,100.735,100.75,16688,0
BILZ.US,D,20231213,000000,100.77,100.78,100.75,100.76,337311,0
BILZ.US,D,20231214,000000,100.82,100.82,100.805,100.815,12846,0
BILZ.US,D,20231215,000000,100.83,100.83,100.81,100.82,10138,0
BILZ.US,D,20231218,000000,100.82,100.8304,100.82,100.83,10120,0
BILZ.US,D,20231219,000000,100.83,100.86,100.83,100.85,11781,0
BILZ.US,D,20231220,000000,100.85,100.88,100.85,100.88,20366,0
BILZ.US,D,20231221,000000,100.92,100.9389,100.92,100.935,28950,0
BILZ.US,D,20231222,000000,100.926,100.95,100.92,100.95,26964,0
BILZ.US,D,20231226,000000,100.94,100.96,100.94,100.95,19690,0
BILZ.US,D,20231227,000000,100.95,100.97,100.95,100.97,12023,0
BILZ.US,D,20231228,000000,100.63,100.63,100.6124,100.62,11265,0
BILZ.US,D,20231229,000000,100.64,100.645,100.63,100.64,7187,0
BILZ.US,D,20240102,000000,100.66,100.66,100.6497,100.65,42634,0
BILZ.US,D,20240103,000000,100.67,100.68,100.6512,100.68,37551,0
BILZ.US,D,20240104,000000,100.7099,100.7101,100.7,100.71,7923,0
BILZ.US,D,20240105,000000,100.73,100.73,100.72,100.73,17423,0
BILZ.US,D,20240108,000000,100.75,100.75,100.74,100.75,110012,0
BILZ.US,D,20240109,000000,100.7609,100.765,100.7493,100.76,18252,0
BILZ.US,D,20240110,000000,100.76,100.77,100.7514,100.77,23250,0
BILZ.US,D,20240111,000000,100.81,100.83,100.81,100.825,15414,0
BILZ.US,D,20240112,000000,100.85,100.85,100.83,100.85,13401,0
BILZ.US,D,20240116,000000,100.87,100.87,100.85,100.86,61157,0
BILZ.US,D,20240117,000000,100.88,100.88,100.87,100.88,12055,0
BILZ.US,D,20240118,000000,100.9126,100.92,100.91,100.92,17145,0
BILZ.US,D,20240119,000000,100.9301,100.95,100.93,100.95,9673,0
BILZ.US,D,20240122,000000,100.95,100.95,100.9301,100.95,28335,0
BILZ.US,D,20240123,000000,100.96,100.97,100.95,100.97,10378,0
BILZ.US,D,20240124,000000,100.99,100.99,100.96,100.97,29395,0
BILZ.US,D,20240125,000000,101.01,101.03,101.01,101.03,11256,0
BILZ.US,D,20240126,000000,101.0451,101.05,101.03,101.05,8009,0
BILZ.US,D,20240129,000000,101.04,101.0594,101.034,101.05,24155,0
BILZ.US,D,20240130,000000,101.05,101.07,101.05,101.07,7855,0
BILZ.US,D,20240131,000000,101.0799,101.1,101.0663,101.1,22959,0
BILZ.US,D,20240201,000000,100.7186,100.74,100.71,100.74,66971,0
BILZ.US,D,20240202,000000,100.74,100.74,100.73,100.74,8636,0
BILZ.US,D,20240205,000000,100.72,100.74,100.72,100.74,43248,0
BILZ.US,D,20240206,000000,100.74,100.77,100.74,100.77,21285,0
BILZ.US,D,20240207,000000,100.76,100.78,100.75,100.75,8140,0
BILZ.US,D,20240208,000000,100.8,100.82,100.8,100.82,25833,0
BILZ.US,D,20240209,000000,100.82,100.85,100.82,100.84,25110,0
BILZ.US,D,20240212,000000,100.85,100.85,100.8349,100.85,105274,0
BILZ.US,D,20240213,000000,100.85,100.86,100.83,100.86,40512,0
BILZ.US,D,20240214,000000,100.87,100.87,100.85,100.86,11736,0
