<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BKAG.US,D,20200427,000000,49.2525,49.2525,49.2336,49.2466,1527.8976591073,0
BKAG.US,D,20200428,000000,49.2336,49.3151,49.2236,49.3151,11194.188971826,0
BKAG.US,D,20200429,000000,49.3788,49.3788,49.3499,49.3499,455.65348227491,0
BKAG.US,D,20200430,000000,49.3569,49.3569,49.3569,49.3569,6.0351454605949,0
BKAG.US,D,20200501,000000,49.339,49.3689,49.3102,49.3489,8705.6973269081,0
BKAG.US,D,20200504,000000,49.339,49.339,49.3181,49.3181,1018.9337252637,0
BKAG.US,D,20200505,000000,49.2883,49.2883,49.2883,49.2883,2.0117151535317,0
BKAG.US,D,20200506,000000,49.1958,49.1958,49.1958,49.1958,68.398315220075,0
BKAG.US,D,20200507,000000,49.2853,49.2853,49.2853,49.2853,71.415887950373,0
BKAG.US,D,20200508,000000,49.2137,49.2137,49.166,49.166,202.17737292993,0
BKAG.US,D,20200511,000000,49.0308,49.0308,49.0308,49.0308,45.263590954461,0
BKAG.US,D,20200512,000000,49.0368,49.0507,49.0368,49.0507,745.34046438347,0
BKAG.US,D,20200513,000000,49.1342,49.1342,49.1342,49.1342,45.263590954461,0
BKAG.US,D,20200514,000000,49.2525,49.2803,49.2525,49.2803,2439.2046236571,0
BKAG.US,D,20200515,000000,49.3489,49.3489,49.2913,49.2913,3251.9375456838,0
BKAG.US,D,20200518,000000,49.2336,49.2336,49.2048,49.2048,628.66098547863,0
BKAG.US,D,20200519,000000,49.2236,49.2624,49.2226,49.2624,356.0735821751,0
BKAG.US,D,20200520,000000,49.4056,49.4056,49.4056,49.4056,1041.0625919526,0
BKAG.US,D,20200521,000000,49.4762,49.4862,49.4662,49.4662,1232.1755315381,0
BKAG.US,D,20200522,000000,49.4862,49.4961,49.4762,49.4762,1224.128670924,0
BKAG.US,D,20200526,000000,49.4285,49.4523,49.4285,49.4523,1507.780507572,0
BKAG.US,D,20200527,000000,49.4285,49.4523,49.4285,49.4523,396.30788524573,0
BKAG.US,D,20200528,000000,49.4473,49.4573,49.4473,49.4573,302.76313060651,0
BKAG.US,D,20200529,000000,49.5279,49.5279,49.5279,49.5279,1.0058575767658,0
BKAG.US,D,20200601,000000,49.5419,49.5716,49.5419,49.5617,3813.2060735192,0
BKAG.US,D,20200602,000000,49.5915,49.6064,49.5915,49.6064,220.28280931172,0
BKAG.US,D,20200603,000000,49.5219,49.5319,49.5219,49.5319,737.29360376934,0
BKAG.US,D,20200604,000000,49.4523,49.4523,49.4523,49.4523,101.59161525335,0
BKAG.US,D,20200605,000000,49.2973,49.4026,49.2973,49.4026,833.85593113885,0
BKAG.US,D,20200608,000000,49.4623,49.4623,49.4523,49.4623,2165.6113627768,0
BKAG.US,D,20200609,000000,49.6014,49.6014,49.5021,49.5021,5572.4509752825,0
BKAG.US,D,20200610,000000,49.5915,49.6214,49.5915,49.6214,2040.8850232578,0
BKAG.US,D,20200611,000000,49.7407,49.7903,49.689,49.689,3704.5734552285,0
BKAG.US,D,20200612,000000,49.671,49.7506,49.671,49.7307,12294.597160808,0
BKAG.US,D,20200615,000000,49.7207,49.7407,49.7197,49.7197,3048.7543151772,0
BKAG.US,D,20200616,000000,49.7257,49.7605,49.7207,49.7207,6933.3762766467,0
BKAG.US,D,20200617,000000,49.7307,49.7407,49.681,49.7009,1995.6214323034,0
BKAG.US,D,20200618,000000,49.7506,49.7516,49.7506,49.7516,199.15980019963,0
BKAG.US,D,20200619,000000,49.7108,49.7704,49.7009,49.7605,4465.0017832634,0
BKAG.US,D,20200622,000000,49.7704,49.7704,49.7108,49.7108,4784.8644926749,0
BKAG.US,D,20200623,000000,49.7108,49.7207,49.7009,49.7009,6391.21904277,0
BKAG.US,D,20200624,000000,49.691,49.691,49.6611,49.6611,1564.1085318708,0
BKAG.US,D,20200625,000000,49.7207,53.0592,49.691,49.7009,8428.0806357208,0
BKAG.US,D,20200626,000000,49.7764,49.7764,49.7764,49.7764,1012.8985798031,0
BKAG.US,D,20200629,000000,49.8202,49.8202,49.8003,49.8003,1077.2734647161,0
BKAG.US,D,20200630,000000,49.85,49.87,49.8301,49.84,2374.8297387441,0
BKAG.US,D,20200701,000000,49.7605,49.7744,49.7605,49.7744,660.84842793514,0
BKAG.US,D,20200702,000000,49.8251,49.86,49.8251,49.86,103.60333040688,0
BKAG.US,D,20200706,000000,49.87,49.8847,49.87,49.8847,312.82170637417,0
BKAG.US,D,20200707,000000,49.9643,49.9643,49.9643,49.9643,1012.8985798031,0
BKAG.US,D,20200708,000000,49.9773,49.9971,49.9773,49.9783,2814.3894997907,0
BKAG.US,D,20200709,000000,50.0021,50.0736,50.0021,50.0736,1542.9855227587,0
BKAG.US,D,20200710,000000,50.0508,50.0508,50.0508,50.0508,1056.1504556041,0
BKAG.US,D,20200713,000000,49.9971,50.0648,49.9971,50.0548,3728.7140370709,0
BKAG.US,D,20200714,000000,50.0648,50.0648,50.0449,50.0449,2464.3510630762,0
BKAG.US,D,20200715,000000,50.0946,50.1045,50.0916,50.0916,4147.1507890054,0
BKAG.US,D,20200716,000000,50.1333,50.1333,50.1333,50.1333,1060.1738859112,0
BKAG.US,D,20200717,000000,50.1811,50.1811,50.1561,50.1561,2713.8037421142,0
BKAG.US,D,20200720,000000,50.1611,50.1911,50.1611,50.1811,2167.6230779303,0
BKAG.US,D,20200721,000000,50.2467,50.2557,50.2467,50.2507,2234.0096779969,0
BKAG.US,D,20200722,000000,50.3104,50.3104,50.3104,50.3104,50.29287883829,0
BKAG.US,D,20200723,000000,50.3799,50.3799,50.369,50.369,1222.1169557705,0
BKAG.US,D,20200724,000000,50.3401,50.36,50.3401,50.3401,5981.8350090263,0
BKAG.US,D,20200727,000000,50.2804,50.2804,50.2804,50.2804,98.574042523049,0
BKAG.US,D,20200728,000000,50.3124,50.3124,50.3124,50.3124,1015.9161525335,0
BKAG.US,D,20200729,000000,50.3441,50.3441,50.3441,50.3441,76.445175834202,0
BKAG.US,D,20200730,000000,50.4007,50.4007,50.4007,50.4007,239.39410327026,0
BKAG.US,D,20200731,000000,50.4197,50.4594,50.4197,50.4594,460.68277015874,0
BKAG.US,D,20200803,000000,50.4137,50.4634,50.4097,50.4634,2323.531002329,0
BKAG.US,D,20200804,000000,50.5529,50.5827,50.5529,50.5827,5269.6878446761,0
BKAG.US,D,20200805,000000,50.533,50.533,50.533,50.533,30.175727302974,0
BKAG.US,D,20200806,000000,50.5827,50.5827,50.536,50.536,5821.9036543205,0
BKAG.US,D,20200807,000000,50.5927,50.5927,50.535,50.535,421.45432466487,0
