<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CVIE.US,D,20230202,000000,50.6865,50.6865,50.6865,50.6865,32,0
CVIE.US,D,20230203,000000,50.279,50.28,50.2067,50.2067,798,0
CVIE.US,D,20230206,000000,49.77,49.77,49.61,49.6589,450,0
CVIE.US,D,20230207,000000,49.8388,50.0374,49.8388,50.0374,256,0
CVIE.US,D,20230208,000000,49.86,49.86,49.7485,49.7485,533,0
CVIE.US,D,20230209,000000,50.28,50.28,49.8059,49.8059,1586,0
CVIE.US,D,20230210,000000,49.6315,49.6315,49.6315,49.6315,7,0
CVIE.US,D,20230213,000000,50.0293,50.0765,50.0293,50.0765,261,0
CVIE.US,D,20230214,000000,49.81,50.17,49.81,50.1132,218,0
CVIE.US,D,20230215,000000,49.64,49.85,49.616,49.8444,9996,0
CVIE.US,D,20230216,000000,49.5013,49.5013,49.5013,49.5013,12,0
CVIE.US,D,20230217,000000,49.62,49.638,49.62,49.638,773,0
CVIE.US,D,20230221,000000,49.05,49.05,49.05,49.05,3,0
CVIE.US,D,20230222,000000,49.09,49.09,48.8337,48.8337,4814,0
CVIE.US,D,20230223,000000,49.03,49.12,49.03,49.0959,3957,0
CVIE.US,D,20230224,000000,48.22,48.37,48.22,48.3465,2282,0
CVIE.US,D,20230227,000000,48.8557,48.8557,48.8557,48.8557,189,0
CVIE.US,D,20230228,000000,48.7676,48.84,48.5445,48.5445,18253,0
CVIE.US,D,20230301,000000,48.7676,48.7676,48.7048,48.7048,108,0
CVIE.US,D,20230302,000000,48.8058,48.8058,48.8058,48.8058,2,0
CVIE.US,D,20230303,000000,49.4768,49.4768,49.4768,49.4768,40,0
CVIE.US,D,20230306,000000,49.4,49.435,49.3863,49.3863,4617,0
CVIE.US,D,20230307,000000,48.7,48.7,48.6107,48.6107,130,0
CVIE.US,D,20230308,000000,48.775,48.8098,48.775,48.8098,1085,0
CVIE.US,D,20230309,000000,48.67,48.67,48.3711,48.3711,3915,0
CVIE.US,D,20230310,000000,48.63,48.63,47.8415,47.8415,4902,0
CVIE.US,D,20230313,000000,47.68,47.8,47.68,47.6848,1515,0
CVIE.US,D,20230314,000000,48.0172,48.19,47.95,48.1883,1702,0
CVIE.US,D,20230315,000000,46.44,47.05,46.44,46.9296,5257,0
CVIE.US,D,20230316,000000,47.7274,47.7274,47.7274,47.7274,3,0
CVIE.US,D,20230317,000000,47.29,47.29,47.28,47.28,87157,0
CVIE.US,D,20230320,000000,47.74,47.8148,47.74,47.8148,1534,0
CVIE.US,D,20230321,000000,48.24,48.4119,48.24,48.4119,1364,0
CVIE.US,D,20230322,000000,48.56,48.56,48.3136,48.3136,439,0
CVIE.US,D,20230323,000000,48.4,48.4,48.16,48.3989,1278,0
CVIE.US,D,20230324,000000,48.11,48.1527,48.11,48.1527,396,0
CVIE.US,D,20230327,000000,48.5596,48.5596,48.5596,48.5596,5,0
CVIE.US,D,20230328,000000,48.54,48.6142,48.54,48.6142,1471,0
CVIE.US,D,20230329,000000,49.189,49.2108,49.15,49.2108,12159,0
CVIE.US,D,20230330,000000,49.72,49.72,49.66,49.6825,1001,0
CVIE.US,D,20230331,000000,49.972,49.972,49.972,49.972,40,0
CVIE.US,D,20230403,000000,49.9899,50.27,49.9899,50.2515,719,0
CVIE.US,D,20230404,000000,50.2716,50.2716,50.2083,50.2656,44946,0
CVIE.US,D,20230405,000000,49.8886,49.91,49.88,49.8898,22686,0
CVIE.US,D,20230406,000000,50.1053,50.1053,50.1053,50.1053,4,0
CVIE.US,D,20230410,000000,49.79,50.0564,49.79,50.0564,1534,0
CVIE.US,D,20230411,000000,50.24,50.37,50.22,50.2472,21340,0
CVIE.US,D,20230412,000000,50.69,50.69,50.5172,50.5172,3576,0
CVIE.US,D,20230413,000000,51.17,51.1873,51.17,51.1873,374,0
CVIE.US,D,20230414,000000,50.9399,50.9985,50.9399,50.9985,117,0
CVIE.US,D,20230417,000000,50.89,50.973,50.89,50.973,451,0
CVIE.US,D,20230418,000000,51.19,51.27,51.19,51.2267,3673,0
CVIE.US,D,20230419,000000,51.0108,51.0108,51.0108,51.0108,28,0
CVIE.US,D,20230420,000000,50.97,51.032,50.93,51.032,410,0
CVIE.US,D,20230421,000000,50.95,51.24,50.95,51.228,3318,0
CVIE.US,D,20230424,000000,51.3,51.3272,51.21,51.3272,1401,0
CVIE.US,D,20230425,000000,50.84,50.95,50.5704,50.5704,8827,0
CVIE.US,D,20230426,000000,50.62,50.62,50.4212,50.5022,760,0
CVIE.US,D,20230427,000000,51,51.1182,51,51.1182,800,0
CVIE.US,D,20230428,000000,51.03,51.55,51.0011,51.1841,46614,0
CVIE.US,D,20230501,000000,51.41,51.41,51.11,51.1558,10048,0
CVIE.US,D,20230502,000000,50.73,50.73,50.48,50.6842,12067,0
CVIE.US,D,20230503,000000,50.87,51.03,50.7709,50.799,5155,0
CVIE.US,D,20230504,000000,50.68,50.725,50.6581,50.6581,3642,0
CVIE.US,D,20230505,000000,51.27,51.4087,51.27,51.4087,512,0
CVIE.US,D,20230508,000000,51.46,51.48,51.44,51.44,767,0
CVIE.US,D,20230509,000000,51.1893,51.28,51.1893,51.26,1780,0
CVIE.US,D,20230510,000000,51.24,51.24,50.8806,51.205,33972,0
CVIE.US,D,20230511,000000,50.81,51.07,50.81,51.0051,35858,0
CVIE.US,D,20230512,000000,51.0297,51.0297,50.72,50.8419,7846,0
CVIE.US,D,20230515,000000,51.1,51.28,50.96,51.246,5406,0
CVIE.US,D,20230516,000000,50.92,51,50.8286,50.8286,15944,0
CVIE.US,D,20230517,000000,50.86,51.14,50.84,51.1226,9121,0
CVIE.US,D,20230518,000000,50.985,51.1046,50.89,51.1046,7553,0
CVIE.US,D,20230519,000000,51.37,51.46,51.3574,51.46,2241,0
CVIE.US,D,20230522,000000,51.39,51.58,51.39,51.4974,7557,0
CVIE.US,D,20230523,000000,50.75,50.79,50.6957,50.6957,13754,0
CVIE.US,D,20230524,000000,50.25,50.25,49.97,49.997,20416,0
CVIE.US,D,20230525,000000,49.9699,50.1053,49.9444,50.0395,1775,0
CVIE.US,D,20230526,000000,50.35,50.542,50.35,50.542,1155,0
CVIE.US,D,20230530,000000,50.11,50.26,50.11,50.1952,12321,0
