<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DBB.US,D,20070105,000000,20.09,20.09,19.421,19.7684,207021.44495619,0
DBB.US,D,20070108,000000,19.8845,19.903,19.5021,19.5021,11326.427629572,0
DBB.US,D,20070109,000000,19.092,19.5021,19.092,19.3942,5270.4022798268,0
DBB.US,D,20070110,000000,19.6348,20.1877,19.6348,20.1877,12223.817517449,0
DBB.US,D,20070111,000000,20.0449,20.7139,20.0449,20.4549,130200.74711795,0
DBB.US,D,20070112,000000,20.3849,20.3849,20.0274,20.1075,9980.885355126,0
DBB.US,D,20070116,000000,20.0098,20.0098,19.7242,19.7334,5944.2585317874,0
DBB.US,D,20070117,000000,19.5095,19.6173,19.2965,19.6173,4149.4787560341,0
DBB.US,D,20070118,000000,19.5906,19.6975,19.4035,19.4118,16485.063091441,0
DBB.US,D,20070119,000000,19.4744,19.68,19.4744,19.6708,18056.309231278,0
DBB.US,D,20070122,000000,19.8937,20.0006,19.8937,19.9472,15475.906385606,0
DBB.US,D,20070123,000000,20.1702,20.3849,20.0983,20.1702,26690.567197221,0
DBB.US,D,20070124,000000,20.3223,20.3223,20.0725,20.2061,7737.9531928032,0
DBB.US,D,20070125,000000,20.2947,20.3481,20.2061,20.2854,32186.673342438,0
DBB.US,D,20070126,000000,19.9822,20.0983,19.938,20.0274,36110.448233081,0
DBB.US,D,20070129,000000,19.5463,19.5463,19.2606,19.4118,39026.151532627,0
DBB.US,D,20070130,000000,19.2965,19.3942,19.2606,19.3859,23438.478329063,0
DBB.US,D,20070131,000000,19.3859,19.68,19.3233,19.6624,4149.4787560341,0
DBB.US,D,20070201,000000,19.6348,19.7426,19.4035,19.456,9532.7329685564,0
DBB.US,D,20070202,000000,18.6727,18.6727,18.2792,18.5915,43849.486540622,0
DBB.US,D,20070205,000000,18.7436,18.7436,18.5566,18.5915,21868.317303963,0
DBB.US,D,20070206,000000,18.7971,19.0017,18.7519,18.9482,40148.160171158,0
DBB.US,D,20070207,000000,18.6727,18.7795,18.4939,18.5823,9644.4997865145,0
DBB.US,D,20070208,000000,18.3953,18.7519,18.3953,18.6727,41718.321196257,0
DBB.US,D,20070209,000000,18.8773,18.9482,18.8054,18.9132,14354.982861814,0
DBB.US,D,20070212,000000,18.9215,18.9842,18.5114,18.7703,15700.52513626,0
DBB.US,D,20070213,000000,19.2339,19.5638,19.1979,19.5187,53942.138713706,0
DBB.US,D,20070214,000000,19.5721,19.8044,19.5095,19.6348,24335.86821694,0
DBB.US,D,20070215,000000,20.2154,20.2154,19.7777,20.0274,17046.067410706,0
DBB.US,D,20070216,000000,19.8937,20.0098,19.7869,19.9564,50017.278708326,0
DBB.US,D,20070220,000000,19.715,19.715,19.3942,19.5906,39811.774602546,0
DBB.US,D,20070221,000000,19.5814,20.5895,19.5371,19.7777,25456.791740732,0
DBB.US,D,20070222,000000,20.5002,20.5002,20.3039,20.42,18056.309231278,0
DBB.US,D,20070223,000000,20.9637,21.16,20.8835,21.0264,25345.024922774,0
DBB.US,D,20070226,000000,21.089,21.0982,20.9278,21.0531,21643.69855331,0
DBB.US,D,20070227,000000,20.5895,20.8835,20.4909,20.5895,40035.308238462,0
DBB.US,D,20070228,000000,20.5094,20.5895,20.2061,20.5443,14242.130929118,0
DBB.US,D,20070301,000000,20.3923,20.5176,20.2504,20.3665,13682.211724591,0
DBB.US,D,20070302,000000,19.7961,19.9472,19.6624,19.6975,8747.1098986378,0
DBB.US,D,20070305,000000,19.1805,19.5906,18.9307,19.3767,11662.813198184,0
DBB.US,D,20070306,000000,19.8845,19.8845,19.715,19.8403,4149.4787560341,0
DBB.US,D,20070307,000000,20.0098,20.2061,20.0098,20.2061,3924.8600053806,0
DBB.US,D,20070308,000000,20.4642,20.4642,20.2596,20.3757,4149.4787560341,0
DBB.US,D,20070309,000000,20.161,20.161,19.8753,19.8753,6168.8772824409,0
DBB.US,D,20070312,000000,20.1343,20.3923,19.9122,20.3923,896.30477313917,0
DBB.US,D,20070313,000000,20.2061,20.2771,19.8136,19.8495,13682.211724591,0
DBB.US,D,20070314,000000,19.8753,20.0725,19.8403,19.9822,785.62306991859,0
DBB.US,D,20070315,000000,20.2947,20.6605,20.2947,20.5269,13569.359791895,0
DBB.US,D,20070316,000000,20.3039,20.5895,20.2061,20.5535,3924.8600053806,0
DBB.US,D,20070319,000000,20.2771,20.6605,20.2771,20.42,33868.601185496,0
DBB.US,D,20070320,000000,20.607,20.6964,20.3389,20.4549,55063.062237499,0
DBB.US,D,20070321,000000,20.2947,20.4016,20.126,20.161,13121.207405325,0
DBB.US,D,20070322,000000,20.4016,20.7231,20.3923,20.5895,5607.8729631758,0
DBB.US,D,20070323,000000,20.5895,20.5895,20.2854,20.4735,9532.7329685564,0
DBB.US,D,20070326,000000,20.8033,20.8033,20.4292,20.7323,8074.3387614147,0
DBB.US,D,20070327,000000,20.749,20.749,20.1794,20.4108,26017.796059997,0
DBB.US,D,20070328,000000,20.3665,20.4292,20.2947,20.4292,2354.6989802809,0
DBB.US,D,20070329,000000,20.6872,20.795,20.5803,20.7582,42502.859151438,0
DBB.US,D,20070330,000000,21.008,21.008,20.6513,20.6872,54166.75746436,0
DBB.US,D,20070402,000000,20.5895,20.7139,20.3665,20.7139,6504.177736315,0
DBB.US,D,20070403,000000,21.0614,21.383,21.0614,21.3654,5158.6354618688,0
DBB.US,D,20070404,000000,21.3922,22.0161,21.3922,21.8465,43288.482221357,0
DBB.US,D,20070405,000000,21.9185,22.0419,21.6779,21.6945,22653.940373882,0
DBB.US,D,20070409,000000,22.2834,22.569,22.0161,22.569,50129.045526284,0
DBB.US,D,20070410,000000,22.7561,22.7561,22.2124,22.2567,62689.248612344,0
DBB.US,D,20070411,000000,22.6308,22.64,22.2751,22.453,53381.134394441,0
DBB.US,D,20070412,000000,22.4077,22.6584,21.864,22.0253,31288.198339824,0
DBB.US,D,20070413,000000,22.1046,22.1673,21.8907,22.1673,40484.545739769,0
DBB.US,D,20070416,000000,22.5063,22.5773,22.2032,22.4796,33980.368003454,0
DBB.US,D,20070417,000000,22.6584,23.309,22.569,23.2279,35550.529028554,0
DBB.US,D,20070418,000000,22.9248,23.1035,22.7644,22.9792,20298.156278864,0
DBB.US,D,20070419,000000,22.5957,22.7469,22.1765,22.7027,41606.554378299,0
DBB.US,D,20070420,000000,22.899,22.97,22.7386,22.8547,17831.690480625,0
