<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DHS.US,D,20060616,000000,35.4295,35.5012,35.3201,35.3937,15542.394660923,0
DHS.US,D,20060619,000000,35.4942,35.4942,35.0704,35.2077,11590.699853854,0
DHS.US,D,20060620,000000,35.2793,35.2793,35.2723,35.2723,1837.6235327707,0
DHS.US,D,20060621,000000,35.2147,35.4772,35.2147,35.3708,10881.98837103,0
DHS.US,D,20060622,000000,35.2793,35.2793,35.1549,35.1549,4667.4431414957,0
DHS.US,D,20060623,000000,35.1549,35.2583,35.0634,35.14,12717.601374771,0
DHS.US,D,20060626,000000,35.2583,35.3449,35.2525,35.3449,4667.4431414957,0
DHS.US,D,20060627,000000,35.2793,35.2793,35.1191,35.1191,5089.6542376466,0
DHS.US,D,20060628,000000,35.2673,35.336,35.1709,35.336,3676.252330056,0
DHS.US,D,20060629,000000,35.5797,35.9398,35.516,35.9398,4667.4431414957,0
DHS.US,D,20060630,000000,36.08,36.08,36.0134,36.0372,4521.6797868722,0
DHS.US,D,20060703,000000,36.1129,36.2869,36.08,36.2869,8483.4272390874,0
DHS.US,D,20060705,000000,36.1835,36.2133,36.0372,36.1258,102215.29584908,0
DHS.US,D,20060706,000000,36.088,36.4113,36.088,36.2869,7915.452788313,0
DHS.US,D,20060707,000000,36.4203,36.4879,36.3855,36.4024,9038.3332511713,0
DHS.US,D,20060710,000000,36.3257,36.5526,36.3257,36.4332,24314.332815714,0
DHS.US,D,20060711,000000,36.3625,36.4948,36.2501,36.4948,9326.8441668743,0
DHS.US,D,20060712,000000,36.482,36.5436,36.1477,36.1915,15409.69974499,0
DHS.US,D,20060713,000000,36.094,36.094,35.8373,35.8821,11732.442150419,0
DHS.US,D,20060714,000000,35.6692,35.7189,35.4772,35.6483,95557.42896859,0
DHS.US,D,20060717,000000,35.5747,35.6811,35.4712,35.6762,3815.9840975916,0
DHS.US,D,20060718,000000,35.711,35.711,35.6254,35.7051,4377.926961278,0
DHS.US,D,20060719,000000,36.3576,36.5238,36.3576,36.5168,13716.834302329,0
DHS.US,D,20060720,000000,36.5296,36.6272,36.4113,36.4113,11732.442150419,0
DHS.US,D,20060721,000000,36.4402,36.4402,36.2731,36.3039,3255.0464984198,0
DHS.US,D,20060724,000000,36.469,36.8103,36.4471,36.7953,22615.435785964,0
DHS.US,D,20060725,000000,36.8589,37.0768,36.8103,37.0768,4808.180173546,0
DHS.US,D,20060726,000000,37.035,37.234,37.028,37.2071,9466.57593441,0
DHS.US,D,20060727,000000,37.3165,37.3444,36.9982,37.04,14418.50893355,0
DHS.US,D,20060728,000000,37.1186,37.5901,37.0698,37.5454,18232.482502113,0
DHS.US,D,20060731,000000,37.4668,37.4668,37.3165,37.4121,10318.034978314,0
DHS.US,D,20060801,000000,37.1654,37.3523,37.1654,37.3523,17249.33380679,0
DHS.US,D,20060802,000000,37.3165,37.5254,37.3165,37.4588,12012.910950005,0
DHS.US,D,20060803,000000,37.3941,37.5842,37.3941,37.5842,2546.3350155952,0
DHS.US,D,20060804,000000,37.6886,37.8527,37.5842,37.6398,51314.732414558,0
DHS.US,D,20060807,000000,37.612,37.612,37.4259,37.4259,8618.1326840498,0
DHS.US,D,20060808,000000,37.5682,37.596,37.3673,37.3673,8770.9328902758,0
DHS.US,D,20060809,000000,37.4588,37.6488,37.1544,37.1544,8341.6849425224,0
DHS.US,D,20060810,000000,37.04,37.2797,37.0112,37.2688,13430.333915654,0
DHS.US,D,20060811,000000,37.2071,37.2071,36.9624,37.1036,35347.11086394,0
DHS.US,D,20060814,000000,37.2688,37.4588,37.1584,37.1654,19365.415610117,0
DHS.US,D,20060815,000000,37.5901,37.6328,37.4787,37.6328,27845.827055661,0
DHS.US,D,20060816,000000,37.7184,37.797,37.6936,37.7612,18093.755999092,0
DHS.US,D,20060817,000000,37.7334,37.8109,37.6726,37.7612,19223.673313552,0
DHS.US,D,20060818,000000,37.8437,37.9591,37.7751,37.9591,12717.601374771,0
DHS.US,D,20060821,000000,37.8825,37.9333,37.8527,37.8905,19795.668822385,0
DHS.US,D,20060822,000000,37.8905,37.997,37.8437,37.9771,16824.106917096,0
DHS.US,D,20060823,000000,37.986,38.0039,37.7751,37.8309,16105.342789124,0
DHS.US,D,20060824,000000,37.9641,37.9641,37.8617,37.9591,5506.8390112241,0
DHS.US,D,20060825,000000,37.8905,37.9443,37.8617,37.9253,16105.342789124,0
DHS.US,D,20060828,000000,37.7751,38.18,37.7751,38.1402,62200.741843646,0
DHS.US,D,20060829,000000,38.1034,38.187,37.9771,38.187,20209.837802418,0
DHS.US,D,20060830,000000,38.2337,38.2755,38.194,38.2337,89342.883739056,0
