<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DJUL.US,D,20200721,000000,30.45,30.4751,30.3968,30.4,68150,0
DJUL.US,D,20200722,000000,30.41,30.51,30.385,30.4568,16330,0
DJUL.US,D,20200723,000000,30.49,30.49,30.292,30.2963,53122,0
DJUL.US,D,20200724,000000,30.29,30.32,30.205,30.2158,35303,0
DJUL.US,D,20200727,000000,30.34,30.35,30.21,30.3142,6813,0
DJUL.US,D,20200728,000000,30.36,30.39,30.2457,30.2457,26505,0
DJUL.US,D,20200729,000000,30.34,30.43,30.315,30.4046,12686,0
DJUL.US,D,20200730,000000,30.275,30.425,30.26,30.39,41537,0
DJUL.US,D,20200731,000000,30.4,30.44,30.295,30.3886,47048,0
DJUL.US,D,20200803,000000,30.55,30.5783,30.4852,30.4952,8488,0
DJUL.US,D,20200804,000000,30.52,30.6,30.44,30.5237,37096,0
DJUL.US,D,20200805,000000,30.67,30.67,30.6094,30.6094,31743,0
DJUL.US,D,20200806,000000,30.65,30.67,30.52,30.622,7366,0
DJUL.US,D,20200807,000000,30.67,30.73,30.6172,30.6575,8453,0
DJUL.US,D,20200810,000000,30.72,30.75,30.6733,30.74,4383,0
DJUL.US,D,20200811,000000,30.789,30.8,30.5717,30.5717,12303,0
DJUL.US,D,20200812,000000,30.79,30.81,30.7357,30.7357,2678,0
DJUL.US,D,20200813,000000,30.79,30.8,30.7019,30.7019,4012,0
DJUL.US,D,20200814,000000,30.74,30.75,30.6758,30.6758,1994,0
DJUL.US,D,20200817,000000,30.78,30.82,30.745,30.7455,8968,0
DJUL.US,D,20200818,000000,30.77,30.82,30.66,30.7652,9303,0
DJUL.US,D,20200819,000000,30.83,30.84,30.7193,30.7193,8606,0
DJUL.US,D,20200820,000000,30.7699,30.785,30.7225,30.7632,2513,0
DJUL.US,D,20200821,000000,30.82,30.82,30.7664,30.7815,4637,0
DJUL.US,D,20200824,000000,30.88,30.885,30.77,30.8753,4997,0
DJUL.US,D,20200825,000000,30.93,30.94,30.89,30.9124,3965,0
DJUL.US,D,20200826,000000,30.9631,30.9631,30.9631,30.9631,79,0
DJUL.US,D,20200827,000000,31.002,31.05,30.9565,30.9565,16190,0
DJUL.US,D,20200828,000000,30.9984,30.9984,30.9984,30.9984,25,0
DJUL.US,D,20200831,000000,30.9402,30.9402,30.9402,30.9402,9,0
DJUL.US,D,20200901,000000,30.86,30.98,30.86,30.9557,2771,0
DJUL.US,D,20200902,000000,31.0162,31.0162,31.0162,31.0162,9,0
DJUL.US,D,20200903,000000,30.85,30.85,30.592,30.6892,2015,0
DJUL.US,D,20200904,000000,30.83,30.83,30.61,30.7334,2741,0
DJUL.US,D,20200908,000000,30.6,30.6,30.5301,30.5301,293,0
DJUL.US,D,20200909,000000,30.65,30.797,30.65,30.7276,550,0
DJUL.US,D,20200910,000000,30.8,30.8,30.5622,30.5622,15345,0
DJUL.US,D,20200911,000000,30.582,30.582,30.582,30.582,320,0
DJUL.US,D,20200914,000000,30.7299,30.7299,30.7299,30.7299,40,0
DJUL.US,D,20200915,000000,30.7586,30.7586,30.7586,30.7586,15,0
DJUL.US,D,20200916,000000,30.7176,30.7176,30.7176,30.7176,466,0
DJUL.US,D,20200917,000000,30.6,30.65,30.6,30.6291,8872,0
DJUL.US,D,20200918,000000,30.45,30.537,30.45,30.537,3484,0
DJUL.US,D,20200921,000000,30.28,30.43,30.28,30.4118,46167,0
DJUL.US,D,20200922,000000,30.48,30.5103,30.34,30.5103,88000,0
DJUL.US,D,20200923,000000,30.52,30.52,30.2635,30.2635,426,0
DJUL.US,D,20200924,000000,30.3043,30.3043,30.3043,30.3043,1,0
DJUL.US,D,20200925,000000,30.4743,30.4743,30.4743,30.4743,1,0
DJUL.US,D,20200928,000000,30.58,30.6191,30.5605,30.6191,741,0
DJUL.US,D,20200929,000000,30.6387,30.6387,30.6028,30.6028,656,0
DJUL.US,D,20200930,000000,30.75,30.75,30.6834,30.6834,2450,0
DJUL.US,D,20201001,000000,30.6888,30.6888,30.6888,30.6888,1,0
DJUL.US,D,20201002,000000,30.6066,30.6066,30.6066,30.6066,1,0
DJUL.US,D,20201005,000000,30.769,30.769,30.769,30.769,1,0
DJUL.US,D,20201006,000000,30.82,30.84,30.6544,30.6544,2939,0
DJUL.US,D,20201007,000000,30.831,30.831,30.831,30.831,1,0
DJUL.US,D,20201008,000000,30.8862,30.905,30.88,30.905,623,0
DJUL.US,D,20201009,000000,31.0182,31.0182,31.0182,31.0182,1,0
DJUL.US,D,20201012,000000,31.25,31.25,31.1656,31.1656,1088,0
DJUL.US,D,20201013,000000,31.103,31.19,31.103,31.1285,681,0
DJUL.US,D,20201014,000000,31.2,31.2,31.0898,31.0898,1356,0
DJUL.US,D,20201015,000000,31.0672,31.0672,31.0672,31.0672,36,0
DJUL.US,D,20201016,000000,31.03,31.17,31.03,31.0605,5917,0
DJUL.US,D,20201019,000000,30.8893,30.8893,30.8893,30.8893,1,0
DJUL.US,D,20201020,000000,30.985,30.985,30.9513,30.9513,583,0
DJUL.US,D,20201021,000000,30.92,31.01,30.888,30.9551,7555,0
DJUL.US,D,20201022,000000,31.0103,31.0103,31.0103,31.0103,14,0
DJUL.US,D,20201023,000000,31.05,31.05,31.05,31.05,14,0
DJUL.US,D,20201026,000000,30.76,30.8321,30.76,30.8321,498,0
DJUL.US,D,20201027,000000,30.86,30.9,30.823,30.823,6359,0
DJUL.US,D,20201028,000000,30.49,30.54,30.4098,30.4098,970,0
DJUL.US,D,20201029,000000,30.5904,30.5904,30.5904,30.5904,14,0
DJUL.US,D,20201030,000000,30.42,30.42,30.4046,30.4046,207,0
DJUL.US,D,20201102,000000,30.57,30.5733,30.57,30.5733,185,0
DJUL.US,D,20201103,000000,30.85,30.85,30.8052,30.8052,244,0
DJUL.US,D,20201104,000000,31.043,31.043,31.043,31.043,1,0
DJUL.US,D,20201105,000000,31.1836,31.1836,31.1836,31.1836,14,0
DJUL.US,D,20201106,000000,31.2313,31.2313,31.2313,31.2313,14,0
DJUL.US,D,20201109,000000,31.3607,31.3607,31.3607,31.3607,1,0
DJUL.US,D,20201110,000000,31.3318,31.3318,31.3318,31.3318,90,0
DJUL.US,D,20201111,000000,31.29,31.375,31.28,31.3727,18375,0
DJUL.US,D,20201112,000000,31.27,31.27,31.2658,31.2658,264,0
DJUL.US,D,20201113,000000,31.38,31.38,31.29,31.357,1014,0
DJUL.US,D,20201116,000000,31.49,31.49,31.4705,31.4705,2116,0
DJUL.US,D,20201117,000000,31.48,31.51,31.38,31.4148,1000,0
DJUL.US,D,20201118,000000,31.3515,31.3515,31.276,31.3092,4652,0
DJUL.US,D,20201119,000000,31.3429,31.3429,31.3429,31.3429,64,0
DJUL.US,D,20201120,000000,31.2989,31.2989,31.2989,31.2989,16,0
DJUL.US,D,20201123,000000,31.3461,31.3461,31.3461,31.3461,2,0
DJUL.US,D,20201124,000000,31.4649,31.4649,31.4649,31.4649,64,0
DJUL.US,D,20201125,000000,31.4642,31.4642,31.4642,31.4642,64,0
DJUL.US,D,20201127,000000,31.43,31.4782,31.43,31.4782,1700,0
DJUL.US,D,20201130,000000,31.53,31.53,31.4525,31.4525,512,0
DJUL.US,D,20201201,000000,31.5189,31.5189,31.5189,31.5189,64,0
DJUL.US,D,20201202,000000,31.519,31.519,31.519,31.519,64,0
