<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DURA.US,D,20181101,000000,22.4852,22.5305,22.4517,22.5305,5524.049574378,0
DURA.US,D,20181102,000000,22.6201,22.6201,22.3572,22.4685,22397.897952456,0
DURA.US,D,20181105,000000,22.6447,22.7736,22.6447,22.7736,366.71237520236,0
DURA.US,D,20181106,000000,22.8879,22.8927,22.8553,22.8839,2203.3217224763,0
DURA.US,D,20181107,000000,23.2107,23.2107,23.2107,23.2107,2719.36018952,0
DURA.US,D,20181108,000000,23.2905,23.3249,23.2107,23.255,24097.371092937,0
DURA.US,D,20181109,000000,23.2708,23.2708,23.2107,23.2107,4432.0390388031,0
DURA.US,D,20181112,000000,23.2629,23.2629,23.2462,23.2462,645.04808380471,0
DURA.US,D,20181113,000000,23.0611,23.0611,23.0158,23.0158,2636.0626416901,0
DURA.US,D,20181114,000000,22.9292,22.9292,22.7855,22.9213,3651.8863957133,0
DURA.US,D,20181115,000000,22.8839,22.9715,22.8839,22.9715,563.78218348286,0
DURA.US,D,20181116,000000,23.1752,23.1752,23.1752,23.1752,1360.188006637,0
DURA.US,D,20181119,000000,23.1221,23.1221,23.1221,23.1221,1177.3397309129,0
DURA.US,D,20181120,000000,22.9715,23.0532,22.9617,23.0532,566.82965474493,0
DURA.US,D,20181123,000000,22.6624,22.6722,22.6624,22.6722,2492.8314923729,0
DURA.US,D,20181128,000000,22.939,23.1832,22.939,23.1497,5527.0970456401,0
DURA.US,D,20181129,000000,23.2629,23.2629,23.2009,23.2009,1050.36176166,0
DURA.US,D,20181130,000000,23.3436,23.3859,23.3436,23.3859,755.77287299324,0
DURA.US,D,20181203,000000,23.4047,23.5563,23.4047,23.5563,10925.184474519,0
DURA.US,D,20181204,000000,23.6143,23.6143,23.1221,23.1221,992.45980768064,0
DURA.US,D,20181206,000000,22.6988,22.6988,22.6988,22.6988,286.46229863453,0
DURA.US,D,20181207,000000,23.1409,23.1752,22.6801,22.7608,3356.2816832926,0
DURA.US,D,20181210,000000,22.3543,22.8061,22.3444,22.8061,625.74743247827,0
DURA.US,D,20181211,000000,23.0256,23.0256,22.8219,22.8219,3099.2782735247,0
DURA.US,D,20181212,000000,22.9124,22.9124,22.8416,22.8416,2125.1032934165,0
DURA.US,D,20181213,000000,22.9528,22.9617,22.8741,22.9567,2847.3539825269,0
DURA.US,D,20181214,000000,22.6831,22.6831,22.4813,22.5305,24976.058640167,0
DURA.US,D,20181217,000000,22.3819,22.3819,22.0343,22.0343,1609.0648263727,0
DURA.US,D,20181218,000000,22.1514,22.1514,21.7892,21.928,3736.1997672972,0
DURA.US,D,20181219,000000,22.0904,22.0904,21.6681,21.6681,193.0065132644,0
DURA.US,D,20181220,000000,21.6111,21.6111,21.3138,21.3138,1566.4002287037,0
DURA.US,D,20181221,000000,21.2074,21.6829,21.2074,21.2242,9707.2117934454,0
DURA.US,D,20181224,000000,21.2172,21.2172,20.5606,20.5606,3661.0288094995,0
DURA.US,D,20181226,000000,20.4474,21.2517,20.4474,21.2517,407.34532536329,0
DURA.US,D,20181227,000000,20.984,21.4545,20.8521,21.4545,3601.0952080121,0
DURA.US,D,20181228,000000,21.5696,21.5696,21.4279,21.4732,555.65559345067,0
DURA.US,D,20181231,000000,21.6061,21.677,21.5353,21.5904,4275.6021806835,0
DURA.US,D,20190102,000000,21.677,21.677,21.4377,21.6149,4043.9943647662,0
DURA.US,D,20190103,000000,21.3649,21.3649,21.2567,21.2567,999.5705739588,0
DURA.US,D,20190104,000000,21.6947,21.7912,21.6947,21.7912,1648.6819527796,0
DURA.US,D,20190107,000000,21.7656,21.9635,21.7656,21.8345,3733.1522960351,0
DURA.US,D,20190108,000000,21.9074,22.0087,21.9074,22.0087,242.78187721154,0
