<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EQWL.US,D,20150603,000000,35.3093,35.3093,35.1432,35.1688,1512.8084411496,0
EQWL.US,D,20150604,000000,34.8939,34.8939,34.8939,34.8939,930.33674188342,0
EQWL.US,D,20150605,000000,34.8939,34.8939,34.8939,34.8939,466.17960653071,0
EQWL.US,D,20150608,000000,34.7426,34.793,34.6804,34.6804,4307.8636091558,0
EQWL.US,D,20150609,000000,34.5003,34.7338,34.5003,34.7338,1823.2577669737,0
EQWL.US,D,20150610,000000,35.0225,35.067,35.0146,35.067,643.14583460636,0
EQWL.US,D,20150611,000000,35.1016,35.1016,35.1016,35.1016,489.4380250778,0
EQWL.US,D,20150612,000000,35.1016,35.1016,35.1016,35.1016,120.33703509144,0
EQWL.US,D,20150615,000000,34.7762,34.793,34.6892,34.7684,1860.6734837668,0
EQWL.US,D,20150616,000000,34.8267,34.9563,34.8267,34.9305,466.17960653071,0
EQWL.US,D,20150617,000000,34.8267,34.8267,34.8267,34.8267,466.17960653071,0
EQWL.US,D,20150618,000000,35.3152,35.3855,35.3152,35.3855,815.05588473699,0
EQWL.US,D,20150619,000000,35.1708,35.1708,35.1708,35.1708,1044.6063634408,0
EQWL.US,D,20150622,000000,35.4319,35.4319,35.3884,35.3884,349.88751379528,0
EQWL.US,D,20150623,000000,35.3973,35.4141,35.3973,35.4141,897.9772030353,0
EQWL.US,D,20150624,000000,35.3785,35.3785,35.1313,35.1313,2542.2462707553,0
EQWL.US,D,20150625,000000,35.1966,35.1966,35.0423,35.0769,1044.6063634408,0
EQWL.US,D,20150626,000000,35.0146,35.0146,35.0077,35.0077,925.2805639384,0
EQWL.US,D,20150629,000000,34.5399,34.5676,34.4638,34.4638,2542.2462707553,0
EQWL.US,D,20150630,000000,34.446,35.1313,34.446,34.446,625.9548295933,0
EQWL.US,D,20150701,000000,34.8099,34.8099,34.5489,34.619,1623.033120351,0
EQWL.US,D,20150702,000000,34.6695,34.6695,34.6695,34.6695,349.88751379528,0
EQWL.US,D,20150706,000000,34.5489,34.5489,34.4915,34.4915,577.41552132112,0
EQWL.US,D,20150707,000000,34.6032,34.7684,34.6032,34.7684,577.41552132112,0
EQWL.US,D,20150709,000000,34.4915,34.4915,34.4915,34.4915,349.88751379528,0
EQWL.US,D,20150710,000000,34.4915,34.4915,34.4915,34.4915,119.32579950244,0
EQWL.US,D,20150713,000000,34.9573,34.9573,34.9385,34.9483,3474.6054838168,0
EQWL.US,D,20150714,000000,35.1214,35.1214,35.1214,35.1214,252.80889725093,0
