<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FBND.US,D,20141015,000000,42.565,42.6078,42.3146,42.3146,25767.823836411,0
FBND.US,D,20141016,000000,42.4398,42.4398,42.3235,42.3543,9385.6645088315,0
FBND.US,D,20141017,000000,42.5114,42.5114,42.3324,42.3622,21502.527210747,0
FBND.US,D,20141020,000000,42.4149,42.4149,42.3622,42.398,17039.055246579,0
FBND.US,D,20141021,000000,42.5114,42.5114,42.3802,42.4149,19829.605444597,0
FBND.US,D,20141022,000000,42.4239,42.4865,42.3324,42.3881,14357.149396575,0
FBND.US,D,20141023,000000,42.5998,42.5998,42.3484,42.3543,20320.516943022,0
FBND.US,D,20141024,000000,42.3543,42.3543,42.2609,42.2698,14364.191159872,0
FBND.US,D,20141027,000000,42.4657,42.4657,42.3324,42.3881,74553.159958629,0
FBND.US,D,20141028,000000,42.4229,42.4229,42.2877,42.3225,9027.5405468653,0
FBND.US,D,20141029,000000,42.3225,42.4647,42.2341,42.2341,15173.993939037,0
FBND.US,D,20141030,000000,42.4139,42.4139,42.2002,42.2787,11514.288956922,0
FBND.US,D,20141031,000000,42.2787,42.3612,42.1853,42.1853,23694.527528512,0
FBND.US,D,20141103,000000,42.3314,42.3543,40.1783,42.2091,45423.397130952,0
FBND.US,D,20141104,000000,42.3066,42.3066,42.2599,42.2787,13572.495772042,0
FBND.US,D,20141105,000000,42.2787,42.2877,42.2191,42.2191,6803.3493111712,0
FBND.US,D,20141106,000000,42.1098,42.2191,42.062,42.1098,19493.612738707,0
FBND.US,D,20141107,000000,42.2191,42.2599,42.1525,42.1525,9982.2024567132,0
FBND.US,D,20141110,000000,42.3066,42.3146,42.1098,42.1188,8322.3582509713,0
FBND.US,D,20141111,000000,42.0461,42.2191,42.0461,42.2002,20702.784093435,0
FBND.US,D,20141112,000000,42.2419,42.2509,42.2002,42.2091,4548.9790899181,0
FBND.US,D,20141113,000000,42.1943,42.1943,42.1188,42.1266,1842.9300514662,0
FBND.US,D,20141114,000000,42.1188,42.2002,42.1188,42.1853,2512.9035308747,0
FBND.US,D,20141117,000000,42.2688,42.2688,42.1266,42.1266,4711.9456119364,0
FBND.US,D,20141118,000000,42.2002,42.2191,42.1674,42.2002,13927.601835452,0
FBND.US,D,20141119,000000,42.1764,42.2002,42.1575,42.2002,4433.2929786088,0
FBND.US,D,20141120,000000,42.1188,42.2688,42.1098,42.2091,7169.5210026197,0
FBND.US,D,20141121,000000,42.2599,42.2877,42.1853,42.2341,8788.1205947644,0
FBND.US,D,20141124,000000,42.2002,42.2877,42.2002,42.2787,11257.767579671,0
FBND.US,D,20141125,000000,42.3066,42.3225,42.2787,42.3146,14333.006208127,0
FBND.US,D,20141126,000000,42.405,42.4139,42.3612,42.397,7419.0006165736,0
FBND.US,D,20141128,000000,42.4577,42.4647,42.3474,42.4577,2057.2008489347,0
FBND.US,D,20141201,000000,42.5044,42.5213,42.4477,42.4865,41614.809153412,0
FBND.US,D,20141202,000000,42.4229,42.4229,42.1853,42.1853,5101.2545256468,0
FBND.US,D,20141203,000000,42.1764,42.3225,42.1436,42.3146,7284.2011477437,0
FBND.US,D,20141204,000000,42.2002,42.3225,42.1575,42.3225,15537.147731929,0
FBND.US,D,20141205,000000,42.3314,42.3314,42.1764,42.2091,9187.4891703277,0
FBND.US,D,20141208,000000,42.1356,42.2787,42.1088,42.2419,39223.627530959,0
FBND.US,D,20141209,000000,42.2002,42.2419,42.1674,42.2191,5230.0181973649,0
FBND.US,D,20141210,000000,42.1853,42.1943,42.1356,42.1853,4588.2117711447,0
FBND.US,D,20141211,000000,42.1356,42.1853,42.1008,42.1764,15992.850413869,0
FBND.US,D,20141212,000000,42.1256,42.1943,42.1178,42.1178,5463.4023523541,0
FBND.US,D,20141215,000000,42.1178,42.1356,42.078,42.1356,19625.394308981,0
FBND.US,D,20141216,000000,42.0869,42.1764,41.9189,42.07,11118.9442461,0
FBND.US,D,20141217,000000,42.0531,42.1008,41.9428,41.9745,24176.38533127,0
FBND.US,D,20141218,000000,42.0531,42.1436,42.0034,42.0203,10210.556780776,0
FBND.US,D,20141219,000000,42.078,42.1178,42.0034,42.0611,17048.108942247,0
FBND.US,D,20141222,000000,42.0034,42.2341,42.0034,42.2002,7036.7334661603,0
FBND.US,D,20141223,000000,42.2509,42.2509,42.1088,42.1356,22719.746294958,0
FBND.US,D,20141224,000000,42.2599,42.2599,42.1178,42.1178,5787.3234640201,0
FBND.US,D,20141226,000000,42.1764,42.1764,42.0034,42.1764,3823.6774703182,0
FBND.US,D,20141229,000000,42.2678,42.2678,42.069,42.2002,10475.125887509,0
FBND.US,D,20141230,000000,42.1575,42.2409,42.1575,42.2081,17026.983652356,0
FBND.US,D,20141231,000000,42.2867,42.2867,42.2261,42.2678,9539.5773351821,0
FBND.US,D,20150102,000000,42.3612,42.3712,42.2589,42.3543,5444.2889948334,0
FBND.US,D,20150105,000000,42.4477,42.4647,42.3146,42.4477,17616.479836941,0
FBND.US,D,20150106,000000,42.5382,42.5382,42.4795,42.4955,19784.336966258,0
FBND.US,D,20150107,000000,42.3712,42.5561,42.3394,42.5044,56130.901207264,0
FBND.US,D,20150108,000000,42.5561,42.5561,42.397,42.4955,22272.0913425,0
FBND.US,D,20150109,000000,42.574,42.5998,42.4647,42.5472,20943.210011722,0
FBND.US,D,20150112,000000,42.7181,42.7261,42.5382,42.6356,63814.470930571,0
FBND.US,D,20150113,000000,42.7181,42.7181,42.6545,42.6883,14882.263745301,0
FBND.US,D,20150114,000000,42.8176,42.8752,42.7023,42.7838,54179.326807786,0
FBND.US,D,20150115,000000,42.7509,42.8583,42.743,42.8006,37118.14030513,0
FBND.US,D,20150116,000000,42.8006,42.8484,42.6257,42.6356,17994.723122613,0
FBND.US,D,20150120,000000,42.7678,42.7768,42.6724,42.7111,36495.447236431,0
FBND.US,D,20150121,000000,42.7927,42.7927,42.6803,42.7838,29296.753214437,0
FBND.US,D,20150122,000000,42.9001,42.9001,42.7261,42.7579,12121.892532842,0
FBND.US,D,20150123,000000,42.8484,42.8752,42.7509,42.8583,17437.417855958,0
FBND.US,D,20150126,000000,42.9001,42.9467,42.8901,42.9179,7901.8643855167,0
FBND.US,D,20150127,000000,43.0064,43.0164,42.8901,42.9001,19073.118873252,0
FBND.US,D,20150128,000000,42.9398,43.1029,42.8772,43.078,64275.203443438,0
FBND.US,D,20150129,000000,42.9984,43.0939,42.9984,43.0184,30975.7107777,0
FBND.US,D,20150130,000000,43.0939,43.1098,42.9846,43.0939,7175.5567997315,0
FBND.US,D,20150202,000000,43.1098,43.1098,42.9846,43.078,8114.1232506146,0
FBND.US,D,20150203,000000,43.07,43.1993,43.0621,43.07,14507.038358184,0
FBND.US,D,20150204,000000,43.0442,43.07,42.9398,43.0621,19261.234549903,0
FBND.US,D,20150205,000000,43.1555,43.1555,42.9398,43.1029,40278.886059337,0
FBND.US,D,20150206,000000,42.9984,43.0263,42.7688,42.8106,38120.082625687,0
FBND.US,D,20150209,000000,42.8106,42.9657,42.6973,42.6973,13662.026762533,0
FBND.US,D,20150210,000000,42.8682,42.9011,42.7688,42.9011,46009.87541698,0
FBND.US,D,20150211,000000,43.0263,43.0263,42.7688,42.7778,11330.197145013,0
FBND.US,D,20150212,000000,42.9487,42.9567,42.7271,42.8344,233476.70387821,0
FBND.US,D,20150213,000000,42.7121,42.8344,42.7121,42.7858,7012.5902777132,0
FBND.US,D,20150217,000000,42.7191,42.8196,42.6078,42.6893,27787.80393649,0
FBND.US,D,20150218,000000,42.6734,42.8682,42.566,42.6645,20867.762547825,0
FBND.US,D,20150219,000000,42.8603,42.8682,42.6267,42.8265,16823.778482926,0
FBND.US,D,20150220,000000,42.9011,42.9011,42.6267,42.8265,11052.550477871,0
FBND.US,D,20150223,000000,42.8841,42.9299,42.7271,42.9099,26704.378354923,0
FBND.US,D,20150224,000000,42.8841,43.078,42.7529,43.078,13560.424177819,0
FBND.US,D,20150225,000000,43.084,43.1187,42.8583,43.1187,10458.024462359,0
FBND.US,D,20150226,000000,43.0532,43.0929,42.9567,43.0253,42872.266885035,0
FBND.US,D,20150227,000000,43.084,43.1267,42.8841,42.9189,134294.47380493,0
FBND.US,D,20150302,000000,42.9189,43.1267,42.8911,42.9289,10601.877626857,0
FBND.US,D,20150303,000000,43.0532,43.0532,42.7678,42.8841,67273.988641812,0
FBND.US,D,20150304,000000,42.8841,42.9567,42.7838,42.9099,27447.787365859,0
FBND.US,D,20150305,000000,42.9389,42.9746,42.8762,42.9647,14846.048962629,0
FBND.US,D,20150306,000000,42.9099,42.9099,42.6963,42.8484,24975.122482397,0
FBND.US,D,20150309,000000,42.8583,42.9746,42.8086,42.9389,62092.256821342,0
FBND.US,D,20150310,000000,42.9836,42.9836,42.9001,42.9477,26389.510938925,0
FBND.US,D,20150311,000000,42.9289,42.9389,42.8324,42.8673,37465.198639058,0
FBND.US,D,20150312,000000,42.9746,43.0174,42.8762,42.9001,22384.759555254,0
FBND.US,D,20150313,000000,42.9189,42.9746,42.8762,42.8762,11783.887894583,0
FBND.US,D,20150316,000000,42.9001,42.9289,42.8245,42.8841,21913.967380535,0
FBND.US,D,20150317,000000,42.8583,42.8911,42.7768,42.8324,18380.008171582,0
FBND.US,D,20150318,000000,42.7023,43.069,42.6963,42.9567,37936.996779963,0
FBND.US,D,20150319,000000,43.0074,43.069,42.9001,42.9289,6835.5402291007,0
FBND.US,D,20150320,000000,43.077,43.1267,42.9836,43.1267,29696.12179,0
FBND.US,D,20150323,000000,43.1187,43.1983,43.0532,43.1625,28867.205653314,0
FBND.US,D,20150324,000000,43.1397,43.259,43.1088,43.259,19319.58058865,0
FBND.US,D,20150325,000000,43.3285,43.3285,43.1725,43.1784,13666.050627275,0
FBND.US,D,20150326,000000,43.1625,43.1784,42.9895,42.9974,13569.477873487,0
FBND.US,D,20150327,000000,42.9895,43.1545,42.9895,43.1098,10810.112627213,0
FBND.US,D,20150330,000000,43.2241,43.2241,43.077,43.077,27855.203670905,0
FBND.US,D,20150331,000000,43.1088,43.2062,43.0929,43.1545,21859.645206528,0
FBND.US,D,20150401,000000,43.1993,43.5492,43.1893,43.2698,14930.550122195,0
FBND.US,D,20150402,000000,43.25,43.3225,43.1893,43.2788,15279.620388494,0
FBND.US,D,20150406,000000,43.407,43.407,43.2788,43.3285,10933.846468006,0
FBND.US,D,20150407,000000,43.2888,43.407,43.2888,43.3891,15850.003215557,0
FBND.US,D,20150408,000000,43.3723,43.4528,43.3464,43.4528,116721.25051396,0
FBND.US,D,20150409,000000,43.407,43.4836,43.2888,43.2888,14573.432126414,0
FBND.US,D,20150410,000000,43.3791,43.4448,43.2788,43.3633,133059.14732938,0
FBND.US,D,20150413,000000,43.3633,43.4349,43.3225,43.3553,9520.4639776614,0
FBND.US,D,20150414,000000,43.4349,43.5273,43.3991,43.3991,80281.131417716,0
FBND.US,D,20150415,000000,43.4528,43.5084,43.3991,43.4916,18389.06186725,0
FBND.US,D,20150416,000000,43.5352,43.5432,43.3891,43.4448,23581.859315759,0
FBND.US,D,20150417,000000,43.4617,43.5492,43.4349,43.5492,13995.001569868,0
FBND.US,D,20150420,000000,43.5492,43.5492,43.3464,43.3633,253620.17077262,0
FBND.US,D,20150421,000000,43.3891,43.4696,43.3891,43.417,14243.475217636,0
FBND.US,D,20150422,000000,43.3633,43.5084,43.3136,43.3285,18551.022423082,0
FBND.US,D,20150423,000000,43.3891,43.4696,43.3365,43.3553,36789.189362537,0
FBND.US,D,20150424,000000,43.5174,43.5174,43.4259,43.4766,7404.9170899795,0
FBND.US,D,20150427,000000,43.5561,43.5561,43.4349,43.5134,28391.383647669,0
FBND.US,D,20150428,000000,43.5512,43.5571,43.3573,43.3653,22026.635593287,0
FBND.US,D,20150429,000000,43.2967,43.3146,43.1635,43.2708,34939.217547774,0
FBND.US,D,20150430,000000,43.2251,43.2898,43.1029,43.1903,20400.994237846,0
FBND.US,D,20150501,000000,43.1804,43.1804,43.1197,43.1407,9964.0950653779,0
FBND.US,D,20150504,000000,43.1903,43.2251,43.0939,43.1197,211026.55652091,0
FBND.US,D,20150505,000000,43.1725,43.1804,43.0442,43.1277,327210.62109192,0
FBND.US,D,20150506,000000,43.1277,43.1277,42.9647,43.0362,227754.76821624,0
FBND.US,D,20150507,000000,43.1029,43.1277,42.9895,43.1277,66147.306514278,0
FBND.US,D,20150508,000000,43.2898,43.2898,43.1804,43.242,78902.957743858,0
FBND.US,D,20150511,000000,43.1407,43.1475,42.9895,42.9974,17942.412880977,0
