<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FIVA.US,D,20180119,000000,21.5544,21.5701,21.3903,21.4098,12870.533975148,0
FIVA.US,D,20180122,000000,21.4695,21.5456,21.4606,21.529,8766.0100147341,0
FIVA.US,D,20180123,000000,21.5798,21.6394,21.529,21.6394,21633.472507747,0
FIVA.US,D,20180124,000000,21.74,21.8426,21.5613,21.5613,37040.026899445,0
FIVA.US,D,20180125,000000,21.74,21.7478,21.5124,21.529,18205.698444522,0
FIVA.US,D,20180126,000000,21.5378,21.6619,21.529,21.5798,7581.4417378073,0
FIVA.US,D,20180129,000000,21.4792,21.4792,21.3581,21.4606,14230.176733799,0
FIVA.US,D,20180130,000000,21.3679,21.3903,21.151,21.2751,14878.259464391,0
FIVA.US,D,20180131,000000,21.3269,21.3669,21.0212,21.1393,12595.124410331,0
FIVA.US,D,20180201,000000,21.2243,21.3064,21.2233,21.2692,4393.2432811521,0
FIVA.US,D,20180202,000000,21.1823,21.1823,20.9694,20.9694,6088.7014199514,0
FIVA.US,D,20180205,000000,20.8287,20.8287,19.7875,19.9057,26143.432110049,0
FIVA.US,D,20180206,000000,20.143,20.5884,19.8588,20.3199,69278.303393717,0
FIVA.US,D,20180207,000000,20.3872,20.5288,20.2944,20.2944,16720.124918316,0
FIVA.US,D,20180208,000000,20.2944,20.438,19.7192,19.7973,61436.80950177,0
FIVA.US,D,20180209,000000,19.9154,20.018,19.1926,19.7778,42883.009748557,0
FIVA.US,D,20180212,000000,20.2866,20.2866,19.9985,20.1,28751.120443093,0
FIVA.US,D,20180213,000000,20.1235,20.1235,20.0708,20.0962,3422.6549263322,0
FIVA.US,D,20180214,000000,20.0483,20.4732,20.0483,20.3872,12037.138489048,0
FIVA.US,D,20180215,000000,20.5386,20.607,20.438,20.524,9396.6876798913,0
FIVA.US,D,20180216,000000,20.7505,20.7505,20.692,20.692,2391.6607561807,0
FIVA.US,D,20180220,000000,20.398,20.5386,20.398,20.398,9468.3555963865,0
FIVA.US,D,20180221,000000,20.4966,20.5552,20.2944,20.3589,6748.0462517067,0
FIVA.US,D,20180222,000000,20.649,20.649,20.2944,20.3697,8256.1439802401,0
FIVA.US,D,20180223,000000,20.5728,20.7095,20.5728,20.6587,7391.0098454059,0
FIVA.US,D,20180226,000000,20.8101,20.9088,20.6998,20.8306,13140.824403074,0
FIVA.US,D,20180227,000000,20.7945,20.7945,20.6324,20.6685,12598.195892468,0
FIVA.US,D,20180228,000000,20.7067,20.7067,20.3785,20.3785,9660.8351435448,0
FIVA.US,D,20180301,000000,20.3267,20.3267,19.9291,19.9721,8474.219211861,0
FIVA.US,D,20180302,000000,19.9721,20.0483,19.9419,20.0483,2556.4969641195,0
FIVA.US,D,20180305,000000,19.9985,20.2261,19.9829,20.1753,5111.9701008605,0
FIVA.US,D,20180306,000000,20.3022,20.3267,20.2524,20.2524,4419.8627929931,0
FIVA.US,D,20180307,000000,20.2085,20.2486,20.143,20.2436,4367.6475966895,0
FIVA.US,D,20180308,000000,20.3199,20.3785,20.2691,20.2779,4476.1732988107,0
FIVA.US,D,20180309,000000,20.2779,20.312,20.1851,20.2261,9272.8045670926,0
FIVA.US,D,20180312,000000,20.4038,20.4038,20.2104,20.3267,14642.779167335,0
FIVA.US,D,20180313,000000,20.4458,20.4458,20.2261,20.2534,8089.2601175443,0
FIVA.US,D,20180314,000000,20.438,20.438,20.1909,20.2085,5612.6216889479,0
FIVA.US,D,20180315,000000,20.1753,20.1841,20.1665,20.1753,6431.6835917495,0
FIVA.US,D,20180316,000000,20.1773,20.3227,20.102,20.2466,19251.026197973,0
FIVA.US,D,20180319,000000,20.2632,20.2632,19.9341,20.0425,5097.6365175614,0
FIVA.US,D,20180320,000000,20.2729,20.2729,19.9672,20.0004,2038.4403105975,0
FIVA.US,D,20180321,000000,20.101,20.101,20.101,20.101,220.12288637793,0
FIVA.US,D,20180322,000000,20.0229,20.0415,19.8354,19.8354,9934.1970536049,0
FIVA.US,D,20180323,000000,19.8208,19.8969,19.5648,19.6342,8186.523718502,0
FIVA.US,D,20180326,000000,19.9154,19.9154,19.6879,19.8285,12150.783328062,0
FIVA.US,D,20180327,000000,20.2641,20.2641,19.7612,19.7612,20058.825999611,0
FIVA.US,D,20180328,000000,19.7612,19.7973,19.7612,19.7973,12334.048428814,0
FIVA.US,D,20180329,000000,20.0932,20.1265,19.8842,20.0678,8405.6227775014,0
FIVA.US,D,20180402,000000,20.0767,20.0767,19.7973,19.8628,5001.3967439823,0
FIVA.US,D,20180403,000000,20.0151,20.0151,19.7612,19.8051,8461.933283319,0
FIVA.US,D,20180404,000000,19.7778,20.0493,19.7367,20.0493,15602.105420992,0
FIVA.US,D,20180405,000000,20.1694,20.2564,20.1284,20.1284,4514.0549118153,0
FIVA.US,D,20180406,000000,20.2632,20.2632,20.0347,20.105,11290.76833012,0
FIVA.US,D,20180409,000000,20.1616,20.357,20.1265,20.1773,12763.032100406,0
FIVA.US,D,20180410,000000,20.4498,20.4498,20.356,20.356,13954.767168982,0
FIVA.US,D,20180411,000000,20.3843,20.4839,20.3843,20.4165,5663.813057873,0
FIVA.US,D,20180412,000000,20.4849,20.5641,20.399,20.5562,7936.7098381475,0
FIVA.US,D,20180413,000000,20.5142,20.5513,20.4937,20.4937,1959.6056024528,0
FIVA.US,D,20180416,000000,20.6216,20.6216,20.4331,20.5679,9126.3972519668,0
FIVA.US,D,20180417,000000,20.6216,20.7125,20.5757,20.7037,15823.252134749,0
FIVA.US,D,20180418,000000,20.729,20.8082,20.6969,20.7388,9998.6981784505,0
FIVA.US,D,20180419,000000,20.7388,20.7613,20.7388,20.7565,4548.8650426844,0
FIVA.US,D,20180420,000000,20.6461,20.729,20.5933,20.6499,3427.7740632247,0
FIVA.US,D,20180423,000000,20.69,20.69,20.5435,20.6764,6324.1817170068,0
FIVA.US,D,20180424,000000,20.7388,20.7388,20.5005,20.5435,2945.5513679502,0
FIVA.US,D,20180425,000000,20.4771,20.5777,20.4331,20.5689,3691.9215268782,0
FIVA.US,D,20180426,000000,20.6724,20.6724,20.5064,20.5777,2997.7665642538,0
FIVA.US,D,20180427,000000,20.6372,20.6372,20.4312,20.6372,3156.4598079217,0
FIVA.US,D,20180430,000000,20.6637,20.6637,20.4849,20.5846,3714.4457292052,0
FIVA.US,D,20180501,000000,20.4868,20.5513,20.4868,20.5513,3147.2453615151,0
FIVA.US,D,20180502,000000,20.6216,20.6216,20.4595,20.5005,2606.6645056661,0
FIVA.US,D,20180503,000000,20.4165,20.5279,20.1938,20.5279,6140.916616255,0
