<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FJAN.US,D,20210120,000000,30.52,30.57,30.38,30.5245,347763,0
FJAN.US,D,20210121,000000,30.56,30.61,30.5,30.5641,341090,0
FJAN.US,D,20210122,000000,30.56,30.56,30.43,30.5,85007,0
FJAN.US,D,20210125,000000,30.64,30.64,30.3,30.53,160145,0
FJAN.US,D,20210126,000000,30.57,30.58,30.49,30.51,183188,0
FJAN.US,D,20210127,000000,30.35,30.35,29.78,29.92,167783,0
FJAN.US,D,20210128,000000,30.46,30.46,29.97,30.13,101805,0
FJAN.US,D,20210129,000000,30.41,30.41,29.6,29.7385,159134,0
FJAN.US,D,20210201,000000,29.95,30.25,29.81,30.06,130409,0
FJAN.US,D,20210202,000000,29.82,30.4,29.82,30.32,106074,0
FJAN.US,D,20210203,000000,30.29,30.425,30.2821,30.33,673832,0
FJAN.US,D,20210204,000000,30.1,30.59,30.1,30.59,30643,0
FJAN.US,D,20210205,000000,30.58,30.68,30.58,30.64,176554,0
FJAN.US,D,20210208,000000,30.59,30.76,30.59,30.7361,26625,0
FJAN.US,D,20210209,000000,30.7,30.77,30.69,30.74,48058,0
FJAN.US,D,20210210,000000,30.84,30.84,30.63,30.72,72263,0
FJAN.US,D,20210211,000000,30.93,30.93,30.6149,30.73,29997,0
FJAN.US,D,20210212,000000,30.38,30.87,30.38,30.87,77171,0
FJAN.US,D,20210216,000000,30.835,30.84,30.7601,30.8089,23102,0
FJAN.US,D,20210217,000000,30.695,30.787,30.63,30.787,31177,0
FJAN.US,D,20210218,000000,30.81,30.81,30.6,30.72,19858,0
FJAN.US,D,20210219,000000,30.69,30.79,30.67,30.69,25354,0
FJAN.US,D,20210222,000000,30.7,30.7,30.52,30.57,27375,0
FJAN.US,D,20210223,000000,30.3,30.68,30.28,30.55,67141,0
FJAN.US,D,20210224,000000,30.53,30.8299,30.5,30.77,32066,0
FJAN.US,D,20210225,000000,30.65,30.69,30.28,30.34,42968,0
FJAN.US,D,20210226,000000,30.43,30.52,30.19,30.25,46196,0
