<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FLCB.US,D,20190920,000000,24.3543,24.3992,24.3543,24.3992,9365916.6614543,0
FLCB.US,D,20190923,000000,24.433,24.433,24.4042,24.4042,9228579.0662723,0
FLCB.US,D,20190924,000000,24.4907,24.4977,24.4907,24.4977,322023.97848967,0
FLCB.US,D,20190925,000000,24.424,24.424,24.3892,24.3892,3287842.6071199,0
FLCB.US,D,20190926,000000,24.4042,24.4042,24.3992,24.3992,515.16284853434,0
FLCB.US,D,20190927,000000,24.424,24.428,24.424,24.428,5612.5636656109,0
FLCB.US,D,20190930,000000,24.4529,24.4529,24.4529,24.4529,1804.5762939887,0
FLCB.US,D,20191001,000000,24.4907,24.4907,24.4828,24.4828,9762.988720177,0
FLCB.US,D,20191002,000000,24.5097,24.5256,24.5097,24.5256,7511053.2430929,0
FLCB.US,D,20191003,000000,24.5605,24.5993,24.5605,24.5953,16133.735525444,0
FLCB.US,D,20191004,000000,24.6391,24.6441,24.6291,24.6441,8776.848530585,0
FLCB.US,D,20191007,000000,24.6291,24.6291,24.5853,24.5853,11337.599532071,0
FLCB.US,D,20191008,000000,24.5705,24.5705,24.5445,24.5505,5553821.0418529,0
FLCB.US,D,20191009,000000,24.5724,24.5724,24.5515,24.5515,650.73201920127,0
FLCB.US,D,20191010,000000,24.4768,24.4798,24.4628,24.4628,859.60896363624,0
FLCB.US,D,20191011,000000,24.3792,24.3792,24.3792,24.3792,10.042160790143,0
FLCB.US,D,20191014,000000,24.4042,24.4042,24.4042,24.4042,25.105401975357,0
FLCB.US,D,20191015,000000,24.434,24.434,24.3792,24.3792,1254.2658826889,0
FLCB.US,D,20191016,000000,24.414,24.414,24.3942,24.3942,605.54229564562,0
FLCB.US,D,20191017,000000,24.414,24.434,24.3992,24.3992,630.64769762098,0
FLCB.US,D,20191018,000000,24.3742,24.4042,24.3742,24.4042,1393.8519176718,0
FLCB.US,D,20191021,000000,24.3842,24.3842,24.3623,24.3623,1655.9523142946,0
FLCB.US,D,20191022,000000,24.3942,24.3942,24.3643,24.3742,2594.8943481729,0
FLCB.US,D,20191023,000000,24.424,24.424,24.3643,24.3643,5525.1968667367,0
FLCB.US,D,20191024,000000,24.409,24.409,24.409,24.409,4.0168643160572,0
FLCB.US,D,20191025,000000,24.3842,24.4042,24.3643,24.3692,1344816.0465336,0
FLCB.US,D,20191028,000000,24.3215,24.3444,24.3145,24.3314,230448.51002829,0
FLCB.US,D,20191029,000000,24.3643,24.3643,24.3314,24.3394,10078.312568988,0
FLCB.US,D,20191030,000000,24.3075,24.3852,24.3075,24.3852,2762.5984333683,0
FLCB.US,D,20191031,000000,24.5107,24.5306,24.444,24.5007,106439.87486296,0
FLCB.US,D,20191101,000000,24.5206,24.5206,24.4678,24.4957,4267.9183358108,0
FLCB.US,D,20191104,000000,24.445,24.4907,24.424,24.448,565556.41981143,0
FLCB.US,D,20191105,000000,24.3563,24.3732,24.3354,24.3643,8648.3088724711,0
FLCB.US,D,20191106,000000,24.3992,24.444,24.3962,24.3992,6903.9855432233,0
FLCB.US,D,20191107,000000,24.3314,24.3543,24.2477,24.3125,13010.623519709,0
FLCB.US,D,20191108,000000,24.3354,24.3444,24.2985,24.3025,15747.112335023,0
FLCB.US,D,20191111,000000,24.2975,24.2975,24.2408,24.2787,6808.5850157169,0
FLCB.US,D,20191112,000000,24.2965,24.3264,24.2965,24.3125,3251.6516638483,0
FLCB.US,D,20191113,000000,24.3384,24.3842,24.3245,24.3444,8446.4614405893,0
FLCB.US,D,20191114,000000,24.414,24.4628,24.3992,24.3992,23638.242283918,0
FLCB.US,D,20191115,000000,24.444,24.444,24.3892,24.4051,6094.5873835378,0
FLCB.US,D,20191118,000000,24.4529,24.4618,24.3962,24.414,6520.3750010398,0
FLCB.US,D,20191119,000000,24.445,24.4818,24.442,24.4579,12216.288601208,0
FLCB.US,D,20191120,000000,24.4907,24.5127,24.4848,24.4997,4434.6182049271,0
FLCB.US,D,20191121,000000,24.5007,24.5107,24.425,24.4728,7708.3626225138,0
FLCB.US,D,20191122,000000,24.5097,24.5107,24.4628,24.4778,279277.51265428,0
FLCB.US,D,20191125,000000,24.5107,24.5206,24.4798,24.4907,10046.177654459,0
FLCB.US,D,20191126,000000,24.5355,24.5605,24.5286,24.5545,7954.3955618723,0
FLCB.US,D,20191127,000000,24.5405,24.5505,24.5057,24.5057,8645.2962242341,0
FLCB.US,D,20191129,000000,24.5266,24.5266,24.4967,24.5067,7211.2756634017,0
FLCB.US,D,20191202,000000,24.5067,24.5067,24.434,24.4589,9828.2627653129,0
FLCB.US,D,20191203,000000,24.5465,24.6142,24.5186,24.5863,1458.1217467288,0
FLCB.US,D,20191204,000000,24.5565,24.5565,24.4828,24.5365,9992.9542022713,0
FLCB.US,D,20191205,000000,24.5167,24.5665,24.5167,24.5167,19248.813802546,0
FLCB.US,D,20191206,000000,24.5067,24.5167,24.4628,24.4738,5799.3478563076,0
FLCB.US,D,20191209,000000,24.5127,24.5266,24.4808,24.5167,7623.0042557975,0
