<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FNDC.US,D,20130820,000000,21.5438,21.5438,21.2899,21.3825,6056.5218096948,0
FNDC.US,D,20130821,000000,21.3576,21.3576,21.1943,21.2899,4011.905924346,0
FNDC.US,D,20130822,000000,21.3317,21.3825,21.3148,21.3576,19070.361327492,0
FNDC.US,D,20130823,000000,21.4433,21.5528,21.4353,21.5438,6295.5289711452,0
FNDC.US,D,20130826,000000,21.4184,21.4184,21.3317,21.3317,18142.451171273,0
FNDC.US,D,20130827,000000,21.1176,21.1346,20.9205,20.9294,8825.1888017904,0
FNDC.US,D,20130828,000000,20.9563,21.024,20.9474,20.9563,12055.802408454,0
FNDC.US,D,20130829,000000,20.9723,21.0151,20.9394,20.9802,5578.507486794,0
FNDC.US,D,20130830,000000,20.8269,20.8269,20.7153,20.7153,2251.4876301336,0
FNDC.US,D,20130903,000000,21.1435,21.1435,21.0051,21.0151,11882.070312106,0
FNDC.US,D,20130904,000000,21.0678,21.2361,21.0678,21.2292,8258.8020830592,0
FNDC.US,D,20130905,000000,21.2202,21.2551,21.1704,21.1704,18843.404947291,0
FNDC.US,D,20130906,000000,21.3397,21.3397,21.2361,21.2361,14981.129556794,0
FNDC.US,D,20130909,000000,21.5528,21.6484,21.5179,21.6484,13724.835611524,0
FNDC.US,D,20130910,000000,21.9382,21.9382,21.8784,21.9202,6877.9833982092,0
FNDC.US,D,20130911,000000,21.8943,21.8943,21.8356,21.8943,14815.431314612,0
FNDC.US,D,20130912,000000,21.8695,21.8943,21.7071,21.731,72415.152992388,0
FNDC.US,D,20130913,000000,21.8436,21.8436,21.8017,21.8286,7285.701497154,0
FNDC.US,D,20130916,000000,22.22,22.22,22.0915,22.0915,17561.00097598,0
FNDC.US,D,20130917,000000,22.0915,22.1513,22.0497,22.1005,16587.900390074,0
FNDC.US,D,20130918,000000,22.0756,22.7338,22.0756,22.691,50769.941404565,0
FNDC.US,D,20130919,000000,22.7338,23.2207,22.4928,22.5954,5732.1549477264,0
FNDC.US,D,20130920,000000,22.4779,22.4779,22.3574,22.3743,4583.3138019312,0
FNDC.US,D,20130923,000000,22.3743,22.3912,22.2877,22.3415,7801.8766273452,0
FNDC.US,D,20130924,000000,22.3912,22.4679,22.3574,22.458,15651.956379689,0
FNDC.US,D,20130925,000000,22.3743,22.3912,22.3743,22.3912,2309.73307284,0
FNDC.US,D,20130926,000000,22.5197,22.5366,22.458,22.5287,11392.005207955,0
FNDC.US,D,20130927,000000,22.442,22.5097,22.4251,22.4858,2435.26204419,0
FNDC.US,D,20130930,000000,22.5794,22.5794,22.3415,22.4779,5114.5524086844,0
FNDC.US,D,20131001,000000,22.5874,22.5874,22.4858,22.4858,709.9918619556,0
FNDC.US,D,20131002,000000,22.4251,22.4679,22.4251,22.4679,1018.2910155912,0
FNDC.US,D,20131003,000000,22.3046,22.3574,22.2638,22.2877,39133.907876305,0
FNDC.US,D,20131004,000000,22.2727,22.3494,22.2538,22.2877,8079.044596086,0
FNDC.US,D,20131007,000000,22.22,22.2289,22.0148,22.0497,14781.287434405,0
FNDC.US,D,20131008,000000,22.0666,22.0666,21.9451,21.9641,6866.9368487304,0
FNDC.US,D,20131009,000000,22.1672,22.1772,21.9641,22.0915,22824.179686742,0
FNDC.US,D,20131010,000000,22.3912,22.5197,22.3415,22.5197,22589.189452375,0
FNDC.US,D,20131011,000000,22.5954,22.6043,22.5197,22.5954,8136.2858070216,0
FNDC.US,D,20131014,000000,22.5715,22.7069,22.5366,22.6721,4672.6904295324,0
FNDC.US,D,20131015,000000,22.913,22.913,22.5794,22.5794,10993.325194948,0
FNDC.US,D,20131016,000000,22.6462,22.6989,22.5625,22.6989,27116.266275142,0
FNDC.US,D,20131017,000000,22.8523,22.9718,22.8264,22.9718,25516.525064257,0
FNDC.US,D,20131018,000000,23.5603,23.5603,23.0754,23.1938,50812.119138938,0
FNDC.US,D,20131021,000000,23.4249,23.4249,23.1441,23.2118,22114.187824787,0
FNDC.US,D,20131022,000000,23.3213,23.3721,23.2815,23.3721,8845.2734372064,0
FNDC.US,D,20131023,000000,23.152,23.152,23.0256,23.0654,8244.742838268,0
FNDC.US,D,20131024,000000,23.3572,23.3572,23.1938,23.2815,8300.9798174328,0
FNDC.US,D,20131025,000000,23.2456,23.2456,23.1182,23.17,15119.713541165,0
FNDC.US,D,20131028,000000,23.1002,23.2118,23.1002,23.1441,6429.0917966616,0
FNDC.US,D,20131029,000000,23.2028,23.2028,23.1361,23.17,11501.466470972,0
FNDC.US,D,20131030,000000,23.2715,23.2715,23.0754,23.1759,13469.76074174,0
FNDC.US,D,20131031,000000,23.17,23.1859,23.0754,23.1082,29369.762368817,0
FNDC.US,D,20131101,000000,22.9569,22.9569,22.8264,22.9031,25428.152668427,0
FNDC.US,D,20131104,000000,23.0256,23.0256,22.913,22.9907,20312.596027972,0
FNDC.US,D,20131105,000000,22.9031,22.9031,22.7746,22.8523,12780.857746972,0
FNDC.US,D,20131106,000000,23.0754,23.0853,23.0256,23.0853,15647.939452606,0
FNDC.US,D,20131107,000000,22.7428,22.8264,22.6721,22.6721,12762.781575097,0
FNDC.US,D,20131108,000000,22.4341,22.8433,22.4341,22.8433,13795.13183548,0
