<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GJUL.US,D,20230725,000000,30.86,30.98,30.85,30.94,656839,0
GJUL.US,D,20230726,000000,30.88,30.98,30.85,30.95,453440,0
GJUL.US,D,20230727,000000,31.07,31.07,30.7601,30.8,278657,0
GJUL.US,D,20230728,000000,30.95,31.03,30.89,31,86693,0
GJUL.US,D,20230731,000000,31.019,31.02,30.9043,30.995,167594,0
GJUL.US,D,20230801,000000,30.96,30.9999,30.88,30.9465,188874,0
GJUL.US,D,20230802,000000,30.85,30.85,30.6401,30.74,335806,0
GJUL.US,D,20230803,000000,30.66,30.73,30.581,30.65,472704,0
GJUL.US,D,20230804,000000,30.745,30.825,30.58,30.6,156339,0
GJUL.US,D,20230807,000000,30.69,30.7493,30.63,30.72,150709,0
GJUL.US,D,20230808,000000,30.66,30.6899,30.521,30.68,384151,0
GJUL.US,D,20230809,000000,30.68,30.68,30.5162,30.55,71315,0
GJUL.US,D,20230810,000000,30.72,30.78,30.5117,30.56,226821,0
GJUL.US,D,20230811,000000,30.5,30.59,30.47,30.56,298002,0
GJUL.US,D,20230814,000000,30.53,30.6399,30.48,30.63,116995,0
GJUL.US,D,20230815,000000,30.58,30.59,30.4,30.45,163166,0
GJUL.US,D,20230816,000000,30.43,30.5,30.31,30.32,82973,0
GJUL.US,D,20230817,000000,30.4,30.4,30.15,30.18,80071,0
GJUL.US,D,20230818,000000,30.105,30.21,30.034,30.19,41480,0
GJUL.US,D,20230821,000000,30.32,30.3399,30.13,30.29,44004,0
GJUL.US,D,20230822,000000,30.39,30.39,30.21,30.2477,19016,0
GJUL.US,D,20230823,000000,30.31,30.5,30.31,30.48,90764,0
GJUL.US,D,20230824,000000,30.47,30.48,30.23,30.23,34662,0
GJUL.US,D,20230825,000000,30.31,30.38,30.1544,30.35,77852,0
GJUL.US,D,20230828,000000,30.4189,30.47,30.3501,30.47,36806,0
GJUL.US,D,20230829,000000,30.47,30.74,30.45,30.7001,33298,0
GJUL.US,D,20230830,000000,30.74,30.8181,30.6981,30.79,203687,0
GJUL.US,D,20230831,000000,30.81,30.8699,30.7501,30.76,289958,0
GJUL.US,D,20230901,000000,30.92,30.92,30.7201,30.77,117988,0
GJUL.US,D,20230905,000000,30.8,30.8199,30.7,30.7,49397,0
GJUL.US,D,20230906,000000,30.64,30.71,30.4951,30.58,73031,0
GJUL.US,D,20230907,000000,30.49,30.59,30.42,30.58,71610,0
GJUL.US,D,20230908,000000,30.6,30.66,30.5349,30.59,24575,0
GJUL.US,D,20230911,000000,30.6823,30.72,30.635,30.67,89134,0
GJUL.US,D,20230912,000000,30.7,30.71,30.55,30.62,93210,0
GJUL.US,D,20230913,000000,30.6637,30.6999,30.59,30.6596,65455,0
GJUL.US,D,20230914,000000,30.69,30.8299,30.65,30.81,79945,0
GJUL.US,D,20230915,000000,30.72,30.7499,30.5449,30.58,26124,0
GJUL.US,D,20230918,000000,30.58,30.63,30.5401,30.59,413467,0
GJUL.US,D,20230919,000000,30.54,30.56,30.4201,30.54,9961,0
GJUL.US,D,20230920,000000,30.59,30.61,30.36,30.38,279879,0
GJUL.US,D,20230921,000000,30.25,30.25,30.07,30.08,166132,0
