<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GLRY.US,D,20201209,000000,25.2385,25.2385,24.5442,24.5799,108052.8730277,0
GLRY.US,D,20201210,000000,24.6733,24.9714,24.6733,24.9714,31436.729642939,0
GLRY.US,D,20201211,000000,25.1669,25.1669,24.7826,24.9265,3774.1793778262,0
GLRY.US,D,20201214,000000,25.2484,25.2733,25.1292,25.159,12229.589512359,0
GLRY.US,D,20201215,000000,25.3766,25.7241,25.2186,25.2186,6426.8768066264,0
GLRY.US,D,20201216,000000,25.754,25.8335,25.7241,25.7838,28232.351686252,0
GLRY.US,D,20201217,000000,26.2298,26.4881,26.2298,26.4881,4379.2158691768,0
GLRY.US,D,20201218,000000,26.8248,26.8248,26.5964,26.6291,2810.7518866073,0
GLRY.US,D,20201221,000000,26.6858,26.8497,26.6858,26.8408,1201.0125360754,0
GLRY.US,D,20201222,000000,27.102,27.2669,27.0423,27.2669,7808.0915589276,0
GLRY.US,D,20201223,000000,27.261,27.261,27.0026,27.0652,4333.9136360474,0
GLRY.US,D,20201224,000000,26.943,26.949,26.9242,26.949,762.08423286594,0
GLRY.US,D,20201228,000000,26.8943,26.8943,26.4484,26.5288,6005.0626803769,0
GLRY.US,D,20201229,000000,25.7251,25.9914,25.6348,25.9179,3373.5062937038,0
GLRY.US,D,20201230,000000,26.5566,26.5566,26.3192,26.3441,7799.0311123018,0
GLRY.US,D,20201231,000000,26.2796,26.369,26.1384,26.1384,6005.0626803769,0
GLRY.US,D,20210104,000000,26.4574,26.4574,25.8534,25.9815,2814.7787517743,0
GLRY.US,D,20210105,000000,26.3143,26.497,26.3143,26.4564,3008.0682797932,0
GLRY.US,D,20210106,000000,27.1267,27.1516,26.8378,26.8378,1865.4452886401,0
GLRY.US,D,20210107,000000,27.4784,27.7813,27.4784,27.7813,3132.901099972,0
GLRY.US,D,20210108,000000,28.3913,28.4698,27.7764,27.9026,3554.7152262214,0
GLRY.US,D,20210111,000000,27.8212,28.0436,27.7168,27.8241,3301.0227206967,0
GLRY.US,D,20210112,000000,28.2025,28.4996,28.1878,28.4748,2896.3227714073,0
GLRY.US,D,20210113,000000,28.4996,28.5096,28.288,28.3764,10334.949451257,0
GLRY.US,D,20210114,000000,29.0846,29.2038,29.035,29.0758,7756.7490280476,0
GLRY.US,D,20210115,000000,29.2436,29.2436,28.5205,28.593,7237.283421497,0
GLRY.US,D,20210119,000000,28.9754,29.481,28.9158,29.4502,5322.5090345604,0
GLRY.US,D,20210120,000000,29.8674,30.2449,29.6995,30.0612,2213.7691255908,0
GLRY.US,D,20210121,000000,30.1654,30.3134,30.1575,30.1575,28320.942719927,0
GLRY.US,D,20210122,000000,30.363,30.7604,30.363,30.7604,26884.358571578,0
GLRY.US,D,20210125,000000,31.563,31.8401,30.7306,30.8458,9297.0249544478,0
GLRY.US,D,20210126,000000,30.815,30.978,30.7902,30.9015,4450.6927258921,0
GLRY.US,D,20210127,000000,30.4922,31.107,29.8485,30.5081,14063.826595954,0
GLRY.US,D,20210128,000000,30.6462,30.6462,30.5071,30.5081,2966.7929118308,0
GLRY.US,D,20210129,000000,30.225,31.0971,30.225,30.3601,29865.245511494,0
GLRY.US,D,20210201,000000,30.4724,31.266,30.4724,31.2471,7055.0677726876,0
GLRY.US,D,20210202,000000,31.3742,31.88,31.271,31.8242,6684.5961773181,0
GLRY.US,D,20210203,000000,31.999,32.019,31.4736,31.9097,9054.4063281324,0
GLRY.US,D,20210204,000000,32.0587,32.5345,32.0587,32.4252,4307.7390124615,0
GLRY.US,D,20210205,000000,32.8812,33.195,32.8315,33.195,10107.431569318,0
GLRY.US,D,20210208,000000,33.496,34.5042,33.496,34.5042,10004.746507558,0
GLRY.US,D,20210209,000000,34.8242,35.4291,34.8242,35.2453,19873.586315729,0
GLRY.US,D,20210210,000000,35.5582,35.5582,34.1506,34.4774,24570.924533103,0
GLRY.US,D,20210211,000000,34.9334,35.2503,34.6364,34.9284,27533.690579767,0
GLRY.US,D,20210212,000000,35.0327,35.1023,34.834,35.0576,11209.785908801,0
GLRY.US,D,20210216,000000,35.5185,35.5383,34.3781,34.395,19615.866945037,0
GLRY.US,D,20210217,000000,34.0612,34.0612,32.9904,33.5496,4554.3845039439,0
GLRY.US,D,20210218,000000,32.8554,32.911,32.158,32.6964,7318.82744113,0
GLRY.US,D,20210219,000000,33.0798,33.516,33.0798,33.347,5440.2948406969,0
GLRY.US,D,20210222,000000,33.7632,33.7632,31.6922,31.9345,34634.060585584,0
GLRY.US,D,20210223,000000,31.9196,31.9196,29.2586,31.0446,9431.9249375442,0
GLRY.US,D,20210224,000000,31.0772,32.2962,31.0772,32.0328,7221.1759608288,0
GLRY.US,D,20210225,000000,31.6922,31.702,30.1654,30.3194,9670.5166986925,0
GLRY.US,D,20210226,000000,30.5915,30.9282,30.1753,30.6244,5839.9612085275,0
GLRY.US,D,20210301,000000,31.1666,32.0587,31.1666,32.009,28077.31737732,0
GLRY.US,D,20210302,000000,31.3544,31.3992,30.4028,30.9472,18960.494639098,0
GLRY.US,D,20210303,000000,30.388,30.388,29.484,29.484,5585.261986711,0
GLRY.US,D,20210304,000000,29.7094,29.7094,27.5778,27.9741,6187.2783291863,0
GLRY.US,D,20210305,000000,27.4198,28.2751,26.9043,28.2751,359022.2109832,0
GLRY.US,D,20210308,000000,28.5692,28.886,27.8212,27.843,16056.118137357,0
GLRY.US,D,20210309,000000,29.2833,29.4114,29.1413,29.1413,4903.7150571863,0
GLRY.US,D,20210310,000000,29.7452,29.7452,29.3956,29.3956,2533.904906372,0
GLRY.US,D,20210311,000000,30.4028,30.6014,30.3342,30.521,3522.500304885,0
GLRY.US,D,20210312,000000,30.3144,30.387,30.2051,30.387,5665.7992900522,0
GLRY.US,D,20210315,000000,30.526,30.7753,30.526,30.7753,7619.8356123676,0
GLRY.US,D,20210316,000000,31.0971,31.0971,30.1753,30.227,5046.6687706168,0
GLRY.US,D,20210317,000000,29.8574,30.5379,29.779,30.5379,2433.2332771955,0
GLRY.US,D,20210318,000000,30.2846,30.2946,29.1741,29.1741,4191.9666389086,0
GLRY.US,D,20210319,000000,29.6498,29.6658,29.5257,29.6658,3054.3772292143,0
GLRY.US,D,20210322,000000,29.6796,29.8872,29.6001,29.7354,5719.1552535157,0
GLRY.US,D,20210323,000000,29.1542,29.7144,28.6088,28.7211,4398.3434787203,0
GLRY.US,D,20210324,000000,29.0052,29.1045,27.5728,27.5728,6238.6208600664,0
GLRY.US,D,20210325,000000,27.2907,28.2025,27.2907,28.1181,5865.1291158216,0
GLRY.US,D,20210326,000000,28.4429,28.4579,27.9006,28.4579,3461.0906110873,0
GLRY.US,D,20210329,000000,28.2522,28.5096,27.6841,27.6841,9371.5219600384,0
GLRY.US,D,20210330,000000,27.7367,28.2919,27.7367,28.2264,4506.0621219392,0
GLRY.US,D,20210331,000000,28.589,28.9158,28.589,28.888,12907.109576716,0
GLRY.US,D,20210401,000000,29.3916,29.3916,29.1343,29.2118,7435.6065309747,0
GLRY.US,D,20210405,000000,29.5009,29.5009,29.1939,29.3538,51063.670467185,0
GLRY.US,D,20210406,000000,29.6101,29.6598,29.4234,29.4234,3157.0622909744,0
GLRY.US,D,20210407,000000,29.4016,29.4016,29.0032,29.0032,4282.5711051674,0
GLRY.US,D,20210408,000000,29.4611,29.4611,29.2932,29.3986,6565.8036548899,0
GLRY.US,D,20210409,000000,29.2436,29.4016,29.1839,29.4016,2509.7437153696,0
GLRY.US,D,20210412,000000,29.4412,29.5306,29.4412,29.5187,1845.3109628048,0
GLRY.US,D,20210413,000000,29.7522,29.7522,29.5009,29.5326,3415.7883779579,0
GLRY.US,D,20210414,000000,29.8336,29.8336,29.3886,29.3886,1883.5661818919,0
GLRY.US,D,20210415,000000,29.6001,29.6001,29.4562,29.4641,4031.898748518,0
GLRY.US,D,20210416,000000,29.5306,29.6796,29.5306,29.5674,3371.4928611203,0
GLRY.US,D,20210419,000000,29.0548,29.0548,29.028,29.0529,4387.2695995109,0
GLRY.US,D,20210420,000000,29.1839,29.1839,28.3089,28.4896,2521.8243108708,0
GLRY.US,D,20210421,000000,28.9356,29.1343,28.8671,29.1214,4670.1568774968,0
GLRY.US,D,20210422,000000,29.1442,29.3916,28.896,28.9704,2576.1869906261,0
GLRY.US,D,20210423,000000,29.2237,29.6698,29.2038,29.5476,6923.1879384664,0
GLRY.US,D,20210426,000000,29.6101,30.0064,29.6101,29.9142,6224.5268319816,0
GLRY.US,D,20210427,000000,30.225,30.225,29.8058,29.8614,2516.790729412,0
GLRY.US,D,20210428,000000,29.7591,29.8088,29.6598,29.6796,6217.4798179393,0
GLRY.US,D,20210429,000000,29.635,29.7094,29.343,29.4134,8602.3907131301,0
