<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GSLC.US,D,20150921,000000,36.0292,36.1909,35.7256,35.9141,243851.15865392,0
GSLC.US,D,20150922,000000,35.7256,35.7355,35.2463,35.4944,71093.691027341,0
GSLC.US,D,20150923,000000,35.6115,35.6115,35.3347,35.4845,82067.154422658,0
GSLC.US,D,20150924,000000,35.3535,35.4111,34.9398,35.3635,25513.70553384,0
GSLC.US,D,20150925,000000,35.7256,35.7256,35.1382,35.3347,62025.062846678,0
GSLC.US,D,20150928,000000,34.9933,35.1699,34.3236,34.3504,104429.31513311,0
GSLC.US,D,20150929,000000,34.5002,34.6659,34.2531,34.3901,65496.095904491,0
GSLC.US,D,20150930,000000,34.908,35.0657,34.5846,35.0489,35938.89889912,0
GSLC.US,D,20151001,000000,35.1799,35.1799,34.6728,35.0588,8283.513560444,0
GSLC.US,D,20151002,000000,34.5846,35.4944,34.5846,35.4944,13100.025460354,0
GSLC.US,D,20151005,000000,35.8952,36.1741,35.8952,36.1741,32642.223773653,0
GSLC.US,D,20151006,000000,36.2276,36.2276,35.79,35.9428,65159.474231637,0
GSLC.US,D,20151007,000000,36.2088,36.2187,35.8694,36.1304,38958.415461609,0
GSLC.US,D,20151008,000000,36.1473,36.4955,36.0838,36.4589,19931.228150789,0
GSLC.US,D,20151009,000000,36.6116,36.6215,36.3953,36.5481,43554.208360455,0
GSLC.US,D,20151012,000000,36.6215,36.6553,36.5055,36.6037,11854.32370093,0
GSLC.US,D,20151013,000000,36.4053,36.6821,36.3169,36.3527,16008.678597651,0
GSLC.US,D,20151014,000000,36.3795,36.4509,36.057,36.0639,17016.527917574,0
GSLC.US,D,20151015,000000,36.2276,36.5481,36.181,36.5303,41983.979120016,0
GSLC.US,D,20151016,000000,36.6821,36.7446,36.4955,36.7446,5259.9656006761,0
GSLC.US,D,20151019,000000,36.7089,36.8537,36.6731,36.8368,40640.51597656,0
GSLC.US,D,20151020,000000,36.8626,36.8864,36.6999,36.7535,16231.413297353,0
GSLC.US,D,20151021,000000,36.7813,36.7982,36.5203,36.5392,72549.02544531,0
GSLC.US,D,20151022,000000,36.7982,37.1166,36.7982,37.078,395665.5174125,0
GSLC.US,D,20151023,000000,37.3528,37.4243,37.1564,37.3806,24406.079131246,0
GSLC.US,D,20151026,000000,37.2903,37.3806,37.2278,37.333,69080.008086136,0
GSLC.US,D,20151027,000000,37.3082,37.3429,37.1662,37.2992,35603.285075586,0
GSLC.US,D,20151028,000000,37.458,37.6832,37.2466,37.6832,30229.432501759,0
GSLC.US,D,20151029,000000,37.6743,37.7011,37.5314,37.6643,32019.372893941,0
GSLC.US,D,20151030,000000,37.6643,37.7378,37.5582,37.5651,25862.421398534,0
GSLC.US,D,20151102,000000,37.711,37.9968,37.5651,37.9521,39819.118780822,0
GSLC.US,D,20151103,000000,37.972,38.102,37.8261,37.9799,26644.512470794,0
GSLC.US,D,20151104,000000,38.1366,38.1366,37.8082,37.8439,256277.94076856,0
GSLC.US,D,20151105,000000,37.8082,37.9422,37.7378,37.8946,25079.322476955,0
GSLC.US,D,20151106,000000,37.8757,37.8846,37.6385,37.8082,87665.757394829,0
GSLC.US,D,20151109,000000,37.6931,37.7993,37.2724,37.4491,182351.18530291,0
GSLC.US,D,20151110,000000,37.3995,37.5403,37.326,37.4967,35714.148500777,0
GSLC.US,D,20151111,000000,37.5939,37.5939,37.3528,37.3627,23847.730608009,0
GSLC.US,D,20151112,000000,37.1842,37.2178,36.8716,36.8716,39410.939806254,0
GSLC.US,D,20151113,000000,36.7813,36.7813,36.3447,36.3606,88448.856316409,0
GSLC.US,D,20151116,000000,36.3705,36.8626,36.3705,36.8626,12315.918689454,0
GSLC.US,D,20151117,000000,37.0144,37.1166,36.7982,36.8626,749791.51725507,0
GSLC.US,D,20151118,000000,37.0601,37.4779,36.9758,37.4679,16232.421146673,0
GSLC.US,D,20151119,000000,37.4877,37.4877,37.3806,37.4153,104235.80806368,0
GSLC.US,D,20151120,000000,37.711,37.711,37.5582,37.6039,32918.374487313,0
GSLC.US,D,20151123,000000,37.7725,37.7825,37.5839,37.6465,49487.41730684,0
GSLC.US,D,20151124,000000,37.5403,37.7646,37.3905,37.6555,71433.336248155,0
GSLC.US,D,20151125,000000,37.7179,37.7923,37.711,37.7567,53739.533587594,0
GSLC.US,D,20151127,000000,37.8439,37.8439,37.6931,37.8082,9854.7506502033,0
GSLC.US,D,20151130,000000,37.962,37.962,37.5651,37.6039,1644347.4872759,0
GSLC.US,D,20151201,000000,37.8678,37.9898,37.7725,37.9898,90491.766887891,0
GSLC.US,D,20151202,000000,38.0156,38.0156,37.5939,37.6117,168651.48949721,0
GSLC.US,D,20151203,000000,37.7378,37.7378,36.95,37.0601,61258.089514217,0
GSLC.US,D,20151204,000000,37.1266,37.9045,37.1266,37.8608,114085.51946728,0
GSLC.US,D,20151207,000000,37.9045,37.9045,37.5403,37.6832,176225.47713643,0
GSLC.US,D,20151208,000000,37.2804,37.6643,37.2804,37.5403,30965.162505303,0
GSLC.US,D,20151209,000000,37.4679,37.7378,37.0324,37.1762,24517.950405757,0
GSLC.US,D,20151210,000000,37.2903,37.4779,37.1564,37.2903,94380.049564153,0
GSLC.US,D,20151211,000000,36.9232,36.942,36.5759,36.6384,271055.02749727,0
GSLC.US,D,20151214,000000,36.6116,36.7634,36.2981,36.7535,50481.156736284,0
GSLC.US,D,20151215,000000,37.202,37.2903,37.0522,37.1266,112966.80672217,0
GSLC.US,D,20151216,000000,37.333,37.7179,37.2278,37.6743,56988.839795024,0
GSLC.US,D,20151217,000000,37.5939,37.5939,37.1564,37.1564,107369.21159932,0
GSLC.US,D,20151218,000000,37.0144,37.0144,36.5759,36.5759,143084.36794941,0
GSLC.US,D,20151221,000000,36.7535,36.8716,36.5759,36.818,62025.062846678,0
GSLC.US,D,20151222,000000,37.0234,37.2466,36.7982,37.1762,398553.00571408,0
GSLC.US,D,20151223,000000,37.4421,37.5671,37.3012,37.5671,223105.58825263,0
GSLC.US,D,20151224,000000,37.5433,37.6336,37.4659,37.5433,28203.655368715,0
GSLC.US,D,20151228,000000,37.4511,37.4511,37.1861,37.4084,67725.45860016,0
GSLC.US,D,20151229,000000,37.6773,37.8697,37.6773,37.8033,91721.343058197,0
GSLC.US,D,20151230,000000,37.7864,37.7864,37.5771,37.5969,133227.60160057,0
GSLC.US,D,20151231,000000,37.4173,37.5591,37.2109,37.2109,206530.49833718,0
GSLC.US,D,20160104,000000,36.7267,36.7267,36.306,36.6811,242233.56049544,0
GSLC.US,D,20160105,000000,36.7525,36.8081,36.6057,36.7605,93316.768531635,0
GSLC.US,D,20160106,000000,36.4121,36.5115,36.1274,36.3328,141894.09790258,0
GSLC.US,D,20160107,000000,35.8566,36.1234,35.5539,35.6075,89121.091812797,0
GSLC.US,D,20160108,000000,35.8119,35.8744,35.0876,35.1411,142793.09949596,0
