<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HDLB.US,D,20191028,000000,20.5128,20.569,20.3818,20.4012,4398.7365119801,0
HDLB.US,D,20191029,000000,20.4856,20.5593,20.4497,20.4497,5619.5766503262,0
HDLB.US,D,20191030,000000,20.3382,20.3382,20.1607,20.3179,1954.9940053245,0
HDLB.US,D,20191031,000000,20.3731,20.3731,20.1753,20.1753,3174.8030286889,0
HDLB.US,D,20191101,000000,20.2654,20.6902,20.2654,20.6902,977.49700266225,0
HDLB.US,D,20191104,000000,20.8958,21.0772,20.8958,21.0316,6114.5118415476,0
HDLB.US,D,20191105,000000,20.9947,20.9947,20.8473,20.9812,1828.166862574,0
HDLB.US,D,20191106,000000,20.8561,20.9783,20.7242,20.7242,6104.2006917305,0
HDLB.US,D,20191107,000000,20.8638,20.8638,20.6166,20.6166,2305.5730991063,0
HDLB.US,D,20191108,000000,20.5186,20.633,20.5186,20.633,128.8893727139,0
HDLB.US,D,20191111,000000,20.5351,20.6107,20.5351,20.5855,242.31202070214,0
HDLB.US,D,20191112,000000,20.5933,20.6989,20.4846,20.4846,1487.8989186093,0
HDLB.US,D,20191113,000000,20.537,20.537,20.537,20.537,2.0622299634225,0
HDLB.US,D,20191114,000000,20.5293,20.5293,20.5293,20.5293,1.0311149817112,0
HDLB.US,D,20191115,000000,20.858,20.8939,20.858,20.8939,124.76491278706,0
HDLB.US,D,20191118,000000,20.9162,20.9162,20.9162,20.9162,20.622299634225,0
HDLB.US,D,20191119,000000,20.4808,20.4808,20.4808,20.4808,72.178048719786,0
HDLB.US,D,20191120,000000,20.3964,20.5108,20.3964,20.5108,5240.1263370565,0
HDLB.US,D,20191121,000000,20.3809,20.5321,20.3809,20.5321,1216.7156784193,0
HDLB.US,D,20191122,000000,20.5855,20.5855,20.5855,20.5855,1.0311149817112,0
HDLB.US,D,20191125,000000,20.6912,20.6912,20.6912,20.6912,1.0311149817112,0
HDLB.US,D,20191126,000000,20.762,20.762,20.762,20.762,1.0311149817112,0
HDLB.US,D,20191129,000000,20.794,20.794,20.794,20.794,1.0311149817112,0
HDLB.US,D,20191202,000000,20.795,20.795,20.6631,20.6631,124.76491278706,0
HDLB.US,D,20191203,000000,20.6214,20.6214,20.6214,20.6214,1.0311149817112,0
HDLB.US,D,20191204,000000,20.8153,20.8153,20.8153,20.8153,1.0311149817112,0
HDLB.US,D,20191205,000000,20.8531,20.8531,20.8531,20.8531,1.0311149817112,0
HDLB.US,D,20191206,000000,21.1034,21.1034,21.1034,21.1034,98.987038244278,0
HDLB.US,D,20191209,000000,21.1916,21.2789,21.1916,21.2789,9256.3191908217,0
HDLB.US,D,20191210,000000,21.1906,21.1906,21.18,21.18,279.43216004374,0
HDLB.US,D,20191211,000000,21.019,21.019,21.019,21.019,8.2489198536899,0
HDLB.US,D,20191212,000000,20.9104,20.9996,20.9104,20.9104,123.73379780535,0
HDLB.US,D,20191213,000000,20.9336,20.9336,20.9336,20.9336,1.0311149817112,0
HDLB.US,D,20191216,000000,21.2536,21.2536,21.2536,21.2536,1.0311149817112,0
HDLB.US,D,20191217,000000,21.3477,21.3477,21.2363,21.2363,3556.315571922,0
HDLB.US,D,20191218,000000,21.403,21.5456,21.403,21.5262,4213.1358152721,0
HDLB.US,D,20191219,000000,21.6106,21.6348,21.6018,21.6086,11423.722882379,0
HDLB.US,D,20191220,000000,21.8841,21.8841,21.8841,21.8841,6.1866898902674,0
HDLB.US,D,20191223,000000,21.8705,21.8705,21.852,21.8608,595.98445942909,0
HDLB.US,D,20191224,000000,21.852,21.852,21.8249,21.8249,760.96285650289,0
HDLB.US,D,20191226,000000,21.9684,21.9684,21.9684,21.9684,7.2178048719786,0
HDLB.US,D,20191227,000000,22.0819,22.0819,22.0053,22.0053,123.73379780535,0
HDLB.US,D,20191230,000000,22.0421,22.0421,21.8017,21.8017,946.56355321091,0
HDLB.US,D,20191231,000000,21.9093,22.0402,21.9093,22.0402,786.74073104567,0
HDLB.US,D,20200102,000000,21.5805,21.6076,21.5195,21.6076,1543.5791276217,0
HDLB.US,D,20200103,000000,21.6697,21.9918,21.6697,21.791,38809.105681647,0
HDLB.US,D,20200106,000000,21.7434,22.8102,21.7134,21.885,31083.992238667,0
HDLB.US,D,20200107,000000,21.7114,21.7114,21.7114,21.7114,211.3785712508,0
HDLB.US,D,20200108,000000,21.7027,21.7056,21.694,21.7056,1071.328465998,0
HDLB.US,D,20200109,000000,21.5961,22.1672,21.5756,21.7619,14066.470580505,0
HDLB.US,D,20200110,000000,21.788,21.788,21.7367,21.7367,8387.0892612392,0
HDLB.US,D,20200113,000000,22.0237,22.0237,21.9684,22.0014,1305.3915668464,0
HDLB.US,D,20200114,000000,22.1925,22.1925,22.0004,22.0004,167.04062703722,0
