<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HYEM.US,D,20120515,000000,14.6735,14.6735,14.6508,14.6626,4598.9434332696,0
HYEM.US,D,20120516,000000,14.631,14.631,14.5994,14.6132,2728.9765659093,0
HYEM.US,D,20120517,000000,14.5659,14.5659,14.3793,14.4149,3730.8168865048,0
HYEM.US,D,20120518,000000,14.3004,14.3004,14.2184,14.2184,2389.627215657,0
HYEM.US,D,20120521,000000,14.2688,14.2766,14.2688,14.2766,4089.4129163236,0
HYEM.US,D,20120522,000000,14.3398,14.3398,14.3398,14.3398,1566.0719268359,0
HYEM.US,D,20120523,000000,14.319,14.319,14.319,14.319,670.59483542389,0
HYEM.US,D,20120525,000000,14.2608,14.2608,14.2569,14.2569,319.08968755064,0
HYEM.US,D,20120529,000000,14.3072,14.3072,14.2836,14.2836,4548.2942765155,0
HYEM.US,D,20120530,000000,14.2944,14.2944,14.2766,14.2766,10107.545721842,0
HYEM.US,D,20120531,000000,14.2796,14.2796,14.2796,14.2796,1353.3454684688,0
HYEM.US,D,20120601,000000,14.1749,14.1869,14.1493,14.1869,3770.323228773,0
HYEM.US,D,20120604,000000,14.2243,14.2243,14.2243,14.2243,695.91941380093,0
HYEM.US,D,20120606,000000,14.3793,14.3793,14.3793,14.3793,956.25607951685,0
HYEM.US,D,20120607,000000,14.4365,14.4365,14.4365,14.4365,1702.8246500718,0
HYEM.US,D,20120608,000000,14.7643,14.7643,14.5521,14.5521,2893.0798337925,0
HYEM.US,D,20120612,000000,14.5353,14.5353,14.5303,14.5303,933.97045054506,0
HYEM.US,D,20120615,000000,14.5303,14.5728,14.5303,14.5728,514.59543262135,0
HYEM.US,D,20120618,000000,14.6735,14.6735,14.3734,14.562,29628.743717996,0
HYEM.US,D,20120619,000000,14.5659,14.5659,14.558,14.558,509.53051694595,0
HYEM.US,D,20120620,000000,14.7475,14.7475,14.6508,14.6626,6982.4927501161,0
HYEM.US,D,20120621,000000,14.7575,14.7575,14.6735,14.6932,13796.830299809,0
HYEM.US,D,20120625,000000,15.0664,15.0664,14.7575,14.9864,2838.3787444981,0
HYEM.US,D,20120626,000000,14.6132,14.6132,14.6064,14.6064,1452.6178157067,0
HYEM.US,D,20120627,000000,14.638,14.712,14.638,14.712,9173.5752712972,0
HYEM.US,D,20120628,000000,14.6132,14.6132,14.6132,14.6132,2728.9765659093,0
HYEM.US,D,20120629,000000,14.6952,14.6952,14.6952,14.6952,3641.6743706177,0
HYEM.US,D,20120702,000000,14.7959,14.7959,14.7278,14.7397,5167.2269720503,0
HYEM.US,D,20120705,000000,14.8275,14.865,14.8235,14.865,2023.9403038926,0
HYEM.US,D,20120706,000000,15.0555,15.2619,14.8887,14.8956,7128.3623215679,0
HYEM.US,D,20120710,000000,14.863,14.863,14.863,14.863,1038.3077134584,0
HYEM.US,D,20120711,000000,14.8748,14.8887,14.863,14.8748,11943.07116261,0
HYEM.US,D,20120712,000000,14.8748,14.9183,14.863,14.867,7140.5181191888,0
HYEM.US,D,20120713,000000,14.9232,15.0032,14.9174,15.0032,17437.491687292,0
