<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IAI.US,D,20060505,000000,41.8183,41.951,41.8183,41.951,729.21134333475,0
IAI.US,D,20060508,000000,42.1401,42.1747,41.951,41.9747,34303.232777039,0
IAI.US,D,20060509,000000,42.0153,42.0708,41.8926,41.9925,18367.64195275,0
IAI.US,D,20060510,000000,41.9005,41.9342,41.5233,41.8678,40388.410538246,0
IAI.US,D,20060511,000000,41.9342,41.9342,40.7658,40.7658,130522.77052886,0
IAI.US,D,20060512,000000,40.5599,40.6936,40.0529,40.0678,671599.60725927,0
IAI.US,D,20060515,000000,39.7886,39.7886,38.9559,38.9559,85759.091930605,0
IAI.US,D,20060516,000000,39.4589,39.5054,39.3935,39.3935,128696.7122065,0
IAI.US,D,20060517,000000,38.8441,38.8441,37.8083,37.9866,377704.20617113,0
IAI.US,D,20060518,000000,38.4301,38.4301,37.6153,37.6153,1147958.4322747,0
IAI.US,D,20060519,000000,37.7767,38.2737,37.5698,38.145,1039204.9433169,0
IAI.US,D,20060522,000000,37.5608,37.6074,36.5302,37.142,1003566.5063903,0
IAI.US,D,20060523,000000,37.4806,37.8401,36.7935,36.7935,608589.48526948,0
IAI.US,D,20060524,000000,36.5994,37.0331,35.5292,36.4677,413227.50446444,0
IAI.US,D,20060525,000000,37.0509,37.4806,36.6331,37.4271,1222165.2813452,0
IAI.US,D,20060526,000000,38.0806,38.1737,37.6489,38.1292,27491.873636526,0
IAI.US,D,20060530,000000,37.8876,37.8876,37.0024,37.0024,331604.31343544,0
IAI.US,D,20060531,000000,37.2143,37.5935,37.2143,37.5935,78950.762754124,0
IAI.US,D,20060601,000000,37.6569,38.1836,37.4707,38.1737,1863350.1096664,0
IAI.US,D,20060602,000000,38.8846,38.9886,38.1836,38.342,1591968.3513128,0
IAI.US,D,20060605,000000,38.1668,38.3668,37.1668,37.1876,185266.1406555,0
IAI.US,D,20060606,000000,36.9945,37.0915,36.5064,36.7588,868911.87491193,0
IAI.US,D,20060607,000000,37.1737,37.5282,36.8628,36.9104,703596.02742111,0
IAI.US,D,20060608,000000,36.6994,36.7074,35.4489,36.7074,352893.85070158,0
IAI.US,D,20060609,000000,37.1084,37.2965,36.7074,36.9202,44521.281475816,0
IAI.US,D,20060612,000000,36.9202,36.9202,35.3756,35.3756,282952.18099807,0
IAI.US,D,20060613,000000,35.1925,35.546,33.4994,33.7033,294137.79821058,0
IAI.US,D,20060614,000000,33.7212,33.9856,33.5241,33.7311,219931.95912818,0
IAI.US,D,20060615,000000,34.5103,35.5519,34.5024,35.441,35153.642681592,0
IAI.US,D,20060616,000000,35.349,35.3756,34.9796,35.3083,92206.85538746,0
IAI.US,D,20060619,000000,35.4004,35.4004,34.8361,35.0331,90870.64125002,0
IAI.US,D,20060620,000000,35.0747,35.4875,34.9538,35.0915,104250.96240861,0
IAI.US,D,20060621,000000,35.6143,36.342,35.5964,36.2489,74447.226216825,0
IAI.US,D,20060622,000000,36.0361,36.138,35.7915,36.0628,15085.180919734,0
IAI.US,D,20060623,000000,35.9004,36.3024,35.9004,36.2559,6686.1206272522,0
IAI.US,D,20060626,000000,36.2212,36.5905,36.2212,36.5905,14355.9695764,0
