<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBDR.US,D,20160919,000000,21.7764,21.7854,21.7455,21.7455,2567.8701864319,0
IBDR.US,D,20160920,000000,21.7764,21.7764,21.7764,21.7764,1148.8633137576,0
IBDR.US,D,20160921,000000,21.7615,21.8461,21.7615,21.7615,1823.7200854753,0
IBDR.US,D,20160922,000000,22.0323,22.0323,21.9507,21.9507,480.03204893017,0
IBDR.US,D,20160923,000000,21.9875,21.9875,21.9875,21.9875,575.43590802717,0
IBDR.US,D,20160926,000000,22.0174,22.0742,22.0174,22.0742,2907.3070745875,0
IBDR.US,D,20160927,000000,21.9776,22.0562,21.9776,22.0304,1034.3786828412,0
IBDR.US,D,20160928,000000,22.1518,22.1518,22.0144,22.0742,1578.6828052683,0
IBDR.US,D,20160930,000000,22.0503,22.0503,22.0503,22.0503,242.02452676187,0
IBDR.US,D,20161003,000000,22.0045,22.0045,21.9676,21.9676,3563.0830744859,0
IBDR.US,D,20161004,000000,21.9507,21.9507,21.9507,21.9507,452.91726792366,0
IBDR.US,D,20161005,000000,21.879,21.879,21.879,21.879,737.12034291788,0
IBDR.US,D,20161006,000000,21.8551,21.871,21.7277,21.7277,6152.042535034,0
IBDR.US,D,20161007,000000,20.7478,20.7478,20.7478,20.7478,100.42511483895,0
IBDR.US,D,20161011,000000,21.8939,22.0891,21.7993,21.8631,96494.475844152,0
IBDR.US,D,20161012,000000,21.9407,21.9407,21.8133,21.8222,8911.7246908083,0
IBDR.US,D,20161013,000000,22.1698,22.1698,21.8909,21.9138,9399.7907489255,0
IBDR.US,D,20161014,000000,21.8441,21.9507,21.8391,21.8939,120816.434407,0
IBDR.US,D,20161017,000000,21.879,21.879,21.879,21.879,351.48790193632,0
IBDR.US,D,20161018,000000,21.9158,22.0045,21.9158,22.0045,2828.9754850132,0
IBDR.US,D,20161021,000000,21.9955,21.9955,21.9596,21.9776,1584.7083121586,0
IBDR.US,D,20161024,000000,21.9318,21.9467,21.9228,21.9228,1948.2472278756,0
IBDR.US,D,20161025,000000,21.9596,21.9596,21.8551,21.9596,14586.747930358,0
IBDR.US,D,20161026,000000,21.8631,21.871,21.8391,21.8601,1316.5732555386,0
IBDR.US,D,20161028,000000,21.7745,21.7745,21.7625,21.7625,1259.3309400804,0
IBDR.US,D,20161031,000000,21.871,21.871,21.7267,21.7267,4112.4084526549,0
IBDR.US,D,20161101,000000,21.7834,21.7834,21.7834,21.7834,546.31262472388,0
