<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IEZ.US,D,20060505,000000,43.7688,43.9499,43.7688,43.9251,721.39870711546,0
IEZ.US,D,20060508,000000,43.4144,43.8654,43.0901,43.8494,36289.972008779,0
IEZ.US,D,20060509,000000,43.731,44.4168,43.731,44.3331,7784.6757419646,0
IEZ.US,D,20060510,000000,44.2157,44.7083,44.0803,44.7083,19766.123628249,0
IEZ.US,D,20060511,000000,45.2528,45.2528,43.7778,43.7947,46591.505357045,0
IEZ.US,D,20060512,000000,43.2473,43.2473,41.9952,42.0132,14014.023909257,0
IEZ.US,D,20060515,000000,40.9362,41.3115,40.2584,40.8596,11496.16156938,0
IEZ.US,D,20060516,000000,41.0596,41.201,40.4196,40.771,11254.020777716,0
IEZ.US,D,20060517,000000,40.7023,40.7451,39.7259,40.1241,18568.481206408,0
IEZ.US,D,20060518,000000,40.0335,40.0335,39.0382,39.0781,5988.2121092035,0
IEZ.US,D,20060519,000000,38.5416,39.3666,38.0718,39.0004,15448.783454884,0
IEZ.US,D,20060522,000000,38.3714,38.8979,37.4617,38.661,27187.085815929,0
IEZ.US,D,20060523,000000,39.5766,40.2066,38.873,38.9596,30183.201337682,0
IEZ.US,D,20060524,000000,38.8242,39.2502,37.7364,38.3465,9101.8814592743,0
IEZ.US,D,20060525,000000,38.9417,39.7966,38.7028,39.7001,28031.06201924,0
IEZ.US,D,20060526,000000,39.8235,40.2584,39.8235,40.0335,12932.930582159,0
IEZ.US,D,20060530,000000,40.352,40.352,39.3089,39.3089,6826.1599110618,0
IEZ.US,D,20060531,000000,39.4473,40.5222,39.1796,40.5222,18683.020834,0
IEZ.US,D,20060601,000000,40.1091,40.8018,40.1001,40.6923,35692.155531434,0
IEZ.US,D,20060602,000000,41.2855,41.409,40.8775,41.3592,14495.291291859,0
IEZ.US,D,20060605,000000,41.8539,41.8539,39.9828,40.0176,21199.878440301,0
IEZ.US,D,20060606,000000,39.9926,40.132,39.2402,39.8235,25634.772441983,0
IEZ.US,D,20060607,000000,39.3916,39.3995,37.9603,37.9603,11857.865656514,0
IEZ.US,D,20060608,000000,37.1452,38.1544,36.2853,38.1464,63480.072025434,0
IEZ.US,D,20060609,000000,38.445,38.445,37.2108,37.8807,22277.957566673,0
IEZ.US,D,20060612,000000,37.8807,37.8807,36.1499,36.2096,7066.2912355752,0
IEZ.US,D,20060613,000000,35.7756,36.6515,34.8998,35.3586,12932.930582159,0
IEZ.US,D,20060614,000000,35.1566,36.0911,35.1247,35.9259,21563.591994585,0
IEZ.US,D,20060615,000000,36.6695,38.1972,36.6695,38.1972,36174.427647612,0
IEZ.US,D,20060616,000000,37.9872,37.9872,37.1193,37.6468,8147.384562673,0
IEZ.US,D,20060619,000000,37.587,37.587,36.1499,36.2942,9223.454221894,0
IEZ.US,D,20060620,000000,36.4803,36.5331,35.3666,35.3666,13051.489144053,0
IEZ.US,D,20060621,000000,35.9011,36.9352,35.6901,36.5679,57731.991240744,0
IEZ.US,D,20060622,000000,36.4575,36.9123,36.3788,36.7212,6104.7612039464,0
IEZ.US,D,20060623,000000,37.188,37.7453,37.188,37.5363,7188.8687317703,0
IEZ.US,D,20060626,000000,37.5532,37.9185,37.0865,37.9035,18683.020834,0
IEZ.US,D,20060627,000000,37.9872,38.454,37.3662,37.4697,25155.514526531,0
IEZ.US,D,20060628,000000,37.5772,37.9464,37.394,37.9464,9101.8814592743,0
IEZ.US,D,20060629,000000,38.4042,39.6095,38.3972,39.6095,72942.652838266,0
IEZ.US,D,20060630,000000,39.6921,40.2066,39.3826,40.0256,29107.131678461,0
IEZ.US,D,20060703,000000,40.2246,40.573,40.1589,40.573,16288.740723894,0
IEZ.US,D,20060705,000000,40.3759,40.4774,39.5319,40.4774,23357.041426619,0
IEZ.US,D,20060706,000000,40.2853,40.5301,39.6234,39.8753,11980.443152709,0
IEZ.US,D,20060707,000000,39.9926,40.1918,38.7784,39.0084,11737.297627469,0
