<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INOV.US,D,20231102,000000,25.35,25.435,25.35,25.4102,4943,0
INOV.US,D,20231103,000000,25.61,25.64,25.5863,25.5863,2548,0
INOV.US,D,20231106,000000,25.63,25.63,25.52,25.53,6272,0
INOV.US,D,20231107,000000,25.4201,25.45,25.35,25.4201,7131,0
INOV.US,D,20231108,000000,25.44,25.44,25.365,25.3997,10907,0
INOV.US,D,20231109,000000,25.5565,25.59,25.405,25.43,18648,0
INOV.US,D,20231110,000000,25.3907,25.4902,25.32,25.4902,775,0
INOV.US,D,20231113,000000,25.4525,25.54,25.4525,25.54,2931,0
INOV.US,D,20231114,000000,25.93,25.98,25.93,25.98,4769,0
INOV.US,D,20231115,000000,25.97,25.97,25.88,25.9202,7713,0
INOV.US,D,20231116,000000,25.86,25.9077,25.86,25.9077,2051,0
INOV.US,D,20231117,000000,26.13,26.13,26.05,26.0955,2695,0
INOV.US,D,20231120,000000,26.13,26.17,26.13,26.17,2789,0
INOV.US,D,20231121,000000,26.11,26.16,26.095,26.095,3087,0
INOV.US,D,20231122,000000,26.14,26.14,26.1201,26.1201,1959,0
INOV.US,D,20231124,000000,26.2645,26.2687,26.2401,26.2401,1827,0
INOV.US,D,20231127,000000,26.18,26.24,26.18,26.2059,1321,0
INOV.US,D,20231128,000000,26.23,26.24,26.205,26.215,2048,0
INOV.US,D,20231129,000000,26.2692,26.2692,26.2551,26.2551,598,0
INOV.US,D,20231130,000000,26.2853,26.2853,26.2233,26.2414,2621,0
INOV.US,D,20231201,000000,26.38,26.4149,26.38,26.4149,707,0
INOV.US,D,20231204,000000,26.25,26.305,26.25,26.305,569,0
INOV.US,D,20231205,000000,26.2559,26.2559,26.2559,26.2559,41,0
INOV.US,D,20231206,000000,26.305,26.305,26.305,26.305,107,0
INOV.US,D,20231207,000000,26.38,26.43,26.3799,26.3933,2241,0
INOV.US,D,20231208,000000,26.4185,26.4405,26.4185,26.4222,558,0
INOV.US,D,20231211,000000,26.46,26.47,26.44,26.455,829,0
INOV.US,D,20231212,000000,26.49,26.49,26.49,26.49,106,0
INOV.US,D,20231213,000000,26.73,26.73,26.73,26.73,3,0
INOV.US,D,20231214,000000,26.8018,26.8018,26.8018,26.8018,15,0
INOV.US,D,20231215,000000,26.67,26.67,26.67,26.67,278,0
INOV.US,D,20231218,000000,26.7298,26.7298,26.715,26.715,131,0
INOV.US,D,20231219,000000,26.845,26.845,26.845,26.845,6,0
INOV.US,D,20231220,000000,26.6944,26.6944,26.6944,26.6944,6,0
INOV.US,D,20231221,000000,26.896,26.896,26.896,26.896,6,0
INOV.US,D,20231222,000000,26.96,26.96,26.942,26.942,107,0
INOV.US,D,20231226,000000,26.95,27.05,26.95,27.0049,286,0
INOV.US,D,20231227,000000,27.0669,27.0669,27.0669,27.0669,7,0
INOV.US,D,20231228,000000,27.03,27.0447,27.03,27.0447,114,0
INOV.US,D,20231229,000000,27.035,27.035,27.035,27.035,6,0
INOV.US,D,20240102,000000,26.85,26.93,26.84,26.8758,2062,0
INOV.US,D,20240103,000000,26.82,26.82,26.7751,26.7751,325,0
INOV.US,D,20240104,000000,26.805,26.805,26.805,26.805,80,0
INOV.US,D,20240105,000000,26.845,26.845,26.845,26.845,80,0
INOV.US,D,20240108,000000,26.9801,26.9801,26.9801,26.9801,1,0
INOV.US,D,20240109,000000,26.92,26.92,26.86,26.86,1545,0
INOV.US,D,20240110,000000,26.9501,26.9501,26.9501,26.9501,88,0
INOV.US,D,20240111,000000,26.9623,26.9623,26.9623,26.9623,36,0
INOV.US,D,20240112,000000,27.045,27.045,27.045,27.045,88,0
INOV.US,D,20240116,000000,26.785,26.785,26.785,26.785,88,0
INOV.US,D,20240117,000000,26.6299,26.6299,26.6299,26.6299,88,0
INOV.US,D,20240118,000000,26.7655,26.7655,26.7655,26.7655,88,0
INOV.US,D,20240119,000000,26.8051,26.8051,26.8051,26.8051,2,0
INOV.US,D,20240122,000000,26.855,26.855,26.855,26.855,1,0
INOV.US,D,20240123,000000,26.819,26.819,26.819,26.819,2,0
INOV.US,D,20240124,000000,26.92,26.9525,26.92,26.9525,590,0
INOV.US,D,20240125,000000,26.9851,26.9851,26.9851,26.9851,1,0
INOV.US,D,20240126,000000,27.065,27.065,27.065,27.065,1,0
INOV.US,D,20240129,000000,27.135,27.135,27.135,27.135,1,0
INOV.US,D,20240130,000000,27.1229,27.1229,27.1229,27.1229,40,0
INOV.US,D,20240131,000000,27.0398,27.0398,27.0398,27.0398,40,0
INOV.US,D,20240201,000000,27.185,27.185,27.185,27.185,40,0
INOV.US,D,20240202,000000,26.99,27.085,26.99,27.085,2108,0
INOV.US,D,20240205,000000,27.0116,27.0116,27.0116,27.0116,3,0
INOV.US,D,20240206,000000,27.0984,27.0984,27.0984,27.0984,2,0
INOV.US,D,20240207,000000,27.105,27.105,27.105,27.105,2,0
INOV.US,D,20240208,000000,27.085,27.085,27.085,27.085,2,0
INOV.US,D,20240209,000000,27.12,27.1451,27.08,27.1451,202,0
INOV.US,D,20240212,000000,27.22,27.22,27.175,27.175,5933,0
INOV.US,D,20240213,000000,26.9101,26.9101,26.9101,26.9101,2,0
INOV.US,D,20240214,000000,27.1,27.105,27.1,27.105,485,0
INOV.US,D,20240215,000000,27.2451,27.2451,27.2451,27.2451,1,0
INOV.US,D,20240216,000000,27.275,27.275,27.275,27.275,2,0
